datetime,outdoor_temperature,outdoor_feels_like,outdoor_app_temp,outdoor_dew_point,outdoor_humidity,indoor_temperature,indoor_humidity,solar_and_uvi_solar,solar_and_uvi_uvi,rainfall_piezo_rain_rate,rainfall_piezo_daily,rainfall_piezo_event,rainfall_piezo_hourly,rainfall_piezo_weekly,rainfall_piezo_monthly,rainfall_piezo_yearly,wind_wind_speed,wind_wind_gust,wind_wind_direction,pressure_relative,pressure_absolute,battery_haptic_array_battery,battery_haptic_array_capacitor
2024-10-14 00:00:00+02:00,6.3,6.3,5.0,5.2,93.0,10.6,99.0,0.3,0.0,0.0,0.0,0.9,0.0,1.8,14.6,445.5,1.1,3.6,108.0,1005.5,1005.5,2.28,2.2
2024-10-14 00:05:00+02:00,6.3,6.3,5.1,5.3,93.0,10.6,99.0,0.3,0.0,0.0,0.0,0.9,0.0,1.8,14.6,445.5,1.0,4.0,136.0,1005.5,1005.5,2.28,2.2
2024-10-14 00:10:00+02:00,6.3,6.3,4.9,5.3,93.0,10.5,99.0,0.3,0.0,0.0,0.0,0.9,0.0,1.8,14.6,445.5,1.7,3.6,105.0,1005.4,1005.4,2.28,2.2
2024-10-14 00:15:00+02:00,6.3,6.3,4.8,5.2,93.0,10.5,99.0,0.3,0.0,0.0,0.0,0.9,0.0,1.8,14.6,445.5,1.9,4.7,86.0,1005.2,1005.2,2.28,2.2
2024-10-14 00:20:00+02:00,6.2,6.2,4.8,5.1,93.0,10.5,99.0,0.2,0.0,0.0,0.0,0.9,0.0,1.8,14.6,445.5,1.3,3.6,113.0,1005.1,1005.1,2.28,2.2
2024-10-14 00:25:00+02:00,6.0,6.0,4.8,5.0,93.0,10.5,99.0,0.2,0.0,0.0,0.0,0.9,0.0,1.8,14.6,445.5,0.9,3.6,119.0,1005.1,1005.1,2.28,2.2
2024-10-14 00:30:00+02:00,6.1,6.1,4.9,5.0,93.0,10.5,99.0,0.2,0.0,0.0,0.0,0.9,0.0,1.8,14.6,445.5,0.6,4.3,105.0,1005.1,1005.1,2.28,2.2
2024-10-14 00:35:00+02:00,6.1,6.1,4.6,5.1,94.0,10.5,99.0,0.2,0.0,0.0,0.0,0.9,0.0,1.8,14.6,445.5,2.2,3.6,118.0,1005.0,1005.0,2.28,2.2
2024-10-14 00:40:00+02:00,5.9,5.9,4.5,5.0,94.0,10.5,99.0,0.2,0.0,0.0,0.0,0.9,0.0,1.8,14.6,445.5,1.8,3.2,108.0,1005.1,1005.1,2.28,2.2
2024-10-14 00:45:00+02:00,5.7,5.7,4.2,4.9,94.0,10.4,99.0,0.2,0.0,0.0,0.0,0.9,0.0,1.8,14.6,445.5,1.8,3.6,114.0,1005.1,1005.1,2.28,2.2
2024-10-14 00:50:00+02:00,5.7,5.7,4.1,4.8,94.0,10.4,99.0,0.2,0.0,0.0,0.0,0.9,0.0,1.8,14.6,445.5,2.3,4.0,108.0,1005.0,1005.0,2.28,2.2
2024-10-14 00:55:00+02:00,5.7,5.7,4.2,5.0,95.0,10.4,99.0,0.2,0.0,0.0,0.0,0.9,0.0,1.8,14.6,445.5,1.9,3.6,114.0,1005.0,1005.0,2.28,2.2
2024-10-14 01:00:00+02:00,5.7,5.7,4.3,5.0,95.0,10.4,99.0,0.2,0.0,0.0,0.0,0.0,0.0,1.8,14.6,445.5,1.1,3.6,105.0,1005.0,1005.0,2.28,2.2
2024-10-14 01:05:00+02:00,5.7,5.7,4.1,4.9,95.0,10.3,99.0,0.2,0.0,0.0,0.0,0.0,0.0,1.8,14.6,445.5,1.9,3.2,108.0,1005.0,1005.0,2.28,2.2
2024-10-14 01:10:00+02:00,5.6,5.6,4.1,4.9,95.0,10.3,99.0,0.2,0.0,0.0,0.0,0.0,0.0,1.8,14.6,445.5,2.2,4.0,96.0,1004.9,1004.9,2.28,2.2
2024-10-14 01:15:00+02:00,5.7,5.7,4.2,5.0,95.0,10.3,99.0,0.2,0.0,0.0,0.0,0.0,0.0,1.8,14.6,445.5,1.6,3.2,113.0,1004.9,1004.9,2.28,2.2
2024-10-14 01:20:00+02:00,5.6,5.6,4.2,4.9,95.0,10.2,99.0,0.2,0.0,0.0,0.0,0.0,0.0,1.8,14.6,445.5,1.2,3.2,103.0,1005.0,1005.0,2.28,2.2
2024-10-14 01:25:00+02:00,5.7,5.7,4.2,5.0,95.0,10.2,99.0,0.2,0.0,0.0,0.0,0.0,0.0,1.8,14.6,445.5,1.6,2.9,106.0,1005.1,1005.1,2.28,2.2
2024-10-14 01:30:00+02:00,5.7,5.7,4.3,5.1,96.0,10.2,99.0,0.2,0.0,0.0,0.0,0.0,0.0,1.8,14.6,445.5,1.7,3.6,120.0,1005.0,1005.0,2.28,2.2
2024-10-14 01:35:00+02:00,5.8,5.8,4.6,5.2,96.0,10.2,99.0,0.2,0.0,0.0,0.0,0.0,0.0,1.8,14.6,445.5,1.2,2.9,100.0,1005.0,1005.0,2.28,2.2
2024-10-14 01:40:00+02:00,6.0,6.0,4.9,5.4,96.0,10.2,99.0,0.2,0.0,0.0,0.0,0.0,0.0,1.8,14.6,445.5,0.4,2.9,93.0,1005.0,1005.0,2.28,2.2
2024-10-14 01:45:00+02:00,6.0,6.0,4.7,5.4,96.0,10.2,99.0,0.2,0.0,0.0,0.0,0.0,0.0,1.8,14.6,445.5,1.4,2.9,106.0,1005.0,1005.0,2.28,2.2
2024-10-14 01:50:00+02:00,6.1,6.1,4.8,5.5,96.0,10.2,99.0,0.2,0.0,0.0,0.0,0.0,0.0,1.8,14.6,445.5,1.5,3.6,87.0,1005.1,1005.1,2.28,2.2
2024-10-14 01:55:00+02:00,6.2,6.2,4.6,5.6,96.0,10.1,99.0,0.2,0.0,0.0,0.0,0.0,0.0,1.8,14.6,445.5,2.7,4.3,107.0,1004.9,1004.9,2.28,2.2
2024-10-14 02:00:00+02:00,6.2,6.2,4.8,5.5,96.0,10.1,99.0,0.2,0.0,0.0,0.0,0.0,0.0,1.8,14.6,445.5,1.7,4.0,112.0,1005.0,1005.0,2.28,2.2
2024-10-14 02:05:00+02:00,6.2,6.2,4.7,5.4,95.0,10.1,99.0,0.2,0.0,0.0,0.0,0.0,0.0,1.8,14.6,445.5,2.0,3.2,109.0,1004.9,1004.9,2.28,2.2
2024-10-14 02:10:00+02:00,6.1,6.1,4.8,5.4,95.0,10.1,99.0,0.2,0.0,0.0,0.0,0.0,0.0,1.8,14.6,445.5,1.4,3.6,118.0,1005.0,1005.0,2.28,2.2
2024-10-14 02:15:00+02:00,6.0,6.0,4.7,5.3,95.0,10.1,99.0,0.2,0.0,0.0,0.0,0.0,0.0,1.8,14.6,445.5,1.2,2.9,98.0,1004.9,1004.9,2.28,2.2
2024-10-14 02:20:00+02:00,6.0,6.0,4.6,5.3,95.0,10.0,99.0,0.2,0.0,0.0,0.0,0.0,0.0,1.8,14.6,445.5,1.7,3.2,95.0,1004.8,1004.8,2.28,2.2
2024-10-14 02:25:00+02:00,5.9,5.9,4.7,5.3,96.0,10.0,99.0,0.2,0.0,0.0,0.0,0.0,0.0,1.8,14.6,445.5,0.8,2.9,107.0,1004.8,1004.8,2.28,2.2
