datetime,outdoor_temperature,outdoor_feels_like,outdoor_app_temp,outdoor_dew_point,outdoor_humidity,indoor_temperature,indoor_humidity,solar_and_uvi_solar,solar_and_uvi_uvi,rainfall_piezo_rain_rate,rainfall_piezo_daily,rainfall_piezo_event,rainfall_piezo_hourly,rainfall_piezo_weekly,rainfall_piezo_monthly,rainfall_piezo_yearly,wind_wind_speed,wind_wind_gust,wind_wind_direction,pressure_relative,pressure_absolute,battery_haptic_array_battery,battery_haptic_array_capacitor
2024-09-22 00:00:00+02:00,13.5,13.5,14.3,12.6,94.0,24.5,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.8,407.1,0.0,1.8,65.0,1005.5,1005.5,2.46,5.0
2024-09-22 00:05:00+02:00,13.5,13.5,14.3,12.7,94.0,24.4,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.8,407.1,0.4,2.5,55.0,1005.4,1005.4,2.46,5.0
2024-09-22 00:10:00+02:00,13.8,13.8,14.4,13.0,95.0,24.3,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.8,407.1,1.7,2.5,36.0,1005.4,1005.4,2.46,5.0
2024-09-22 00:15:00+02:00,13.8,13.8,14.7,13.0,95.0,24.2,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.8,407.1,0.0,2.2,25.0,1005.4,1005.4,2.46,4.9
2024-09-22 00:20:00+02:00,13.7,13.7,14.6,12.9,95.0,24.2,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.8,407.1,0.0,0.0,31.0,1005.4,1005.4,2.46,4.9
2024-09-22 00:25:00+02:00,13.5,13.5,14.4,12.7,95.0,24.1,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.8,407.1,0.0,1.8,47.0,1005.3,1005.3,2.46,4.9
2024-09-22 00:30:00+02:00,13.6,13.6,14.4,12.8,95.0,24.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.8,407.1,0.4,2.2,44.0,1005.4,1005.4,2.46,4.9
2024-09-22 00:35:00+02:00,13.7,13.7,14.6,13.0,95.0,23.9,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.8,407.1,0.0,1.8,8.0,1005.3,1005.3,2.46,4.9
2024-09-22 00:40:00+02:00,13.6,13.6,14.5,12.8,95.0,23.8,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.8,407.1,0.0,1.8,109.0,1005.4,1005.4,2.46,4.9
2024-09-22 00:45:00+02:00,13.4,13.4,14.2,12.6,95.0,23.7,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.8,407.1,0.0,0.0,102.0,1005.4,1005.4,2.46,4.9
2024-09-22 00:50:00+02:00,13.2,13.2,14.0,12.5,95.0,23.6,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.8,407.1,0.0,0.0,121.0,1005.4,1005.4,2.46,4.9
2024-09-22 00:55:00+02:00,13.0,13.0,13.8,12.4,96.0,23.5,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.8,407.1,0.0,1.8,43.0,1005.3,1005.3,2.46,4.9
2024-09-22 01:00:00+02:00,13.3,13.3,14.0,12.7,96.0,23.4,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.8,407.1,0.7,2.9,25.0,1005.3,1005.3,2.46,4.9
2024-09-22 01:05:00+02:00,13.3,13.3,14.2,12.7,96.0,23.3,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.8,407.1,0.0,1.8,10.0,1005.3,1005.3,2.46,4.9
2024-09-22 01:10:00+02:00,13.5,13.5,14.4,12.9,96.0,23.3,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.8,407.1,0.0,1.8,39.0,1005.3,1005.3,2.46,4.9
2024-09-22 01:15:00+02:00,13.3,13.3,14.2,12.7,96.0,23.2,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.8,407.1,0.0,1.8,93.0,1005.4,1005.4,2.46,4.9
2024-09-22 01:20:00+02:00,13.3,13.3,14.1,12.7,96.0,23.1,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.8,407.1,0.0,1.8,73.0,1005.3,1005.3,2.46,4.9
2024-09-22 01:25:00+02:00,13.2,13.2,13.9,12.5,96.0,23.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.8,407.1,0.0,1.8,142.0,1005.3,1005.3,2.46,4.9
2024-09-22 01:30:00+02:00,13.0,13.0,13.7,12.4,96.0,23.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.8,407.1,0.4,1.8,138.0,1005.3,1005.3,2.46,4.9
