datetime,outdoor_temperature,outdoor_feels_like,outdoor_app_temp,outdoor_dew_point,outdoor_humidity,indoor_temperature,indoor_humidity,pressure_relative,pressure_absolute
2024-12-15 00:00:00+01:00,,,,,,5.9,89.0,1008.3,1008.3
2024-12-15 00:05:00+01:00,,,,,,5.9,89.0,1008.2,1008.2
2024-12-15 00:10:00+01:00,,,,,,5.9,89.0,1008.3,1008.3
2024-12-15 00:15:00+01:00,,,,,,5.9,89.0,1008.3,1008.3
2024-12-15 00:20:00+01:00,,,,,,5.9,89.0,1008.4,1008.4
2024-12-15 00:25:00+01:00,,,,,,5.9,89.0,1008.5,1008.5
2024-12-15 00:30:00+01:00,,,,,,5.9,89.0,1008.5,1008.5
2024-12-15 00:35:00+01:00,,,,,,5.9,89.0,1008.6,1008.6
2024-12-15 00:40:00+01:00,,,,,,5.9,89.0,1008.6,1008.6
2024-12-15 00:45:00+01:00,,,,,,6.0,89.0,1008.5,1008.5
2024-12-15 00:50:00+01:00,,,,,,6.0,89.0,1008.5,1008.5
2024-12-15 00:55:00+01:00,,,,,,6.0,89.0,1008.5,1008.5
2024-12-15 01:00:00+01:00,,,,,,6.0,89.0,1008.6,1008.6
2024-12-15 01:05:00+01:00,,,,,,6.0,89.0,1008.6,1008.6
2024-12-15 01:10:00+01:00,,,,,,6.0,89.0,1008.6,1008.6
2024-12-15 01:15:00+01:00,,,,,,6.0,89.0,1008.6,1008.6
2024-12-15 01:20:00+01:00,,,,,,6.0,89.0,1008.5,1008.5
2024-12-15 01:25:00+01:00,,,,,,6.0,89.0,1008.6,1008.6
2024-12-15 01:30:00+01:00,,,,,,6.0,89.0,1008.6,1008.6
2024-12-15 01:35:00+01:00,,,,,,6.1,89.0,1008.5,1008.5
2024-12-15 01:40:00+01:00,,,,,,6.1,89.0,1008.6,1008.6
2024-12-15 01:45:00+01:00,,,,,,6.1,89.0,1008.7,1008.7
2024-12-15 01:50:00+01:00,,,,,,6.1,89.0,1008.8,1008.8
2024-12-15 01:55:00+01:00,,,,,,6.1,89.0,1008.9,1008.9
2024-12-15 02:00:00+01:00,,,,,,6.1,89.0,1009.0,1009.0
2024-12-15 02:05:00+01:00,,,,,,6.1,89.0,1009.0,1009.0
2024-12-15 02:10:00+01:00,,,,,,6.1,89.0,1009.0,1009.0
2024-12-15 02:15:00+01:00,,,,,,6.1,89.0,1009.0,1009.0
2024-12-15 02:20:00+01:00,,,,,,6.1,89.0,1009.1,1009.1
2024-12-15 02:25:00+01:00,,,,,,6.1,89.0,1009.2,1009.2
2024-12-15 02:30:00+01:00,,,,,,6.1,89.0,1009.1,1009.1
2024-12-15 02:35:00+01:00,,,,,,6.1,89.0,1009.2,1009.2
2024-12-15 02:40:00+01:00,,,,,,6.2,89.0,1009.3,1009.3
2024-12-15 02:45:00+01:00,,,,,,6.1,89.0,1009.3,1009.3
2024-12-15 02:50:00+01:00,,,,,,6.2,89.0,1009.4,1009.4
2024-12-15 02:55:00+01:00,,,,,,6.2,89.0,1009.4,1009.4
2024-12-15 03:00:00+01:00,,,,,,6.2,89.0,1009.3,1009.3
2024-12-15 03:05:00+01:00,,,,,,6.2,89.0,1009.3,1009.3
2024-12-15 03:10:00+01:00,,,,,,6.2,88.0,1009.4,1009.4
2024-12-15 03:15:00+01:00,,,,,,6.2,88.0,1009.6,1009.6
2024-12-15 03:20:00+01:00,,,,,,6.2,88.0,1009.5,1009.5
2024-12-15 03:25:00+01:00,,,,,,6.1,88.0,1009.5,1009.5
2024-12-15 03:30:00+01:00,,,,,,6.1,88.0,1009.6,1009.6
2024-12-15 03:35:00+01:00,,,,,,6.1,88.0,1009.5,1009.5
2024-12-15 03:50:00+01:00,,,,,,6.1,88.0,1009.7,1009.7
2024-12-15 03:55:00+01:00,,,,,,6.1,88.0,1009.6,1009.6
2024-12-15 04:00:00+01:00,,,,,,6.1,88.0,1009.6,1009.6
2024-12-15 04:05:00+01:00,,,,,,6.1,88.0,1009.8,1009.8
2024-12-15 04:10:00+01:00,,,,,,6.1,88.0,1009.7,1009.7
2024-12-15 04:15:00+01:00,,,,,,6.0,88.0,1009.8,1009.8
2024-12-15 04:20:00+01:00,,,,,,6.0,88.0,1009.9,1009.9
