datetime,outdoor_temperature,outdoor_feels_like,outdoor_app_temp,outdoor_dew_point,outdoor_humidity,indoor_temperature,indoor_humidity,indoor_dew_point,indoor_feels_like,indoor_app_tempin,solar_and_uvi_solar,solar_and_uvi_uvi,rainfall_piezo_rain_rate,rainfall_piezo_daily,rainfall_piezo_event,rainfall_piezo_1_hour,rainfall_piezo_weekly,rainfall_piezo_monthly,rainfall_piezo_yearly,wind_wind_speed,wind_wind_gust,wind_wind_direction,pressure_relative,pressure_absolute,battery_haptic_array_battery,battery_haptic_array_capacitor
2025-09-25 00:00:00+02:00,11.5,11.5,9.1,3.8,59.0,18.1,77.0,14.0,18.1,19.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,642.5,5.4,9.7,179.0,1009.9,1009.9,2.66,4.9
2025-09-25 00:05:00+02:00,11.4,11.4,9.4,3.7,59.0,18.1,77.0,14.0,18.1,19.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,642.5,3.1,14.4,159.0,1009.9,1009.9,2.66,4.9
2025-09-25 00:10:00+02:00,11.3,11.3,8.8,3.7,60.0,18.0,77.0,13.9,18.0,19.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,642.5,6.0,9.0,143.0,1009.9,1009.9,2.66,4.9
2025-09-25 00:15:00+02:00,11.3,11.3,8.9,3.8,60.0,18.0,77.0,13.9,18.0,19.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,642.5,5.5,10.4,173.0,1009.9,1009.9,2.66,4.9
2025-09-25 00:20:00+02:00,11.2,11.2,9.2,3.9,61.0,17.9,77.0,13.8,17.9,19.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,642.5,3.5,7.6,183.0,1009.8,1009.8,2.66,4.9
2025-09-25 00:25:00+02:00,11.1,11.1,8.4,3.9,61.0,17.9,77.0,13.8,17.9,19.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,642.5,6.8,10.4,182.0,1009.7,1009.7,2.66,4.9
2025-09-25 00:30:00+02:00,11.0,11.0,8.7,3.9,62.0,17.9,77.0,13.8,17.9,19.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,642.5,5.0,9.7,195.0,1009.6,1009.6,2.66,4.9
2025-09-25 00:35:00+02:00,10.9,10.9,8.9,3.9,62.0,17.8,77.0,13.7,17.8,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,642.5,3.7,7.9,134.0,1009.7,1009.7,2.66,4.9
2025-09-25 00:40:00+02:00,10.9,10.9,8.8,3.9,62.0,17.8,77.0,13.7,17.8,18.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,642.5,4.2,10.4,146.0,1009.7,1009.7,2.66,4.9
2025-09-25 00:45:00+02:00,10.8,10.8,8.7,4.0,63.0,17.8,77.0,13.7,17.8,18.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,642.5,4.2,9.0,143.0,1009.7,1009.7,2.66,4.9
2025-09-25 00:50:00+02:00,10.8,10.8,8.5,4.0,63.0,17.7,77.0,13.7,17.7,18.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,642.5,4.8,12.2,235.0,1009.7,1009.7,2.66,4.8
2025-09-25 00:55:00+02:00,10.7,10.7,8.7,4.1,64.0,17.7,77.0,13.7,17.7,18.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,642.5,3.6,13.7,130.0,1009.6,1009.6,2.66,4.8
2025-09-25 01:00:00+02:00,10.6,10.6,8.2,4.1,64.0,17.6,77.0,13.6,17.6,18.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,642.5,5.9,13.7,180.0,1009.4,1009.4,2.66,4.8
2025-09-25 01:05:00+02:00,10.6,10.6,8.0,4.1,64.0,17.6,77.0,13.5,17.6,18.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,642.5,6.6,12.2,169.0,1009.5,1009.5,2.66,4.8
2025-09-25 01:10:00+02:00,10.5,10.5,8.2,4.2,65.0,17.5,77.0,13.5,17.5,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,642.5,5.0,11.5,155.0,1009.5,1009.5,2.66,4.8
2025-09-25 01:15:00+02:00,10.4,10.4,8.5,4.2,65.0,17.5,77.0,13.4,17.5,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,642.5,3.3,11.5,167.0,1009.5,1009.5,2.66,4.8
2025-09-25 01:20:00+02:00,10.4,10.4,8.4,4.2,65.0,17.5,77.0,13.4,17.5,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,642.5,3.8,10.8,164.0,1009.5,1009.5,2.66,4.8
2025-09-25 01:25:00+02:00,10.3,10.3,8.2,4.3,66.0,17.4,77.0,13.4,17.4,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,642.5,4.8,9.7,147.0,1009.5,1009.5,2.66,4.8
2025-09-25 01:30:00+02:00,10.3,10.3,8.3,4.3,66.0,17.4,77.0,13.3,17.4,18.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,642.5,3.9,9.4,124.0,1009.5,1009.5,2.66,4.8
2025-09-25 01:35:00+02:00,10.4,10.4,8.6,4.4,66.0,17.3,77.0,13.3,17.3,18.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,642.5,3.2,13.0,115.0,1009.5,1009.5,2.66,4.8
2025-09-25 01:40:00+02:00,10.3,10.3,8.4,4.3,66.0,17.3,77.0,13.2,17.3,18.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,642.5,3.5,10.1,150.0,1009.5,1009.5,2.66,4.8
2025-09-25 01:45:00+02:00,10.4,10.4,8.0,4.4,67.0,17.3,77.0,13.2,17.3,18.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,642.5,5.9,10.1,149.0,1009.5,1009.5,2.66,4.8
2025-09-25 01:50:00+02:00,10.4,10.4,8.3,4.6,67.0,17.2,77.0,13.2,17.2,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,642.5,4.7,10.1,147.0,1009.6,1009.6,2.66,4.8
2025-09-25 01:55:00+02:00,10.4,10.4,8.6,4.6,67.0,17.2,77.0,13.1,17.2,18.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,642.5,3.1,10.4,148.0,1009.5,1009.5,2.66,4.8
2025-09-25 02:00:00+02:00,10.4,10.4,7.4,4.5,67.0,17.1,77.0,13.1,17.1,18.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,642.5,8.9,22.0,152.0,1009.4,1009.4,2.66,4.8
2025-09-25 02:05:00+02:00,10.4,10.4,8.3,4.6,67.0,17.1,77.0,13.1,17.1,18.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,642.5,4.4,18.0,163.0,1009.5,1009.5,2.66,4.8
2025-09-25 02:10:00+02:00,10.4,10.4,8.0,4.6,67.0,17.0,77.0,13.0,17.0,17.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,642.5,6.3,11.5,166.0,1009.4,1009.4,2.66,4.8
2025-09-25 02:15:00+02:00,10.6,10.6,8.7,4.7,67.0,17.0,77.0,12.9,17.0,17.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,642.5,3.7,9.4,155.0,1009.4,1009.4,2.66,4.8
2025-09-25 02:20:00+02:00,10.5,10.5,8.6,4.6,67.0,17.0,77.0,12.9,17.0,17.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,642.5,3.9,8.3,172.0,1009.3,1009.3,2.66,4.7
2025-09-25 02:25:00+02:00,10.6,10.6,8.8,4.7,67.0,16.9,77.0,12.9,16.9,17.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,642.5,3.3,10.1,313.0,1009.3,1009.3,2.66,4.7
2025-09-25 02:30:00+02:00,10.6,10.6,8.5,4.7,67.0,16.9,77.0,12.8,16.9,17.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,642.5,4.5,10.4,229.0,1009.3,1009.3,2.66,4.7
2025-09-25 02:35:00+02:00,10.5,10.5,8.6,4.8,68.0,16.9,77.0,12.8,16.9,17.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,642.5,4.1,13.0,212.0,1009.3,1009.3,2.66,4.7
2025-09-25 02:40:00+02:00,10.5,10.5,8.2,4.8,68.0,16.8,77.0,12.7,16.8,17.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,642.5,5.6,10.1,175.0,1009.2,1009.2,2.66,4.7
2025-09-25 02:45:00+02:00,10.4,10.4,8.5,4.9,69.0,16.8,77.0,12.7,16.8,17.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,642.5,3.6,13.0,214.0,1009.2,1009.2,2.66,4.7
