datetime,outdoor_temperature,outdoor_feels_like,outdoor_app_temp,outdoor_dew_point,outdoor_humidity,indoor_temperature,indoor_humidity,solar_and_uvi_solar,solar_and_uvi_uvi,rainfall_piezo_rain_rate,rainfall_piezo_daily,rainfall_piezo_event,rainfall_piezo_hourly,rainfall_piezo_weekly,rainfall_piezo_monthly,rainfall_piezo_yearly,wind_wind_speed,wind_wind_gust,wind_wind_direction,pressure_relative,pressure_absolute,battery_haptic_array_battery,battery_haptic_array_capacitor
2024-07-01 02:00:00+02:00,15.7,15.7,17.1,15.0,96.0,22.1,82.0,0.0,0.0,0.0,1.0,19.6,0.2,13.8,1.0,263.0,1.3,2.9,75.0,999.8,999.8,2.44,4.8
2024-07-01 02:05:00+02:00,15.8,15.8,17.4,15.1,96.0,22.0,82.0,0.0,0.0,0.0,1.0,19.6,0.2,13.8,1.0,263.0,0.4,3.6,111.0,999.7,999.7,2.44,4.8
2024-07-01 02:10:00+02:00,15.7,15.7,17.2,15.1,96.0,22.0,82.0,0.0,0.0,0.0,1.0,19.6,0.2,13.8,1.0,263.0,0.7,2.2,87.0,999.6,999.6,2.44,4.8
2024-07-01 02:15:00+02:00,15.7,15.7,17.2,15.1,96.0,21.9,82.0,0.0,0.0,0.0,1.0,19.6,0.2,13.8,1.0,263.0,0.5,2.5,155.0,999.6,999.6,2.44,4.8
2024-07-01 02:20:00+02:00,15.7,15.7,17.1,15.1,96.0,21.9,82.0,0.0,0.0,0.0,1.0,19.6,0.2,13.8,1.0,263.0,1.4,3.2,177.0,999.7,999.7,2.44,4.8
2024-07-01 02:25:00+02:00,15.7,15.7,16.8,15.1,96.0,21.9,82.0,0.0,0.0,0.0,1.0,19.6,0.0,13.8,1.0,263.0,2.8,4.3,170.0,999.7,999.7,2.44,4.7
2024-07-01 02:30:00+02:00,15.6,15.6,16.5,15.1,97.0,21.8,82.0,0.0,0.0,3.0,1.5,20.1,0.5,14.3,1.5,263.5,4.0,5.8,181.0,999.7,999.7,2.44,4.7
2024-07-01 02:35:00+02:00,15.4,15.4,16.0,14.9,97.0,21.8,82.0,0.0,0.0,7.8,2.3,20.9,1.3,15.1,2.3,264.3,4.8,7.9,172.0,999.7,999.7,2.44,4.7
2024-07-01 02:40:00+02:00,15.2,15.2,16.2,14.8,97.0,21.8,82.0,0.0,0.0,7.2,2.5,21.1,1.5,15.3,2.5,264.5,2.7,6.5,147.0,999.8,999.8,2.44,4.7
2024-07-01 02:45:00+02:00,15.2,15.2,16.5,14.8,97.0,21.7,82.0,0.0,0.0,3.6,2.6,21.2,1.6,15.4,2.6,264.6,1.2,5.4,156.0,999.6,999.6,2.44,4.7
