datetime,outdoor_temperature,outdoor_feels_like,outdoor_app_temp,outdoor_dew_point,outdoor_humidity,indoor_temperature,indoor_humidity,solar_and_uvi_solar,solar_and_uvi_uvi,rainfall_piezo_rain_rate,rainfall_piezo_daily,rainfall_piezo_event,rainfall_piezo_hourly,rainfall_piezo_weekly,rainfall_piezo_monthly,rainfall_piezo_yearly,wind_wind_speed,wind_wind_gust,wind_wind_direction,pressure_relative,pressure_absolute,battery_haptic_array_battery,battery_haptic_array_capacitor,indoor_dew_point,indoor_feels_like,indoor_app_tempin,rainfall_piezo_1_hour
2025-09-01 02:00:00+02:00,18.5,18.5,20.6,16.9,91.0,25.3,79.0,0.0,0.0,0.6,0.3,0.3,0.3,0.3,0.3,628.4,1.1,4.7,151.0,994.0,994.0,2.66,4.7,,,,
2025-09-01 02:05:00+02:00,18.4,18.4,20.3,16.9,91.0,25.3,79.0,0.0,0.0,0.0,0.3,0.3,0.3,0.3,0.3,628.4,2.2,7.9,165.0,994.1,994.1,2.66,4.7,,,,
2025-09-01 02:10:00+02:00,18.4,18.4,20.6,17.0,92.0,25.2,79.0,0.0,0.0,0.0,0.3,0.3,0.3,0.3,0.3,628.4,1.0,4.3,194.0,994.0,994.0,2.66,4.7,,,,
2025-09-01 02:15:00+02:00,18.4,18.4,20.4,17.1,92.0,25.2,79.0,0.0,0.0,0.6,0.4,0.4,0.4,0.4,0.4,628.5,2.0,4.3,238.0,993.9,993.9,2.66,4.7,,,,
2025-09-01 02:20:00+02:00,18.3,18.3,20.5,17.0,93.0,25.2,79.0,0.0,0.0,1.2,0.5,0.5,0.5,0.5,0.5,628.6,0.9,6.1,128.0,993.9,993.9,2.66,4.7,,,,
2025-09-01 02:25:00+02:00,18.3,18.3,20.3,17.1,93.0,25.1,79.0,0.0,0.0,0.6,0.5,0.5,0.4,0.5,0.5,628.6,1.9,4.3,159.0,993.9,993.9,2.66,4.7,,,,
2025-09-01 02:30:00+02:00,18.2,18.2,20.4,17.1,93.0,25.1,79.0,0.0,0.0,0.6,0.5,0.5,0.4,0.5,0.5,628.6,1.2,4.7,162.0,993.9,993.9,2.66,4.6,,,,
2025-09-01 02:35:00+02:00,18.2,18.2,20.4,17.2,94.0,25.1,79.0,0.0,0.0,0.0,0.5,0.5,0.3,0.5,0.5,628.6,1.2,6.1,172.0,993.9,993.9,2.66,4.6,,,,
2025-09-01 02:40:00+02:00,18.1,18.1,20.4,17.1,94.0,25.0,79.0,0.0,0.0,0.0,0.5,0.5,0.3,0.5,0.5,628.6,0.5,4.3,141.0,993.8,993.8,2.66,4.6,,,,
2025-09-01 02:45:00+02:00,18.1,18.1,20.5,17.2,94.0,25.0,79.0,0.0,0.0,0.0,0.5,0.5,0.3,0.5,0.5,628.6,0.4,3.2,141.0,993.8,993.8,2.66,4.6,,,,
