datetime,outdoor_temperature,outdoor_feels_like,outdoor_app_temp,outdoor_dew_point,outdoor_humidity,indoor_temperature,indoor_humidity,solar_and_uvi_solar,solar_and_uvi_uvi,rainfall_piezo_rain_rate,rainfall_piezo_daily,rainfall_piezo_event,rainfall_piezo_hourly,rainfall_piezo_weekly,rainfall_piezo_monthly,rainfall_piezo_yearly,wind_wind_speed,wind_wind_gust,wind_wind_direction,pressure_relative,pressure_absolute,battery_haptic_array_battery,battery_haptic_array_capacitor
2024-04-13 18:40:32+02:00,23.6,23.6,22.8,11.9,48.0,26.5,49.0,48.9,0.0,0.0,0.0,0.0,0.0,15.9,101.3,133.5,7.2,9.7,224.0,1006.3,1006.3,2.62,5.3
2024-04-13 18:44:48+02:00,23.6,23.6,23.2,11.9,48.0,26.3,47.0,48.1,0.0,0.0,0.0,0.0,0.0,15.9,101.3,133.5,4.7,12.2,210.0,1006.5,1006.5,2.62,5.3
2024-04-13 18:49:04+02:00,23.5,23.5,23.1,11.9,48.0,26.3,50.0,47.0,0.0,0.0,0.0,0.0,0.0,15.9,101.3,133.5,5.2,10.1,185.0,1006.6,1006.6,2.62,5.3
2024-04-13 18:55:28+02:00,23.4,23.4,23.1,12.1,49.0,26.4,53.0,45.3,0.0,0.0,0.0,0.0,0.0,15.9,101.3,133.5,5.0,10.1,175.0,1006.7,1006.7,2.62,5.3
2024-04-13 18:59:44+02:00,23.4,23.4,23.2,12.0,49.0,26.4,55.0,48.5,0.0,0.0,0.0,0.0,0.0,15.9,101.3,133.5,4.1,9.0,190.0,1006.6,1006.6,2.62,5.3
2024-04-13 19:04:00+02:00,23.3,23.3,23.1,12.0,49.0,26.4,55.0,48.9,0.0,0.0,0.0,0.0,0.0,15.9,101.3,133.5,4.2,7.9,119.0,1006.6,1006.6,2.62,5.3
2024-04-13 19:10:24+02:00,23.3,23.3,23.3,12.0,49.0,26.5,56.0,45.2,0.0,0.0,0.0,0.0,0.0,15.9,101.3,133.5,3.3,7.6,186.0,1006.6,1006.6,2.62,5.3
2024-04-13 19:14:40+02:00,23.2,23.2,23.1,11.9,49.0,26.5,56.0,38.2,0.0,0.0,0.0,0.0,0.0,15.9,101.3,133.5,3.7,7.6,179.0,1006.6,1006.6,2.63,5.3
2024-04-13 19:21:04+02:00,23.1,23.1,22.8,12.0,49.0,26.4,56.0,35.0,0.0,0.0,0.0,0.0,0.0,15.9,101.3,133.5,4.5,8.6,164.0,1006.5,1006.5,2.64,5.3
2024-04-13 19:25:20+02:00,22.9,22.9,22.7,12.0,50.0,26.4,56.0,28.1,0.0,0.0,0.0,0.0,0.0,15.9,101.3,133.5,4.5,9.7,157.0,1006.5,1006.5,2.64,5.3
