datetime,outdoor_temperature,outdoor_feels_like,outdoor_app_temp,outdoor_dew_point,outdoor_humidity,indoor_temperature,indoor_humidity,solar_and_uvi_solar,solar_and_uvi_uvi,wind_wind_speed,wind_wind_gust,wind_wind_direction,pressure_relative,pressure_absolute
2025-01-16 00:00:00+01:00,,,,,,4.2,85.0,,,,,,1020.7,1020.7
2025-01-16 00:05:00+01:00,,,,,,4.2,85.0,,,,,,1020.8,1020.8
2025-01-16 00:10:00+01:00,,,,,,4.2,85.0,,,,,,1020.6,1020.6
2025-01-16 00:15:00+01:00,,,,,,4.2,85.0,,,,,,1020.7,1020.7
2025-01-16 00:20:00+01:00,,,,,,4.2,85.0,,,,,,1020.6,1020.6
2025-01-16 00:25:00+01:00,,,,,,4.2,85.0,,,,,,1020.7,1020.7
2025-01-16 00:30:00+01:00,,,,,,4.2,85.0,,,,,,1020.7,1020.7
2025-01-16 00:35:00+01:00,,,,,,4.2,85.0,,,,,,1020.7,1020.7
2025-01-16 00:40:00+01:00,,,,,,4.2,85.0,,,,,,1020.5,1020.5
2025-01-16 00:45:00+01:00,,,,,,4.2,85.0,,,,,,1020.4,1020.4
2025-01-16 00:50:00+01:00,,,,,,4.2,85.0,,,,,,1020.4,1020.4
2025-01-16 00:55:00+01:00,,,,,,4.2,85.0,,,,,,1020.5,1020.5
2025-01-16 01:00:00+01:00,,,,,,4.2,85.0,,,,,,1020.5,1020.5
2025-01-16 01:05:00+01:00,,,,,,4.2,86.0,,,,,,1020.5,1020.5
2025-01-16 01:10:00+01:00,,,,,,4.2,86.0,,,,,,1020.5,1020.5
2025-01-16 01:15:00+01:00,,,,,,4.2,85.0,,,,,,1020.5,1020.5
2025-01-16 01:20:00+01:00,,,,,,4.2,85.0,,,,,,1020.6,1020.6
2025-01-16 01:25:00+01:00,,,,,,4.1,85.0,,,,,,1020.5,1020.5
2025-01-16 01:30:00+01:00,,,,,,4.1,85.0,,,,,,1020.7,1020.7
2025-01-16 01:35:00+01:00,,,,,,4.1,85.0,,,,,,1020.7,1020.7
2025-01-16 01:40:00+01:00,,,,,,4.1,85.0,,,,,,1020.7,1020.7
2025-01-16 01:45:00+01:00,,,,,,4.1,85.0,,,,,,1020.7,1020.7
2025-01-16 01:50:00+01:00,,,,,,4.1,85.0,,,,,,1020.7,1020.7
2025-01-16 01:55:00+01:00,,,,,,4.1,85.0,,,,,,1020.7,1020.7
2025-01-16 02:00:00+01:00,,,,,,4.1,85.0,,,,,,1020.9,1020.9
2025-01-16 02:05:00+01:00,,,,,,4.1,85.0,,,,,,1020.8,1020.8
2025-01-16 02:10:00+01:00,,,,,,4.1,85.0,,,,,,1020.8,1020.8
2025-01-16 02:15:00+01:00,,,,,,4.1,85.0,,,,,,1020.8,1020.8
2025-01-16 02:20:00+01:00,,,,,,4.1,85.0,,,,,,1020.8,1020.8
2025-01-16 02:25:00+01:00,,,,,,4.1,85.0,,,,,,1020.8,1020.8
2025-01-16 02:30:00+01:00,,,,,,4.1,85.0,,,,,,1020.8,1020.8
2025-01-16 02:35:00+01:00,,,,,,4.1,85.0,,,,,,1020.8,1020.8
2025-01-16 02:40:00+01:00,,,,,,4.1,85.0,,,,,,1020.9,1020.9
2025-01-16 02:45:00+01:00,,,,,,4.1,85.0,,,,,,1020.9,1020.9
2025-01-16 02:50:00+01:00,,,,,,4.1,85.0,,,,,,1020.8,1020.8
2025-01-16 02:55:00+01:00,,,,,,4.1,85.0,,,,,,1020.9,1020.9
2025-01-16 03:00:00+01:00,,,,,,4.1,85.0,,,,,,1020.9,1020.9
2025-01-16 03:05:00+01:00,,,,,,4.1,85.0,,,,,,1020.9,1020.9
2025-01-16 03:10:00+01:00,,,,,,4.1,85.0,,,,,,1020.8,1020.8
2025-01-16 03:15:00+01:00,,,,,,4.1,86.0,,,,,,1020.9,1020.9
2025-01-16 03:20:00+01:00,,,,,,4.1,86.0,,,,,,1021.0,1021.0
2025-01-16 03:25:00+01:00,,,,,,4.1,86.0,,,,,,1021.0,1021.0
2025-01-16 03:30:00+01:00,,,,,,4.1,86.0,,,,,,1021.2,1021.2
2025-01-16 03:35:00+01:00,,,,,,4.1,86.0,,,,,,1021.1,1021.1
2025-01-16 03:40:00+01:00,,,,,,4.0,86.0,,,,,,1021.1,1021.1
2025-01-16 03:45:00+01:00,,,,,,4.1,86.0,,,,,,1021.0,1021.0
2025-01-16 03:50:00+01:00,,,,,,4.1,86.0,,,,,,1020.9,1020.9
2025-01-16 03:55:00+01:00,,,,,,4.0,86.0,,,,,,1020.8,1020.8
2025-01-16 04:00:00+01:00,,,,,,4.1,86.0,,,,,,1020.9,1020.9
2025-01-16 04:05:00+01:00,,,,,,4.0,86.0,,,,,,1020.9,1020.9
2025-01-16 04:10:00+01:00,,,,,,4.0,86.0,,,,,,1020.9,1020.9
2025-01-16 04:15:00+01:00,,,,,,4.0,86.0,,,,,,1020.9,1020.9
2025-01-16 04:20:00+01:00,,,,,,4.0,86.0,,,,,,1020.9,1020.9
2025-01-16 04:25:00+01:00,,,,,,4.0,86.0,,,,,,1021.0,1021.0
2025-01-16 04:30:00+01:00,,,,,,4.0,86.0,,,,,,1021.0,1021.0
2025-01-16 04:35:00+01:00,,,,,,4.0,86.0,,,,,,1021.0,1021.0
2025-01-16 04:40:00+01:00,,,,,,4.0,86.0,,,,,,1021.0,1021.0
2025-01-16 04:45:00+01:00,,,,,,4.0,86.0,,,,,,1021.1,1021.1
2025-01-16 04:50:00+01:00,,,,,,4.0,86.0,,,,,,1021.0,1021.0
2025-01-16 04:55:00+01:00,,,,,,4.0,86.0,,,,,,1021.1,1021.1
2025-01-16 05:00:00+01:00,,,,,,4.0,86.0,,,,,,1021.3,1021.3
2025-01-16 05:05:00+01:00,,,,,,4.0,86.0,,,,,,1021.2,1021.2
2025-01-16 05:10:00+01:00,,,,,,4.0,86.0,,,,,,1021.3,1021.3
2025-01-16 05:15:00+01:00,,,,,,4.0,86.0,,,,,,1021.3,1021.3
2025-01-16 05:20:00+01:00,,,,,,4.0,86.0,,,,,,1021.4,1021.4
2025-01-16 05:25:00+01:00,,,,,,4.0,86.0,,,,,,1021.4,1021.4
2025-01-16 05:30:00+01:00,,,,,,4.0,86.0,,,,,,1021.4,1021.4
2025-01-16 05:45:00+01:00,,,,,,4.0,86.0,,,,,,1021.5,1021.5
2025-01-16 05:50:00+01:00,,,,,,4.0,86.0,,,,,,1021.5,1021.5
2025-01-16 05:55:00+01:00,,,,,,4.0,86.0,,,,,,1021.4,1021.4
2025-01-16 06:00:00+01:00,,,,,,3.9,86.0,,,,,,1021.4,1021.4
2025-01-16 06:05:00+01:00,,,,,,4.0,86.0,,,,,,1021.4,1021.4
2025-01-16 06:10:00+01:00,,,,,,4.0,86.0,,,,,,1021.5,1021.5
2025-01-16 06:15:00+01:00,,,,,,3.9,86.0,,,,,,1021.4,1021.4
2025-01-16 06:20:00+01:00,,,,,,3.9,86.0,,,,,,1021.5,1021.5
2025-01-16 06:25:00+01:00,,,,,,3.9,86.0,,,,,,1021.6,1021.6
2025-01-16 06:30:00+01:00,,,,,,3.9,86.0,,,,,,1021.6,1021.6
2025-01-16 06:35:00+01:00,,,,,,3.9,86.0,,,,,,1021.6,1021.6
2025-01-16 06:40:00+01:00,,,,,,3.9,86.0,,,,,,1021.7,1021.7
2025-01-16 06:45:00+01:00,,,,,,3.9,86.0,,,,,,1021.8,1021.8
2025-01-16 06:50:00+01:00,,,,,,3.9,86.0,,,,,,1021.7,1021.7
2025-01-16 06:55:00+01:00,,,,,,3.9,86.0,,,,,,1021.8,1021.8
2025-01-16 07:00:00+01:00,,,,,,3.9,86.0,,,,,,1021.8,1021.8
2025-01-16 07:05:00+01:00,,,,,,3.9,86.0,,,,,,1021.9,1021.9
2025-01-16 07:10:00+01:00,,,,,,3.9,86.0,,,,,,1022.0,1022.0
2025-01-16 07:15:00+01:00,,,,,,3.9,86.0,,,,,,1022.0,1022.0
2025-01-16 07:20:00+01:00,,,,,,3.9,86.0,,,,,,1022.1,1022.1
2025-01-16 07:25:00+01:00,,,,,,3.9,86.0,,,,,,1022.2,1022.2
2025-01-16 07:30:00+01:00,,,,,,3.8,86.0,,,,,,1022.1,1022.1
2025-01-16 07:35:00+01:00,,,,,,3.8,86.0,,,,,,1022.2,1022.2
2025-01-16 07:40:00+01:00,,,,,,3.8,86.0,,,,,,1022.0,1022.0
2025-01-16 07:45:00+01:00,,,,,,3.8,86.0,,,,,,1022.0,1022.0
2025-01-16 07:50:00+01:00,,,,,,3.8,86.0,,,,,,1021.9,1021.9
2025-01-16 07:55:00+01:00,,,,,,3.8,86.0,,,,,,1021.9,1021.9
2025-01-16 08:00:00+01:00,,,,,,3.8,86.0,,,,,,1021.9,1021.9
2025-01-16 08:05:00+01:00,,,,,,3.8,86.0,,,,,,1021.9,1021.9
2025-01-16 08:10:00+01:00,,,,,,3.8,86.0,,,,,,1022.1,1022.1
2025-01-16 08:15:00+01:00,,,,,,3.7,86.0,,,,,,1022.1,1022.1
2025-01-16 08:20:00+01:00,,,,,,3.7,86.0,,,,,,1022.1,1022.1
2025-01-16 08:25:00+01:00,,,,,,3.7,85.0,,,,,,1022.2,1022.2
2025-01-16 08:30:00+01:00,,,,,,3.7,85.0,,,,,,1022.2,1022.2
2025-01-16 08:35:00+01:00,,,,,,3.7,85.0,,,,,,1022.2,1022.2
2025-01-16 08:40:00+01:00,,,,,,3.7,85.0,,,,,,1022.2,1022.2
2025-01-16 08:45:00+01:00,,,,,,3.7,85.0,,,,,,1022.3,1022.3
2025-01-16 08:50:00+01:00,,,,,,3.7,85.0,,,,,,1022.3,1022.3
2025-01-16 08:55:00+01:00,,,,,,3.7,85.0,,,,,,1022.3,1022.3
2025-01-16 09:00:00+01:00,,,,,,3.6,85.0,,,,,,1022.3,1022.3
2025-01-16 09:05:00+01:00,,,,,,3.7,85.0,,,,,,1022.4,1022.4
2025-01-16 09:10:00+01:00,,,,,,3.6,85.0,,,,,,1022.5,1022.5
2025-01-16 09:15:00+01:00,,,,,,3.6,85.0,,,,,,1022.5,1022.5
2025-01-16 09:20:00+01:00,,,,,,3.6,85.0,,,,,,1022.5,1022.5
2025-01-16 09:25:00+01:00,,,,,,3.6,85.0,,,,,,1022.6,1022.6
2025-01-16 09:30:00+01:00,,,,,,3.6,85.0,,,,,,1022.6,1022.6
2025-01-16 09:35:00+01:00,,,,,,3.6,85.0,,,,,,1022.6,1022.6
2025-01-16 09:40:00+01:00,,,,,,3.6,85.0,,,,,,1022.6,1022.6
2025-01-16 09:45:00+01:00,,,,,,3.6,85.0,,,,,,1022.6,1022.6
2025-01-16 09:50:00+01:00,,,,,,3.5,85.0,,,,,,1022.7,1022.7
2025-01-16 09:55:00+01:00,,,,,,3.5,85.0,,,,,,1022.8,1022.8
2025-01-16 10:00:00+01:00,,,,,,3.5,85.0,,,,,,1022.8,1022.8
2025-01-16 10:05:00+01:00,,,,,,3.5,85.0,,,,,,1022.7,1022.7
2025-01-16 10:10:00+01:00,,,,,,3.5,85.0,,,,,,1022.9,1022.9
2025-01-16 10:15:00+01:00,,,,,,3.5,85.0,,,,,,1022.8,1022.8
2025-01-16 10:20:00+01:00,,,,,,3.5,85.0,,,,,,1023.0,1023.0
2025-01-16 10:25:00+01:00,,,,,,3.5,85.0,,,,,,1023.0,1023.0
2025-01-16 10:30:00+01:00,,,,,,3.5,85.0,,,,,,1023.1,1023.1
2025-01-16 10:35:00+01:00,,,,,,3.5,86.0,,,,,,1023.1,1023.1
2025-01-16 10:40:00+01:00,,,,,,3.5,86.0,,,,,,1023.2,1023.2
2025-01-16 10:45:00+01:00,,,,,,3.5,86.0,,,,,,1023.3,1023.3
2025-01-16 10:50:00+01:00,,,,,,3.5,86.0,,,,,,1023.2,1023.2
2025-01-16 10:55:00+01:00,,,,,,3.5,86.0,,,,,,1023.2,1023.2
2025-01-16 11:00:00+01:00,,,,,,3.5,86.0,,,,,,1023.2,1023.2
2025-01-16 11:05:00+01:00,,,,,,3.5,86.0,,,,,,1023.2,1023.2
2025-01-16 11:10:00+01:00,,,,,,3.5,86.0,,,,,,1023.3,1023.3
2025-01-16 11:15:00+01:00,,,,,,3.5,86.0,,,,,,1023.4,1023.4
2025-01-16 11:20:00+01:00,,,,,,3.5,86.0,,,,,,1023.4,1023.4
2025-01-16 11:25:00+01:00,,,,,,3.5,86.0,,,,,,1023.3,1023.3
2025-01-16 11:30:00+01:00,,,,,,3.5,86.0,,,,,,1023.3,1023.3
2025-01-16 11:35:00+01:00,,,,,,3.5,86.0,,,,,,1023.3,1023.3
2025-01-16 11:40:00+01:00,,,,,,3.5,86.0,,,,,,1023.3,1023.3
2025-01-16 11:45:00+01:00,,,,,,3.6,86.0,,,,,,1023.1,1023.1
2025-01-16 11:50:00+01:00,,,,,,3.6,86.0,,,,,,1023.1,1023.1
2025-01-16 11:55:00+01:00,,,,,,3.6,86.0,,,,,,1023.0,1023.0
2025-01-16 12:00:00+01:00,,,,,,3.6,86.0,,,,,,1023.0,1023.0
2025-01-16 12:05:00+01:00,,,,,,3.6,86.0,,,,,,1023.0,1023.0
2025-01-16 12:10:00+01:00,,,,,,3.6,86.0,,,,,,1023.0,1023.0
2025-01-16 12:15:00+01:00,,,,,,3.6,86.0,,,,,,1022.9,1022.9
2025-01-16 12:20:00+01:00,,,,,,3.6,86.0,,,,,,1022.9,1022.9
2025-01-16 12:25:00+01:00,,,,,,3.7,86.0,,,,,,1022.8,1022.8
2025-01-16 12:30:00+01:00,,,,,,3.7,86.0,,,,,,1022.8,1022.8
2025-01-16 12:35:00+01:00,,,,,,3.7,86.0,,,,,,1022.8,1022.8
2025-01-16 12:40:00+01:00,,,,,,3.7,86.0,,,,,,1022.7,1022.7
2025-01-16 12:45:00+01:00,,,,,,3.7,86.0,,,,,,1022.8,1022.8
2025-01-16 12:50:00+01:00,,,,,,3.7,86.0,,,,,,1022.6,1022.6
2025-01-16 12:55:00+01:00,,,,,,3.7,86.0,,,,,,1022.5,1022.5
2025-01-16 13:00:00+01:00,,,,,,3.7,86.0,,,,,,1022.5,1022.5
2025-01-16 13:05:00+01:00,,,,,,3.7,86.0,,,,,,1022.5,1022.5
2025-01-16 13:10:00+01:00,,,,,,3.8,86.0,,,,,,1022.5,1022.5
2025-01-16 13:15:00+01:00,,,,,,3.8,86.0,,,,,,1022.5,1022.5
2025-01-16 13:20:00+01:00,,,,,,3.8,86.0,,,,,,1022.3,1022.3
2025-01-16 13:25:00+01:00,,,,,,3.8,86.0,,,,,,1022.4,1022.4
2025-01-16 13:30:00+01:00,,,,,,3.8,86.0,,,,,,1022.5,1022.5
2025-01-16 13:35:00+01:00,,,,,,3.9,87.0,,,,,,1022.4,1022.4
2025-01-16 13:40:00+01:00,,,,,,3.9,87.0,,,,,,1022.3,1022.3
2025-01-16 13:45:00+01:00,,,,,,3.9,87.0,,,,,,1022.3,1022.3
2025-01-16 13:50:00+01:00,,,,,,3.9,87.0,,,,,,1022.3,1022.3
2025-01-16 13:55:00+01:00,,,,,,3.9,87.0,,,,,,1022.2,1022.2
2025-01-16 14:00:00+01:00,,,,,,3.9,87.0,,,,,,1022.1,1022.1
2025-01-16 14:05:00+01:00,,,,,,4.0,87.0,,,,,,1022.2,1022.2
2025-01-16 14:10:00+01:00,,,,,,4.0,87.0,,,,,,1022.2,1022.2
2025-01-16 14:15:00+01:00,,,,,,4.0,87.0,,,,,,1022.1,1022.1
2025-01-16 14:20:00+01:00,,,,,,4.0,87.0,,,,,,1022.1,1022.1
2025-01-16 14:25:00+01:00,,,,,,4.0,87.0,,,,,,1022.1,1022.1
