datetime,outdoor_temperature,outdoor_feels_like,outdoor_app_temp,outdoor_dew_point,outdoor_humidity,indoor_temperature,indoor_humidity,pressure_relative,pressure_absolute
2025-02-14 00:00:00+01:00,,,,,,1.1,80.0,1008.9,1008.9
2025-02-14 00:05:00+01:00,,,,,,1.1,80.0,1009.0,1009.0
2025-02-14 00:10:00+01:00,,,,,,1.1,80.0,1009.0,1009.0
2025-02-14 00:15:00+01:00,,,,,,1.1,80.0,1008.8,1008.8
2025-02-14 00:20:00+01:00,,,,,,1.1,80.0,1009.0,1009.0
2025-02-14 00:25:00+01:00,,,,,,1.1,80.0,1009.1,1009.1
2025-02-14 00:30:00+01:00,,,,,,1.1,80.0,1009.1,1009.1
2025-02-14 00:35:00+01:00,,,,,,1.1,80.0,1009.0,1009.0
2025-02-14 00:40:00+01:00,,,,,,1.0,80.0,1009.1,1009.1
2025-02-14 00:45:00+01:00,,,,,,1.1,80.0,1009.1,1009.1
2025-02-14 00:50:00+01:00,,,,,,1.0,80.0,1009.1,1009.1
2025-02-14 00:55:00+01:00,,,,,,1.0,80.0,1009.1,1009.1
2025-02-14 01:00:00+01:00,,,,,,1.0,80.0,1009.2,1009.2
2025-02-14 01:05:00+01:00,,,,,,1.1,80.0,1009.2,1009.2
2025-02-14 01:10:00+01:00,,,,,,1.0,80.0,1009.2,1009.2
2025-02-14 01:15:00+01:00,,,,,,1.0,80.0,1009.2,1009.2
2025-02-14 01:20:00+01:00,,,,,,1.0,80.0,1009.2,1009.2
2025-02-14 01:25:00+01:00,,,,,,1.0,80.0,1009.2,1009.2
2025-02-14 01:30:00+01:00,,,,,,1.0,80.0,1009.2,1009.2
2025-02-14 01:35:00+01:00,,,,,,1.0,80.0,1009.3,1009.3
2025-02-14 01:40:00+01:00,,,,,,1.0,80.0,1009.2,1009.2
2025-02-14 01:45:00+01:00,,,,,,1.0,80.0,1009.3,1009.3
2025-02-14 01:50:00+01:00,,,,,,1.0,80.0,1009.3,1009.3
2025-02-14 01:55:00+01:00,,,,,,1.0,80.0,1009.3,1009.3
2025-02-14 02:00:00+01:00,,,,,,1.0,80.0,1009.3,1009.3
2025-02-14 02:05:00+01:00,,,,,,1.0,80.0,1009.3,1009.3
2025-02-14 02:10:00+01:00,,,,,,1.0,80.0,1009.4,1009.4
2025-02-14 02:15:00+01:00,,,,,,1.0,80.0,1009.3,1009.3
2025-02-14 02:20:00+01:00,,,,,,1.0,80.0,1009.4,1009.4
2025-02-14 02:25:00+01:00,,,,,,1.0,80.0,1009.4,1009.4
2025-02-14 02:30:00+01:00,,,,,,1.0,80.0,1009.3,1009.3
2025-02-14 02:35:00+01:00,,,,,,1.0,80.0,1009.4,1009.4
2025-02-14 02:40:00+01:00,,,,,,1.0,80.0,1009.5,1009.5
2025-02-14 02:45:00+01:00,,,,,,1.0,80.0,1009.4,1009.4
2025-02-14 02:50:00+01:00,,,,,,1.0,80.0,1009.4,1009.4
2025-02-14 02:55:00+01:00,,,,,,1.0,80.0,1009.4,1009.4
2025-02-14 03:00:00+01:00,,,,,,1.0,80.0,1009.5,1009.5
2025-02-14 03:05:00+01:00,,,,,,1.0,80.0,1009.4,1009.4
2025-02-14 03:10:00+01:00,,,,,,1.0,80.0,1009.4,1009.4
2025-02-14 03:15:00+01:00,,,,,,1.0,80.0,1009.5,1009.5
2025-02-14 03:20:00+01:00,,,,,,1.0,80.0,1009.4,1009.4
2025-02-14 03:25:00+01:00,,,,,,1.0,80.0,1009.4,1009.4
2025-02-14 03:30:00+01:00,,,,,,1.0,80.0,1009.4,1009.4
2025-02-14 03:35:00+01:00,,,,,,1.0,80.0,1009.4,1009.4
2025-02-14 03:40:00+01:00,,,,,,1.0,81.0,1009.5,1009.5
2025-02-14 03:45:00+01:00,,,,,,1.0,81.0,1009.4,1009.4
2025-02-14 03:50:00+01:00,,,,,,1.0,81.0,1009.4,1009.4
