datetime,outdoor_temperature,outdoor_feels_like,outdoor_app_temp,outdoor_dew_point,outdoor_humidity,indoor_temperature,indoor_humidity,indoor_dew_point,indoor_feels_like,indoor_app_tempin,pressure_relative,pressure_absolute
2025-10-06 00:00:00+02:00,,,,,,11.9,74.0,7.4,11.9,11.3,1004.0,1004.0
2025-10-06 00:05:00+02:00,,,,,,11.9,74.0,7.4,11.9,11.3,1004.1,1004.1
2025-10-06 00:10:00+02:00,,,,,,11.9,74.0,7.4,11.9,11.3,1004.0,1004.0
2025-10-06 00:15:00+02:00,,,,,,11.9,74.0,7.4,11.9,11.3,1004.0,1004.0
2025-10-06 00:20:00+02:00,,,,,,11.9,74.0,7.4,11.9,11.3,1004.1,1004.1
2025-10-06 00:25:00+02:00,,,,,,11.8,74.0,7.3,11.8,11.2,1004.0,1004.0
2025-10-06 00:30:00+02:00,,,,,,11.8,73.0,7.1,11.8,11.1,1004.0,1004.0
2025-10-06 00:35:00+02:00,,,,,,11.8,73.0,7.1,11.8,11.1,1004.0,1004.0
2025-10-06 00:40:00+02:00,,,,,,11.8,73.0,7.1,11.8,11.1,1004.0,1004.0
2025-10-06 00:45:00+02:00,,,,,,11.8,73.0,7.1,11.8,11.1,1004.1,1004.1
2025-10-06 00:50:00+02:00,,,,,,11.8,73.0,7.1,11.8,11.1,1004.1,1004.1
2025-10-06 00:55:00+02:00,,,,,,11.7,73.0,7.1,11.7,11.0,1004.1,1004.1
2025-10-06 01:00:00+02:00,,,,,,11.7,73.0,7.1,11.7,11.0,1004.2,1004.2
2025-10-06 01:05:00+02:00,,,,,,11.7,73.0,7.1,11.7,11.0,1004.3,1004.3
2025-10-06 01:10:00+02:00,,,,,,11.7,73.0,7.1,11.7,11.0,1004.2,1004.2
2025-10-06 01:15:00+02:00,,,,,,11.7,73.0,7.0,11.7,11.0,1004.3,1004.3
2025-10-06 01:20:00+02:00,,,,,,11.6,73.0,6.9,11.6,10.9,1004.3,1004.3
2025-10-06 01:25:00+02:00,,,,,,11.6,73.0,6.9,11.6,10.9,1004.4,1004.4
2025-10-06 01:30:00+02:00,,,,,,11.6,73.0,6.9,11.6,10.9,1004.3,1004.3
2025-10-06 01:35:00+02:00,,,,,,11.6,73.0,6.9,11.6,10.9,1004.4,1004.4
2025-10-06 01:40:00+02:00,,,,,,11.5,73.0,6.9,11.5,10.8,1004.4,1004.4
2025-10-06 01:45:00+02:00,,,,,,11.5,73.0,6.8,11.5,10.8,1004.3,1004.3
2025-10-06 01:50:00+02:00,,,,,,11.5,73.0,6.8,11.5,10.8,1004.4,1004.4
2025-10-06 01:55:00+02:00,,,,,,11.5,73.0,6.8,11.5,10.8,1004.4,1004.4
2025-10-06 02:00:00+02:00,,,,,,11.5,73.0,6.8,11.5,10.7,1004.4,1004.4
2025-10-06 02:05:00+02:00,,,,,,11.4,73.0,6.7,11.4,10.7,1004.4,1004.4
2025-10-06 02:10:00+02:00,,,,,,11.4,73.0,6.7,11.4,10.7,1004.5,1004.5
2025-10-06 02:15:00+02:00,,,,,,11.4,73.0,6.7,11.4,10.7,1004.6,1004.6
2025-10-06 02:20:00+02:00,,,,,,11.4,73.0,6.7,11.4,10.6,1004.6,1004.6
2025-10-06 02:25:00+02:00,,,,,,11.3,73.0,6.7,11.3,10.6,1004.7,1004.7
2025-10-06 02:30:00+02:00,,,,,,11.3,73.0,6.6,11.3,10.5,1004.8,1004.8
2025-10-06 02:35:00+02:00,,,,,,11.3,73.0,6.6,11.3,10.5,1004.6,1004.6
2025-10-06 02:40:00+02:00,,,,,,11.3,73.0,6.6,11.3,10.5,1004.6,1004.6
2025-10-06 02:45:00+02:00,,,,,,11.3,73.0,6.6,11.3,10.5,1004.6,1004.6
2025-10-06 02:50:00+02:00,,,,,,11.3,73.0,6.6,11.3,10.5,1004.7,1004.7
2025-10-06 02:55:00+02:00,,,,,,11.3,73.0,6.6,11.3,10.5,1004.6,1004.6
2025-10-06 03:00:00+02:00,,,,,,11.2,73.0,6.6,11.2,10.4,1004.6,1004.6
2025-10-06 03:05:00+02:00,,,,,,11.2,73.0,6.6,11.2,10.4,1004.6,1004.6
2025-10-06 03:10:00+02:00,,,,,,11.2,73.0,6.6,11.2,10.4,1004.7,1004.7
2025-10-06 03:15:00+02:00,,,,,,11.2,73.0,6.6,11.2,10.4,1004.6,1004.6
2025-10-06 03:20:00+02:00,,,,,,11.2,73.0,6.6,11.2,10.4,1004.6,1004.6
2025-10-06 03:25:00+02:00,,,,,,11.2,73.0,6.6,11.2,10.4,1004.6,1004.6
2025-10-06 03:30:00+02:00,,,,,,11.2,73.0,6.6,11.2,10.4,1004.7,1004.7
2025-10-06 03:35:00+02:00,,,,,,11.2,73.0,6.6,11.2,10.4,1005.0,1005.0
2025-10-06 03:40:00+02:00,,,,,,11.2,73.0,6.6,11.2,10.4,1005.0,1005.0
2025-10-06 03:45:00+02:00,,,,,,11.2,73.0,6.6,11.2,10.4,1005.1,1005.1
