datetime,outdoor_temperature,outdoor_feels_like,outdoor_app_temp,outdoor_dew_point,outdoor_humidity,indoor_temperature,indoor_humidity,pressure_relative,pressure_absolute,solar_and_uvi_solar,solar_and_uvi_uvi,rainfall_piezo_rain_rate,rainfall_piezo_daily,rainfall_piezo_event,rainfall_piezo_hourly,rainfall_piezo_weekly,rainfall_piezo_monthly,rainfall_piezo_yearly,wind_wind_speed,wind_wind_gust,wind_wind_direction,battery_haptic_array_battery,battery_haptic_array_capacitor
2025-03-01 01:00:00+01:00,,,,,,5.8,75.0,1014.1,1014.1,,,,,,,,,,,,,,
2025-03-01 01:05:00+01:00,,,,,,5.8,75.0,1014.1,1014.1,,,,,,,,,,,,,,
2025-03-01 01:10:00+01:00,,,,,,5.8,75.0,1014.1,1014.1,,,,,,,,,,,,,,
2025-03-01 01:15:00+01:00,,,,,,5.7,75.0,1014.3,1014.3,,,,,,,,,,,,,,
2025-03-01 01:20:00+01:00,,,,,,5.7,75.0,1014.2,1014.2,,,,,,,,,,,,,,
2025-03-01 01:25:00+01:00,,,,,,5.7,75.0,1014.3,1014.3,,,,,,,,,,,,,,
2025-03-01 01:30:00+01:00,,,,,,5.7,75.0,1014.5,1014.5,,,,,,,,,,,,,,
2025-03-01 01:35:00+01:00,,,,,,5.7,75.0,1014.5,1014.5,,,,,,,,,,,,,,
2025-03-01 01:40:00+01:00,,,,,,5.7,75.0,1014.5,1014.5,,,,,,,,,,,,,,
2025-03-01 01:45:00+01:00,,,,,,5.7,75.0,1014.4,1014.4,,,,,,,,,,,,,,
2025-03-01 01:50:00+01:00,,,,,,5.7,75.0,1014.5,1014.5,,,,,,,,,,,,,,
2025-03-01 01:55:00+01:00,,,,,,5.7,75.0,1014.5,1014.5,,,,,,,,,,,,,,
2025-03-01 02:00:00+01:00,,,,,,5.6,75.0,1014.5,1014.5,,,,,,,,,,,,,,
2025-03-01 02:05:00+01:00,,,,,,5.6,75.0,1014.5,1014.5,,,,,,,,,,,,,,
2025-03-01 02:10:00+01:00,,,,,,5.6,75.0,1014.4,1014.4,,,,,,,,,,,,,,
2025-03-01 02:15:00+01:00,,,,,,5.6,75.0,1014.3,1014.3,,,,,,,,,,,,,,
2025-03-01 02:20:00+01:00,,,,,,5.6,75.0,1014.4,1014.4,,,,,,,,,,,,,,
