datetime,outdoor_temperature,outdoor_feels_like,outdoor_app_temp,outdoor_dew_point,outdoor_humidity,indoor_temperature,indoor_humidity,solar_and_uvi_solar,solar_and_uvi_uvi,rainfall_piezo_rain_rate,rainfall_piezo_daily,rainfall_piezo_event,rainfall_piezo_hourly,rainfall_piezo_weekly,rainfall_piezo_monthly,rainfall_piezo_yearly,wind_wind_speed,wind_wind_gust,wind_wind_direction,pressure_relative,pressure_absolute,battery_haptic_array_battery,battery_haptic_array_capacitor
2025-05-01 02:00:00+02:00,13.6,13.6,13.1,10.1,79.0,21.8,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,3.2,5.0,167.0,1007.6,1007.6,3.12,4.2
2025-05-01 02:05:00+02:00,13.6,13.6,13.2,10.0,79.0,21.7,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,2.1,5.8,158.0,1007.5,1007.5,3.12,4.2
2025-05-01 02:10:00+02:00,13.4,13.4,13.3,10.0,80.0,21.7,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,1.1,5.0,165.0,1007.5,1007.5,3.12,4.2
2025-05-01 02:15:00+02:00,13.2,13.2,13.0,9.9,80.0,21.5,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,1.1,3.6,110.0,1007.4,1007.4,3.12,4.2
2025-05-01 02:20:00+02:00,13.1,13.1,12.8,10.0,81.0,21.5,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,1.4,4.7,162.0,1007.4,1007.4,3.12,4.2
2025-05-01 02:25:00+02:00,13.0,13.0,12.6,10.0,82.0,21.4,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,2.2,4.0,145.0,1007.4,1007.4,3.12,4.2
2025-05-01 02:30:00+02:00,12.8,12.8,12.5,9.9,82.0,21.3,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,1.9,4.3,163.0,1007.4,1007.4,3.12,4.2
2025-05-01 02:35:00+02:00,12.8,12.8,12.5,9.9,83.0,21.2,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,1.9,4.0,181.0,1007.3,1007.3,3.12,4.2
2025-05-01 02:40:00+02:00,12.8,12.8,12.0,9.9,83.0,21.1,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,4.2,6.5,166.0,1007.3,1007.3,3.12,4.1
2025-05-01 02:45:00+02:00,12.7,12.7,12.2,9.9,83.0,21.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,3.2,6.5,180.0,1007.2,1007.2,3.12,4.1
2025-05-01 02:50:00+02:00,12.8,12.8,12.4,9.9,83.0,20.9,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,2.4,5.0,185.0,1007.2,1007.2,3.12,4.1
2025-05-01 02:55:00+02:00,12.7,12.7,12.2,9.9,83.0,20.8,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,2.7,4.3,159.0,1007.2,1007.2,3.12,4.1
2025-05-01 03:00:00+02:00,12.6,12.6,12.4,9.8,83.0,20.8,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,0.5,5.0,221.0,1007.1,1007.1,3.12,4.1
2025-05-01 03:05:00+02:00,12.5,12.5,11.9,9.9,84.0,20.7,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,3.1,5.0,154.0,1007.1,1007.1,3.12,4.1
2025-05-01 03:10:00+02:00,12.5,12.5,11.9,9.9,84.0,20.6,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,3.2,4.7,167.0,1007.3,1007.3,3.12,4.1
2025-05-01 03:15:00+02:00,12.4,12.4,11.7,9.8,84.0,20.5,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,3.3,5.0,138.0,1007.2,1007.2,3.12,4.1
2025-05-01 03:20:00+02:00,12.2,12.2,11.6,9.7,85.0,20.4,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,3.3,5.4,141.0,1007.2,1007.2,3.12,4.1
2025-05-01 03:25:00+02:00,12.0,12.0,11.4,9.6,85.0,20.3,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,3.0,5.4,131.0,1007.1,1007.1,3.12,4.1
2025-05-01 03:30:00+02:00,11.8,11.8,11.2,9.6,86.0,20.3,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,2.9,4.7,157.0,1007.2,1007.2,3.12,4.1
2025-05-01 03:35:00+02:00,11.7,11.7,11.1,9.5,86.0,20.2,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,2.8,4.3,161.0,1007.2,1007.2,3.12,4.1
2025-05-01 03:40:00+02:00,11.6,11.6,11.2,9.5,87.0,20.1,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,1.5,4.7,178.0,1007.1,1007.1,3.12,4.0
2025-05-01 03:45:00+02:00,11.6,11.6,11.0,9.5,87.0,20.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,2.7,4.7,157.0,1007.1,1007.1,3.12,4.0
2025-05-01 03:50:00+02:00,11.5,11.5,10.8,9.4,87.0,19.9,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,3.1,5.0,165.0,1007.1,1007.1,3.12,4.0
2025-05-01 03:55:00+02:00,11.5,11.5,10.9,9.4,87.0,19.8,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,2.4,5.0,160.0,1007.1,1007.1,3.12,4.0
2025-05-01 04:00:00+02:00,11.4,11.4,10.6,9.3,87.0,19.8,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,3.5,5.0,174.0,1007.1,1007.1,3.12,4.0
2025-05-01 04:05:00+02:00,11.3,11.3,10.7,9.2,87.0,19.7,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,2.3,5.0,151.0,1007.2,1007.2,3.12,4.0
2025-05-01 04:10:00+02:00,11.2,11.2,10.5,9.2,88.0,19.6,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,2.2,4.3,109.0,1007.1,1007.1,3.12,4.0
2025-05-01 04:15:00+02:00,11.0,11.0,10.5,9.1,88.0,19.5,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,1.4,4.0,83.0,1007.0,1007.0,3.12,4.0
2025-05-01 04:20:00+02:00,11.0,11.0,10.4,9.2,89.0,19.5,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,2.1,4.3,155.0,1007.0,1007.0,3.12,4.0
2025-05-01 04:25:00+02:00,10.9,10.9,10.2,9.2,89.0,19.4,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,2.8,5.0,145.0,1007.0,1007.0,3.12,4.0
2025-05-01 04:30:00+02:00,10.9,10.9,10.3,9.2,89.0,19.3,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,2.3,5.0,148.0,1007.0,1007.0,3.12,4.0
2025-05-01 04:35:00+02:00,11.1,11.1,10.5,9.3,89.0,19.2,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,1.8,4.7,170.0,1007.0,1007.0,3.12,4.0
2025-05-01 04:40:00+02:00,11.3,11.3,10.6,9.2,87.0,19.2,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,2.7,5.0,177.0,1006.9,1006.9,3.12,3.9
2025-05-01 04:45:00+02:00,11.4,11.4,10.7,9.1,86.0,19.1,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,2.5,4.7,142.0,1006.9,1006.9,3.12,3.9
2025-05-01 04:50:00+02:00,11.3,11.3,10.5,9.0,86.0,19.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,3.0,4.3,149.0,1006.9,1006.9,3.12,3.9
2025-05-01 04:55:00+02:00,11.2,11.2,10.4,8.9,86.0,18.9,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,2.6,4.3,134.0,1006.9,1006.9,3.12,3.9
2025-05-01 05:00:00+02:00,11.1,11.1,10.5,9.0,87.0,18.9,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,1.8,4.0,133.0,1006.9,1006.9,3.12,3.9
2025-05-01 05:05:00+02:00,11.0,11.0,10.4,8.9,87.0,18.8,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,1.5,4.3,111.0,1006.8,1006.8,3.12,3.9
2025-05-01 05:10:00+02:00,10.8,10.8,10.3,8.8,87.0,18.8,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,1.6,4.3,132.0,1006.8,1006.8,3.12,3.9
2025-05-01 05:15:00+02:00,10.8,10.8,10.3,8.9,88.0,18.7,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,1.4,5.0,146.0,1006.9,1006.9,3.12,3.9
2025-05-01 05:20:00+02:00,10.8,10.8,10.3,9.0,88.0,18.7,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,1.9,4.3,154.0,1006.9,1006.9,3.12,3.9
2025-05-01 05:25:00+02:00,10.9,10.9,10.0,9.0,88.0,18.6,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,3.2,5.4,149.0,1006.8,1006.8,3.12,3.9
2025-05-01 05:30:00+02:00,10.9,10.9,10.1,8.9,87.0,18.5,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,2.9,5.0,151.0,1006.7,1006.7,3.12,3.9
2025-05-01 05:35:00+02:00,10.8,10.8,10.3,8.8,87.0,18.4,47.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,1.1,4.3,118.0,1006.7,1006.7,3.12,3.9
2025-05-01 05:40:00+02:00,10.6,10.6,10.0,8.7,88.0,18.4,47.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,1.5,4.0,110.0,1006.8,1006.8,3.12,3.9
2025-05-01 05:45:00+02:00,10.6,10.6,9.7,8.7,88.0,18.3,47.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,2.8,5.4,148.0,1006.8,1006.8,3.12,3.8
2025-05-01 05:50:00+02:00,10.6,10.6,9.9,8.9,89.0,18.3,47.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,1.9,5.4,146.0,1006.7,1006.7,3.12,3.8
2025-05-01 05:55:00+02:00,10.4,10.4,9.8,8.7,89.0,18.2,47.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,2.0,4.7,142.0,1006.7,1006.7,3.12,3.8
2025-05-01 06:00:00+02:00,10.3,10.3,9.5,8.6,89.0,18.1,47.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,2.7,4.3,120.0,1006.8,1006.8,3.12,3.8
2025-05-01 06:05:00+02:00,10.3,10.3,9.5,8.6,89.0,18.1,47.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,2.5,5.4,140.0,1006.8,1006.8,3.12,3.8
2025-05-01 06:10:00+02:00,10.1,10.1,9.2,8.6,90.0,18.0,47.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,2.7,4.7,119.0,1006.9,1006.9,3.12,3.8
2025-05-01 06:15:00+02:00,10.0,10.0,9.2,8.4,90.0,18.0,48.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,2.1,4.3,119.0,1006.8,1006.8,3.12,3.8
2025-05-01 06:20:00+02:00,10.1,10.1,9.4,8.6,90.0,17.9,48.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,1.7,4.0,81.0,1006.9,1006.9,3.12,3.8
2025-05-01 06:25:00+02:00,10.3,10.3,9.6,8.9,91.0,17.8,48.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,1.9,3.6,83.0,1006.9,1006.9,3.12,3.8
2025-05-01 06:30:00+02:00,10.3,10.3,9.6,9.0,91.0,17.8,48.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,2.8,4.7,129.0,1006.8,1006.8,3.12,3.8
2025-05-01 06:35:00+02:00,10.3,10.3,9.7,9.0,91.0,17.8,48.0,14.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,2.0,4.3,179.0,1006.9,1006.9,3.12,3.8
2025-05-01 06:40:00+02:00,10.5,10.5,9.9,9.0,90.0,17.7,48.0,16.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,2.0,4.7,170.0,1006.8,1006.8,3.12,3.8
2025-05-01 06:45:00+02:00,10.8,10.8,10.1,9.2,90.0,17.6,49.0,20.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,2.5,4.3,156.0,1006.8,1006.8,3.12,3.8
2025-05-01 06:50:00+02:00,11.2,11.2,10.7,9.4,89.0,17.6,49.0,22.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,1.8,4.3,143.0,1006.9,1006.9,3.12,3.8
2025-05-01 06:55:00+02:00,11.4,11.4,11.0,9.3,87.0,17.6,50.0,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,1.3,4.7,178.0,1006.9,1006.9,3.12,3.8
2025-05-01 07:00:00+02:00,11.9,11.9,11.0,9.4,85.0,17.6,50.0,26.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,4.0,7.2,116.0,1006.9,1006.9,3.12,3.8
2025-05-01 07:05:00+02:00,12.4,12.4,11.3,9.5,82.0,17.6,51.0,30.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,5.2,6.8,99.0,1006.9,1006.9,3.12,3.8
2025-05-01 07:10:00+02:00,12.4,12.4,11.5,9.4,82.0,17.6,51.0,34.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,4.2,7.2,100.0,1006.9,1006.9,3.12,3.8
2025-05-01 07:15:00+02:00,12.7,12.7,11.9,9.6,82.0,17.6,52.0,38.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,3.6,6.5,100.0,1006.9,1006.9,3.12,3.8
2025-05-01 07:20:00+02:00,13.1,13.1,12.6,9.9,81.0,17.6,52.0,42.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,2.3,4.3,146.0,1006.9,1006.9,3.12,3.8
2025-05-01 07:25:00+02:00,13.3,13.3,12.9,9.9,80.0,17.6,52.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,2.5,4.3,142.0,1006.8,1006.8,3.12,3.8
2025-05-01 07:30:00+02:00,13.6,13.6,13.3,10.0,79.0,17.7,53.0,48.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,2.2,4.0,121.0,1007.0,1007.0,3.12,3.8
2025-05-01 07:35:00+02:00,14.4,14.4,13.8,10.3,76.0,17.7,53.0,50.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,3.5,5.8,83.0,1007.0,1007.0,3.12,3.8
2025-05-01 07:40:00+02:00,14.3,14.3,13.7,10.3,77.0,17.8,53.0,52.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,3.6,5.4,81.0,1007.0,1007.0,3.12,3.9
2025-05-01 07:45:00+02:00,14.6,14.6,14.1,10.3,76.0,17.8,54.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,3.2,5.8,98.0,1007.1,1007.1,3.12,3.9
2025-05-01 07:50:00+02:00,14.9,14.9,14.5,10.6,75.0,17.8,54.0,58.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,3.3,5.8,100.0,1007.0,1007.0,3.12,3.9
2025-05-01 07:55:00+02:00,15.2,15.2,14.7,10.6,74.0,17.8,54.0,63.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,3.4,5.0,98.0,1007.0,1007.0,3.12,3.9
2025-05-01 08:00:00+02:00,15.0,15.0,14.7,10.6,75.0,17.9,54.0,69.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.4,2.7,5.4,92.0,1007.0,1007.0,3.12,3.9
