datetime,outdoor_temperature,outdoor_feels_like,outdoor_app_temp,outdoor_dew_point,outdoor_humidity,indoor_temperature,indoor_humidity,solar_and_uvi_solar,solar_and_uvi_uvi,rainfall_piezo_rain_rate,rainfall_piezo_daily,rainfall_piezo_event,rainfall_piezo_hourly,rainfall_piezo_weekly,rainfall_piezo_monthly,rainfall_piezo_yearly,wind_wind_speed,wind_wind_gust,wind_wind_direction,pressure_relative,pressure_absolute,battery_haptic_array_battery,battery_haptic_array_capacitor
2025-06-19 00:00:00+02:00,17.0,17.0,18.3,14.0,82.0,33.2,64.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,56.3,160.8,0.0,0.0,303.0,1012.2,1012.2,2.22,5.1
2025-06-19 00:05:00+02:00,16.8,16.8,17.9,13.9,83.0,33.1,64.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,56.3,160.8,0.8,2.2,302.0,1012.4,1012.4,2.22,5.1
2025-06-19 00:10:00+02:00,17.1,17.1,17.8,13.8,81.0,33.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,56.3,160.8,2.7,6.1,235.0,1012.3,1012.3,2.22,5.1
2025-06-19 00:15:00+02:00,17.3,17.3,18.4,14.0,81.0,32.9,64.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,56.3,160.8,0.7,2.2,357.0,1012.3,1012.3,2.22,5.1
2025-06-19 00:20:00+02:00,17.2,17.2,18.3,13.8,81.0,32.9,64.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,56.3,160.8,0.4,4.7,269.0,1012.4,1012.4,2.22,5.1
2025-06-19 00:25:00+02:00,17.4,17.4,18.1,13.9,80.0,32.7,64.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,56.3,160.8,2.9,5.8,241.0,1012.5,1012.5,2.22,5.1
2025-06-19 00:30:00+02:00,17.6,17.6,18.5,13.9,79.0,32.7,64.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,56.3,160.8,1.7,6.1,246.0,1012.5,1012.5,2.22,5.1
2025-06-19 00:35:00+02:00,17.6,17.6,18.5,14.1,80.0,32.6,64.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,56.3,160.8,1.9,4.3,241.0,1012.5,1012.5,2.22,5.1
2025-06-19 00:40:00+02:00,17.5,17.5,18.5,14.1,81.0,32.5,64.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,56.3,160.8,1.8,4.7,250.0,1012.5,1012.5,2.22,5.0
2025-06-19 00:45:00+02:00,17.5,17.5,18.1,14.0,80.0,32.5,63.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,56.3,160.8,3.1,9.0,234.0,1012.6,1012.6,2.22,5.0
2025-06-19 00:50:00+02:00,17.5,17.5,18.4,14.1,80.0,32.4,63.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,56.3,160.8,2.0,8.3,245.0,1012.5,1012.5,2.22,5.0
2025-06-19 00:55:00+02:00,17.5,17.5,18.5,14.0,80.0,32.3,63.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,56.3,160.8,1.2,8.3,230.0,1012.6,1012.6,2.22,5.0
2025-06-19 01:00:00+02:00,17.2,17.2,18.3,14.0,81.0,32.2,63.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,56.3,160.8,0.7,2.5,249.0,1012.7,1012.7,2.22,5.0
2025-06-19 01:05:00+02:00,16.9,16.9,18.1,13.9,82.0,32.1,63.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,56.3,160.8,0.0,1.8,241.0,1012.6,1012.6,2.22,5.0
2025-06-19 01:10:00+02:00,16.6,16.6,17.8,13.7,83.0,32.1,63.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,56.3,160.8,0.0,2.5,245.0,1012.8,1012.8,2.22,5.0
2025-06-19 01:15:00+02:00,16.3,16.3,17.5,13.6,84.0,32.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,56.3,160.8,0.0,2.2,269.0,1012.8,1012.8,2.22,5.0
2025-06-19 01:20:00+02:00,16.1,16.1,17.1,13.6,85.0,31.9,63.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,56.3,160.8,0.6,4.0,243.0,1012.8,1012.8,2.22,5.0
