datetime,outdoor_temperature,outdoor_feels_like,outdoor_app_temp,outdoor_dew_point,outdoor_humidity,indoor_temperature,indoor_humidity,indoor_dew_point,indoor_feels_like,indoor_app_tempin,solar_and_uvi_solar,solar_and_uvi_uvi,rainfall_piezo_rain_rate,rainfall_piezo_daily,rainfall_piezo_event,rainfall_piezo_1_hour,rainfall_piezo_weekly,rainfall_piezo_monthly,rainfall_piezo_yearly,wind_wind_speed,wind_wind_gust,wind_wind_direction,pressure_relative,pressure_absolute,battery_haptic_array_battery,battery_haptic_array_capacitor
2025-09-28 00:00:00+02:00,12.2,12.2,12.7,11.6,96.0,15.9,91.0,14.4,15.9,17.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,319.0,0.0,1.8,321.0,1010.2,1010.2,3.28,4.9
2025-09-28 00:05:00+02:00,12.3,12.3,12.8,11.7,96.0,15.9,91.0,14.4,15.9,17.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,319.0,0.0,1.8,319.0,1010.3,1010.3,3.28,4.9
2025-09-28 00:10:00+02:00,12.3,12.3,12.7,11.6,96.0,15.9,91.0,14.4,15.9,17.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,319.0,0.4,2.5,292.0,1010.3,1010.3,3.28,4.9
2025-09-28 00:15:00+02:00,12.3,12.3,12.8,11.7,96.0,15.8,91.0,14.4,15.8,17.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,319.0,0.0,0.0,333.0,1010.4,1010.4,3.28,4.9
2025-09-28 00:20:00+02:00,12.3,12.3,12.8,11.7,96.0,15.8,91.0,14.3,15.8,17.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,319.0,0.0,0.0,311.0,1010.2,1010.2,3.28,4.9
2025-09-28 00:25:00+02:00,12.4,12.3,12.9,11.7,96.0,15.8,91.0,14.3,15.8,17.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,319.0,0.0,2.2,279.0,1010.2,1010.2,3.28,4.9
2025-09-28 00:30:00+02:00,12.3,12.3,12.6,11.6,96.0,15.8,91.0,14.3,15.8,17.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,319.0,0.9,2.5,239.0,1010.2,1010.2,3.28,4.9
2025-09-28 00:35:00+02:00,12.3,12.3,12.8,11.7,96.0,15.8,91.0,14.3,15.8,17.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,319.0,0.0,2.5,241.0,1010.2,1010.2,3.28,4.9
2025-09-28 00:40:00+02:00,12.2,12.2,12.6,11.6,96.0,15.8,91.0,14.3,15.8,17.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,319.0,0.4,2.2,261.0,1010.2,1010.2,3.28,4.9
2025-09-28 00:45:00+02:00,12.2,12.2,12.5,11.6,96.0,15.7,91.0,14.2,15.7,17.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,319.0,1.2,2.5,262.0,1010.1,1010.1,3.28,4.9
2025-09-28 00:50:00+02:00,12.2,12.2,12.5,11.6,96.0,15.7,91.0,14.2,15.7,17.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,319.0,0.5,2.2,242.0,1010.0,1010.0,3.28,4.9
2025-09-28 00:55:00+02:00,12.1,12.1,12.5,11.7,97.0,15.7,91.0,14.2,15.7,17.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,319.0,0.6,2.9,287.0,1010.0,1010.0,3.28,4.9
2025-09-28 01:00:00+02:00,12.1,12.1,12.6,11.7,97.0,15.7,91.0,14.2,15.7,17.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,319.0,0.0,2.9,164.0,1010.0,1010.0,3.28,4.9
2025-09-28 01:05:00+02:00,12.2,12.2,12.6,11.7,97.0,15.7,91.0,14.2,15.7,17.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,319.0,0.4,2.2,289.0,1010.0,1010.0,3.28,4.9
2025-09-28 01:10:00+02:00,12.1,12.2,12.7,11.7,97.0,15.7,91.0,14.2,15.7,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,319.0,0.0,2.5,297.0,1010.1,1010.1,3.28,4.9
2025-09-28 01:15:00+02:00,12.2,12.2,12.7,11.7,97.0,15.6,91.0,14.1,15.6,16.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,319.0,0.0,1.8,323.0,1010.1,1010.1,3.28,4.8
2025-09-28 01:20:00+02:00,12.2,12.2,12.7,11.7,97.0,15.6,91.0,14.1,15.6,16.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,319.0,0.4,2.2,343.0,1010.0,1010.0,3.28,4.8
2025-09-28 01:25:00+02:00,12.1,12.1,12.6,11.7,97.0,15.6,91.0,14.1,15.6,16.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,319.0,0.0,2.2,316.0,1010.0,1010.0,3.28,4.8
2025-09-28 01:30:00+02:00,12.0,12.0,12.5,11.6,97.0,15.6,91.0,14.1,15.6,16.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,319.0,0.0,1.8,308.0,1009.9,1009.9,3.28,4.8
2025-09-28 01:35:00+02:00,12.0,12.0,12.5,11.5,97.0,15.6,91.0,14.1,15.6,16.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,319.0,0.0,2.2,306.0,1009.9,1009.9,3.28,4.8
2025-09-28 01:40:00+02:00,11.9,11.9,12.3,11.4,97.0,15.5,91.0,14.1,15.5,16.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,319.0,0.0,1.8,315.0,1009.9,1009.9,3.28,4.8
2025-09-28 01:45:00+02:00,11.8,11.8,12.2,11.3,97.0,15.5,91.0,14.1,15.5,16.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,319.0,0.4,2.2,325.0,1009.9,1009.9,3.28,4.8
2025-09-28 01:50:00+02:00,11.7,11.7,12.1,11.3,97.0,15.5,91.0,14.1,15.5,16.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,319.0,0.4,2.5,308.0,1010.0,1010.0,3.28,4.8
2025-09-28 01:55:00+02:00,11.6,11.6,11.9,11.1,97.0,15.5,91.0,14.0,15.5,16.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,319.0,0.0,2.2,319.0,1009.9,1009.9,3.28,4.8
2025-09-28 02:00:00+02:00,11.5,11.5,11.8,11.0,97.0,15.4,91.0,13.9,15.4,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,319.0,0.0,1.8,315.0,1010.0,1010.0,3.28,4.8
2025-09-28 02:05:00+02:00,11.3,11.3,11.6,10.9,97.0,15.4,91.0,13.9,15.4,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,319.0,0.0,1.8,292.0,1009.9,1009.9,3.28,4.8
2025-09-28 02:10:00+02:00,11.0,11.0,11.0,10.6,97.0,15.4,91.0,13.9,15.4,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,319.0,0.9,2.9,261.0,1009.9,1009.9,3.28,4.8
2025-09-28 02:15:00+02:00,11.0,11.0,10.9,10.6,97.0,15.4,91.0,13.9,15.3,16.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,319.0,1.5,3.2,258.0,1009.9,1009.9,3.28,4.8
2025-09-28 02:20:00+02:00,10.8,10.8,10.9,10.3,97.0,15.3,91.0,13.8,15.3,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,319.0,0.0,1.8,295.0,1010.0,1010.0,3.28,4.8
2025-09-28 02:25:00+02:00,10.6,10.7,10.7,10.2,97.0,15.3,90.0,13.7,15.3,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,319.0,0.0,1.8,311.0,1009.9,1009.9,3.28,4.8
2025-09-28 02:30:00+02:00,10.8,10.8,10.5,10.3,97.0,15.3,90.0,13.6,15.3,16.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,319.0,1.9,3.2,242.0,1009.9,1009.9,3.28,4.8
2025-09-28 02:35:00+02:00,10.7,10.7,10.6,10.3,97.0,15.2,90.0,13.6,15.2,16.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,319.0,1.3,3.2,261.0,1010.0,1010.0,3.28,4.8
2025-09-28 02:40:00+02:00,10.5,10.5,10.5,10.0,97.0,15.2,90.0,13.5,15.2,16.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,319.0,0.0,2.2,297.0,1010.0,1010.0,3.28,4.8
2025-09-28 02:45:00+02:00,10.3,10.3,10.2,9.8,97.0,15.1,90.0,13.5,15.1,16.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,319.0,0.4,1.8,304.0,1010.1,1010.1,3.28,4.7
2025-09-28 02:50:00+02:00,10.3,10.3,10.3,9.9,97.0,15.1,90.0,13.5,15.1,16.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,319.0,0.4,2.2,313.0,1010.1,1010.1,3.28,4.7
2025-09-28 02:55:00+02:00,10.3,10.3,10.2,9.9,97.0,15.1,90.0,13.5,15.1,16.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,319.0,0.4,2.2,308.0,1010.1,1010.1,3.28,4.7
2025-09-28 03:00:00+02:00,10.3,10.3,10.3,9.9,97.0,15.0,90.0,13.4,15.0,16.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,319.0,0.0,0.0,32.0,1010.2,1010.2,3.28,4.7
2025-09-28 03:05:00+02:00,10.3,10.3,10.3,9.9,97.0,15.0,90.0,13.4,15.0,16.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,319.0,0.0,0.0,32.0,1010.1,1010.1,3.28,4.7
2025-09-28 03:10:00+02:00,10.3,10.3,10.3,9.8,97.0,15.0,90.0,13.4,15.0,16.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,319.0,0.0,0.0,311.0,1010.1,1010.1,3.28,4.7
2025-09-28 03:15:00+02:00,10.2,10.2,10.2,9.7,97.0,14.9,90.0,13.3,14.9,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,319.0,0.0,1.8,316.0,1010.2,1010.2,3.28,4.7
2025-09-28 03:20:00+02:00,10.0,10.0,10.0,9.6,97.0,14.9,90.0,13.3,14.9,15.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,319.0,0.0,0.0,307.0,1010.1,1010.1,3.28,4.7
2025-09-28 03:25:00+02:00,10.0,10.0,9.9,9.5,97.0,14.9,90.0,13.3,14.9,15.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,319.0,0.0,1.8,310.0,1010.1,1010.1,3.28,4.7
2025-09-28 03:30:00+02:00,9.9,9.9,9.8,9.5,97.0,14.9,90.0,13.2,14.8,15.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,319.0,0.0,1.8,294.0,1010.2,1010.2,3.28,4.7
2025-09-28 03:35:00+02:00,10.0,10.0,10.0,9.6,97.0,14.8,90.0,13.2,14.8,15.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,319.0,0.0,1.8,316.0,1010.1,1010.1,3.28,4.7
2025-09-28 03:40:00+02:00,9.9,9.9,9.8,9.5,97.0,14.8,90.0,13.2,14.8,15.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,319.0,0.0,0.0,313.0,1010.1,1010.1,3.28,4.7
2025-09-28 03:45:00+02:00,9.9,9.9,9.8,9.4,97.0,14.7,90.0,13.1,14.7,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,319.0,0.0,0.0,312.0,1010.1,1010.1,3.28,4.7
2025-09-28 03:50:00+02:00,9.8,9.8,9.5,9.3,97.0,14.7,90.0,13.1,14.7,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,319.0,0.8,2.2,269.0,1010.1,1010.1,3.28,4.7
2025-09-28 03:55:00+02:00,9.7,9.7,9.6,9.2,97.0,14.7,90.0,13.1,14.7,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,319.0,0.0,2.2,284.0,1010.2,1010.2,3.28,4.7
2025-09-28 04:00:00+02:00,9.5,9.5,9.3,9.0,97.0,14.7,90.0,13.1,14.7,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,319.0,0.0,0.0,283.0,1010.2,1010.2,3.28,4.7
2025-09-28 04:05:00+02:00,9.5,9.5,9.4,9.1,97.0,14.6,90.0,13.0,14.7,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,319.0,0.0,1.8,304.0,1010.1,1010.1,3.28,4.7
2025-09-28 04:10:00+02:00,9.5,9.5,9.3,9.1,97.0,14.6,90.0,13.0,14.6,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,319.0,0.0,0.0,302.0,1010.1,1010.1,3.28,4.7
2025-09-28 04:15:00+02:00,9.3,9.3,9.0,8.8,97.0,14.6,90.0,13.0,14.6,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,319.0,0.4,1.8,241.0,1010.2,1010.2,3.28,4.6
