datetime,outdoor_temperature,outdoor_feels_like,outdoor_app_temp,outdoor_dew_point,outdoor_humidity,indoor_temperature,indoor_humidity,solar_and_uvi_solar,solar_and_uvi_uvi,rainfall_piezo_rain_rate,rainfall_piezo_daily,rainfall_piezo_event,rainfall_piezo_hourly,rainfall_piezo_weekly,rainfall_piezo_monthly,rainfall_piezo_yearly,wind_wind_speed,wind_wind_gust,wind_wind_direction,pressure_relative,pressure_absolute,battery_haptic_array_battery,battery_haptic_array_capacitor
2024-09-25 00:00:00+02:00,14.2,14.2,14.8,13.3,94.0,18.8,61.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,43.8,448.4,2.2,9.4,218.0,990.7,990.7,3.1,4.9
2024-09-25 00:05:00+02:00,14.2,14.2,14.5,13.3,94.0,18.8,61.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,43.8,448.4,3.7,7.2,223.0,990.8,990.8,3.1,4.9
2024-09-25 00:10:00+02:00,14.2,14.2,14.4,13.2,94.0,18.8,61.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,43.8,448.4,4.3,10.1,218.0,990.7,990.7,3.1,4.9
2024-09-25 00:15:00+02:00,14.2,14.2,14.7,13.2,93.0,18.8,61.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,43.8,448.4,2.7,19.1,226.0,990.8,990.8,3.1,4.9
2024-09-25 00:20:00+02:00,14.2,14.2,14.8,13.1,93.0,18.7,61.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,43.8,448.4,2.1,8.3,204.0,990.7,990.7,3.1,4.9
2024-09-25 00:25:00+02:00,14.2,14.2,14.5,13.1,93.0,18.7,61.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,43.8,448.4,3.7,9.0,230.0,990.8,990.8,3.1,4.8
2024-09-25 00:30:00+02:00,14.2,14.2,14.5,13.1,93.0,18.7,61.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,43.8,448.4,3.6,9.0,222.0,990.7,990.7,3.1,4.8
2024-09-25 00:35:00+02:00,14.2,14.2,14.4,13.1,93.0,18.6,61.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,43.8,448.4,3.7,10.4,206.0,990.9,990.9,3.1,4.8
2024-09-25 00:40:00+02:00,14.2,14.2,14.9,13.1,93.0,18.6,61.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,43.8,448.4,1.2,7.6,213.0,990.8,990.8,3.1,4.8
2024-09-25 00:45:00+02:00,14.2,14.2,14.7,13.2,94.0,18.6,61.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,43.8,448.4,2.5,5.0,250.0,990.9,990.9,3.1,4.8
2024-09-25 00:50:00+02:00,14.2,14.2,14.6,13.1,93.0,18.6,61.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,43.8,448.4,2.6,6.5,233.0,990.8,990.8,3.1,4.8
