datetime,outdoor_temperature,outdoor_feels_like,outdoor_app_temp,outdoor_dew_point,outdoor_humidity,indoor_temperature,indoor_humidity,pressure_relative,pressure_absolute
2024-12-03 00:00:00+01:00,,,,,,8.8,76.0,997.7,997.7
2024-12-03 00:05:00+01:00,,,,,,8.8,76.0,997.7,997.7
2024-12-03 00:10:00+01:00,,,,,,8.8,76.0,997.8,997.8
2024-12-03 00:15:00+01:00,,,,,,8.8,76.0,997.8,997.8
2024-12-03 00:20:00+01:00,,,,,,8.8,76.0,997.9,997.9
2024-12-03 00:25:00+01:00,,,,,,8.8,76.0,997.9,997.9
2024-12-03 00:30:00+01:00,,,,,,8.8,76.0,997.8,997.8
2024-12-03 00:35:00+01:00,,,,,,8.8,76.0,997.8,997.8
2024-12-03 00:40:00+01:00,,,,,,8.8,76.0,997.7,997.7
2024-12-03 00:45:00+01:00,,,,,,8.8,76.0,997.8,997.8
2024-12-03 00:50:00+01:00,,,,,,8.8,76.0,997.9,997.9
2024-12-03 00:55:00+01:00,,,,,,8.8,76.0,997.8,997.8
2024-12-03 01:00:00+01:00,,,,,,8.8,76.0,997.8,997.8
2024-12-03 01:05:00+01:00,,,,,,8.8,76.0,997.8,997.8
2024-12-03 01:10:00+01:00,,,,,,8.8,76.0,997.8,997.8
2024-12-03 01:15:00+01:00,,,,,,8.8,76.0,997.7,997.7
2024-12-03 01:20:00+01:00,,,,,,8.8,76.0,997.8,997.8
2024-12-03 01:25:00+01:00,,,,,,8.8,76.0,997.8,997.8
2024-12-03 01:30:00+01:00,,,,,,8.8,76.0,997.8,997.8
2024-12-03 01:35:00+01:00,,,,,,8.8,76.0,997.8,997.8
2024-12-03 01:40:00+01:00,,,,,,8.7,76.0,997.8,997.8
2024-12-03 01:45:00+01:00,,,,,,8.7,76.0,997.8,997.8
2024-12-03 01:50:00+01:00,,,,,,8.7,76.0,997.8,997.8
2024-12-03 01:55:00+01:00,,,,,,8.7,76.0,997.8,997.8
2024-12-03 02:00:00+01:00,,,,,,8.7,76.0,997.7,997.7
2024-12-03 02:05:00+01:00,,,,,,8.7,76.0,997.7,997.7
