datetime,outdoor_temperature,outdoor_feels_like,outdoor_app_temp,outdoor_dew_point,outdoor_humidity,indoor_temperature,indoor_humidity,indoor_dew_point,indoor_feels_like,indoor_app_tempin,solar_and_uvi_solar,solar_and_uvi_uvi,rainfall_piezo_rain_rate,rainfall_piezo_daily,rainfall_piezo_event,rainfall_piezo_1_hour,rainfall_piezo_weekly,rainfall_piezo_monthly,rainfall_piezo_yearly,wind_wind_speed,wind_wind_gust,wind_wind_direction,pressure_relative,pressure_absolute,battery_haptic_array_battery,battery_haptic_array_capacitor
2025-10-04 00:00:00+02:00,9.3,8.7,7.6,7.6,89.0,17.7,41.0,4.3,17.7,16.5,0.0,0.0,0.6,0.0,1.5,1.1,1.6,1.6,705.3,6.0,14.8,264.0,995.4,995.4,2.86,4.6
2025-10-04 00:05:00+02:00,9.4,8.7,7.6,7.7,89.0,17.7,41.0,4.3,17.7,16.4,0.0,0.0,0.6,0.0,1.5,1.0,1.6,1.6,705.3,6.5,12.2,297.0,995.1,995.1,2.86,4.6
2025-10-04 00:10:00+02:00,9.4,8.7,7.6,7.7,89.0,17.6,41.0,4.2,17.6,16.4,0.0,0.0,0.0,0.0,1.5,0.9,1.6,1.6,705.3,6.5,11.9,268.0,994.9,994.9,2.86,4.6
2025-10-04 00:15:00+02:00,9.5,8.5,7.4,7.7,89.0,17.6,41.0,4.2,17.6,16.3,0.0,0.0,0.0,0.0,1.5,0.8,1.6,1.6,705.3,7.7,13.3,306.0,994.9,994.9,2.86,4.6
2025-10-04 00:20:00+02:00,9.5,9.4,8.2,7.8,89.0,17.5,41.0,4.2,17.5,16.2,0.0,0.0,0.0,0.0,1.5,0.6,1.6,1.6,705.3,4.0,9.0,268.0,994.7,994.7,2.86,4.6
2025-10-04 00:25:00+02:00,9.6,9.0,8.0,7.7,88.0,17.4,42.0,4.3,17.4,16.2,0.0,0.0,0.0,0.0,1.5,0.5,1.6,1.6,705.3,5.5,23.8,315.0,994.7,994.7,2.86,4.6
2025-10-04 00:30:00+02:00,9.7,9.2,8.2,8.0,89.0,17.4,42.0,4.3,17.3,16.1,0.0,0.0,0.6,0.1,1.6,0.5,1.7,1.7,705.4,5.2,13.3,274.0,994.6,994.6,2.86,4.6
2025-10-04 00:35:00+02:00,9.7,9.1,8.1,8.0,89.0,17.3,42.0,4.3,17.3,16.1,0.0,0.0,0.6,0.1,1.6,0.4,1.7,1.7,705.4,5.7,16.6,252.0,994.6,994.6,2.86,4.6
2025-10-04 00:40:00+02:00,9.7,9.4,8.3,8.1,89.0,17.2,42.0,4.2,17.2,16.0,0.0,0.0,0.6,0.2,1.7,0.4,1.8,1.8,705.5,4.8,12.2,290.0,994.5,994.5,2.86,4.5
2025-10-04 00:45:00+02:00,9.8,9.2,8.2,8.0,89.0,17.2,42.0,4.2,17.2,15.9,0.0,0.0,0.6,0.2,1.7,0.3,1.8,1.8,705.5,6.0,22.0,232.0,994.3,994.3,2.86,4.5
