datetime,outdoor_temperature,outdoor_feels_like,outdoor_app_temp,outdoor_dew_point,outdoor_humidity,indoor_temperature,indoor_humidity,pressure_relative,pressure_absolute
2024-12-01 01:00:00+01:00,,,,,,4.6,73.0,1010.3,1010.3
2024-12-01 01:05:00+01:00,,,,,,4.6,73.0,1010.3,1010.3
2024-12-01 01:10:00+01:00,,,,,,4.6,73.0,1010.2,1010.2
2024-12-01 01:15:00+01:00,,,,,,4.5,73.0,1010.2,1010.2
2024-12-01 01:20:00+01:00,,,,,,4.5,73.0,1010.2,1010.2
2024-12-01 01:25:00+01:00,,,,,,4.5,73.0,1010.1,1010.1
2024-12-01 01:30:00+01:00,,,,,,4.5,73.0,1010.1,1010.1
2024-12-01 01:35:00+01:00,,,,,,4.5,73.0,1010.0,1010.0
2024-12-01 01:40:00+01:00,,,,,,4.4,73.0,1010.0,1010.0
2024-12-01 01:45:00+01:00,,,,,,4.4,73.0,1009.9,1009.9
2024-12-01 01:50:00+01:00,,,,,,4.4,73.0,1010.0,1010.0
2024-12-01 01:55:00+01:00,,,,,,4.4,73.0,1010.0,1010.0
2024-12-01 02:00:00+01:00,,,,,,4.4,73.0,1009.9,1009.9
2024-12-01 02:05:00+01:00,,,,,,4.4,73.0,1009.8,1009.8
2024-12-01 02:10:00+01:00,,,,,,4.3,73.0,1009.9,1009.9
2024-12-01 02:15:00+01:00,,,,,,4.3,73.0,1009.9,1009.9
2024-12-01 02:20:00+01:00,,,,,,4.3,73.0,1009.8,1009.8
2024-12-01 02:25:00+01:00,,,,,,4.2,72.0,1009.9,1009.9
2024-12-01 02:30:00+01:00,,,,,,4.2,72.0,1009.8,1009.8
2024-12-01 02:35:00+01:00,,,,,,4.2,72.0,1009.9,1009.9
2024-12-01 02:40:00+01:00,,,,,,4.1,72.0,1009.8,1009.8
2024-12-01 02:45:00+01:00,,,,,,4.1,72.0,1009.7,1009.7
2024-12-01 02:50:00+01:00,,,,,,4.1,72.0,1009.7,1009.7
2024-12-01 02:55:00+01:00,,,,,,4.1,72.0,1009.7,1009.7
2024-12-01 03:00:00+01:00,,,,,,4.1,72.0,1009.6,1009.6
2024-12-01 03:05:00+01:00,,,,,,4.0,72.0,1009.6,1009.6
2024-12-01 03:10:00+01:00,,,,,,4.0,72.0,1009.6,1009.6
2024-12-01 03:15:00+01:00,,,,,,4.0,72.0,1009.5,1009.5
2024-12-01 03:20:00+01:00,,,,,,4.0,72.0,1009.4,1009.4
2024-12-01 03:25:00+01:00,,,,,,3.9,72.0,1009.4,1009.4
2024-12-01 03:30:00+01:00,,,,,,3.9,72.0,1009.4,1009.4
2024-12-01 03:35:00+01:00,,,,,,3.8,71.0,1009.3,1009.3
2024-12-01 03:40:00+01:00,,,,,,3.8,72.0,1009.3,1009.3
2024-12-01 03:45:00+01:00,,,,,,3.9,72.0,1009.3,1009.3
2024-12-01 03:50:00+01:00,,,,,,3.8,72.0,1009.3,1009.3
2024-12-01 03:55:00+01:00,,,,,,3.8,72.0,1009.4,1009.4
2024-12-01 04:00:00+01:00,,,,,,3.8,72.0,1009.4,1009.4
2024-12-01 04:05:00+01:00,,,,,,3.8,72.0,1009.3,1009.3
2024-12-01 04:10:00+01:00,,,,,,3.8,72.0,1009.3,1009.3
2024-12-01 04:15:00+01:00,,,,,,3.8,72.0,1009.1,1009.1
2024-12-01 04:20:00+01:00,,,,,,3.8,72.0,1009.2,1009.2
2024-12-01 04:25:00+01:00,,,,,,3.8,73.0,1009.1,1009.1
2024-12-01 04:30:00+01:00,,,,,,3.8,73.0,1009.2,1009.2
2024-12-01 04:35:00+01:00,,,,,,3.8,73.0,1009.1,1009.1
2024-12-01 04:40:00+01:00,,,,,,3.7,73.0,1009.1,1009.1
2024-12-01 04:45:00+01:00,,,,,,3.7,73.0,1008.9,1008.9
2024-12-01 04:50:00+01:00,,,,,,3.7,73.0,1008.9,1008.9
2024-12-01 04:55:00+01:00,,,,,,3.7,73.0,1008.8,1008.8
2024-12-01 05:00:00+01:00,,,,,,3.7,73.0,1008.8,1008.8
2024-12-01 05:05:00+01:00,,,,,,3.6,73.0,1008.7,1008.7
2024-12-01 05:10:00+01:00,,,,,,3.6,73.0,1008.7,1008.7
2024-12-01 05:15:00+01:00,,,,,,3.6,73.0,1008.6,1008.6
2024-12-01 05:20:00+01:00,,,,,,3.6,73.0,1008.6,1008.6
2024-12-01 05:25:00+01:00,,,,,,3.6,73.0,1008.6,1008.6
2024-12-01 05:30:00+01:00,,,,,,3.6,73.0,1008.5,1008.5
2024-12-01 05:35:00+01:00,,,,,,3.6,73.0,1008.5,1008.5
2024-12-01 05:40:00+01:00,,,,,,3.5,73.0,1008.5,1008.5
2024-12-01 05:45:00+01:00,,,,,,3.5,73.0,1008.4,1008.4
2024-12-01 05:50:00+01:00,,,,,,3.5,73.0,1008.4,1008.4
2024-12-01 05:55:00+01:00,,,,,,3.5,73.0,1008.4,1008.4
2024-12-01 06:00:00+01:00,,,,,,3.5,73.0,1008.3,1008.3
2024-12-01 06:05:00+01:00,,,,,,3.5,73.0,1008.2,1008.2
2024-12-01 06:10:00+01:00,,,,,,3.5,73.0,1008.3,1008.3
2024-12-01 06:15:00+01:00,,,,,,3.4,73.0,1008.1,1008.1
2024-12-01 06:20:00+01:00,,,,,,3.4,73.0,1008.1,1008.1
2024-12-01 06:25:00+01:00,,,,,,3.4,73.0,1008.0,1008.0
2024-12-01 06:30:00+01:00,,,,,,3.4,73.0,1008.0,1008.0
2024-12-01 06:35:00+01:00,,,,,,3.4,73.0,1007.9,1007.9
2024-12-01 06:40:00+01:00,,,,,,3.4,73.0,1007.8,1007.8
2024-12-01 06:45:00+01:00,,,,,,3.4,73.0,1007.7,1007.7
