datetime,outdoor_temperature,outdoor_feels_like,outdoor_app_temp,outdoor_dew_point,outdoor_humidity,indoor_temperature,indoor_humidity,solar_and_uvi_solar,solar_and_uvi_uvi,rainfall_piezo_rain_rate,rainfall_piezo_daily,rainfall_piezo_event,rainfall_piezo_hourly,rainfall_piezo_weekly,rainfall_piezo_monthly,rainfall_piezo_yearly,wind_wind_speed,wind_wind_gust,wind_wind_direction,pressure_relative,pressure_absolute,battery_haptic_array_battery,battery_haptic_array_capacitor,indoor_dew_point,indoor_feels_like,indoor_app_tempin,rainfall_piezo_1_hour
2025-09-01 02:00:00+02:00,18.0,18.0,19.8,16.7,92.0,26.6,47.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,655.6,2.2,7.9,220.0,993.1,993.1,2.86,4.8,,,,
2025-09-01 02:05:00+02:00,18.0,18.0,19.9,16.7,92.0,26.5,47.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,655.6,1.8,7.9,214.0,993.1,993.1,2.86,4.8,,,,
2025-09-01 02:10:00+02:00,17.9,17.9,19.7,16.8,93.0,26.5,47.0,0.0,0.0,0.6,0.3,0.3,0.3,0.3,0.3,655.7,2.4,5.0,220.0,993.1,993.1,2.86,4.8,,,,
2025-09-01 02:15:00+02:00,17.9,17.9,19.8,16.8,93.0,26.5,47.0,0.0,0.0,0.6,0.3,0.3,0.3,0.3,0.3,655.7,2.0,6.1,205.0,993.1,993.1,2.86,4.8,,,,
2025-09-01 02:20:00+02:00,17.8,17.8,19.7,16.7,93.0,26.4,47.0,0.0,0.0,0.6,0.3,0.3,0.3,0.3,0.3,655.7,2.2,6.5,194.0,993.0,993.0,2.86,4.8,,,,
2025-09-01 02:25:00+02:00,17.8,17.8,19.6,16.8,94.0,26.4,47.0,0.0,0.0,0.6,0.4,0.4,0.3,0.4,0.4,655.8,2.5,7.9,234.0,993.1,993.1,2.86,4.8,,,,
2025-09-01 02:30:00+02:00,17.8,17.8,19.9,16.8,94.0,26.4,47.0,0.0,0.0,0.6,0.4,0.4,0.3,0.4,0.4,655.8,1.0,6.1,237.0,993.0,993.0,2.86,4.8,,,,
2025-09-01 02:35:00+02:00,17.7,17.7,19.6,16.9,95.0,26.3,47.0,0.0,0.0,0.6,0.4,0.4,0.3,0.4,0.4,655.8,2.3,5.0,220.0,993.0,993.0,2.86,4.8,,,,
2025-09-01 02:40:00+02:00,17.7,17.7,19.8,16.9,95.0,26.3,47.0,0.0,0.0,0.0,0.4,0.4,0.2,0.4,0.4,655.8,1.2,4.3,260.0,992.8,992.8,2.86,4.8,,,,
2025-09-01 02:45:00+02:00,17.6,17.7,19.6,16.8,95.0,26.3,47.0,0.0,0.0,0.6,0.5,0.5,0.3,0.5,0.5,655.9,1.7,6.5,230.0,992.9,992.9,2.86,4.7,,,,
