datetime,outdoor_temperature,outdoor_feels_like,outdoor_app_temp,outdoor_dew_point,outdoor_humidity,indoor_temperature,indoor_humidity,solar_and_uvi_solar,solar_and_uvi_uvi,rainfall_piezo_rain_rate,rainfall_piezo_daily,rainfall_piezo_event,rainfall_piezo_hourly,rainfall_piezo_weekly,rainfall_piezo_monthly,rainfall_piezo_yearly,wind_wind_speed,wind_wind_gust,wind_wind_direction,pressure_relative,pressure_absolute,battery_haptic_array_battery,battery_haptic_array_capacitor
2024-04-12 14:39:28+02:00,20.2,20.2,20.7,11.4,57.0,20.3,55.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,34.0,1020.1,1020.1,3.16,0.2
2024-04-13 08:49:36+02:00,16.1,16.1,16.1,12.4,79.0,14.9,88.0,169.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,7.9,60.0,1021.5,1021.5,2.66,0.6
2024-04-13 09:04:32+02:00,16.7,16.7,17.0,12.6,77.0,15.3,86.0,177.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,10.1,70.0,1021.4,1021.4,2.66,0.8
2024-04-13 09:10:56+02:00,16.7,16.7,16.0,12.4,76.0,15.0,88.0,205.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,19.1,46.0,1021.2,1021.2,2.66,0.8
2024-04-13 09:15:12+02:00,16.9,16.9,16.1,12.4,75.0,14.9,90.0,229.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9,19.1,47.0,1021.2,1021.2,2.66,0.9
2024-04-13 09:19:28+02:00,17.0,17.0,15.7,12.4,74.0,15.0,90.0,265.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,19.4,53.0,1021.1,1021.1,2.66,0.9
2024-04-13 09:25:52+02:00,17.2,17.2,17.1,12.5,74.0,15.1,91.0,276.6,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,13.0,49.0,1021.0,1021.0,2.66,1.0
2024-04-13 09:30:08+02:00,17.4,17.4,16.7,12.6,73.0,15.2,91.0,277.3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9,15.1,37.0,1021.1,1021.1,2.66,1.0
2024-04-13 09:34:24+02:00,17.4,17.4,16.8,12.6,73.0,15.3,92.0,291.6,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,18.4,29.0,1020.9,1020.9,2.66,1.1
2024-04-13 09:40:48+02:00,17.7,17.7,17.8,12.8,73.0,15.4,92.0,268.9,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.8,43.0,1020.9,1020.9,2.66,1.1
2024-04-13 09:45:04+02:00,17.7,17.7,16.9,12.6,72.0,15.5,92.0,284.1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,14.4,44.0,1020.9,1020.9,2.66,1.2
2024-04-13 09:49:20+02:00,17.7,17.7,17.6,12.7,72.0,15.6,92.0,270.1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,15.5,35.0,1020.9,1020.9,2.66,1.2
2024-04-13 09:55:44+02:00,17.8,17.8,17.7,12.8,72.0,15.7,92.0,310.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,19.1,54.0,1020.9,1020.9,2.66,1.3
2024-04-13 10:00:00+02:00,17.8,17.8,17.5,12.7,72.0,15.9,92.0,347.8,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,19.1,40.0,1020.8,1020.8,2.66,1.3
2024-04-13 10:04:16+02:00,17.9,17.8,17.1,12.6,71.0,16.0,93.0,377.8,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,18.0,54.0,1020.9,1020.9,2.66,1.4
2024-04-13 10:10:40+02:00,18.1,18.1,17.5,12.7,71.0,16.2,93.0,387.4,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,16.2,22.0,1020.7,1020.7,2.66,1.4
2024-04-13 10:14:56+02:00,18.2,18.2,16.9,12.7,70.0,16.3,93.0,396.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,21.2,30.0,1020.9,1020.9,2.66,1.5
2024-04-13 10:19:12+02:00,18.3,18.3,17.5,12.9,70.0,16.4,92.0,459.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,19.1,36.0,1020.8,1020.8,2.66,1.5
2024-04-13 10:25:36+02:00,18.5,18.5,17.6,13.0,70.0,16.6,92.0,459.6,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4,28.1,63.0,1020.8,1020.8,2.66,1.6
2024-04-13 10:29:52+02:00,18.6,18.6,18.1,12.9,69.0,16.8,92.0,444.6,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,28.1,74.0,1020.7,1020.7,2.66,1.6
2024-04-13 10:34:08+02:00,18.6,18.6,18.2,13.0,70.0,17.0,92.0,448.9,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,20.2,32.0,1020.6,1020.6,2.66,1.8
2024-04-13 10:40:32+02:00,18.8,18.8,18.9,13.1,70.0,17.1,92.0,351.7,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,19.1,36.0,1020.6,1020.6,2.66,1.8
2024-04-13 10:44:48+02:00,18.5,18.5,17.7,12.8,70.0,17.3,92.0,466.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,19.1,48.0,1020.7,1020.7,2.66,1.9
2024-04-13 10:49:04+02:00,18.7,18.7,17.9,12.9,69.0,17.4,92.0,498.7,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,19.8,53.0,1020.6,1020.6,2.66,1.9
2024-04-13 10:55:28+02:00,18.7,18.7,18.5,12.9,69.0,17.6,92.0,431.8,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,12.2,59.0,1020.5,1020.5,2.66,2.0
2024-04-13 10:59:44+02:00,19.0,19.0,18.5,13.3,70.0,17.7,92.0,397.2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,13.7,22.0,1020.4,1020.4,2.66,2.0
2024-04-13 11:04:00+02:00,19.0,19.0,18.9,13.1,69.0,17.8,92.0,363.9,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,11.2,50.0,1020.4,1020.4,2.66,2.1
2024-04-13 11:10:24+02:00,19.0,19.0,18.9,13.2,69.0,17.9,92.0,468.1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,17.3,53.0,1020.4,1020.4,2.66,2.1
2024-04-13 11:14:40+02:00,19.0,19.0,18.5,13.2,69.0,18.1,92.0,522.6,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,20.2,37.0,1020.3,1020.3,2.66,2.2
2024-04-13 11:18:56+02:00,19.3,19.3,19.1,13.3,68.0,18.2,92.0,550.9,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,19.8,26.0,1020.3,1020.3,2.66,2.2
2024-04-13 11:25:20+02:00,19.7,19.7,19.7,13.5,68.0,18.4,92.0,499.2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,18.7,55.0,1020.3,1020.3,2.66,2.4
2024-04-13 11:29:36+02:00,19.6,19.6,18.7,13.2,67.0,18.5,92.0,498.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4,17.3,40.0,1020.2,1020.2,2.66,2.4
2024-04-13 11:36:00+02:00,19.6,19.6,18.7,13.2,67.0,18.7,92.0,446.8,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,18.7,23.0,1020.2,1020.2,2.66,2.5
2024-04-13 11:40:16+02:00,19.6,19.7,18.9,13.3,67.0,18.8,92.0,454.2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,15.8,19.0,1020.1,1020.1,2.66,2.5
2024-04-13 11:44:32+02:00,19.9,19.9,19.7,13.4,66.0,19.0,92.0,483.6,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,17.6,49.0,1020.1,1020.1,2.7,2.6
2024-04-13 11:50:56+02:00,20.0,20.0,19.9,13.4,66.0,19.1,92.0,496.6,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,20.5,66.0,1019.9,1019.9,2.7,2.6
2024-04-13 11:55:12+02:00,20.3,20.3,19.8,13.7,66.0,19.2,92.0,513.8,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,20.5,19.0,1019.9,1019.9,2.7,2.7
2024-04-13 11:59:28+02:00,20.3,20.3,20.0,13.6,65.0,19.3,91.0,533.7,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4,20.5,34.0,1019.8,1019.8,2.7,2.7
2024-04-13 12:05:52+02:00,20.2,20.2,19.5,13.5,66.0,19.5,91.0,528.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,23.8,58.0,1019.9,1019.9,2.7,2.8
2024-04-13 12:10:08+02:00,20.5,20.5,20.1,13.6,65.0,19.6,91.0,563.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,16.6,57.0,1019.8,1019.8,2.7,2.8
2024-04-13 12:14:24+02:00,21.0,21.0,20.5,13.8,64.0,19.7,91.0,597.8,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,21.6,64.0,1019.7,1019.7,2.7,3.0
2024-04-13 12:20:48+02:00,20.8,20.8,20.4,13.8,64.0,19.9,91.0,630.3,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,16.2,40.0,1019.7,1019.7,2.7,3.0
2024-04-13 12:25:04+02:00,21.0,21.0,20.7,14.0,64.0,20.0,91.0,664.4,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,14.4,69.0,1019.6,1019.6,2.7,3.1
2024-04-13 12:29:20+02:00,20.9,20.9,20.0,13.5,63.0,20.2,90.0,586.7,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2,21.2,37.0,1019.5,1019.5,2.7,3.1
2024-04-13 12:35:44+02:00,20.9,20.9,20.1,13.6,63.0,20.4,90.0,636.9,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.1,21.2,20.0,1019.2,1019.2,2.7,3.2
2024-04-13 12:40:00+02:00,21.3,21.3,20.5,13.8,62.0,20.5,90.0,669.1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3,22.7,26.0,1019.1,1019.1,2.7,3.2
2024-04-13 12:44:16+02:00,21.2,21.2,20.1,13.9,63.0,20.7,90.0,657.1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8,23.4,22.0,1019.1,1019.1,2.7,3.4
2024-04-13 12:50:40+02:00,21.2,21.2,20.8,14.1,64.0,20.9,90.0,690.8,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,22.0,44.0,1019.1,1019.1,2.7,3.4
2024-04-13 12:54:56+02:00,21.7,21.7,22.0,14.5,64.0,21.1,90.0,679.3,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,14.8,26.0,1019.0,1019.0,2.7,3.5
2024-04-13 12:59:12+02:00,21.6,21.6,21.2,14.3,63.0,21.3,89.0,721.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,23.8,11.0,1018.9,1018.9,2.7,3.5
2024-04-13 13:05:36+02:00,21.5,21.5,21.1,14.1,63.0,21.4,89.0,669.4,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,18.7,25.0,1018.9,1018.9,2.7,3.7
2024-04-13 13:09:52+02:00,21.8,21.8,21.5,14.4,63.0,21.6,89.0,700.8,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,18.7,40.0,1018.8,1018.8,2.7,3.7
2024-04-13 13:14:08+02:00,21.7,21.7,21.0,14.1,62.0,21.8,89.0,671.1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4,21.6,1.0,1018.7,1018.7,2.7,3.8
2024-04-13 13:20:32+02:00,21.8,21.8,21.2,14.1,62.0,21.9,88.0,660.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,21.6,24.0,1018.5,1018.5,2.7,3.8
2024-04-13 13:24:48+02:00,22.2,22.2,22.3,14.2,60.0,22.1,88.0,675.1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,14.4,46.0,1018.4,1018.4,2.7,4.0
2024-04-13 13:29:04+02:00,22.5,22.5,22.3,14.0,59.0,22.2,88.0,645.1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,18.4,29.0,1018.3,1018.3,2.7,4.0
2024-04-13 13:35:28+02:00,22.8,22.8,22.6,14.2,59.0,22.4,88.0,688.2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,21.2,13.0,1018.2,1018.2,2.7,4.1
2024-04-13 13:39:44+02:00,22.6,22.7,22.3,13.9,58.0,22.5,88.0,622.4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,21.2,32.0,1018.1,1018.1,2.7,4.1
2024-04-13 13:44:00+02:00,22.6,22.6,22.1,14.0,58.0,22.7,88.0,692.3,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,19.4,40.0,1018.1,1018.1,2.7,4.3
2024-04-13 13:50:24+02:00,22.6,22.6,21.9,14.0,58.0,22.9,88.0,601.3,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,24.1,23.0,1018.0,1018.0,2.7,4.3
2024-04-13 13:54:40+02:00,22.9,22.9,22.9,14.2,58.0,23.0,88.0,630.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,14.8,41.0,1018.0,1018.0,2.7,4.5
2024-04-13 14:01:04+02:00,22.7,22.7,22.1,14.1,58.0,23.1,88.0,567.3,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,17.6,40.0,1017.7,1017.7,2.7,4.5
2024-04-13 14:05:20+02:00,22.9,22.9,22.7,14.1,58.0,23.3,88.0,590.3,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,13.7,68.0,1017.8,1017.8,2.7,4.6
2024-04-13 14:09:36+02:00,22.8,22.8,22.1,14.3,58.0,23.4,88.0,627.9,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9,19.1,30.0,1017.7,1017.7,2.7,4.6
2024-04-13 14:16:00+02:00,22.8,22.8,21.8,14.3,59.0,23.5,88.0,610.6,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9,18.7,21.0,1017.6,1017.6,2.7,4.7
