datetime,outdoor_temperature,outdoor_feels_like,outdoor_app_temp,outdoor_dew_point,outdoor_humidity,indoor_temperature,indoor_humidity,solar_and_uvi_solar,solar_and_uvi_uvi,rainfall_piezo_rain_rate,rainfall_piezo_daily,rainfall_piezo_event,rainfall_piezo_hourly,rainfall_piezo_weekly,rainfall_piezo_monthly,rainfall_piezo_yearly,wind_wind_speed,wind_wind_gust,wind_wind_direction,pressure_relative,pressure_absolute,battery_haptic_array_battery,battery_haptic_array_capacitor
2024-04-28 00:00:32+02:00,12.0,12.0,11.9,9.7,86.0,,,0.0,0.0,0.0,0.0,0.3,0.2,0.0,61.1,61.1,0.4,4.3,222.0,,,2.72,4.9
2024-04-28 00:04:48+02:00,12.0,12.0,11.9,9.8,87.0,,,0.0,0.0,0.0,0.0,0.3,0.2,0.0,61.1,61.1,0.4,2.9,302.0,,,2.72,4.9
2024-04-28 00:09:04+02:00,11.9,11.8,11.7,9.7,87.0,,,0.0,0.0,0.0,0.0,0.3,0.1,0.0,61.1,61.1,0.5,2.5,158.0,,,2.72,4.9
2024-04-28 00:15:28+02:00,11.8,11.8,11.8,9.7,87.0,,,0.0,0.0,0.0,0.0,0.3,0.1,0.0,61.1,61.1,0.0,2.5,64.0,,,2.72,4.9
2024-04-28 00:19:44+02:00,11.7,11.7,11.6,9.7,88.0,,,0.0,0.0,0.0,0.0,0.3,0.1,0.0,61.1,61.1,0.0,0.0,95.0,,,2.72,4.9
2024-04-28 00:24:00+02:00,11.6,11.6,11.5,9.6,88.0,,,0.0,0.0,0.0,0.0,0.3,0.0,0.0,61.1,61.1,0.0,1.8,64.0,,,2.72,4.9
2024-04-28 00:30:24+02:00,11.5,11.5,11.3,9.6,88.0,,,0.0,0.0,0.0,0.0,0.3,0.0,0.0,61.1,61.1,0.8,4.7,86.0,,,2.72,4.9
2024-04-28 00:34:40+02:00,11.4,11.4,11.3,9.5,88.0,,,0.0,0.0,0.0,0.0,0.3,0.0,0.0,61.1,61.1,0.0,4.7,135.0,,,2.72,4.9
2024-04-28 00:41:04+02:00,11.4,11.4,11.1,9.5,88.0,,,0.0,0.0,0.0,0.0,0.3,0.0,0.0,61.1,61.1,1.2,3.2,273.0,,,2.72,4.9
2024-04-28 00:45:20+02:00,11.4,11.4,10.6,9.5,88.0,,,0.0,0.0,0.0,0.0,0.3,0.0,0.0,61.1,61.1,3.5,6.1,80.0,,,2.72,4.9
2024-04-28 00:49:36+02:00,11.3,11.3,10.9,9.4,88.0,,,0.0,0.0,0.0,0.0,0.3,0.0,0.0,61.1,61.1,1.4,4.3,109.0,,,2.72,4.9
2024-04-28 00:56:00+02:00,11.3,11.3,10.5,9.4,88.0,,,0.0,0.0,0.0,0.0,0.3,0.0,0.0,61.1,61.1,3.5,5.0,83.0,,,2.72,4.9
2024-04-28 01:00:16+02:00,11.4,11.4,10.9,9.2,86.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.1,61.1,1.9,4.3,129.0,,,2.72,4.9
2024-04-28 01:04:32+02:00,11.3,11.3,10.4,9.3,87.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.1,61.1,3.8,9.4,157.0,,,2.72,4.9
