datetime,outdoor_temperature,outdoor_feels_like,outdoor_app_temp,outdoor_dew_point,outdoor_humidity,indoor_temperature,indoor_humidity,indoor_dew_point,indoor_feels_like,indoor_app_tempin,solar_and_uvi_solar,solar_and_uvi_uvi,rainfall_piezo_rain_rate,rainfall_piezo_daily,rainfall_piezo_event,rainfall_piezo_1_hour,rainfall_piezo_weekly,rainfall_piezo_monthly,rainfall_piezo_yearly,wind_wind_speed,wind_wind_gust,wind_wind_direction,pressure_relative,pressure_absolute,battery_haptic_array_battery,battery_haptic_array_capacitor
2025-10-04 00:00:00+02:00,10.3,10.3,8.6,8.0,86.0,14.5,56.0,5.8,14.5,13.6,0.0,0.0,0.6,0.1,1.5,0.9,1.7,1.5,596.5,6.2,15.5,66.0,1002.7,1002.7,2.64,4.5
2025-10-04 00:05:00+02:00,10.4,10.3,8.7,8.0,85.0,14.5,56.0,5.9,14.5,13.6,0.0,0.0,0.6,0.1,1.5,0.8,1.7,1.5,596.5,6.0,15.5,53.0,1002.4,1002.4,2.64,4.5
2025-10-04 00:10:00+02:00,10.4,10.4,8.6,8.1,86.0,14.5,56.0,5.8,14.5,13.5,0.0,0.0,0.6,0.1,1.5,0.7,1.7,1.5,596.5,7.1,16.6,48.0,1002.4,1002.4,2.64,4.5
2025-10-04 00:15:00+02:00,10.5,10.5,8.7,8.3,86.0,14.4,56.0,5.7,14.4,13.4,0.0,0.0,0.0,0.1,1.5,0.6,1.7,1.5,596.5,7.5,15.5,43.0,1002.2,1002.2,2.64,4.5
2025-10-04 00:20:00+02:00,10.4,10.4,8.6,8.2,86.0,14.4,56.0,5.7,14.4,13.4,0.0,0.0,0.0,0.1,1.5,0.6,1.7,1.5,596.5,7.1,16.9,9.0,1002.0,1002.0,2.64,4.5
2025-10-04 00:25:00+02:00,10.5,10.5,8.8,8.3,86.0,14.3,56.0,5.7,14.3,13.4,0.0,0.0,0.0,0.1,1.5,0.5,1.7,1.5,596.5,6.8,18.7,56.0,1002.0,1002.0,2.64,4.5
2025-10-04 00:30:00+02:00,10.6,10.6,9.2,8.3,86.0,14.3,56.0,5.7,14.3,13.3,0.0,0.0,0.0,0.1,1.5,0.3,1.7,1.5,596.5,5.4,15.8,37.0,1001.8,1001.8,2.64,4.4
2025-10-04 00:35:00+02:00,10.6,10.6,8.4,8.3,86.0,14.3,56.0,5.7,14.3,13.3,0.0,0.0,0.0,0.1,1.5,0.2,1.7,1.5,596.5,9.5,18.7,40.0,1001.8,1001.8,2.63,4.4
2025-10-04 00:40:00+02:00,10.7,10.7,9.1,8.4,86.0,14.2,57.0,5.8,14.2,13.2,0.0,0.0,0.0,0.1,1.5,0.2,1.7,1.5,596.5,6.5,23.0,45.0,1001.5,1001.5,2.62,4.5
2025-10-04 00:45:00+02:00,10.7,10.7,9.6,8.6,87.0,14.2,57.0,5.8,14.2,13.2,0.0,0.0,0.6,0.1,0.1,0.1,1.7,1.5,596.5,4.5,17.3,73.0,1001.5,1001.5,2.62,4.5
2025-10-04 00:50:00+02:00,10.6,10.6,8.8,8.7,88.0,14.2,57.0,5.8,14.2,13.2,0.0,0.0,1.2,0.2,0.2,0.2,1.8,1.6,596.6,7.7,18.0,58.0,1001.4,1001.4,2.62,4.4
2025-10-04 00:55:00+02:00,10.6,10.6,8.9,8.7,88.0,14.1,57.0,5.7,14.1,13.1,0.0,0.0,1.8,0.4,0.4,0.4,2.0,1.8,596.8,7.3,23.0,59.0,1001.4,1001.4,2.63,4.4
2025-10-04 01:00:00+02:00,10.6,10.6,9.0,8.9,89.0,14.1,57.0,5.7,14.1,13.1,0.0,0.0,1.8,0.5,0.5,0.5,2.1,1.9,596.9,7.1,16.6,61.0,1001.3,1001.3,2.64,4.4
2025-10-04 01:05:00+02:00,10.6,10.6,8.8,8.8,89.0,14.0,57.0,5.7,14.0,13.0,0.0,0.0,1.8,0.6,0.6,0.6,2.2,2.0,597.0,7.7,16.9,13.0,1001.0,1001.0,2.64,4.4
2025-10-04 01:10:00+02:00,10.6,10.6,9.2,8.9,89.0,14.0,57.0,5.6,14.0,13.0,0.0,0.0,1.2,0.7,0.7,0.7,2.3,2.1,597.1,6.1,16.2,64.0,1000.9,1000.9,2.64,4.4
2025-10-04 01:15:00+02:00,10.6,10.6,8.8,8.9,89.0,14.0,57.0,5.6,14.0,13.0,0.0,0.0,1.2,0.8,0.8,0.8,2.4,2.2,597.2,8.2,17.3,55.0,1000.7,1000.7,2.64,4.4
2025-10-04 01:20:00+02:00,10.6,10.6,8.8,9.1,90.0,13.9,57.0,5.6,13.9,12.9,0.0,0.0,1.8,1.0,1.0,1.0,2.6,2.4,597.4,7.9,20.9,41.0,1000.6,1000.6,2.64,4.3
2025-10-04 01:25:00+02:00,10.6,10.6,8.8,9.1,90.0,13.9,57.0,5.6,13.9,12.9,0.0,0.0,2.4,1.1,1.1,1.1,2.7,2.5,597.5,8.0,15.1,46.0,1000.5,1000.5,2.64,4.3
2025-10-04 01:30:00+02:00,10.6,10.6,8.7,9.1,91.0,13.9,57.0,5.6,13.9,12.9,0.0,0.0,2.4,1.2,1.2,1.2,2.8,2.6,597.6,8.9,21.6,42.0,1000.3,1000.3,2.64,4.3
2025-10-04 01:35:00+02:00,10.6,10.6,8.9,9.1,90.0,13.9,57.0,5.6,13.8,12.9,0.0,0.0,1.8,1.4,1.4,1.4,3.0,2.8,597.8,7.4,24.5,41.0,1000.0,1000.0,2.64,4.3
2025-10-04 01:40:00+02:00,10.6,10.6,9.3,9.2,91.0,13.8,57.0,5.5,13.8,12.8,0.0,0.0,1.2,1.4,1.4,1.4,3.0,2.8,597.8,5.8,17.6,54.0,1000.0,1000.0,2.64,4.2
2025-10-04 01:45:00+02:00,10.7,10.7,8.8,9.3,91.0,13.8,57.0,5.4,13.8,12.8,0.0,0.0,1.2,1.5,1.5,1.4,3.1,2.9,597.9,9.5,19.1,36.0,999.7,999.7,2.64,4.2
2025-10-04 01:50:00+02:00,10.8,10.8,9.1,9.2,90.0,13.7,58.0,5.6,13.7,12.7,0.0,0.0,1.2,1.6,1.6,1.4,3.2,3.0,598.0,7.8,21.2,49.0,999.6,999.6,2.64,4.2
2025-10-04 01:55:00+02:00,10.9,10.8,9.5,9.3,90.0,13.7,58.0,5.6,13.7,12.7,0.0,0.0,1.2,1.7,1.7,1.3,3.3,3.1,598.1,6.3,19.1,49.0,999.4,999.4,2.64,4.2
2025-10-04 02:00:00+02:00,10.9,10.9,9.2,9.4,91.0,13.7,58.0,5.6,13.7,12.7,0.0,0.0,1.2,1.8,1.8,1.3,3.4,3.2,598.2,8.1,20.2,51.0,999.1,999.1,2.64,4.2
2025-10-04 02:05:00+02:00,10.9,10.9,9.6,9.5,91.0,13.7,58.0,5.6,13.7,12.7,0.0,0.0,1.2,1.9,1.9,1.3,3.5,3.3,598.3,6.2,19.4,54.0,999.0,999.0,2.64,4.2
2025-10-04 02:10:00+02:00,10.9,10.9,9.4,9.5,91.0,13.7,58.0,5.6,13.7,12.7,0.0,0.0,1.2,1.9,1.9,1.2,3.5,3.3,598.3,7.4,20.9,59.0,998.8,998.8,2.64,4.1
2025-10-04 02:15:00+02:00,10.9,10.9,9.5,9.5,91.0,13.6,58.0,5.5,13.6,12.6,0.0,0.0,1.2,2.0,2.0,1.2,3.6,3.4,598.4,7.1,18.0,34.0,998.6,998.6,2.64,4.1
2025-10-04 02:20:00+02:00,11.0,11.0,9.5,9.5,90.0,13.6,58.0,5.6,13.6,12.6,0.0,0.0,0.6,2.0,2.0,1.0,3.6,3.4,598.4,7.6,19.4,59.0,998.2,998.2,2.64,4.1
2025-10-04 02:25:00+02:00,11.1,11.1,9.5,9.5,90.0,13.6,59.0,5.7,13.6,12.6,0.0,0.0,0.0,2.0,2.0,0.8,3.6,3.4,598.4,7.9,18.4,28.0,998.3,998.3,2.64,4.1
2025-10-04 02:30:00+02:00,11.2,11.2,9.4,9.6,90.0,13.6,58.0,5.6,13.6,12.6,0.0,0.0,0.0,2.0,2.0,0.7,3.6,3.4,598.4,8.9,15.1,38.0,998.1,998.1,2.64,4.0
2025-10-04 02:35:00+02:00,11.2,11.2,9.7,9.6,90.0,13.5,59.0,5.6,13.5,12.5,0.0,0.0,0.0,2.0,2.0,0.6,3.6,3.4,598.4,7.3,16.6,55.0,997.8,997.8,2.64,4.0
2025-10-04 02:40:00+02:00,11.3,11.3,9.6,9.7,90.0,13.5,59.0,5.7,13.5,12.5,0.0,0.0,0.0,2.0,2.0,0.5,3.6,3.4,598.4,8.5,19.4,54.0,997.5,997.5,2.64,4.0
