datetime,outdoor_temperature,outdoor_feels_like,outdoor_app_temp,outdoor_dew_point,outdoor_humidity,indoor_temperature,indoor_humidity,solar_and_uvi_solar,solar_and_uvi_uvi,rainfall_piezo_rain_rate,rainfall_piezo_daily,rainfall_piezo_event,rainfall_piezo_hourly,rainfall_piezo_weekly,rainfall_piezo_monthly,rainfall_piezo_yearly,wind_wind_speed,wind_wind_gust,wind_wind_direction,pressure_relative,pressure_absolute,battery_haptic_array_battery,battery_haptic_array_capacitor
2025-08-03 16:40:00+02:00,23.5,23.5,23.1,12.0,48.0,24.5,50.0,185.6,1.0,0.0,0.0,0.0,0.0,0.5,26.2,583.0,4.7,9.0,16.0,1010.0,1010.0,2.62,5.3
2025-08-03 16:45:00+02:00,23.2,23.2,22.9,12.0,49.0,24.6,55.0,182.6,1.0,0.0,0.0,0.0,0.0,0.5,26.2,583.0,4.4,13.0,24.0,1010.4,1010.4,2.62,5.3
2025-08-03 16:50:00+02:00,23.1,23.1,22.7,11.8,49.0,24.8,56.0,186.9,1.0,0.0,0.0,0.0,0.0,0.5,26.2,583.0,4.7,11.2,339.0,1010.6,1010.6,2.62,5.3
2025-08-03 16:55:00+02:00,23.1,23.2,22.8,11.8,49.0,24.8,56.0,155.2,1.0,0.0,0.0,0.0,0.0,0.5,26.2,583.0,4.6,17.3,17.0,1010.7,1010.7,2.62,5.3
2025-08-03 17:00:00+02:00,22.8,22.8,22.3,11.8,50.0,24.9,56.0,148.0,1.0,0.0,0.0,0.0,0.0,0.5,26.2,583.0,5.4,13.7,18.0,1010.7,1010.7,2.62,5.3
2025-08-03 17:05:00+02:00,22.8,22.8,22.2,11.8,50.0,25.0,57.0,169.8,1.0,0.0,0.0,0.0,0.0,0.5,26.2,583.0,5.9,18.7,17.0,1010.8,1010.8,2.62,5.3
2025-08-03 17:10:00+02:00,22.7,22.8,22.0,11.8,50.0,25.0,57.0,191.5,1.0,0.0,0.0,0.0,0.0,0.5,26.2,583.0,6.6,18.7,44.0,1010.9,1010.9,2.62,5.3
2025-08-03 17:15:00+02:00,22.9,22.8,22.0,11.7,49.0,25.1,57.0,196.1,1.0,0.0,0.0,0.0,0.0,0.5,26.2,583.0,7.1,15.8,6.0,1010.8,1010.8,2.62,5.3
2025-08-03 17:20:00+02:00,22.9,22.9,22.9,11.9,50.0,25.1,57.0,190.9,1.0,0.0,0.0,0.0,0.0,0.5,26.2,583.0,3.2,14.0,20.0,1010.9,1010.9,2.62,5.3
2025-08-03 17:25:00+02:00,23.0,22.9,22.0,11.7,49.0,25.2,57.0,152.4,1.0,0.0,0.0,0.0,0.0,0.5,26.2,583.0,7.3,16.6,9.0,1010.7,1010.7,2.62,5.3
2025-08-03 17:30:00+02:00,23.0,23.0,22.5,11.9,49.0,25.2,57.0,169.5,1.0,0.0,0.0,0.0,0.0,0.5,26.2,583.0,5.7,12.6,46.0,1010.7,1010.7,2.62,5.3
2025-08-03 17:35:00+02:00,23.1,23.1,22.8,12.0,49.0,25.2,56.0,139.3,1.0,0.0,0.0,0.0,0.0,0.5,26.2,583.0,4.8,11.5,42.0,1010.9,1010.9,2.62,5.3
2025-08-03 17:40:00+02:00,23.0,23.0,22.8,12.0,50.0,25.3,56.0,108.9,1.0,0.0,0.0,0.0,0.0,0.5,26.2,583.0,4.0,10.1,60.0,1010.9,1010.9,2.62,5.3
2025-08-03 17:45:00+02:00,23.0,23.0,23.0,11.9,50.0,25.3,56.0,117.9,1.0,0.0,0.0,0.0,0.0,0.5,26.2,583.0,2.7,9.4,30.0,1010.9,1010.9,2.62,5.3
2025-08-03 17:50:00+02:00,22.9,22.9,21.9,11.8,50.0,25.3,56.0,153.4,1.0,0.0,0.0,0.0,0.0,0.5,26.2,583.0,7.6,15.8,27.0,1011.0,1011.0,2.62,5.3
2025-08-03 17:55:00+02:00,22.9,22.9,22.7,11.6,49.0,25.3,56.0,176.0,1.0,0.0,0.0,0.0,0.0,0.5,26.2,583.0,3.5,13.3,16.0,1010.9,1010.9,2.62,5.3
2025-08-03 18:00:00+02:00,23.1,23.1,22.8,11.9,49.0,25.3,56.0,108.4,1.0,0.0,0.0,0.0,0.0,0.5,26.2,583.0,4.7,15.1,1.0,1010.9,1010.9,2.62,5.3
2025-08-03 18:05:00+02:00,22.7,22.7,22.4,12.0,51.0,25.3,56.0,109.8,1.0,0.0,0.0,0.0,0.0,0.5,26.2,583.0,5.0,15.8,354.0,1010.9,1010.9,2.62,5.3
2025-08-03 18:10:00+02:00,22.7,22.7,22.7,12.0,51.0,25.3,56.0,108.0,1.0,0.0,0.0,0.0,0.0,0.5,26.2,583.0,3.1,11.2,24.0,1010.9,1010.9,2.62,5.3
2025-08-03 18:15:00+02:00,22.6,22.6,22.4,12.1,51.0,25.3,56.0,114.0,1.0,0.0,0.0,0.0,0.0,0.5,26.2,583.0,4.2,11.2,33.0,1010.9,1010.9,2.62,5.3
2025-08-03 18:20:00+02:00,22.7,22.7,22.8,12.0,51.0,25.3,56.0,110.7,1.0,0.0,0.0,0.0,0.0,0.5,26.2,583.0,2.7,10.1,346.0,1010.9,1010.9,2.62,5.3
2025-08-03 18:25:00+02:00,22.7,22.7,22.5,12.2,51.0,25.3,56.0,121.0,1.0,0.0,0.0,0.0,0.0,0.5,26.2,583.0,4.3,14.0,36.0,1010.8,1010.8,2.62,5.3
2025-08-03 18:30:00+02:00,22.5,22.5,21.9,12.2,52.0,25.3,56.0,123.5,1.0,0.0,0.0,0.0,0.0,0.5,26.2,583.0,6.6,10.1,38.0,1011.0,1011.0,2.62,5.3
2025-08-03 18:35:00+02:00,22.4,22.3,22.0,12.0,52.0,25.3,56.0,102.6,0.0,0.0,0.0,0.0,0.0,0.5,26.2,583.0,5.2,13.3,1.0,1010.8,1010.8,2.62,5.3
2025-08-03 18:40:00+02:00,22.3,22.3,22.1,12.0,52.0,25.3,56.0,94.2,0.0,0.0,0.0,0.0,0.0,0.5,26.2,583.0,4.2,14.0,29.0,1010.8,1010.8,2.62,5.3
2025-08-03 18:45:00+02:00,22.3,22.3,22.2,12.0,52.0,25.3,56.0,111.3,1.0,0.0,0.0,0.0,0.0,0.5,26.2,583.0,3.8,10.4,348.0,1010.8,1010.8,2.62,5.3
2025-08-03 18:50:00+02:00,22.5,22.5,22.5,12.0,51.0,25.3,56.0,117.0,1.0,0.0,0.0,0.0,0.0,0.5,26.2,583.0,3.2,12.6,0.0,1010.7,1010.7,2.62,5.3
2025-08-03 18:55:00+02:00,22.7,22.7,22.4,12.3,52.0,25.3,56.0,119.3,1.0,0.0,0.0,0.0,0.0,0.5,26.2,583.0,4.9,11.5,38.0,1010.8,1010.8,2.62,5.3
2025-08-03 19:00:00+02:00,22.7,22.7,22.8,12.3,52.0,25.3,56.0,108.0,1.0,0.0,0.0,0.0,0.0,0.5,26.2,583.0,2.7,12.6,31.0,1010.8,1010.8,2.62,5.3
2025-08-03 19:05:00+02:00,22.5,22.5,21.9,12.1,52.0,25.3,56.0,100.5,0.0,0.0,0.0,0.0,0.0,0.5,26.2,583.0,6.6,15.1,354.0,1010.8,1010.8,2.62,5.3
2025-08-03 19:10:00+02:00,22.4,22.4,22.3,12.1,52.0,25.2,55.0,103.1,0.0,0.0,0.0,0.0,0.0,0.5,26.2,583.0,4.1,12.6,341.0,1010.9,1010.9,2.62,5.3
2025-08-03 19:15:00+02:00,22.4,22.4,22.2,12.1,52.0,25.2,55.0,105.4,0.0,0.0,0.0,0.0,0.0,0.5,26.2,583.0,4.7,15.8,20.0,1010.8,1010.8,2.62,5.3
2025-08-03 19:20:00+02:00,22.6,22.6,22.7,12.3,52.0,25.2,55.0,98.8,0.0,0.0,0.0,0.0,0.0,0.5,26.2,583.0,2.8,10.1,9.0,1010.9,1010.9,2.62,5.3
