datetime,outdoor_temperature,outdoor_feels_like,outdoor_app_temp,outdoor_dew_point,outdoor_humidity,indoor_temperature,indoor_humidity,solar_and_uvi_solar,solar_and_uvi_uvi,rainfall_piezo_rain_rate,rainfall_piezo_daily,rainfall_piezo_event,rainfall_piezo_hourly,rainfall_piezo_weekly,rainfall_piezo_monthly,rainfall_piezo_yearly,wind_wind_speed,wind_wind_gust,wind_wind_direction,pressure_relative,pressure_absolute,battery_haptic_array_battery,battery_haptic_array_capacitor
2024-05-20 14:00:00+02:00,19.5,19.5,19.3,13.0,66.0,21.1,86.0,140.8,1.0,0.0,0.0,0.0,0.0,10.9,42.9,111.2,5.8,5.8,41.0,998.5,998.5,3.16,5.3
2024-05-20 14:05:00+02:00,19.1,19.1,19.2,12.2,65.0,21.0,83.0,137.3,1.0,0.0,0.0,0.0,0.0,10.9,42.9,111.2,2.8,5.8,50.0,998.6,998.6,3.16,5.3
2024-05-20 14:10:00+02:00,18.5,18.5,18.6,12.5,68.0,21.1,90.0,117.6,1.0,0.0,0.0,0.0,0.0,10.9,42.9,111.2,3.2,6.5,48.0,998.6,998.6,3.16,5.3
2024-05-20 14:15:00+02:00,18.7,18.7,19.0,12.2,66.0,21.2,92.0,122.7,1.0,0.0,0.0,0.0,0.0,10.9,42.9,111.2,2.2,4.0,119.0,998.6,998.6,3.16,5.3
2024-05-20 14:20:00+02:00,19.0,19.0,19.5,12.6,67.0,21.2,93.0,121.4,1.0,0.0,0.0,0.0,0.0,10.9,42.9,111.2,1.3,3.6,71.0,998.5,998.5,3.16,5.3
2024-05-20 14:25:00+02:00,18.8,18.8,19.0,12.8,68.0,21.3,93.0,98.0,0.0,0.0,0.0,0.0,0.0,10.9,42.9,111.2,3.2,5.0,29.0,998.6,998.6,3.16,5.3
2024-05-20 14:30:00+02:00,18.6,18.6,19.0,13.0,70.0,21.3,93.0,127.9,1.0,0.0,0.0,0.0,0.0,10.9,42.9,111.2,3.1,6.1,42.0,998.5,998.5,3.16,5.3
2024-05-20 14:35:00+02:00,18.5,18.5,19.1,13.4,72.0,21.3,93.0,152.0,1.0,0.0,0.0,0.0,0.0,10.9,42.9,111.2,2.6,6.5,40.0,998.5,998.5,3.16,5.3
2024-05-20 14:40:00+02:00,18.4,18.4,18.6,13.3,72.0,21.3,93.0,161.6,1.0,0.0,0.0,0.0,0.0,10.9,42.9,111.2,4.4,7.2,4.0,998.5,998.5,3.16,5.3
2024-05-20 14:45:00+02:00,18.1,18.2,18.1,13.2,73.0,21.4,93.0,157.4,1.0,0.0,0.0,0.0,0.0,10.9,42.9,111.2,5.4,7.9,17.0,998.4,998.4,3.16,5.3
2024-05-20 14:50:00+02:00,18.0,18.0,18.1,13.0,72.0,21.4,93.0,209.2,1.0,0.0,0.0,0.0,0.0,10.9,42.9,111.2,4.2,9.0,14.0,998.5,998.5,3.16,5.3
2024-05-20 14:55:00+02:00,18.0,18.0,18.4,12.9,72.0,21.4,93.0,255.2,2.0,0.0,0.0,0.0,0.0,10.9,42.9,111.2,2.9,7.6,344.0,998.2,998.2,3.16,5.3
2024-05-20 15:00:00+02:00,18.0,18.0,18.3,12.8,71.0,21.3,93.0,269.2,2.0,0.0,0.0,0.0,0.0,10.9,42.9,111.2,3.0,5.8,29.0,998.2,998.2,3.16,5.3
2024-05-20 15:05:00+02:00,18.2,18.2,18.9,13.1,72.0,21.4,93.0,336.7,3.0,0.0,0.0,0.0,0.0,10.9,42.9,111.2,1.4,4.7,143.0,998.2,998.2,3.16,5.3
2024-05-20 15:10:00+02:00,18.6,18.6,18.8,13.3,71.0,21.4,93.0,350.0,3.0,0.0,0.0,0.0,0.0,10.9,42.9,111.2,4.2,10.8,36.0,998.0,998.0,3.16,5.3
2024-05-20 15:15:00+02:00,18.3,18.3,18.2,13.0,71.0,21.4,93.0,450.1,4.0,0.0,0.0,0.0,0.0,10.9,42.9,111.2,5.3,11.5,40.0,998.0,998.0,3.16,5.3
2024-05-20 15:20:00+02:00,18.7,18.7,19.0,13.4,71.0,21.4,93.0,599.5,5.0,0.0,0.0,0.0,0.0,10.9,42.9,111.2,3.6,7.2,120.0,998.1,998.1,3.16,5.3
