datetime,outdoor_temperature,outdoor_feels_like,outdoor_app_temp,outdoor_dew_point,outdoor_humidity,indoor_temperature,indoor_humidity,indoor_dew_point,indoor_feels_like,indoor_app_tempin,pressure_relative,pressure_absolute
2025-09-19 00:00:00+02:00,,,,,,18.1,96.0,17.5,18.2,20.7,1015.3,1015.3
2025-09-19 00:05:00+02:00,,,,,,18.1,96.0,17.4,18.1,20.7,1015.3,1015.3
2025-09-19 00:10:00+02:00,,,,,,18.1,96.0,17.4,18.1,20.7,1015.3,1015.3
2025-09-19 00:15:00+02:00,,,,,,18.0,96.0,17.4,18.0,20.5,1015.2,1015.2
2025-09-19 00:20:00+02:00,,,,,,18.0,96.0,17.3,18.0,20.5,1015.4,1015.4
2025-09-19 00:25:00+02:00,,,,,,18.0,96.0,17.3,18.0,20.5,1015.4,1015.4
2025-09-19 00:30:00+02:00,,,,,,18.0,96.0,17.3,18.0,20.5,1015.3,1015.3
2025-09-19 00:35:00+02:00,,,,,,17.9,96.0,17.3,17.9,20.4,1015.3,1015.3
2025-09-19 00:40:00+02:00,,,,,,17.9,96.0,17.3,17.9,20.4,1015.4,1015.4
2025-09-19 00:45:00+02:00,,,,,,17.9,96.0,17.3,17.9,20.4,1015.4,1015.4
2025-09-19 00:50:00+02:00,,,,,,17.9,96.0,17.3,17.9,20.4,1015.4,1015.4
2025-09-19 00:55:00+02:00,,,,,,17.8,96.0,17.2,17.8,20.2,1015.4,1015.4
2025-09-19 01:00:00+02:00,,,,,,17.8,96.0,17.2,17.8,20.2,1015.6,1015.6
2025-09-19 01:05:00+02:00,,,,,,17.8,96.0,17.2,17.8,20.2,1015.6,1015.6
2025-09-19 01:10:00+02:00,,,,,,17.8,96.0,17.2,17.8,20.2,1015.6,1015.6
2025-09-19 01:15:00+02:00,,,,,,17.8,96.0,17.2,17.8,20.2,1015.6,1015.6
2025-09-19 01:20:00+02:00,,,,,,17.7,96.0,17.1,17.7,20.2,1015.6,1015.6
2025-09-19 01:25:00+02:00,,,,,,17.7,96.0,17.1,17.7,20.1,1015.5,1015.5
2025-09-19 01:30:00+02:00,,,,,,17.7,96.0,17.1,17.7,20.1,1015.6,1015.6
2025-09-19 01:35:00+02:00,,,,,,17.7,96.0,17.1,17.7,20.1,1015.6,1015.6
2025-09-19 01:40:00+02:00,,,,,,17.7,96.0,17.1,17.7,20.1,1015.5,1015.5
2025-09-19 01:45:00+02:00,,,,,,17.7,96.0,17.1,17.7,20.1,1015.6,1015.6
2025-09-19 01:50:00+02:00,,,,,,17.7,96.0,17.1,17.7,20.1,1015.5,1015.5
2025-09-19 01:55:00+02:00,,,,,,17.6,96.0,17.0,17.7,20.0,1015.4,1015.4
2025-09-19 02:00:00+02:00,,,,,,17.6,96.0,17.0,17.6,20.0,1015.5,1015.5
2025-09-19 02:05:00+02:00,,,,,,17.6,96.0,16.9,17.6,19.9,1015.4,1015.4
2025-09-19 02:10:00+02:00,,,,,,17.6,96.0,16.9,17.6,19.9,1015.4,1015.4
2025-09-19 02:15:00+02:00,,,,,,17.6,96.0,16.9,17.6,19.9,1015.4,1015.4
2025-09-19 02:20:00+02:00,,,,,,17.6,96.0,16.9,17.6,19.9,1015.4,1015.4
2025-09-19 02:25:00+02:00,,,,,,17.6,96.0,16.9,17.6,19.9,1015.3,1015.3
2025-09-19 02:30:00+02:00,,,,,,17.6,96.0,16.9,17.6,19.9,1015.3,1015.3
2025-09-19 02:35:00+02:00,,,,,,17.6,96.0,16.9,17.6,19.9,1015.3,1015.3
2025-09-19 02:40:00+02:00,,,,,,17.6,96.0,16.9,17.6,19.9,1015.3,1015.3
2025-09-19 02:45:00+02:00,,,,,,17.5,96.0,16.8,17.5,19.8,1015.3,1015.3
2025-09-19 02:50:00+02:00,,,,,,17.5,96.0,16.9,17.5,19.9,1015.3,1015.3
2025-09-19 02:55:00+02:00,,,,,,17.5,96.0,16.8,17.5,19.8,1015.3,1015.3
2025-09-19 03:00:00+02:00,,,,,,17.5,96.0,16.8,17.5,19.8,1015.3,1015.3
2025-09-19 03:05:00+02:00,,,,,,17.5,96.0,16.8,17.5,19.8,1015.3,1015.3
2025-09-19 03:10:00+02:00,,,,,,17.5,96.0,16.8,17.5,19.8,1015.4,1015.4
2025-09-19 03:15:00+02:00,,,,,,17.5,96.0,16.8,17.5,19.8,1015.4,1015.4
2025-09-19 03:20:00+02:00,,,,,,17.5,96.0,16.8,17.5,19.8,1015.4,1015.4
2025-09-19 03:25:00+02:00,,,,,,17.5,96.0,16.8,17.5,19.8,1015.3,1015.3
2025-09-19 03:30:00+02:00,,,,,,17.5,96.0,16.8,17.5,19.8,1015.4,1015.4
2025-09-19 03:35:00+02:00,,,,,,17.5,96.0,16.8,17.5,19.8,1015.3,1015.3
2025-09-19 03:40:00+02:00,,,,,,17.5,96.0,16.8,17.5,19.8,1015.4,1015.4
