datetime,outdoor_temperature,outdoor_feels_like,outdoor_app_temp,outdoor_dew_point,outdoor_humidity,indoor_temperature,indoor_humidity,solar_and_uvi_solar,solar_and_uvi_uvi,rainfall_piezo_rain_rate,rainfall_piezo_daily,rainfall_piezo_event,rainfall_piezo_hourly,rainfall_piezo_weekly,rainfall_piezo_monthly,rainfall_piezo_yearly,wind_wind_speed,wind_wind_gust,wind_wind_direction,pressure_relative,pressure_absolute,battery_haptic_array_battery,battery_haptic_array_capacitor
2024-06-01 02:00:00+02:00,14.6,14.7,14.4,12.5,87.0,18.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7,0.0,177.8,5.3,10.8,28.0,1005.1,1005.1,3.1,5.0
2024-06-01 02:05:00+02:00,14.6,14.6,14.2,12.5,88.0,18.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7,0.0,177.8,6.2,11.5,28.0,1005.1,1005.1,3.1,5.0
2024-06-01 02:10:00+02:00,14.5,14.5,14.1,12.5,88.0,18.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7,0.0,177.8,6.0,12.6,36.0,1005.0,1005.0,3.1,5.0
2024-06-01 02:15:00+02:00,14.4,14.4,14.1,12.5,89.0,17.9,89.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7,0.0,177.8,5.8,11.5,45.0,1005.0,1005.0,3.1,5.0
2024-06-01 02:20:00+02:00,14.3,14.3,14.2,12.4,88.0,17.9,89.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7,0.0,177.8,4.6,10.8,41.0,1005.0,1005.0,3.1,5.0
2024-06-01 02:25:00+02:00,14.2,14.2,14.1,12.4,89.0,17.9,89.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7,0.0,177.8,4.4,9.4,34.0,1004.9,1004.9,3.1,5.0
2024-06-01 02:30:00+02:00,14.2,14.2,14.1,12.5,89.0,17.8,89.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7,0.0,177.8,4.7,8.6,49.0,1004.8,1004.8,3.1,5.0
2024-06-01 02:35:00+02:00,14.1,14.1,14.0,12.3,89.0,17.8,89.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7,0.0,177.8,4.1,7.9,40.0,1004.9,1004.9,3.1,5.0
2024-06-01 02:40:00+02:00,14.1,14.1,14.3,12.4,90.0,17.8,89.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7,0.0,177.8,2.9,5.0,63.0,1004.8,1004.8,3.1,5.0
2024-06-01 02:45:00+02:00,14.1,14.1,14.5,12.4,89.0,17.7,89.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7,0.0,177.8,1.9,6.8,63.0,1004.8,1004.8,3.1,5.0
2024-06-01 02:50:00+02:00,14.2,14.2,13.5,12.4,89.0,17.7,89.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7,0.0,177.8,7.2,11.2,44.0,1004.9,1004.9,3.1,4.9
2024-06-01 02:55:00+02:00,14.3,14.3,13.9,12.5,89.0,17.7,89.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7,0.0,177.8,6.0,11.2,33.0,1004.9,1004.9,3.1,4.9
2024-06-01 03:00:00+02:00,14.3,14.3,14.1,12.5,89.0,17.6,89.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7,0.0,177.8,5.0,10.8,44.0,1004.9,1004.9,3.1,4.9
2024-06-01 03:05:00+02:00,14.4,14.3,14.1,12.6,89.0,17.6,89.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7,0.0,177.8,5.2,9.7,50.0,1004.9,1004.9,3.1,4.9
2024-06-01 03:10:00+02:00,14.3,14.3,14.6,12.4,88.0,17.6,89.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7,0.0,177.8,2.5,9.7,33.0,1005.0,1005.0,3.1,4.9
2024-06-01 03:15:00+02:00,14.3,14.3,13.9,12.4,89.0,17.6,89.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7,0.0,177.8,5.9,9.0,29.0,1004.9,1004.9,3.1,4.9
2024-06-01 03:20:00+02:00,14.4,14.4,13.6,12.5,88.0,17.5,89.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7,0.0,177.8,7.8,16.2,33.0,1004.9,1004.9,3.1,4.9
2024-06-01 03:25:00+02:00,14.4,14.4,13.7,12.5,88.0,17.5,89.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7,0.0,177.8,7.6,13.0,32.0,1005.0,1005.0,3.1,4.9
2024-06-01 03:30:00+02:00,14.4,14.4,14.0,12.5,88.0,17.5,89.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7,0.0,177.8,6.0,10.4,30.0,1005.0,1005.0,3.1,4.9
2024-06-01 03:35:00+02:00,14.4,14.4,14.5,12.5,88.0,17.5,89.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7,0.0,177.8,3.7,9.7,42.0,1005.0,1005.0,3.1,4.9
2024-06-01 03:40:00+02:00,14.4,14.4,14.4,12.4,88.0,17.4,89.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7,0.0,177.8,3.9,6.8,51.0,1005.0,1005.0,3.1,4.9
2024-06-01 03:45:00+02:00,14.4,14.4,14.7,12.5,88.0,17.4,89.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7,0.0,177.8,2.8,9.4,53.0,1005.0,1005.0,3.1,4.9
2024-06-01 03:50:00+02:00,14.4,14.4,14.3,12.5,89.0,17.4,89.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7,0.0,177.8,4.8,8.3,48.0,1005.0,1005.0,3.1,4.9
2024-06-01 03:55:00+02:00,14.4,14.4,14.5,12.5,89.0,17.4,89.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7,0.0,177.8,3.5,8.3,38.0,1005.1,1005.1,3.1,4.9
2024-06-01 04:00:00+02:00,14.4,14.4,14.5,12.6,89.0,17.4,89.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7,0.0,177.8,3.4,8.6,44.0,1005.0,1005.0,3.1,4.9
2024-06-01 04:05:00+02:00,14.4,14.4,14.5,12.7,89.0,17.3,89.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7,0.0,177.8,3.9,6.8,52.0,1005.0,1005.0,3.1,4.9
2024-06-01 04:10:00+02:00,14.4,14.3,14.8,12.6,89.0,17.3,89.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7,0.0,177.8,1.8,6.8,99.0,1005.0,1005.0,3.1,4.9
2024-06-01 04:15:00+02:00,14.3,14.3,15.0,12.5,89.0,17.3,89.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7,0.0,177.8,0.4,5.4,109.0,1004.9,1004.9,3.1,4.9
2024-06-01 04:20:00+02:00,14.3,14.3,14.8,12.5,89.0,17.3,89.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7,0.0,177.8,1.2,4.0,112.0,1004.8,1004.8,3.1,4.9
2024-06-01 04:25:00+02:00,14.3,14.3,14.8,12.6,90.0,17.3,89.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7,0.0,177.8,1.4,4.0,96.0,1004.9,1004.9,3.1,4.9
2024-06-01 04:30:00+02:00,14.2,14.2,14.5,12.7,91.0,17.2,89.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7,0.0,177.8,2.5,5.0,114.0,1004.8,1004.8,3.1,4.9
2024-06-01 04:35:00+02:00,14.2,14.2,14.5,12.7,91.0,17.2,89.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7,0.0,177.8,2.3,7.9,108.0,1004.8,1004.8,3.1,4.9
2024-06-01 04:40:00+02:00,14.1,14.1,14.1,12.6,91.0,17.2,89.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7,0.0,177.8,4.0,8.3,71.0,1004.7,1004.7,3.1,4.8
2024-06-01 04:45:00+02:00,14.1,14.1,14.3,12.6,91.0,17.2,89.0,0.1,0.0,0.0,0.0,0.0,0.0,20.7,0.0,177.8,3.2,7.9,95.0,1004.7,1004.7,3.1,4.8
2024-06-01 04:50:00+02:00,14.1,14.1,14.3,12.7,91.0,17.2,89.0,0.2,0.0,0.0,0.0,0.0,0.0,20.7,0.0,177.8,3.5,6.1,50.0,1004.7,1004.7,3.1,4.8
2024-06-01 04:55:00+02:00,14.1,14.1,14.0,12.8,92.0,17.2,89.0,0.3,0.0,0.0,0.0,0.0,0.0,20.7,0.0,177.8,5.0,8.3,45.0,1004.7,1004.7,3.1,4.8
2024-06-01 05:00:00+02:00,14.2,14.2,13.7,12.8,91.0,17.1,89.0,0.5,0.0,0.0,0.0,0.0,0.0,20.7,0.0,177.8,6.9,15.1,46.0,1004.8,1004.8,3.1,4.8
2024-06-01 05:05:00+02:00,14.2,14.2,13.2,12.7,91.0,17.1,89.0,0.7,0.0,0.0,0.0,0.0,0.0,20.7,0.0,177.8,9.4,13.7,29.0,1004.9,1004.9,3.1,4.8
2024-06-01 05:10:00+02:00,14.3,14.3,14.1,12.7,90.0,17.1,89.0,1.2,0.0,0.0,0.0,0.0,0.0,20.7,0.0,177.8,5.3,14.0,39.0,1004.9,1004.9,3.1,4.8
2024-06-01 05:15:00+02:00,14.2,14.2,13.8,12.7,90.0,17.1,89.0,1.5,0.0,0.0,0.0,0.0,0.0,20.7,0.0,177.8,6.5,11.2,33.0,1004.9,1004.9,3.1,4.8
2024-06-01 05:20:00+02:00,14.3,14.3,13.8,12.8,91.0,17.1,89.0,1.8,0.0,0.0,0.0,0.0,0.0,20.7,0.0,177.8,6.8,12.6,39.0,1004.8,1004.8,3.1,4.8
2024-06-01 05:25:00+02:00,14.2,14.2,14.2,12.7,90.0,17.0,89.0,2.4,0.0,0.0,0.0,0.0,0.0,20.7,0.0,177.8,4.5,10.1,37.0,1005.0,1005.0,3.1,4.8
2024-06-01 05:30:00+02:00,14.2,14.2,14.5,12.7,91.0,17.0,89.0,3.1,0.0,0.0,0.0,0.0,0.0,20.7,0.0,177.8,2.7,9.0,49.0,1004.9,1004.9,3.1,4.8
2024-06-01 05:35:00+02:00,14.2,14.2,14.3,12.7,91.0,17.0,89.0,6.2,0.0,0.0,0.0,0.0,0.0,20.7,0.0,177.8,3.9,9.4,32.0,1005.1,1005.1,3.1,4.8
2024-06-01 05:40:00+02:00,14.2,14.2,13.8,12.6,90.0,17.0,89.0,11.0,0.0,0.0,0.0,0.0,0.0,20.7,0.0,177.8,6.6,18.0,21.0,1005.0,1005.0,3.1,4.8
2024-06-01 05:45:00+02:00,14.3,14.3,13.6,12.7,90.0,17.0,89.0,13.3,0.0,0.0,0.0,0.0,0.0,20.7,0.0,177.8,8.2,18.0,30.0,1005.0,1005.0,3.1,4.8
2024-06-01 05:50:00+02:00,14.4,14.4,13.6,12.8,90.0,17.0,89.0,17.0,0.0,0.0,0.0,0.0,0.0,20.7,0.0,177.8,8.9,11.5,22.0,1005.1,1005.1,3.1,4.8
