datetime,outdoor_temperature,outdoor_feels_like,outdoor_app_temp,outdoor_dew_point,outdoor_humidity,indoor_temperature,indoor_humidity,pressure_relative,pressure_absolute
2025-05-01 02:00:00+02:00,,,,,,18.2,86.0,1012.0,1012.0
2025-05-01 02:05:00+02:00,,,,,,18.1,86.0,1012.0,1012.0
2025-05-01 02:10:00+02:00,,,,,,18.0,86.0,1011.9,1011.9
2025-05-01 02:15:00+02:00,,,,,,17.9,86.0,1011.9,1011.9
2025-05-01 02:20:00+02:00,,,,,,17.8,86.0,1011.8,1011.8
2025-05-01 02:25:00+02:00,,,,,,17.7,87.0,1011.8,1011.8
2025-05-01 02:30:00+02:00,,,,,,17.7,87.0,1011.8,1011.8
2025-05-01 02:35:00+02:00,,,,,,17.6,87.0,1011.8,1011.8
2025-05-01 02:40:00+02:00,,,,,,17.5,87.0,1011.7,1011.7
2025-05-01 02:45:00+02:00,,,,,,17.4,86.0,1011.6,1011.6
2025-05-01 02:50:00+02:00,,,,,,17.3,86.0,1011.7,1011.7
2025-05-01 02:55:00+02:00,,,,,,17.2,86.0,1011.7,1011.7
2025-05-01 03:00:00+02:00,,,,,,17.2,87.0,1011.6,1011.6
2025-05-01 03:05:00+02:00,,,,,,17.1,87.0,1011.6,1011.6
2025-05-01 03:10:00+02:00,,,,,,17.0,87.0,1011.6,1011.6
2025-05-01 03:15:00+02:00,,,,,,16.9,87.0,1011.7,1011.7
2025-05-01 03:20:00+02:00,,,,,,16.9,87.0,1011.6,1011.6
2025-05-01 03:25:00+02:00,,,,,,16.8,87.0,1011.7,1011.7
2025-05-01 03:30:00+02:00,,,,,,16.7,87.0,1011.6,1011.6
2025-05-01 03:35:00+02:00,,,,,,16.6,87.0,1011.7,1011.7
2025-05-01 03:40:00+02:00,,,,,,16.6,87.0,1011.6,1011.6
2025-05-01 03:45:00+02:00,,,,,,16.5,87.0,1011.7,1011.7
2025-05-01 03:50:00+02:00,,,,,,16.4,87.0,1011.6,1011.6
2025-05-01 03:55:00+02:00,,,,,,16.4,87.0,1011.7,1011.7
2025-05-01 04:00:00+02:00,,,,,,16.3,87.0,1011.6,1011.6
2025-05-01 04:05:00+02:00,,,,,,16.2,87.0,1011.7,1011.7
2025-05-01 04:10:00+02:00,,,,,,16.1,87.0,1011.5,1011.5
2025-05-01 04:15:00+02:00,,,,,,16.1,87.0,1011.6,1011.6
2025-05-01 04:20:00+02:00,,,,,,16.0,87.0,1011.6,1011.6
2025-05-01 04:25:00+02:00,,,,,,16.0,87.0,1011.5,1011.5
2025-05-01 04:30:00+02:00,,,,,,15.9,87.0,1011.5,1011.5
2025-05-01 04:35:00+02:00,,,,,,15.8,87.0,1011.5,1011.5
2025-05-01 04:40:00+02:00,,,,,,15.7,87.0,1011.4,1011.4
2025-05-01 04:45:00+02:00,,,,,,15.7,87.0,1011.4,1011.4
2025-05-01 04:50:00+02:00,,,,,,15.6,87.0,1011.5,1011.5
2025-05-01 04:55:00+02:00,,,,,,15.6,87.0,1011.4,1011.4
2025-05-01 05:00:00+02:00,,,,,,15.5,87.0,1011.5,1011.5
2025-05-01 05:05:00+02:00,,,,,,15.4,87.0,1011.5,1011.5
2025-05-01 05:10:00+02:00,,,,,,15.4,87.0,1011.3,1011.3
2025-05-01 05:15:00+02:00,,,,,,15.3,87.0,1011.4,1011.4
2025-05-01 05:20:00+02:00,,,,,,15.3,87.0,1011.4,1011.4
2025-05-01 05:25:00+02:00,,,,,,15.2,87.0,1011.3,1011.3
2025-05-01 05:30:00+02:00,,,,,,15.2,87.0,1011.2,1011.2
2025-05-01 05:35:00+02:00,,,,,,15.1,87.0,1011.3,1011.3
2025-05-01 05:40:00+02:00,,,,,,15.0,87.0,1011.3,1011.3
2025-05-01 05:45:00+02:00,,,,,,15.0,87.0,1011.3,1011.3
2025-05-01 05:50:00+02:00,,,,,,14.9,87.0,1011.3,1011.3
2025-05-01 05:55:00+02:00,,,,,,14.9,87.0,1011.3,1011.3
2025-05-01 06:00:00+02:00,,,,,,14.8,87.0,1011.3,1011.3
2025-05-01 06:05:00+02:00,,,,,,14.8,87.0,1011.4,1011.4
2025-05-01 06:10:00+02:00,,,,,,14.7,87.0,1011.4,1011.4
2025-05-01 06:15:00+02:00,,,,,,14.7,87.0,1011.4,1011.4
2025-05-01 06:20:00+02:00,,,,,,14.6,87.0,1011.4,1011.4
2025-05-01 06:25:00+02:00,,,,,,14.6,87.0,1011.4,1011.4
2025-05-01 06:30:00+02:00,,,,,,14.5,87.0,1011.4,1011.4
2025-05-01 06:35:00+02:00,,,,,,14.5,87.0,1011.4,1011.4
2025-05-01 06:40:00+02:00,,,,,,14.4,87.0,1011.4,1011.4
2025-05-01 06:45:00+02:00,,,,,,14.4,87.0,1011.4,1011.4
2025-05-01 06:50:00+02:00,,,,,,14.3,87.0,1011.4,1011.4
2025-05-01 06:55:00+02:00,,,,,,14.3,87.0,1011.4,1011.4
2025-05-01 07:00:00+02:00,,,,,,14.2,88.0,1011.5,1011.5
2025-05-01 07:05:00+02:00,,,,,,14.2,88.0,1011.5,1011.5
2025-05-01 07:10:00+02:00,,,,,,14.2,88.0,1011.5,1011.5
2025-05-01 07:15:00+02:00,,,,,,14.1,88.0,1011.4,1011.4
2025-05-01 07:20:00+02:00,,,,,,14.1,88.0,1011.5,1011.5
2025-05-01 07:25:00+02:00,,,,,,14.1,88.0,1011.4,1011.4
2025-05-01 07:30:00+02:00,,,,,,14.1,88.0,1011.5,1011.5
2025-05-01 07:35:00+02:00,,,,,,14.0,88.0,1011.5,1011.5
2025-05-01 07:40:00+02:00,,,,,,14.0,88.0,1011.5,1011.5
2025-05-01 07:45:00+02:00,,,,,,14.0,88.0,1011.5,1011.5
2025-05-01 07:50:00+02:00,,,,,,14.0,88.0,1011.5,1011.5
2025-05-01 07:55:00+02:00,,,,,,14.0,88.0,1011.5,1011.5
2025-05-01 08:00:00+02:00,,,,,,14.0,88.0,1011.5,1011.5
2025-05-01 08:05:00+02:00,,,,,,13.9,88.0,1011.4,1011.4
2025-05-01 08:10:00+02:00,,,,,,14.0,89.0,1011.5,1011.5
2025-05-01 08:15:00+02:00,,,,,,14.0,89.0,1011.5,1011.5
2025-05-01 08:20:00+02:00,,,,,,14.0,89.0,1011.4,1011.4
2025-05-01 08:25:00+02:00,,,,,,14.0,89.0,1011.4,1011.4
2025-05-01 08:30:00+02:00,,,,,,14.0,89.0,1011.4,1011.4
