datetime,outdoor_temperature,outdoor_feels_like,outdoor_app_temp,outdoor_dew_point,outdoor_humidity,indoor_temperature,indoor_humidity,pressure_relative,pressure_absolute,indoor_dew_point,indoor_feels_like,indoor_app_tempin
2025-09-01 02:00:00+02:00,,,,,,20.1,95.0,998.6,998.6,,,
2025-09-01 02:05:00+02:00,,,,,,20.1,95.0,998.6,998.6,,,
2025-09-01 02:10:00+02:00,,,,,,20.1,95.0,998.5,998.5,,,
2025-09-01 02:15:00+02:00,,,,,,20.1,95.0,998.6,998.6,,,
2025-09-01 02:20:00+02:00,,,,,,20.0,95.0,998.6,998.6,,,
2025-09-01 02:25:00+02:00,,,,,,20.0,95.0,998.5,998.5,,,
2025-09-01 02:30:00+02:00,,,,,,20.0,95.0,998.6,998.6,,,
2025-09-01 02:35:00+02:00,,,,,,19.9,95.0,998.4,998.4,,,
2025-09-01 02:40:00+02:00,,,,,,19.9,95.0,998.5,998.5,,,
2025-09-01 02:45:00+02:00,,,,,,19.9,95.0,998.4,998.4,,,
2025-09-01 02:50:00+02:00,,,,,,19.9,95.0,998.6,998.6,,,
2025-09-01 02:55:00+02:00,,,,,,19.9,95.0,998.7,998.7,,,
2025-09-01 03:00:00+02:00,,,,,,19.8,95.0,998.6,998.6,,,
2025-09-01 03:05:00+02:00,,,,,,19.8,95.0,998.6,998.6,,,
2025-09-01 03:10:00+02:00,,,,,,19.8,95.0,998.5,998.5,,,
2025-09-01 03:15:00+02:00,,,,,,19.7,95.0,998.4,998.4,,,
2025-09-01 03:20:00+02:00,,,,,,19.7,95.0,998.5,998.5,,,
2025-09-01 03:25:00+02:00,,,,,,19.7,95.0,998.4,998.4,,,
2025-09-01 03:30:00+02:00,,,,,,19.6,95.0,998.4,998.4,,,
2025-09-01 03:35:00+02:00,,,,,,19.6,95.0,998.5,998.5,,,
2025-09-01 03:40:00+02:00,,,,,,19.6,95.0,998.4,998.4,,,
2025-09-01 03:45:00+02:00,,,,,,19.5,95.0,998.6,998.6,,,
2025-09-01 03:50:00+02:00,,,,,,19.5,95.0,998.3,998.3,,,
2025-09-01 03:55:00+02:00,,,,,,19.5,95.0,998.3,998.3,,,
2025-09-01 04:00:00+02:00,,,,,,19.5,95.0,998.3,998.3,,,
2025-09-01 04:05:00+02:00,,,,,,19.5,95.0,998.2,998.2,,,
2025-09-01 04:10:00+02:00,,,,,,19.4,95.0,998.1,998.1,,,
2025-09-01 04:15:00+02:00,,,,,,19.4,95.0,998.1,998.1,,,
2025-09-01 04:20:00+02:00,,,,,,19.3,95.0,998.1,998.1,,,
2025-09-01 04:25:00+02:00,,,,,,19.3,95.0,998.0,998.0,,,
2025-09-01 04:30:00+02:00,,,,,,19.3,95.0,998.3,998.3,,,
2025-09-01 04:35:00+02:00,,,,,,19.2,95.0,998.5,998.5,,,
2025-09-01 04:40:00+02:00,,,,,,19.2,95.0,998.3,998.3,,,
2025-09-01 04:45:00+02:00,,,,,,19.1,95.0,998.3,998.3,,,
2025-09-01 04:50:00+02:00,,,,,,19.1,95.0,998.3,998.3,,,
2025-09-01 04:55:00+02:00,,,,,,19.1,95.0,998.0,998.0,,,
2025-09-01 05:00:00+02:00,,,,,,19.0,95.0,997.9,997.9,,,
2025-09-01 05:05:00+02:00,,,,,,19.0,95.0,998.0,998.0,,,
2025-09-01 05:10:00+02:00,,,,,,19.0,95.0,998.0,998.0,,,
2025-09-01 05:15:00+02:00,,,,,,19.0,95.0,998.0,998.0,,,
2025-09-01 05:20:00+02:00,,,,,,18.9,95.0,998.0,998.0,,,
2025-09-01 05:25:00+02:00,,,,,,18.9,95.0,998.1,998.1,,,
2025-09-01 05:30:00+02:00,,,,,,18.9,95.0,997.9,997.9,,,
2025-09-01 05:35:00+02:00,,,,,,18.9,95.0,997.9,997.9,,,
2025-09-01 05:40:00+02:00,,,,,,18.8,95.0,998.0,998.0,,,
2025-09-01 05:45:00+02:00,,,,,,18.8,95.0,998.0,998.0,,,
2025-09-01 05:50:00+02:00,,,,,,18.8,95.0,998.0,998.0,,,
2025-09-01 05:55:00+02:00,,,,,,18.8,95.0,998.1,998.1,,,
2025-09-01 06:00:00+02:00,,,,,,18.7,95.0,998.3,998.3,,,
2025-09-01 06:05:00+02:00,,,,,,18.7,95.0,998.2,998.2,,,
2025-09-01 06:10:00+02:00,,,,,,18.7,95.0,998.3,998.3,,,
2025-09-01 06:15:00+02:00,,,,,,18.7,95.0,998.4,998.4,,,
2025-09-01 06:20:00+02:00,,,,,,18.6,95.0,998.4,998.4,,,
2025-09-01 06:25:00+02:00,,,,,,18.6,95.0,998.4,998.4,,,
2025-09-01 06:30:00+02:00,,,,,,18.6,95.0,998.5,998.5,,,
2025-09-01 06:35:00+02:00,,,,,,18.5,95.0,998.6,998.6,,,
2025-09-01 06:40:00+02:00,,,,,,18.5,95.0,998.6,998.6,,,
2025-09-01 06:45:00+02:00,,,,,,18.5,95.0,998.8,998.8,,,
2025-09-01 06:50:00+02:00,,,,,,18.4,95.0,998.8,998.8,,,
2025-09-01 06:55:00+02:00,,,,,,18.4,95.0,998.8,998.8,,,
2025-09-01 07:00:00+02:00,,,,,,18.4,95.0,998.5,998.5,,,
2025-09-01 07:05:00+02:00,,,,,,18.3,95.0,998.5,998.5,,,
2025-09-01 07:10:00+02:00,,,,,,18.3,95.0,998.6,998.6,,,
2025-09-01 07:15:00+02:00,,,,,,18.3,95.0,998.6,998.6,,,
2025-09-01 07:20:00+02:00,,,,,,18.2,95.0,998.5,998.5,,,
2025-09-01 07:25:00+02:00,,,,,,18.2,95.0,998.6,998.6,,,
2025-09-01 07:30:00+02:00,,,,,,18.2,95.0,998.5,998.5,,,
2025-09-01 07:35:00+02:00,,,,,,18.1,95.0,998.6,998.6,,,
2025-09-01 07:40:00+02:00,,,,,,18.1,95.0,998.5,998.5,,,
2025-09-01 07:45:00+02:00,,,,,,18.1,95.0,998.6,998.6,,,
2025-09-01 07:50:00+02:00,,,,,,18.1,95.0,998.7,998.7,,,
2025-09-01 07:55:00+02:00,,,,,,18.1,95.0,998.7,998.7,,,
2025-09-01 08:00:00+02:00,,,,,,18.0,95.0,998.7,998.7,,,
2025-09-01 08:05:00+02:00,,,,,,18.0,95.0,998.7,998.7,,,
2025-09-01 08:10:00+02:00,,,,,,18.0,95.0,998.7,998.7,,,
2025-09-01 08:15:00+02:00,,,,,,18.0,95.0,998.8,998.8,,,
2025-09-01 08:20:00+02:00,,,,,,17.9,95.0,998.9,998.9,,,
2025-09-01 08:25:00+02:00,,,,,,17.9,95.0,999.0,999.0,,,
2025-09-01 08:30:00+02:00,,,,,,17.9,95.0,999.0,999.0,,,
2025-09-01 08:35:00+02:00,,,,,,17.9,95.0,999.1,999.1,,,
2025-09-01 08:40:00+02:00,,,,,,17.9,95.0,999.1,999.1,,,
