datetime,outdoor_temperature,outdoor_feels_like,outdoor_app_temp,outdoor_dew_point,outdoor_humidity,indoor_temperature,indoor_humidity,pressure_relative,pressure_absolute,solar_and_uvi_solar,solar_and_uvi_uvi,rainfall_piezo_rain_rate,rainfall_piezo_daily,rainfall_piezo_event,rainfall_piezo_hourly,rainfall_piezo_weekly,rainfall_piezo_monthly,rainfall_piezo_yearly,wind_wind_speed,wind_wind_gust,wind_wind_direction,battery_haptic_array_battery,battery_haptic_array_capacitor
2025-01-01 01:00:00+01:00,,,,,,4.0,93.0,1010.5,1010.5,,,,,,,,,,,,,,
2025-01-01 01:05:00+01:00,,,,,,4.1,93.0,1010.4,1010.4,,,,,,,,,,,,,,
2025-01-01 01:10:00+01:00,,,,,,4.1,93.0,1010.4,1010.4,,,,,,,,,,,,,,
2025-01-01 01:15:00+01:00,,,,,,4.1,93.0,1010.5,1010.5,,,,,,,,,,,,,,
2025-01-01 01:20:00+01:00,,,,,,4.1,93.0,1010.4,1010.4,,,,,,,,,,,,,,
2025-01-01 01:25:00+01:00,,,,,,4.1,93.0,1010.3,1010.3,,,,,,,,,,,,,,
2025-01-01 01:30:00+01:00,,,,,,4.1,93.0,1010.2,1010.2,,,,,,,,,,,,,,
2025-01-01 01:35:00+01:00,,,,,,4.1,93.0,1010.2,1010.2,,,,,,,,,,,,,,
2025-01-01 01:40:00+01:00,,,,,,4.1,93.0,1010.0,1010.0,,,,,,,,,,,,,,
2025-01-01 01:45:00+01:00,,,,,,4.1,93.0,1010.0,1010.0,,,,,,,,,,,,,,
2025-01-01 01:50:00+01:00,,,,,,4.1,93.0,1010.0,1010.0,,,,,,,,,,,,,,
2025-01-01 01:55:00+01:00,,,,,,4.1,93.0,1010.0,1010.0,,,,,,,,,,,,,,
2025-01-01 02:00:00+01:00,,,,,,4.1,93.0,1010.0,1010.0,,,,,,,,,,,,,,
2025-01-01 02:05:00+01:00,,,,,,4.1,94.0,1009.8,1009.8,,,,,,,,,,,,,,
2025-01-01 02:10:00+01:00,,,,,,4.1,94.0,1009.6,1009.6,,,,,,,,,,,,,,
2025-01-01 02:15:00+01:00,,,,,,4.2,94.0,1009.5,1009.5,,,,,,,,,,,,,,
2025-01-01 02:20:00+01:00,,,,,,4.2,94.0,1009.6,1009.6,,,,,,,,,,,,,,
2025-01-01 02:25:00+01:00,,,,,,4.2,94.0,1009.6,1009.6,,,,,,,,,,,,,,
2025-01-01 02:30:00+01:00,,,,,,4.2,94.0,1009.6,1009.6,,,,,,,,,,,,,,
2025-01-01 02:35:00+01:00,,,,,,4.2,94.0,1009.6,1009.6,,,,,,,,,,,,,,
