,outdoor_temperature,outdoor_feels_like,outdoor_app_temp,outdoor_dew_point,outdoor_humidity,indoor_temperature,indoor_humidity,solar_and_uvi_solar,solar_and_uvi_uvi,rainfall_piezo_rain_rate,rainfall_piezo_daily,rainfall_piezo_event,rainfall_piezo_hourly,rainfall_piezo_weekly,rainfall_piezo_monthly,rainfall_piezo_yearly,wind_wind_speed,wind_wind_gust,wind_wind_direction,pressure_relative,pressure_absolute,battery_haptic_array_battery,battery_haptic_array_capacitor
2023-08-22 11:24:48,24.8,24.8,25.9,15.9,58.0,29.1,49.0,223.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,7.2,141.0,1011.8,1011.8,3.18,1.1
2023-08-22 11:29:04,24.8,24.8,24.9,15.8,58.0,29.0,49.0,316.6,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,13.3,153.0,1012.0,1012.0,3.18,1.2
2023-08-22 11:35:28,24.9,24.9,26.0,15.7,56.0,29.7,49.0,511.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.8,150.0,1012.0,1012.0,3.18,1.3
2023-08-22 11:39:44,25.6,25.6,26.9,16.4,57.0,30.1,49.0,709.6,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,8.6,159.0,1012.1,1012.1,3.18,1.4
2023-08-22 11:44:00,26.3,26.4,27.4,16.2,54.0,30.2,51.0,823.2,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,10.8,127.0,1012.1,1012.1,3.18,1.4
2023-08-22 11:58:56,26.1,26.1,26.9,15.4,52.0,30.6,53.0,379.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11.2,110.0,1012.3,1012.3,3.18,1.8
2023-08-22 12:05:20,25.9,25.9,26.5,16.0,54.0,30.7,54.0,448.8,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,16.2,124.0,1012.3,1012.3,3.18,1.8
2023-08-22 12:09:36,26.0,26.0,26.7,16.1,54.0,30.7,55.0,509.2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,13.3,152.0,1012.4,1012.4,3.18,1.9
2023-08-22 12:16:00,25.3,25.3,25.3,15.6,55.0,30.8,55.0,297.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7,19.8,145.0,1012.4,1012.4,3.18,1.9
2023-08-22 12:20:16,25.3,25.3,26.0,15.6,55.0,30.8,56.0,800.1,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,13.3,128.0,1012.4,1012.4,3.18,2.0
2023-08-22 12:24:32,26.1,26.1,26.8,15.9,53.0,30.8,56.0,857.5,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,17.6,153.0,1012.4,1012.4,3.18,2.0
2023-08-22 12:30:56,26.7,27.0,27.2,15.8,51.0,30.8,57.0,944.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,18.7,138.0,1012.4,1012.4,3.18,2.1
2023-08-22 12:35:12,26.6,26.9,26.8,15.6,51.0,30.9,57.0,694.2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,22.0,145.0,1012.5,1012.5,3.18,2.2
2023-08-22 12:39:28,26.7,26.8,26.8,15.5,50.0,31.0,58.0,881.5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,22.7,140.0,1012.6,1012.6,3.18,2.3
2023-08-22 12:45:52,28.0,28.3,29.1,16.0,48.0,31.1,58.0,865.2,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,8.6,125.0,1012.6,1012.6,3.18,2.4
2023-08-22 12:50:08,27.9,28.3,29.3,16.4,49.0,31.2,58.0,933.1,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.2,133.0,1012.5,1012.5,3.19,2.5
2023-08-22 12:54:24,27.5,27.9,28.2,15.9,49.0,31.2,59.0,843.9,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,15.1,131.0,1012.5,1012.5,3.2,2.6
2023-08-22 13:00:48,26.8,27.3,27.9,15.9,51.0,31.3,59.0,387.2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,15.1,123.0,1012.5,1012.5,3.2,2.7
2023-08-22 13:05:04,26.8,27.2,27.6,15.9,51.0,31.4,60.0,550.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,15.1,136.0,1012.5,1012.5,3.2,2.8
2023-08-22 13:09:20,25.9,25.9,26.3,15.6,53.0,31.4,60.0,543.4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,15.1,174.0,1012.6,1012.6,3.2,2.9
2023-08-22 13:15:44,25.6,25.6,26.2,15.6,54.0,31.5,61.0,385.6,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,12.6,148.0,1012.4,1012.4,3.2,2.9
2023-08-22 13:20:00,25.7,25.7,26.0,15.7,54.0,31.5,61.0,880.4,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,16.6,160.0,1012.4,1012.4,3.2,3.0
2023-08-22 13:24:16,26.3,26.3,26.7,15.8,52.0,31.6,61.0,714.8,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9,15.5,147.0,1012.3,1012.3,3.2,3.0
2023-08-22 13:39:12,24.9,24.9,25.0,15.7,57.0,31.7,62.0,315.9,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,16.9,155.0,1012.1,1012.1,3.2,3.2
2023-08-22 13:45:36,25.0,25.0,25.4,15.8,57.0,31.7,63.0,344.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9,16.2,161.0,1012.3,1012.3,3.2,3.2
2023-08-22 13:49:52,24.9,24.9,25.0,15.6,57.0,31.7,63.0,332.8,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,18.7,189.0,1012.3,1012.3,3.2,3.2
2023-08-22 13:54:08,24.9,24.9,25.5,15.8,57.0,31.7,63.0,423.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,15.5,187.0,1012.2,1012.2,3.2,3.2
2023-08-22 14:00:32,25.1,25.1,25.6,15.9,57.0,31.7,63.0,565.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,14.4,160.0,1012.3,1012.3,3.2,3.3
2023-08-22 14:04:48,24.9,24.9,25.5,15.7,57.0,31.7,63.0,362.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,15.1,162.0,1012.4,1012.4,3.2,3.3
2023-08-22 14:09:04,24.8,24.8,25.7,15.9,58.0,31.7,63.0,278.1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,16.9,165.0,1012.4,1012.4,3.2,3.4
2023-08-22 14:15:28,24.6,24.6,25.2,15.6,57.0,31.7,64.0,241.7,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,18.4,183.0,1012.4,1012.4,3.2,3.4
2023-08-22 14:19:44,24.5,24.5,24.8,15.6,58.0,31.7,64.0,235.9,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9,16.6,199.0,1012.3,1012.3,3.2,3.4
2023-08-22 14:24:00,24.4,24.4,25.3,16.0,59.0,31.6,64.0,196.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,12.2,157.0,1012.3,1012.3,3.2,3.4
2023-08-22 14:30:24,24.3,24.3,24.8,15.8,59.0,31.6,64.0,175.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,10.4,176.0,1012.4,1012.4,3.2,3.5
2023-08-22 14:34:40,24.1,24.1,24.5,15.6,59.0,31.5,64.0,212.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,13.0,164.0,1012.3,1012.3,3.2,3.5
2023-08-22 14:41:04,24.2,24.2,25.2,15.9,60.0,31.5,64.0,319.1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.1,180.0,1012.3,1012.3,3.2,3.5
2023-08-22 14:45:20,24.5,24.5,25.2,16.0,59.0,31.4,64.0,277.3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,14.0,197.0,1012.3,1012.3,3.2,3.5
2023-08-22 14:49:36,24.7,24.7,25.9,16.4,60.0,31.4,65.0,279.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,12.2,167.0,1012.3,1012.3,3.2,3.6
2023-08-22 14:56:00,24.5,24.5,25.3,16.2,60.0,31.4,65.0,299.1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,9.7,198.0,1012.3,1012.3,3.2,3.6
2023-08-22 15:00:16,24.4,24.4,25.4,16.1,60.0,31.3,65.0,191.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,14.0,204.0,1012.3,1012.3,3.2,3.7
2023-08-22 15:04:32,24.3,24.3,25.2,16.2,61.0,31.3,65.0,172.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,13.0,186.0,1012.4,1012.4,3.2,3.7
2023-08-22 15:10:56,24.1,24.1,24.3,15.9,60.0,31.2,65.0,163.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,14.0,195.0,1012.4,1012.4,3.2,3.7
2023-08-22 15:15:12,24.0,24.0,25.4,16.1,61.0,31.2,65.0,169.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,14.0,166.0,1012.3,1012.3,3.2,3.7
2023-08-22 15:19:28,24.0,24.0,24.4,16.0,61.0,31.2,65.0,191.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,12.2,192.0,1012.2,1012.2,3.2,3.7
2023-08-22 15:25:52,24.1,24.1,24.9,16.1,61.0,31.0,65.0,506.9,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,16.9,195.0,1012.1,1012.1,3.2,3.7
2023-08-22 15:30:08,24.9,24.9,25.7,16.2,59.0,31.0,66.0,532.4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,15.8,200.0,1012.1,1012.1,3.2,3.8
2023-08-22 15:34:24,25.0,25.0,25.8,16.2,58.0,31.0,66.0,420.2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,13.7,172.0,1012.1,1012.1,3.2,3.8
2023-08-22 15:40:48,24.9,24.9,25.6,16.4,59.0,31.0,66.0,411.7,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,15.5,164.0,1012.1,1012.1,3.2,3.9
2023-08-22 15:45:04,24.9,24.9,25.9,16.0,58.0,30.9,66.0,411.8,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.7,180.0,1012.2,1012.2,3.2,3.9
2023-08-22 15:49:20,25.4,25.4,26.7,16.4,58.0,30.9,66.0,340.6,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,9.0,160.0,1012.2,1012.2,3.2,4.0
2023-08-22 15:55:44,25.1,25.1,25.3,16.1,58.0,30.9,66.0,261.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,16.2,162.0,1012.2,1012.2,3.2,4.0
2023-08-22 16:00:00,24.5,24.5,25.1,15.7,58.0,30.8,66.0,333.8,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,16.6,185.0,1012.1,1012.1,3.2,4.1
2023-08-22 16:04:16,24.5,24.5,25.3,15.8,59.0,30.8,66.0,224.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,13.0,207.0,1012.2,1012.2,3.2,4.1
2023-08-22 16:10:40,24.4,24.4,25.2,16.0,59.0,30.7,66.0,179.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,17.3,189.0,1012.0,1012.0,3.2,4.1
2023-08-22 16:14:56,24.2,24.2,24.7,15.8,60.0,30.7,67.0,154.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4,12.2,193.0,1012.1,1012.1,3.2,4.1
2023-08-22 16:19:12,24.2,24.2,25.5,16.0,61.0,30.6,67.0,168.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,7.2,201.0,1012.0,1012.0,3.2,4.1
2023-08-22 16:25:36,24.3,24.3,25.6,16.1,60.0,30.5,67.0,172.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,8.3,183.0,1012.1,1012.1,3.2,4.1
2023-08-22 16:29:52,24.4,24.4,25.8,15.8,59.0,30.5,67.0,260.9,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,8.3,170.0,1012.1,1012.1,3.2,4.2
2023-08-22 16:34:08,24.6,24.6,25.3,15.7,58.0,30.4,67.0,236.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,8.3,182.0,1012.1,1012.1,3.2,4.2
2023-08-22 16:40:32,24.6,24.6,25.0,15.3,56.0,30.4,67.0,225.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,11.2,169.0,1012.0,1012.0,3.2,4.2
2023-08-22 16:44:48,24.0,24.0,24.1,15.1,58.0,30.3,67.0,159.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,15.8,181.0,1012.0,1012.0,3.2,4.2
2023-08-22 16:49:04,24.3,24.3,25.5,15.5,58.0,30.2,67.0,156.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,149.0,1011.9,1011.9,3.2,4.3
2023-08-22 16:55:28,24.7,24.7,25.8,15.4,56.0,30.2,68.0,164.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,6.8,149.0,1012.0,1012.0,3.2,4.3
2023-08-22 16:59:44,25.2,25.2,26.2,15.9,57.0,30.1,68.0,128.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,11.9,189.0,1011.9,1011.9,3.2,4.3
2023-08-22 17:04:00,25.1,25.1,26.0,15.8,56.0,30.1,68.0,116.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.7,160.0,1012.0,1012.0,3.2,4.3
2023-08-22 17:10:24,25.2,25.2,25.9,15.4,54.0,30.0,68.0,116.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,9.0,183.0,1011.9,1011.9,3.19,4.3
2023-08-22 17:14:40,25.0,25.0,26.0,15.1,54.0,30.0,68.0,88.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,10.1,154.0,1012.0,1012.0,3.18,4.3
