datetime,outdoor_temperature,outdoor_feels_like,outdoor_app_temp,outdoor_dew_point,outdoor_humidity,indoor_temperature,indoor_humidity,indoor_dew_point,indoor_feels_like,indoor_app_tempin,solar_and_uvi_solar,solar_and_uvi_uvi,rainfall_piezo_rain_rate,rainfall_piezo_daily,rainfall_piezo_event,rainfall_piezo_1_hour,rainfall_piezo_weekly,rainfall_piezo_monthly,rainfall_piezo_yearly,wind_wind_speed,wind_wind_gust,wind_wind_direction,pressure_relative,pressure_absolute,battery_haptic_array_battery,battery_haptic_array_capacitor
2025-09-27 00:00:00+02:00,11.0,11.0,10.5,10.1,94.0,15.2,90.0,13.6,15.2,16.3,0.0,0.0,0.0,0.0,1.2,1.0,1.2,5.8,74.5,3.3,5.8,177.0,1013.2,1013.2,0.6,1.8
2025-09-27 00:05:00+02:00,11.0,11.0,10.5,10.1,94.0,15.2,90.0,13.6,15.2,16.3,0.0,0.0,0.0,0.0,1.2,0.8,1.2,5.8,74.5,2.8,4.3,171.0,1013.2,1013.2,0.6,1.8
2025-09-27 00:10:00+02:00,10.9,10.9,10.3,10.0,94.0,15.1,90.0,13.5,15.1,16.2,0.0,0.0,0.0,0.0,1.2,0.7,1.2,5.8,74.5,3.4,5.0,188.0,1013.2,1013.2,0.6,1.8
2025-09-27 00:15:00+02:00,10.9,10.9,10.3,10.1,95.0,15.1,90.0,13.5,15.1,16.2,0.0,0.0,0.0,0.0,1.2,0.6,1.2,5.8,74.5,3.7,7.2,180.0,1013.1,1013.1,0.6,1.8
2025-09-27 00:20:00+02:00,10.8,10.8,10.2,10.0,95.0,15.0,90.0,13.4,15.0,16.0,0.0,0.0,0.0,0.0,1.2,0.6,1.2,5.8,74.5,3.6,7.9,179.0,1013.1,1013.1,0.6,1.9
2025-09-27 00:25:00+02:00,10.8,10.8,10.1,10.0,95.0,15.0,90.0,13.3,15.0,16.0,0.0,0.0,0.0,0.0,1.2,0.5,1.2,5.8,74.5,4.0,7.6,194.0,1013.1,1013.1,0.6,1.9
2025-09-27 00:30:00+02:00,10.8,10.8,10.2,10.0,95.0,14.9,89.0,13.1,14.9,15.9,0.0,0.0,0.0,0.0,1.2,0.3,1.2,5.8,74.5,3.4,7.6,173.0,1013.1,1013.1,0.6,1.9
2025-09-27 00:35:00+02:00,10.7,10.7,9.9,10.0,95.0,14.9,89.0,13.1,14.9,15.9,0.0,0.0,0.0,0.0,1.2,0.2,1.2,5.8,74.5,4.4,7.6,166.0,1012.9,1012.9,0.6,1.9
2025-09-27 00:40:00+02:00,10.7,10.7,10.0,9.9,95.0,14.8,89.0,13.0,14.8,15.8,0.0,0.0,0.0,0.0,1.2,0.1,1.2,5.8,74.5,3.8,8.6,186.0,1013.0,1013.0,0.6,1.9
2025-09-27 00:45:00+02:00,10.7,10.7,9.6,9.9,95.0,14.8,89.0,13.0,14.8,15.7,0.0,0.0,0.0,0.0,1.2,0.1,1.2,5.8,74.5,5.5,8.3,172.0,1013.0,1013.0,0.6,1.9
2025-09-27 00:50:00+02:00,10.7,10.7,10.0,9.9,95.0,14.8,90.0,13.1,14.8,15.7,0.0,0.0,0.0,0.0,1.2,0.0,1.2,5.8,74.5,3.7,9.4,176.0,1013.0,1013.0,0.6,1.9
2025-09-27 00:55:00+02:00,10.7,10.7,9.9,9.9,95.0,14.7,90.0,13.1,14.7,15.7,0.0,0.0,0.0,0.0,1.2,0.0,1.2,5.8,74.5,4.2,8.3,183.0,1012.8,1012.8,0.6,1.9
2025-09-27 01:00:00+02:00,10.7,10.7,9.7,9.9,95.0,14.7,90.0,13.1,14.7,15.7,0.0,0.0,0.0,0.0,1.2,0.0,1.2,5.8,74.5,5.0,10.1,178.0,1013.0,1013.0,0.6,1.9
2025-09-27 01:05:00+02:00,10.7,10.7,10.1,9.9,95.0,14.7,90.0,13.1,14.7,15.7,0.0,0.0,0.0,0.0,1.2,0.0,1.2,5.8,74.5,3.0,6.8,170.0,1012.9,1012.9,0.6,1.9
2025-09-27 01:10:00+02:00,10.7,10.7,10.1,9.9,95.0,14.7,90.0,13.1,14.7,15.6,0.0,0.0,0.0,0.0,1.2,0.0,1.2,5.8,74.5,3.1,6.1,177.0,1012.9,1012.9,0.6,1.9
2025-09-27 01:20:00+02:00,10.6,10.6,9.7,9.8,95.0,14.6,90.0,13.0,14.6,15.5,0.0,0.0,0.0,0.0,1.2,0.0,1.2,5.8,74.5,4.7,7.9,195.0,1012.6,1012.6,0.6,1.9
2025-09-27 01:25:00+02:00,10.7,10.7,10.0,9.9,95.0,14.6,90.0,13.0,14.6,15.5,0.0,0.0,0.0,0.0,1.2,0.0,1.2,5.8,74.5,3.3,7.9,188.0,1012.8,1012.8,0.6,1.9
2025-09-27 01:30:00+02:00,10.7,10.7,9.8,9.9,95.0,14.5,90.0,12.9,14.5,15.4,0.0,0.0,0.0,0.0,1.2,0.0,1.2,5.8,74.5,4.5,8.6,177.0,1013.0,1013.0,0.6,1.8
2025-09-27 01:35:00+02:00,10.7,10.7,9.8,9.9,95.0,14.5,90.0,12.9,14.5,15.4,0.0,0.0,0.0,0.0,1.2,0.0,1.2,5.8,74.5,4.8,10.4,181.0,1013.0,1013.0,0.6,1.8
2025-09-27 01:40:00+02:00,10.6,10.6,9.8,9.8,95.0,14.5,90.0,12.9,14.5,15.4,0.0,0.0,0.0,0.0,1.2,0.0,1.2,5.8,74.5,4.3,10.1,176.0,1012.9,1012.9,0.6,1.8
2025-09-27 01:45:00+02:00,10.6,10.6,9.8,9.8,95.0,14.4,90.0,12.8,14.4,15.3,0.0,0.0,0.0,0.0,1.2,0.0,1.2,5.8,74.5,4.2,7.6,177.0,1012.9,1012.9,0.6,1.8
2025-09-27 01:50:00+02:00,10.7,10.7,9.9,9.9,95.0,14.4,90.0,12.8,14.4,15.3,0.0,0.0,0.0,0.0,1.2,0.0,1.2,5.8,74.5,4.1,6.5,160.0,1012.9,1012.9,0.6,1.8
2025-09-27 01:55:00+02:00,10.6,10.6,9.7,9.8,95.0,14.4,90.0,12.8,14.4,15.3,0.0,0.0,0.0,0.0,1.2,0.0,1.2,5.8,74.5,4.7,13.7,175.0,1012.9,1012.9,0.6,1.8
2025-09-27 02:00:00+02:00,10.6,10.6,9.6,9.8,95.0,14.4,90.0,12.8,14.4,15.3,0.0,0.0,0.0,0.0,1.2,0.0,1.2,5.8,74.5,4.9,7.6,162.0,1013.1,1013.1,0.6,1.8
2025-09-27 02:05:00+02:00,10.6,10.6,9.8,9.8,95.0,14.3,90.0,12.7,14.3,15.2,0.0,0.0,0.0,0.0,1.2,0.0,1.2,5.8,74.5,4.0,7.2,172.0,1012.8,1012.8,0.6,1.8
2025-09-27 02:10:00+02:00,10.6,10.6,10.0,9.8,95.0,14.3,90.0,12.7,14.3,15.1,0.0,0.0,0.0,0.0,1.2,0.0,1.2,5.8,74.5,2.9,6.5,158.0,1012.8,1012.8,0.6,1.8
2025-09-27 02:15:00+02:00,10.6,10.6,10.2,9.8,95.0,14.3,90.0,12.7,14.3,15.1,0.0,0.0,0.0,0.0,1.2,0.0,1.2,5.8,74.5,2.2,4.0,167.0,1012.9,1012.9,0.6,1.8
2025-09-27 02:20:00+02:00,10.6,10.6,10.5,9.8,95.0,14.3,90.0,12.7,14.3,15.1,0.0,0.0,0.0,0.0,1.2,0.0,1.2,5.8,74.5,0.4,2.9,180.0,1012.8,1012.8,0.6,1.7
2025-09-27 02:25:00+02:00,10.6,10.6,10.5,9.8,95.0,14.3,90.0,12.7,14.3,15.1,0.0,0.0,0.0,0.0,1.2,0.0,1.2,5.8,74.5,0.7,2.5,123.0,1012.7,1012.7,0.6,1.7
2025-09-27 02:30:00+02:00,10.6,10.6,10.4,9.8,95.0,14.3,90.0,12.7,14.3,15.1,0.0,0.0,0.0,0.0,1.2,0.0,1.2,5.8,74.5,0.9,2.5,150.0,1012.8,1012.8,0.6,1.7
2025-09-27 02:35:00+02:00,10.7,10.7,10.4,9.9,95.0,14.3,90.0,12.6,14.3,15.1,0.0,0.0,0.0,0.0,1.2,0.0,1.2,5.8,74.5,1.7,3.2,138.0,1012.7,1012.7,0.6,1.7
2025-09-27 02:40:00+02:00,10.6,10.6,10.3,9.9,95.0,14.2,90.0,12.6,14.2,15.0,0.0,0.0,0.0,0.0,1.2,0.0,1.2,5.8,74.5,1.8,3.6,130.0,1012.7,1012.7,0.6,1.7
2025-09-27 02:45:00+02:00,10.6,10.6,10.4,9.8,95.0,14.2,90.0,12.6,14.2,15.0,0.0,0.0,0.0,0.0,1.2,0.0,1.2,5.8,74.5,0.9,3.2,125.0,1012.7,1012.7,0.6,1.7
2025-09-27 02:50:00+02:00,10.6,10.6,10.2,9.8,95.0,14.2,90.0,12.6,14.2,15.0,0.0,0.0,0.0,0.0,1.2,0.0,1.2,5.8,74.5,1.9,3.6,163.0,1012.6,1012.6,0.6,1.7
2025-09-27 02:55:00+02:00,10.5,10.5,10.1,9.7,95.0,14.2,90.0,12.6,14.2,15.0,0.0,0.0,0.0,0.0,1.2,0.0,1.2,5.8,74.5,1.9,4.3,165.0,1012.5,1012.5,0.6,1.7
2025-09-27 03:00:00+02:00,10.5,10.5,10.3,9.7,95.0,14.2,90.0,12.6,14.2,15.0,0.0,0.0,0.0,0.0,1.2,0.0,1.2,5.8,74.5,1.2,4.0,169.0,1012.6,1012.6,0.6,1.7
2025-09-27 03:05:00+02:00,10.5,10.5,10.2,9.7,95.0,14.2,90.0,12.6,14.2,15.0,0.0,0.0,0.0,0.0,1.2,0.0,1.2,5.8,74.5,1.4,2.9,136.0,1012.5,1012.5,0.6,1.7
2025-09-27 03:10:00+02:00,10.5,10.5,10.2,9.8,96.0,14.1,90.0,12.5,14.1,14.9,0.0,0.0,0.0,0.0,1.2,0.0,1.2,5.8,74.5,1.5,3.2,157.0,1012.5,1012.5,0.6,1.6
2025-09-27 03:15:00+02:00,10.4,10.4,9.9,9.8,96.0,14.1,90.0,12.5,14.1,14.9,0.0,0.0,0.0,0.0,1.2,0.0,1.2,5.8,74.5,2.3,4.0,159.0,1012.3,1012.3,0.6,1.6
2025-09-27 03:20:00+02:00,10.4,10.4,9.8,9.8,96.0,14.1,90.0,12.5,14.1,14.9,0.0,0.0,0.0,0.0,1.2,0.0,1.2,5.8,74.5,2.8,5.0,169.0,1012.3,1012.3,0.6,1.6
2025-09-27 03:25:00+02:00,10.5,10.5,9.9,9.8,96.0,14.1,90.0,12.5,14.1,14.9,0.0,0.0,0.0,0.0,1.2,0.0,1.2,5.8,74.5,3.1,5.0,173.0,1012.5,1012.5,0.6,1.6
2025-09-27 03:30:00+02:00,10.5,10.5,9.8,9.9,96.0,14.1,90.0,12.5,14.1,14.9,0.0,0.0,0.0,0.0,1.2,0.0,1.2,5.8,74.5,3.6,6.1,173.0,1012.5,1012.5,0.6,1.6
2025-09-27 03:35:00+02:00,10.4,10.4,9.7,9.8,96.0,14.1,90.0,12.5,14.1,14.9,0.0,0.0,0.0,0.0,1.2,0.0,1.2,5.8,74.5,3.4,6.8,175.0,1012.3,1012.3,0.6,1.6
2025-09-27 03:40:00+02:00,10.4,10.4,9.6,9.8,96.0,14.0,90.0,12.4,14.0,14.8,0.0,0.0,0.0,0.0,1.2,0.0,1.2,5.8,74.5,4.0,6.5,185.0,1012.4,1012.4,0.6,1.6
