datetime,outdoor_temperature,outdoor_feels_like,outdoor_app_temp,outdoor_dew_point,outdoor_humidity,indoor_temperature,indoor_humidity,solar_and_uvi_solar,solar_and_uvi_uvi,rainfall_piezo_rain_rate,rainfall_piezo_daily,rainfall_piezo_event,rainfall_piezo_hourly,rainfall_piezo_weekly,rainfall_piezo_monthly,rainfall_piezo_yearly,wind_wind_speed,wind_wind_gust,wind_wind_direction,pressure_relative,pressure_absolute,battery_haptic_array_battery,battery_haptic_array_capacitor,indoor_dew_point,indoor_feels_like,indoor_app_tempin,rainfall_piezo_1_hour
2025-09-01 00:00:00+02:00,17.3,17.3,19.6,16.8,97.0,23.3,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,68.7,0.5,3.2,208.0,999.4,999.4,1.1,2.8,,,,
2025-09-01 00:05:00+02:00,17.4,17.4,19.6,16.9,97.0,23.3,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,68.7,0.7,2.9,294.0,999.3,999.3,1.1,2.8,,,,
2025-09-01 00:10:00+02:00,17.5,17.5,19.8,16.8,96.0,23.2,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,68.7,0.0,2.5,190.0,999.4,999.4,1.1,2.8,,,,
2025-09-01 00:15:00+02:00,17.6,17.6,19.8,16.9,96.0,23.2,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,68.7,0.5,2.5,230.0,999.3,999.3,1.1,2.8,,,,
2025-09-01 00:20:00+02:00,17.6,17.6,20.0,17.0,96.0,23.1,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,68.7,0.0,2.5,175.0,999.4,999.4,1.1,2.7,,,,
2025-09-01 00:25:00+02:00,17.7,17.7,20.0,16.9,95.0,23.1,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,68.7,0.0,3.2,132.0,999.4,999.4,1.1,2.7,,,,
2025-09-01 00:30:00+02:00,17.8,17.8,20.1,16.8,94.0,23.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,68.7,0.0,3.2,176.0,999.3,999.3,1.1,2.7,,,,
2025-09-01 00:35:00+02:00,17.9,17.9,20.0,16.9,94.0,23.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,68.7,1.1,3.2,160.0,999.2,999.2,1.1,2.7,,,,
2025-09-01 00:40:00+02:00,17.9,17.9,20.2,16.9,94.0,22.9,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,68.7,0.4,3.2,124.0,999.3,999.3,1.1,2.7,,,,
2025-09-01 00:45:00+02:00,17.9,17.9,20.3,16.9,94.0,22.9,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,68.7,0.0,2.2,221.0,999.4,999.4,1.1,2.7,,,,
2025-09-01 00:50:00+02:00,17.9,17.9,20.2,16.8,93.0,22.9,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,68.7,0.4,2.9,93.0,999.4,999.4,1.1,2.7,,,,
2025-09-01 00:55:00+02:00,18.2,18.2,20.3,17.0,93.0,22.8,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,68.7,1.2,4.0,123.0,999.6,999.6,1.1,2.6,,,,
2025-09-01 01:00:00+02:00,18.1,18.1,20.2,16.9,92.0,22.8,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,68.7,1.2,5.4,233.0,999.5,999.5,1.1,2.6,,,,
2025-09-01 01:05:00+02:00,18.3,18.3,20.4,16.8,91.0,22.8,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,68.7,0.9,3.6,153.0,999.6,999.6,1.09,2.5,,,,
