Name,Latitude,Longitude,MAC
Buscheyplatz-65D3,51.449531,7.261935,94:3C:C6:42:65:D3
Werner Hellweg-FB,51.492428,7.309674,94:3C:C6:45:1B:FB
Leonardo da Vinci WIFI201F,51.450495,7.276441,94:3C:C6:45:20:1F
Agnesstr,51.495545,7.214413,94:3C:C6:92:6A:C7
Böckenberg,51.498637,7.247104,B8:D6:1A:7A:CC:C7
Ladenzeile Rosenberg,51.50452,7.267107,B8:D6:1A:7A:CD:A3
Ruhrauenpark,51.431261,7.132451,B8:D6:1A:7A:CD:AB
Old Watsche,51.48202,7.13424,B8:D6:1A:7A:CE:0B
Weitmar Kuhlenkamp,51.444992,7.200152,B8:D6:1A:7A:D0:93
Ümminger See,51.467255,7.291534,B8:D6:1A:7A:D1:23
Westpark-WIFI66AB,51.484449,7.194778,C4:DD:57:CF:66:AB
Zeche Holland,51.483734,7.126077,C4:DD:57:CF:67:0B
