Obj_Nr_neu,Lage,Bezeichnung,Schutzgrund,Rechtswert,Hochwert
LP - M/O  2,Alte Wittener Str. 114,Blutbuche,Seltenheit; Schönheit; Eigenart,380755,5702745
LP - M/O  4,Markstr. - Untere Heintzmannstr. ggü. Ha,Stieleiche,Eigenart; Schönheit,379316,5702462
LP - M/O  5,"Im Lottental ""Zeche Klosterbusch""",Geologischer Aufschluss,wissenschaftlich; naturgeschichtlich; landeskundlich,379853,5700266
LP - M/O  6,Auf dem Kalwes 231-233,Stieleiche,Schönheit,380966,5700193
LP - M/O  9,Im Sonderfeld 68,Edelkastanie,Seltenheit; Schönheit; Eigenart,377398,5697393
LP - M/O 10,An der Alten Fähre 1,Edelkastanie,Seltenheit; Schönheit; Eigenart,377205,5697429
LP - M/O 11,Haarstr. 19,Winterlinde,Seltenheit; Schönheit; Eigenart,377214,5699519
LP - W  2,Helfstr. (Fischteich),Esche,Seltenheit; Schönheit,370036,5702960
LP - W  4,Schloßpark Weitmar,Blutbuche,Seltenheit; Schönheit,374240,5701270
LP - W  5,Schloßpark Weitmar,Eibe,Seltenheit; Schönheit,374180,5701214
LP - W  6,Schloßpark Weitmar,Eibe,Seltenheit; Schönheit,374208,5701214
LP - W  7,Schloßpark Weitmar,Eibe,Seltenheit; Schönheit,374199,5701183
LP - W  8,Schloßpark Weitmar,Eibe,Seltenheit; Schönheit,374170,5701139
LP - W 12,Schloßpark Weitmar,Eibe,Seltenheit; Schönheit,374354,5701170
LP - W 13,Schloßpark Weitmar,Edelkastanie,Seltenheit; Schönheit,374357,5701165
LP - W 14,Schloßpark Weitmar,Edelkastanie,Seltenheit; Schönheit,374342,5701141
NDV  2,Herner Str. 43,Findling (Schwarzer Granit),Erdgeschichtliche Gründe; Seltenheit,375983,5705614
NDV  3,Krampenhof 7,Findling (Schwarzer Granit),Erdgeschichtliche Gründe,371532,5699189
NDV  4,Am Thie 9,Blutbuche,Seltenheit; Eigenart,373138,5702263
NDV  6,Hansastr. 104 b,Blutbuche,Seltenheit; Eigenart,372184,5705458
NDV  7,Hansastr. 121,Rosskastanie,Seltenheit; Eigenart,372553,5705537
NDV  9,Reiterweg 11-13,Blutbuche,Seltenheit; Eigenart,372213,5702388
NDV 10,Reiterweg 11-13,Buchsbaumgruppe,Seltenheit; Eigenart,372207,5702381
NDV 12,Batestr. 9,Stieleiche,Seltenheit; Eigenart,383722,5703934
NDV 13,Lindener Str. 128,Eibe,Eigenart,372466,5698834
NDV 14,Lindener Str. 128,Eibe,Eigenart,372451,5698824
NDV 15,Auf dem Aspei 47,Esskastanie,Seltenheit; Schönheit; Eigenart,379442,5701583
NDV 16,Unterm Kolm 10,Süntelbuche,Seltenheit; Schönheit; Eigenart,377134,5700076
NDV 17,Oveneystr. 10,Edelkastanie,Seltenheit; Eigenart,378089,5697840
NDV 18,Düsterstr. geg. Haus Nr. 7,Stieleiche,Seltenheit; Eigenart,377915,5697915
NDV 20,An der Papenburg 30,Rosskastanie,Seltenheit; Eigenart,370278,5704698
NDV 22,Pestalozzistr. 21,Feldulme,Seltenheit; Schönheit; Eigenart,374197,5703744
NDV 23,Dürertal/ Liebermannstr.,Findling (heller Granit),Erdgeschichtliche Gründe; Seltenheit,375054,5702326
NDV 24,Schnatstr. 37,Eibe,Seltenheit; Eigenart,373258,5700783
NDV 27,Ridderstr. 22,Blutbuche,Seltenheit; Eigenart,371036,5703731
NDV 28,Am Dornbusch,Ehemaliger Steinbruch,Erdgeschichtliche Gründe; Seltenheit,377310,5703517
