datetime,logger_id,name,latitude,longitude,pegel,wtemp,o,do,elL,hkBat,hkTemp,hkHum
2024-09-04 00:00:00,900193,Teich im Bockholt,51.50471,7.28002,108.476,22.5,1.305,0.112,451,3.707,22.89,100
2024-09-04 00:15:01,900193,Teich im Bockholt,51.50471,7.28002,108.476,22.45,15.844,1.368,440,3.684,22.8,100
2024-09-04 00:30:01,900193,Teich im Bockholt,51.50471,7.28002,108.476,22.4,2.755,0.238,442,,,
2024-09-04 00:45:01,900193,Teich im Bockholt,51.50471,7.28002,108.476,22.35,11.573,1.001,436,,,
2024-09-04 01:00:00,900193,Teich im Bockholt,51.50471,7.28002,108.476,22.35,3.897,0.337,432,3.712,22.18,100
2024-09-04 01:15:00,900193,Teich im Bockholt,51.50471,7.28002,108.476,22.3,0.171,0.015,439,3.687,22.04,100
2024-09-04 01:30:00,900193,Teich im Bockholt,51.50471,7.28002,108.476,22.25,0,0,439,,,
2024-09-04 01:45:00,900193,Teich im Bockholt,51.50471,7.28002,108.476,22.2,0.235,0.02,443,,,
2024-09-04 02:00:00,900193,Teich im Bockholt,51.50471,7.28002,108.476,22.2,0,0,448,3.711,21.49,100
2024-09-04 02:15:00,900193,Teich im Bockholt,51.50471,7.28002,108.476,22.15,0.725,0.063,442,3.684,21.4,100
2024-09-04 02:30:00,900193,Teich im Bockholt,51.50471,7.28002,108.476,22.15,0,0,436,,,
2024-09-04 02:45:00,900193,Teich im Bockholt,51.50471,7.28002,108.476,22.1,0,0,439,,,
2024-09-04 03:00:00,900193,Teich im Bockholt,51.50471,7.28002,108.476,22.05,0,0,441,3.709,21.07,100
2024-09-04 03:15:00,900193,Teich im Bockholt,51.50471,7.28002,108.476,22,0,0,458,3.684,21.05,100
2024-09-04 03:30:00,900193,Teich im Bockholt,51.50471,7.28002,108.476,22,0,0,480,,,
2024-09-04 03:45:00,900193,Teich im Bockholt,51.50471,7.28002,108.476,21.95,0,0,472,,,
2024-09-04 04:00:01,900193,Teich im Bockholt,51.50471,7.28002,108.476,21.95,0,0,474,3.712,20.92,100
2024-09-04 04:15:00,900193,Teich im Bockholt,51.50471,7.28002,108.476,21.95,0,0,470,3.68,20.98,100
2024-09-04 04:30:00,900193,Teich im Bockholt,51.50471,7.28002,108.476,21.95,0.489,0.043,474,,,
2024-09-04 04:45:00,900193,Teich im Bockholt,51.50471,7.28002,108.476,21.9,0,0,458,,,
2024-09-04 05:00:01,900193,Teich im Bockholt,51.50471,7.28002,108.476,21.9,0,0,457,3.705,20.99,100
2024-09-04 05:15:00,900193,Teich im Bockholt,51.50471,7.28002,108.476,21.85,0,0,451,3.672,21.14,100
2024-09-04 05:30:00,900193,Teich im Bockholt,51.50471,7.28002,108.476,21.85,0.929,0.081,448,,,
2024-09-04 05:45:00,900193,Teich im Bockholt,51.50471,7.28002,108.476,21.85,0,0,446,,,
2024-09-04 06:00:01,900193,Teich im Bockholt,51.50471,7.28002,108.476,21.85,0,0,445,3.701,21.16,100
2024-09-04 06:15:01,900193,Teich im Bockholt,51.50471,7.28002,108.475,21.8,0,0,445,3.679,21.26,100
2024-09-04 06:30:01,900193,Teich im Bockholt,51.50471,7.28002,108.476,21.8,0,0,443,3.679,21.34,100
2024-09-04 06:45:01,900193,Teich im Bockholt,51.50471,7.28002,108.476,21.75,0,0,447,3.676,21.39,100
2024-09-04 07:00:01,900193,Teich im Bockholt,51.50471,7.28002,108.476,21.75,0,0,454,3.684,21.44,100
2024-09-04 07:15:00,900193,Teich im Bockholt,51.50471,7.28002,108.475,21.75,0,0,454,3.675,21.57,100
2024-09-04 07:30:00,900193,Teich im Bockholt,51.50471,7.28002,108.475,21.75,0,0,459,,,
2024-09-04 07:45:00,900193,Teich im Bockholt,51.50471,7.28002,108.475,21.7,0,0,458,,,
2024-09-04 08:00:01,900193,Teich im Bockholt,51.50471,7.28002,108.475,21.7,0,0,454,3.7,21.55,100
2024-09-04 08:15:00,900193,Teich im Bockholt,51.50471,7.28002,108.477,21.65,0,0,459,3.684,21.62,100
2024-09-04 08:30:00,900193,Teich im Bockholt,51.50471,7.28002,108.477,21.65,0,0,458,,,
2024-09-04 08:45:00,900193,Teich im Bockholt,51.50471,7.28002,108.485,21.65,0,0,456,,,
2024-09-04 09:00:00,900193,Teich im Bockholt,51.50471,7.28002,108.488,21.65,0,0,451,3.705,21.72,100
2024-09-04 09:15:00,900193,Teich im Bockholt,51.50471,7.28002,108.489,21.65,0,0,453,3.685,21.77,100
2024-09-04 09:30:00,900193,Teich im Bockholt,51.50471,7.28002,108.492,21.65,0,0,447,,,
2024-09-04 09:45:00,900193,Teich im Bockholt,51.50471,7.28002,108.493,21.65,0,0,440,,,
2024-09-04 10:00:01,900193,Teich im Bockholt,51.50471,7.28002,108.494,21.6,0,0,440,3.712,21.42,100
2024-09-04 10:15:00,900193,Teich im Bockholt,51.50471,7.28002,108.5,21.5,0,0,443,3.682,21.27,100
2024-09-04 10:30:00,900193,Teich im Bockholt,51.50471,7.28002,108.524,21.45,0,0,433,,,
2024-09-04 10:45:00,900193,Teich im Bockholt,51.50471,7.28002,108.53,21.45,0,0,441,,,
2024-09-04 11:00:00,900193,Teich im Bockholt,51.50471,7.28002,108.531,20.85,4.047,0.362,385,3.708,20.77,100
2024-09-04 11:15:00,900193,Teich im Bockholt,51.50471,7.28002,108.53,20.65,1.663,0.149,360,3.688,20.74,100
2024-09-04 11:30:00,900193,Teich im Bockholt,51.50471,7.28002,108.529,20.6,2.224,0.2,345,,,
2024-09-04 11:45:00,900193,Teich im Bockholt,51.50471,7.28002,108.527,20.6,0.615,0.055,353,,,
2024-09-04 12:00:01,900193,Teich im Bockholt,51.50471,7.28002,108.525,20.6,0.903,0.081,334,3.703,20.54,100
2024-09-04 12:15:00,900193,Teich im Bockholt,51.50471,7.28002,108.524,20.5,4.046,0.364,307,3.681,20.62,100
2024-09-04 12:30:00,900193,Teich im Bockholt,51.50471,7.28002,108.523,20.4,0,0,298,,,
2024-09-04 12:45:00,900193,Teich im Bockholt,51.50471,7.28002,108.521,20.4,1.36,0.122,295,,,
2024-09-04 13:00:01,900193,Teich im Bockholt,51.50471,7.28002,108.52,20.35,3.166,0.285,295,3.702,20.95,100
2024-09-04 13:15:00,900193,Teich im Bockholt,51.50471,7.28002,108.517,20.35,0.144,0.013,283,3.686,21.34,100
2024-09-04 13:30:00,900193,Teich im Bockholt,51.50471,7.28002,108.515,20.35,0.288,0.026,296,,,
2024-09-04 13:45:00,900193,Teich im Bockholt,51.50471,7.28002,108.513,20.4,1.506,0.136,301,,,
2024-09-04 14:00:01,900193,Teich im Bockholt,51.50471,7.28002,108.511,20.4,0,0,296,3.699,22.31,100
2024-09-04 14:15:00,900193,Teich im Bockholt,51.50471,7.28002,108.509,20.45,0,0,301,3.685,22.42,100
2024-09-04 14:30:00,900193,Teich im Bockholt,51.50471,7.28002,108.508,20.45,0,0,296,3.679,22.45,100
2024-09-04 14:45:00,900193,Teich im Bockholt,51.50471,7.28002,108.506,20.45,0,0,299,3.684,22.45,100
2024-09-04 15:00:00,900193,Teich im Bockholt,51.50471,7.28002,108.505,20.45,0,0,301,3.677,22.42,100
2024-09-04 15:15:00,900193,Teich im Bockholt,51.50471,7.28002,108.503,20.5,0,0,305,3.685,22.36,100
2024-09-04 15:30:00,900193,Teich im Bockholt,51.50471,7.28002,108.502,20.5,0,0,309,,,
2024-09-04 15:45:00,900193,Teich im Bockholt,51.50471,7.28002,108.501,20.5,0,0,313,,,
2024-09-04 16:00:01,900193,Teich im Bockholt,51.50471,7.28002,108.499,20.5,0,0,320,3.699,22.05,100
2024-09-04 16:15:00,900193,Teich im Bockholt,51.50471,7.28002,108.498,20.55,0,0,314,3.687,22,100
2024-09-04 16:30:00,900193,Teich im Bockholt,51.50471,7.28002,108.497,20.55,0,0,321,,,
2024-09-04 16:45:00,900193,Teich im Bockholt,51.50471,7.28002,108.497,20.55,0,0,313,,,
2024-09-04 17:00:01,900193,Teich im Bockholt,51.50471,7.28002,108.495,20.6,0,0,318,3.7,21.65,100
2024-09-04 17:15:00,900193,Teich im Bockholt,51.50471,7.28002,108.495,20.6,0,0,319,3.684,21.59,100
2024-09-04 17:30:00,900193,Teich im Bockholt,51.50471,7.28002,108.494,20.6,0,0,318,,,
2024-09-04 17:45:00,900193,Teich im Bockholt,51.50471,7.28002,108.493,20.6,0,0,319,,,
2024-09-04 18:00:00,900193,Teich im Bockholt,51.50471,7.28002,108.492,20.6,0,0,326,3.702,21.24,100
2024-09-04 18:15:01,900193,Teich im Bockholt,51.50471,7.28002,108.492,20.6,0,0,330,3.686,21.17,100
2024-09-04 18:30:01,900193,Teich im Bockholt,51.50471,7.28002,108.491,20.6,2.925,0.263,330,,,
2024-09-04 18:45:01,900193,Teich im Bockholt,51.50471,7.28002,108.491,20.6,2.762,0.248,331,,,
2024-09-04 19:00:00,900193,Teich im Bockholt,51.50471,7.28002,108.489,20.6,0,0,336,3.698,20.86,100
2024-09-04 19:15:00,900193,Teich im Bockholt,51.50471,7.28002,108.489,20.6,0,0,335,3.684,20.84,100
2024-09-04 19:30:00,900193,Teich im Bockholt,51.50471,7.28002,108.489,20.6,0.627,0.056,340,,,
2024-09-04 19:45:00,900193,Teich im Bockholt,51.50471,7.28002,108.488,20.55,4.073,0.366,342,,,
2024-09-04 20:00:01,900193,Teich im Bockholt,51.50471,7.28002,108.488,20.55,1.104,0.099,350,3.702,20.49,100
2024-09-04 20:15:00,900193,Teich im Bockholt,51.50471,7.28002,108.487,20.5,1.601,0.144,347,3.682,20.44,100
2024-09-04 20:30:00,900193,Teich im Bockholt,51.50471,7.28002,108.487,20.5,1.762,0.159,351,,,
2024-09-04 20:45:00,900193,Teich im Bockholt,51.50471,7.28002,108.487,20.45,1.325,0.119,354,,,
2024-09-04 21:00:00,900193,Teich im Bockholt,51.50471,7.28002,108.486,20.45,0,0,354,3.701,20.23,100
2024-09-04 21:15:00,900193,Teich im Bockholt,51.50471,7.28002,108.486,20.45,0.303,0.027,351,3.682,20.24,100
2024-09-04 21:30:00,900193,Teich im Bockholt,51.50471,7.28002,108.486,20.4,0,0,356,,,
2024-09-04 21:45:00,900193,Teich im Bockholt,51.50471,7.28002,108.485,20.35,0,0,349,,,
2024-09-04 22:00:01,900193,Teich im Bockholt,51.50471,7.28002,108.485,20.35,2.776,0.25,353,3.704,20.1,100
2024-09-04 22:15:00,900193,Teich im Bockholt,51.50471,7.28002,108.485,20.35,0,0,353,3.681,20.11,100
2024-09-04 22:30:00,900193,Teich im Bockholt,51.50471,7.28002,108.484,20.3,0.724,0.065,368,,,
2024-09-04 22:45:00,900193,Teich im Bockholt,51.50471,7.28002,108.484,20.3,0,0,364,,,
2024-09-04 23:00:00,900193,Teich im Bockholt,51.50471,7.28002,108.484,20.25,0.396,0.036,362,3.7,20.01,100
2024-09-04 23:15:00,900193,Teich im Bockholt,51.50471,7.28002,108.484,20.25,0,0,370,3.682,20.01,100
2024-09-04 23:30:00,900193,Teich im Bockholt,51.50471,7.28002,108.483,20.2,0,0,361,,,
2024-09-04 23:45:00,900193,Teich im Bockholt,51.50471,7.28002,108.483,20.2,0,0,366,,,
