datetime,logger_id,name,latitude,longitude,pegel,wtemp,o,do,elL,hkBat,hkTemp,hkHum
2024-04-23 00:00:00,900193,Teich im Bockholt,51.50471,7.28002,108.507,9.15,151.92,17.656,622,3.673,6.25,28.8
2024-04-23 00:15:00,900193,Teich im Bockholt,51.50471,7.28002,108.505,8.95,154.4,18.059,634,3.661,6.13,28.7
2024-04-23 00:30:00,900193,Teich im Bockholt,51.50471,7.28002,108.505,8.85,156.19,18.302,617,,,
2024-04-23 00:45:00,900193,Teich im Bockholt,51.50471,7.28002,108.504,8.75,152.34,17.855,613,,,
2024-04-23 01:00:00,900193,Teich im Bockholt,51.50471,7.28002,108.505,8.65,151.63,17.776,604,3.67,5.54,28.7
2024-04-23 01:15:00,900193,Teich im Bockholt,51.50471,7.28002,108.504,8.6,151.64,17.78,617,3.657,5.42,28.6
2024-04-23 01:30:00,900193,Teich im Bockholt,51.50471,7.28002,108.505,8.55,150.89,17.692,620,,,
2024-04-23 01:45:00,900193,Teich im Bockholt,51.50471,7.28002,108.504,8.5,150.11,17.602,575,,,
2024-04-23 02:00:00,900193,Teich im Bockholt,51.50471,7.28002,108.505,8.5,151.74,17.795,605,3.671,4.94,28.6
2024-04-23 02:15:00,900193,Teich im Bockholt,51.50471,7.28002,108.503,8.5,148.88,17.461,621,3.657,4.87,28.5
2024-04-23 02:30:00,900193,Teich im Bockholt,51.50471,7.28002,108.503,8.45,149.13,17.495,608,,,
2024-04-23 02:45:00,900193,Teich im Bockholt,51.50471,7.28002,108.503,8.4,147.14,17.275,599,,,
2024-04-23 03:00:00,900193,Teich im Bockholt,51.50471,7.28002,108.503,8.35,146.35,17.207,612,3.671,4.44,28.5
2024-04-23 03:15:00,900193,Teich im Bockholt,51.50471,7.28002,108.502,8.3,148.38,17.476,608,3.651,4.37,28.4
2024-04-23 03:30:00,900193,Teich im Bockholt,51.50471,7.28002,108.502,8.25,146.47,17.259,608,,,
2024-04-23 03:45:00,900193,Teich im Bockholt,51.50471,7.28002,108.502,8.2,144.11,16.996,606,,,
