datetime,logger_id,name,latitude,longitude,pegel,wtemp,o,do,elL,hkBat,hkTemp,hkHum,year_month
2024-03-01 00:00:00,900193,Teich im Bockholt,51.50471,7.28002,108.507,6.2,107.9,13.498,782,3.685,10.91,27.0,2024-03
2024-03-01 00:15:00,900193,Teich im Bockholt,51.50471,7.28002,108.507,6.2,115.58,14.48,787,3.667,10.84,26.9,2024-03
2024-03-01 00:30:00,900193,Teich im Bockholt,51.50471,7.28002,108.507,6.15,117.43,14.721,782,,,,2024-03
2024-03-01 00:45:00,900193,Teich im Bockholt,51.50471,7.28002,108.507,6.15,115.8,14.511,751,,,,2024-03
2024-03-01 01:00:00,900193,Teich im Bockholt,51.50471,7.28002,108.507,6.15,117.91,14.779,769,3.684,10.61,26.9,2024-03
2024-03-01 01:15:00,900193,Teich im Bockholt,51.50471,7.28002,108.507,6.15,120.86,15.151,754,3.661,10.67,26.9,2024-03
2024-03-01 01:30:00,900193,Teich im Bockholt,51.50471,7.28002,108.507,6.1,119.67,15.006,774,,,,2024-03
2024-03-01 01:45:00,900193,Teich im Bockholt,51.50471,7.28002,108.508,6.15,117.1,14.688,772,,,,2024-03
2024-03-01 02:00:00,900193,Teich im Bockholt,51.50471,7.28002,108.508,6.15,115.92,14.54,782,3.679,10.72,27.0,2024-03
2024-03-01 02:15:00,900193,Teich im Bockholt,51.50471,7.28002,108.508,6.1,118.73,14.901,765,3.669,10.82,26.9,2024-03
2024-03-01 02:30:00,900193,Teich im Bockholt,51.50471,7.28002,108.508,6.1,120.18,15.076,762,,,,2024-03
2024-03-01 02:45:00,900193,Teich im Bockholt,51.50471,7.28002,108.508,6.15,116.46,14.603,788,,,,2024-03
2024-03-01 03:00:00,900193,Teich im Bockholt,51.50471,7.28002,108.508,6.1,114.65,14.383,781,3.685,10.78,26.9,2024-03
2024-03-01 03:15:00,900193,Teich im Bockholt,51.50471,7.28002,108.508,6.1,117.37,14.741,792,3.67,10.73,26.8,2024-03
2024-03-01 03:30:00,900193,Teich im Bockholt,51.50471,7.28002,108.508,6.05,117.75,14.792,786,,,,2024-03
2024-03-01 03:45:00,900193,Teich im Bockholt,51.50471,7.28002,108.508,6.05,115.05,14.456,788,,,,2024-03
2024-03-01 04:00:00,900193,Teich im Bockholt,51.50471,7.28002,108.509,6.05,106.94,13.433,790,3.683,10.28,26.8,2024-03
2024-03-01 04:15:00,900193,Teich im Bockholt,51.50471,7.28002,108.509,6.05,107.31,13.475,798,3.669,10.22,26.8,2024-03
2024-03-01 04:30:00,900193,Teich im Bockholt,51.50471,7.28002,108.509,6.0,107.88,13.548,806,,,,2024-03
2024-03-01 04:45:00,900193,Teich im Bockholt,51.50471,7.28002,108.509,6.1,107.17,13.454,812,,,,2024-03
2024-03-01 05:00:00,900193,Teich im Bockholt,51.50471,7.28002,108.509,6.05,105.81,13.286,822,3.684,9.91,26.8,2024-03
2024-03-01 05:15:00,900193,Teich im Bockholt,51.50471,7.28002,108.509,5.95,108.41,13.649,807,3.667,9.87,26.7,2024-03
2024-03-01 05:30:00,900193,Teich im Bockholt,51.50471,7.28002,108.509,5.95,108.45,13.663,778,,,,2024-03
2024-03-01 05:45:00,900193,Teich im Bockholt,51.50471,7.28002,108.509,5.95,105.87,13.341,750,,,,2024-03
2024-03-01 06:00:00,900193,Teich im Bockholt,51.50471,7.28002,108.509,6.0,105.81,13.324,781,3.675,9.56,26.8,2024-03
2024-03-01 06:15:00,900193,Teich im Bockholt,51.50471,7.28002,108.509,6.0,103.59,13.036,781,3.668,9.57,26.7,2024-03
2024-03-01 06:30:00,900193,Teich im Bockholt,51.50471,7.28002,108.509,6.05,102.14,12.833,754,,,,2024-03
2024-03-01 06:45:00,900193,Teich im Bockholt,51.50471,7.28002,108.509,6.1,97.995,12.296,756,,,,2024-03
2024-03-01 07:00:00,900193,Teich im Bockholt,51.50471,7.28002,108.51,6.1,97.091,12.183,747,3.674,9.36,26.7,2024-03
2024-03-01 07:15:00,900193,Teich im Bockholt,51.50471,7.28002,108.51,6.1,95.461,11.981,741,3.661,9.39,26.7,2024-03
2024-03-01 07:30:00,900193,Teich im Bockholt,51.50471,7.28002,108.51,6.1,96.105,12.068,732,,,,2024-03
2024-03-01 07:45:00,900193,Teich im Bockholt,51.50471,7.28002,108.509,6.1,97.949,12.302,741,,,,2024-03
2024-03-01 08:00:00,900193,Teich im Bockholt,51.50471,7.28002,108.51,6.05,100.73,12.653,733,3.682,9.63,26.8,2024-03
2024-03-01 08:15:00,900193,Teich im Bockholt,51.50471,7.28002,108.51,6.05,98.566,12.382,727,3.662,9.86,26.7,2024-03
2024-03-01 08:30:00,900193,Teich im Bockholt,51.50471,7.28002,108.51,6.05,100.98,12.699,733,,,,2024-03
2024-03-01 08:45:00,900193,Teich im Bockholt,51.50471,7.28002,108.511,6.0,101.57,12.797,719,,,,2024-03
2024-03-01 09:00:00,900193,Teich im Bockholt,51.50471,7.28002,108.51,6.0,98.429,12.391,709,3.68,10.35,26.8,2024-03
2024-03-01 09:15:00,900193,Teich im Bockholt,51.50471,7.28002,108.51,6.0,97.616,12.28,720,3.672,10.52,26.8,2024-03
2024-03-01 09:30:00,900193,Teich im Bockholt,51.50471,7.28002,108.51,6.05,95.655,12.019,713,,,,2024-03
2024-03-01 09:45:00,900193,Teich im Bockholt,51.50471,7.28002,108.511,6.05,97.619,12.264,713,,,,2024-03
2024-03-01 10:00:00,900193,Teich im Bockholt,51.50471,7.28002,108.511,6.1,97.562,12.251,702,3.682,10.41,26.8,2024-03
2024-03-01 10:15:00,900193,Teich im Bockholt,51.50471,7.28002,108.511,6.1,98.457,12.352,708,3.661,10.43,26.8,2024-03
2024-03-01 10:30:00,900193,Teich im Bockholt,51.50471,7.28002,108.511,6.1,99.635,12.504,712,,,,2024-03
2024-03-01 10:45:00,900193,Teich im Bockholt,51.50471,7.28002,108.511,6.15,101.56,12.737,704,,,,2024-03
2024-03-01 11:00:00,900193,Teich im Bockholt,51.50471,7.28002,108.511,6.2,101.05,12.646,709,3.688,10.59,26.9,2024-03
2024-03-01 11:15:00,900193,Teich im Bockholt,51.50471,7.28002,108.511,6.15,103.69,12.983,705,3.664,10.97,26.9,2024-03
2024-03-01 11:30:00,900193,Teich im Bockholt,51.50471,7.28002,108.512,6.25,100.86,12.605,707,,,,2024-03
2024-03-01 11:45:00,900193,Teich im Bockholt,51.50471,7.28002,108.511,6.3,97.085,12.099,712,,,,2024-03
2024-03-01 12:00:00,900193,Teich im Bockholt,51.50471,7.28002,108.512,6.35,98.016,12.196,724,3.679,11.95,27.1,2024-03
2024-03-01 12:15:01,900193,Teich im Bockholt,51.50471,7.28002,108.512,6.45,97.515,12.127,706,3.673,12.34,27.1,2024-03
2024-03-01 12:30:01,900193,Teich im Bockholt,51.50471,7.28002,108.512,6.5,99.52,12.354,720,,,,2024-03
2024-03-01 12:45:01,900193,Teich im Bockholt,51.50471,7.28002,108.512,6.5,105.68,13.119,722,,,,2024-03
2024-03-01 13:00:01,900193,Teich im Bockholt,51.50471,7.28002,108.512,6.55,104.11,12.912,739,3.687,13.22,27.3,2024-03
2024-03-01 13:15:00,900193,Teich im Bockholt,51.50471,7.28002,108.513,6.6,109.68,13.586,730,3.671,13.67,27.3,2024-03
2024-03-01 13:30:00,900193,Teich im Bockholt,51.50471,7.28002,108.513,6.6,107.86,13.338,721,,,,2024-03
2024-03-01 13:45:00,900193,Teich im Bockholt,51.50471,7.28002,108.513,6.65,106.38,13.149,729,,,,2024-03
2024-03-01 14:00:00,900193,Teich im Bockholt,51.50471,7.28002,108.513,6.65,106.85,13.195,726,3.697,14.39,27.5,2024-03
2024-03-01 14:15:00,900193,Teich im Bockholt,51.50471,7.28002,108.513,6.7,107.92,13.315,717,3.67,14.58,27.4,2024-03
2024-03-01 14:30:00,900193,Teich im Bockholt,51.50471,7.28002,108.513,6.75,107.47,13.243,725,,,,2024-03
2024-03-01 14:45:00,900193,Teich im Bockholt,51.50471,7.28002,108.514,6.75,110.81,13.646,748,,,,2024-03
2024-03-01 15:00:00,900193,Teich im Bockholt,51.50471,7.28002,108.514,6.8,111.66,13.736,751,3.7,14.98,27.5,2024-03
2024-03-01 15:15:00,900193,Teich im Bockholt,51.50471,7.28002,108.514,6.85,112.06,13.762,750,3.672,15.18,27.5,2024-03
2024-03-01 15:30:00,900193,Teich im Bockholt,51.50471,7.28002,108.515,6.9,115.18,14.121,738,,,,2024-03
2024-03-01 15:45:00,900193,Teich im Bockholt,51.50471,7.28002,108.514,6.95,114.25,14.001,744,,,,2024-03
2024-03-01 16:00:00,900193,Teich im Bockholt,51.50471,7.28002,108.515,6.95,115.7,14.15,736,3.699,15.31,27.6,2024-03
2024-03-01 16:15:00,900193,Teich im Bockholt,51.50471,7.28002,108.516,7.05,116.34,14.209,715,3.674,15.32,27.6,2024-03
2024-03-01 16:30:00,900193,Teich im Bockholt,51.50471,7.28002,108.516,7.1,114.23,13.929,712,,,,2024-03
2024-03-01 16:45:00,900193,Teich im Bockholt,51.50471,7.28002,108.516,7.1,111.88,13.631,708,,,,2024-03
2024-03-01 17:00:00,900193,Teich im Bockholt,51.50471,7.28002,108.516,7.15,115.39,14.049,688,3.695,15.09,27.6,2024-03
2024-03-01 17:15:00,900193,Teich im Bockholt,51.50471,7.28002,108.516,7.2,116.47,14.147,716,3.673,15.0,27.5,2024-03
2024-03-01 17:30:00,900193,Teich im Bockholt,51.50471,7.28002,108.516,7.25,114.36,13.889,696,,,,2024-03
2024-03-01 17:45:00,900193,Teich im Bockholt,51.50471,7.28002,108.516,7.25,113.28,13.752,719,,,,2024-03
2024-03-01 18:00:00,900193,Teich im Bockholt,51.50471,7.28002,108.516,7.25,113.71,13.805,740,3.699,14.4,27.5,2024-03
2024-03-01 18:15:00,900193,Teich im Bockholt,51.50471,7.28002,108.516,7.25,108.9,13.218,719,3.674,14.19,27.3,2024-03
2024-03-01 18:30:00,900193,Teich im Bockholt,51.50471,7.28002,108.516,7.25,108.35,13.15,709,,,,2024-03
2024-03-01 18:45:00,900193,Teich im Bockholt,51.50471,7.28002,108.516,7.3,105.5,12.807,789,,,,2024-03
2024-03-01 19:00:00,900193,Teich im Bockholt,51.50471,7.28002,108.516,7.25,107.99,13.108,770,3.697,13.14,27.3,2024-03
2024-03-01 19:15:00,900193,Teich im Bockholt,51.50471,7.28002,108.516,7.25,110.86,13.462,737,3.665,12.88,27.2,2024-03
2024-03-01 19:30:00,900193,Teich im Bockholt,51.50471,7.28002,108.516,7.2,108.77,13.219,778,,,,2024-03
2024-03-01 19:45:00,900193,Teich im Bockholt,51.50471,7.28002,108.516,7.15,107.31,13.055,797,,,,2024-03
2024-03-01 20:00:00,900193,Teich im Bockholt,51.50471,7.28002,108.516,7.15,109.02,13.278,802,3.692,11.94,27.2,2024-03
2024-03-01 20:15:00,900193,Teich im Bockholt,51.50471,7.28002,108.515,7.1,115.85,14.118,818,3.668,11.73,27.1,2024-03
2024-03-01 20:30:00,900193,Teich im Bockholt,51.50471,7.28002,108.515,7.1,116.75,14.235,811,,,,2024-03
2024-03-01 20:45:00,900193,Teich im Bockholt,51.50471,7.28002,108.515,7.05,114.79,13.999,819,,,,2024-03
2024-03-01 21:00:00,900193,Teich im Bockholt,51.50471,7.28002,108.516,7.05,108.93,13.294,773,3.687,11.0,27.0,2024-03
2024-03-01 21:15:00,900193,Teich im Bockholt,51.50471,7.28002,108.516,7.0,112.12,13.703,810,3.663,10.85,26.9,2024-03
2024-03-01 21:30:00,900193,Teich im Bockholt,51.50471,7.28002,108.516,7.0,111.75,13.662,819,,,,2024-03
2024-03-01 21:45:00,900193,Teich im Bockholt,51.50471,7.28002,108.515,6.95,113.67,13.909,765,,,,2024-03
2024-03-01 22:00:00,900193,Teich im Bockholt,51.50471,7.28002,108.515,6.9,116.73,14.3,743,3.689,10.4,27.0,2024-03
2024-03-01 22:15:00,900193,Teich im Bockholt,51.50471,7.28002,108.515,6.9,113.81,13.953,792,3.667,10.38,26.9,2024-03
2024-03-01 22:30:00,900193,Teich im Bockholt,51.50471,7.28002,108.515,6.85,112.03,13.738,781,,,,2024-03
2024-03-01 22:45:00,900193,Teich im Bockholt,51.50471,7.28002,108.515,6.85,111.94,13.736,766,,,,2024-03
2024-03-01 23:00:00,900193,Teich im Bockholt,51.50471,7.28002,108.515,6.85,113.73,13.959,790,3.681,10.13,26.9,2024-03
2024-03-01 23:15:00,900193,Teich im Bockholt,51.50471,7.28002,108.515,6.8,115.49,14.188,779,3.669,10.1,26.8,2024-03
2024-03-01 23:30:00,900193,Teich im Bockholt,51.50471,7.28002,108.516,6.8,114.62,14.08,786,,,,2024-03
2024-03-01 23:45:00,900193,Teich im Bockholt,51.50471,7.28002,108.515,6.8,105.24,12.94,820,,,,2024-03
2024-03-02 00:00:00,900193,Teich im Bockholt,51.50471,7.28002,108.515,6.75,113.02,13.919,815,3.684,9.89,26.9,2024-03
2024-03-02 00:15:00,900193,Teich im Bockholt,51.50471,7.28002,108.516,6.75,111.77,13.767,814,3.665,9.95,26.8,2024-03
2024-03-02 00:30:00,900193,Teich im Bockholt,51.50471,7.28002,108.514,6.7,110.64,13.628,811,,,,2024-03
2024-03-02 00:45:00,900193,Teich im Bockholt,51.50471,7.28002,108.514,6.7,106.25,13.083,814,,,,2024-03
2024-03-02 01:00:00,900193,Teich im Bockholt,51.50471,7.28002,108.514,6.7,106.94,13.176,811,3.687,9.96,26.9,2024-03
2024-03-02 01:15:00,900193,Teich im Bockholt,51.50471,7.28002,108.514,6.7,115.0,14.175,817,3.667,10.04,26.8,2024-03
2024-03-02 01:30:00,900193,Teich im Bockholt,51.50471,7.28002,108.514,6.65,107.62,13.265,803,,,,2024-03
2024-03-02 01:45:00,900193,Teich im Bockholt,51.50471,7.28002,108.514,6.65,111.83,13.816,822,,,,2024-03
2024-03-02 02:00:00,900193,Teich im Bockholt,51.50471,7.28002,108.514,6.55,114.71,14.189,790,3.682,9.99,26.9,2024-03
2024-03-02 02:15:01,900193,Teich im Bockholt,51.50471,7.28002,108.514,6.55,114.05,14.13,784,3.662,10.02,26.8,2024-03
2024-03-02 02:30:01,900193,Teich im Bockholt,51.50471,7.28002,108.514,6.55,113.15,14.018,814,,,,2024-03
2024-03-02 02:45:01,900193,Teich im Bockholt,51.50471,7.28002,108.514,6.5,110.41,13.685,819,,,,2024-03
2024-03-02 03:00:01,900193,Teich im Bockholt,51.50471,7.28002,108.514,6.45,109.32,13.57,797,3.68,9.87,26.8,2024-03
2024-03-02 03:15:00,900193,Teich im Bockholt,51.50471,7.28002,108.514,6.45,112.53,13.976,797,3.666,9.84,26.7,2024-03
2024-03-02 03:30:00,900193,Teich im Bockholt,51.50471,7.28002,108.514,6.45,112.79,14.011,786,,,,2024-03
2024-03-02 03:45:00,900193,Teich im Bockholt,51.50471,7.28002,108.514,6.4,114.78,14.27,822,,,,2024-03
2024-03-02 04:00:00,900193,Teich im Bockholt,51.50471,7.28002,108.514,6.4,112.95,14.047,729,3.683,9.33,26.7,2024-03
2024-03-02 04:15:00,900193,Teich im Bockholt,51.50471,7.28002,108.514,6.35,114.05,14.189,785,3.664,9.29,26.7,2024-03
2024-03-02 04:30:00,900193,Teich im Bockholt,51.50471,7.28002,108.514,6.4,112.09,13.952,752,,,,2024-03
