datetime,logger_id,name,latitude,longitude,pegel,wtemp,o,do,elL,hkBat,hkTemp,hkHum
2024-08-29 06:30:01,900355,Am Stadtpark,51.49212,7.22238,88.13,21.369,42.828,3.749,600,,,
2024-08-29 06:45:01,900355,Am Stadtpark,51.49212,7.22238,88.128,21.356,50.036,4.38,594,,,
2024-08-29 07:00:00,900355,Am Stadtpark,51.49212,7.22238,88.128,21.375,46.245,4.049,598,3.728,23.78,40
2024-08-29 07:15:00,900355,Am Stadtpark,51.49212,7.22238,88.128,21.341,46.813,4.098,598,3.715,24.73,40.1
2024-08-29 07:30:00,900355,Am Stadtpark,51.49212,7.22238,88.129,21.384,46.087,4.033,597,,,
2024-08-29 07:45:00,900355,Am Stadtpark,51.49212,7.22238,88.129,21.369,48.353,4.233,597,,,
2024-08-29 08:00:00,900355,Am Stadtpark,51.49212,7.22238,88.129,21.384,45.425,3.975,595,3.737,25.65,40
2024-08-29 08:15:00,900355,Am Stadtpark,51.49212,7.22238,88.129,21.403,53.97,4.721,592,3.712,25.74,39.9
2024-08-29 08:30:00,900355,Am Stadtpark,51.49212,7.22238,88.128,21.391,47.999,4.197,598,,,
2024-08-29 08:45:00,900355,Am Stadtpark,51.49212,7.22238,88.128,21.419,53.342,4.663,597,,,
2024-08-29 09:00:00,900355,Am Stadtpark,51.49212,7.22238,88.128,21.4,54.815,4.793,591,3.737,26.12,40.1
2024-08-29 09:15:00,900355,Am Stadtpark,51.49212,7.22238,88.13,21.463,52.562,4.596,594,3.717,26.36,40.1
2024-08-29 09:30:00,900355,Am Stadtpark,51.49212,7.22238,88.129,21.444,55.644,4.864,591,,,
2024-08-29 09:45:00,900355,Am Stadtpark,51.49212,7.22238,88.128,21.463,49.093,4.289,592,,,
2024-08-29 10:00:00,900355,Am Stadtpark,51.49212,7.22238,88.13,21.484,55.401,4.84,594,3.74,28.6,40.9
2024-08-29 10:15:00,900355,Am Stadtpark,51.49212,7.22238,88.128,21.475,59.563,5.204,605,3.722,29.9,41
2024-08-29 10:30:00,900355,Am Stadtpark,51.49212,7.22238,88.129,21.472,57.448,5.019,590,,,
2024-08-29 10:45:00,900355,Am Stadtpark,51.49212,7.22238,88.13,21.516,59.052,5.153,587,,,
2024-08-29 11:00:00,900355,Am Stadtpark,51.49212,7.22238,88.128,21.519,53.469,4.666,598,3.741,31.5,40.9
2024-08-29 11:15:01,900355,Am Stadtpark,51.49212,7.22238,88.129,21.45,46.996,4.101,601,3.726,31.68,40.9
2024-08-29 11:30:01,900355,Am Stadtpark,51.49212,7.22238,88.129,21.384,51.97,4.544,597,,,
2024-08-29 11:45:01,900355,Am Stadtpark,51.49212,7.22238,88.128,21.431,59.535,5.205,588,,,
2024-08-29 12:00:00,900355,Am Stadtpark,51.49212,7.22238,88.128,21.366,57.462,5.033,594,3.749,31.72,40.9
2024-08-29 12:15:00,900355,Am Stadtpark,51.49212,7.22238,88.13,21.359,62.97,5.515,607,3.725,31.68,40.9
2024-08-29 12:30:00,900355,Am Stadtpark,51.49212,7.22238,88.13,21.453,61.099,5.34,591,,,
2024-08-29 12:45:00,900355,Am Stadtpark,51.49212,7.22238,88.128,21.569,63.285,5.52,592,,,
2024-08-29 13:00:00,900355,Am Stadtpark,51.49212,7.22238,88.129,21.622,65.759,5.731,592,3.743,31.35,40.9
2024-08-29 13:15:01,900355,Am Stadtpark,51.49212,7.22238,88.128,21.706,64.842,5.639,590,3.728,31.33,40.8
2024-08-29 13:30:01,900355,Am Stadtpark,51.49212,7.22238,88.126,21.853,68.02,5.896,591,,,
2024-08-29 13:45:01,900355,Am Stadtpark,51.49212,7.22238,88.128,21.788,68.678,5.958,589,,,
2024-08-29 14:00:00,900355,Am Stadtpark,51.49212,7.22238,88.129,21.719,65.668,5.704,592,3.747,31.14,40.9
2024-08-29 14:15:00,900355,Am Stadtpark,51.49212,7.22238,88.129,21.869,67.2,5.821,589,3.727,31.17,40.9
2024-08-29 14:30:00,900355,Am Stadtpark,51.49212,7.22238,88.128,21.953,67.887,5.87,594,,,
2024-08-29 14:45:00,900355,Am Stadtpark,51.49212,7.22238,88.128,22.138,64.936,5.589,590,,,
2024-08-29 15:00:00,900355,Am Stadtpark,51.49212,7.22238,88.13,22.175,66.011,5.683,593,3.742,31.09,41
2024-08-29 15:15:00,900355,Am Stadtpark,51.49212,7.22238,88.128,22.131,66.426,5.713,588,3.729,31.11,40.9
2024-08-29 15:30:00,900355,Am Stadtpark,51.49212,7.22238,88.13,22.013,68.8,5.934,593,,,
2024-08-29 15:45:00,900355,Am Stadtpark,51.49212,7.22238,88.127,22.075,71.92,6.2,586,,,
2024-08-29 16:00:00,900355,Am Stadtpark,51.49212,7.22238,88.127,21.938,68.3,5.892,596,3.747,30.88,40.9
2024-08-29 16:15:01,900355,Am Stadtpark,51.49212,7.22238,88.128,22.103,71.864,6.189,590,3.72,30.86,40.8
2024-08-29 16:30:01,900355,Am Stadtpark,51.49212,7.22238,88.128,22.125,70.691,6.078,608,,,
2024-08-29 16:45:01,900355,Am Stadtpark,51.49212,7.22238,88.127,22.244,68.308,5.863,593,,,
2024-08-29 17:00:00,900355,Am Stadtpark,51.49212,7.22238,88.129,22.222,66.347,5.696,593,3.744,30.42,40.8
2024-08-29 17:15:01,900355,Am Stadtpark,51.49212,7.22238,88.127,22.081,61.998,5.337,594,3.727,30.32,40.7
2024-08-29 17:30:01,900355,Am Stadtpark,51.49212,7.22238,88.127,22.244,71.368,6.117,597,,,
2024-08-29 17:45:01,900355,Am Stadtpark,51.49212,7.22238,88.13,22.147,66.896,5.744,594,,,
2024-08-29 18:00:00,900355,Am Stadtpark,51.49212,7.22238,88.128,22.256,68.667,5.885,589,3.741,29.77,40.7
2024-08-29 18:15:00,900355,Am Stadtpark,51.49212,7.22238,88.128,22.384,73.145,6.252,589,3.726,29.64,40.7
2024-08-29 18:30:00,900355,Am Stadtpark,51.49212,7.22238,88.128,22.288,70.759,6.06,593,,,
2024-08-29 18:45:00,900355,Am Stadtpark,51.49212,7.22238,88.128,22.253,63.39,5.436,593,,,
2024-08-29 19:00:00,900355,Am Stadtpark,51.49212,7.22238,88.129,22.322,69.711,5.965,593,3.746,29.03,40.6
2024-08-29 19:15:00,900355,Am Stadtpark,51.49212,7.22238,88.128,22.544,74.167,6.315,594,3.724,28.89,40.5
