datetime,logger_id,name,latitude,longitude,pegel,wtemp,o,do,elL,hkBat,hkTemp,hkHum
2024-02-08 00:00:00,900355,Am Stadtpark,51.49212,7.22238,88.151,6.981,29.148,3.527,575,3.698,7.01,23.1
2024-02-08 00:15:00,900355,Am Stadtpark,51.49212,7.22238,88.151,6.925,28.259,3.421,577,3.69,6.93,23
2024-02-08 00:30:00,900355,Am Stadtpark,51.49212,7.22238,88.151,6.916,26.276,3.182,567,,,
2024-02-08 00:45:00,900355,Am Stadtpark,51.49212,7.22238,88.151,6.931,24.972,3.027,577,,,
2024-02-08 01:00:00,900355,Am Stadtpark,51.49212,7.22238,88.15,6.913,23.86,2.893,570,3.705,6.56,23.1
2024-02-08 01:15:01,900355,Am Stadtpark,51.49212,7.22238,88.151,6.925,23.173,2.81,579,3.686,6.58,23
2024-02-08 01:30:01,900355,Am Stadtpark,51.49212,7.22238,88.15,6.909,22.288,2.704,571,,,
2024-02-08 01:45:01,900355,Am Stadtpark,51.49212,7.22238,88.15,6.872,21.703,2.634,574,,,
2024-02-08 02:00:00,900355,Am Stadtpark,51.49212,7.22238,88.148,6.881,21.933,2.663,576,3.705,6.47,23
2024-02-08 02:15:00,900355,Am Stadtpark,51.49212,7.22238,88.149,6.863,22.037,2.676,579,3.683,6.55,23
2024-02-08 02:30:00,900355,Am Stadtpark,51.49212,7.22238,88.148,6.838,22.894,2.78,574,,,
2024-02-08 02:45:00,900355,Am Stadtpark,51.49212,7.22238,88.148,6.853,23.746,2.884,574,,,
2024-02-08 03:00:00,900355,Am Stadtpark,51.49212,7.22238,88.148,6.844,25.054,3.044,570,3.7,6.47,23
2024-02-08 03:15:01,900355,Am Stadtpark,51.49212,7.22238,88.148,6.809,26.05,3.166,578,3.68,6.55,23
2024-02-08 03:30:01,900355,Am Stadtpark,51.49212,7.22238,88.147,6.806,27.073,3.291,575,,,
2024-02-08 03:45:01,900355,Am Stadtpark,51.49212,7.22238,88.148,6.809,26.642,3.241,579,,,
2024-02-08 04:00:00,900355,Am Stadtpark,51.49212,7.22238,88.146,6.813,27.563,3.354,571,3.699,6.45,23
2024-02-08 04:15:00,900355,Am Stadtpark,51.49212,7.22238,88.146,6.763,27.661,3.367,572,3.681,6.51,23
2024-02-08 04:30:00,900355,Am Stadtpark,51.49212,7.22238,88.146,6.788,28.031,3.413,579,,,
2024-02-08 04:45:00,900355,Am Stadtpark,51.49212,7.22238,88.146,6.784,29.451,3.586,576,,,
2024-02-08 05:00:00,900355,Am Stadtpark,51.49212,7.22238,88.146,6.734,30.471,3.712,576,3.698,6.38,23
2024-02-08 05:15:00,900355,Am Stadtpark,51.49212,7.22238,88.145,6.731,30.297,3.693,578,3.688,6.45,23
2024-02-08 05:30:00,900355,Am Stadtpark,51.49212,7.22238,88.146,6.713,30.008,3.66,575,,,
2024-02-08 05:45:00,900355,Am Stadtpark,51.49212,7.22238,88.145,6.725,32.085,3.914,576,,,
2024-02-08 06:00:00,900355,Am Stadtpark,51.49212,7.22238,88.145,6.744,29.987,3.66,580,3.698,6.46,23
2024-02-08 06:15:01,900355,Am Stadtpark,51.49212,7.22238,88.145,6.684,28.31,3.457,574,3.684,6.57,23
2024-02-08 06:30:01,900355,Am Stadtpark,51.49212,7.22238,88.144,6.631,27.692,3.383,576,,,
2024-02-08 06:45:01,900355,Am Stadtpark,51.49212,7.22238,88.144,6.628,25.958,3.172,582,,,
2024-02-08 07:00:00,900355,Am Stadtpark,51.49212,7.22238,88.144,6.634,25.638,3.134,572,3.7,6.55,23
2024-02-08 07:15:00,900355,Am Stadtpark,51.49212,7.22238,88.143,6.6,25.777,3.153,578,3.683,6.62,22.9
2024-02-08 07:30:00,900355,Am Stadtpark,51.49212,7.22238,88.143,6.613,24.906,3.047,575,,,
2024-02-08 07:45:00,900355,Am Stadtpark,51.49212,7.22238,88.144,6.594,23.659,2.896,571,,,
2024-02-08 08:00:00,900355,Am Stadtpark,51.49212,7.22238,88.143,6.609,23.509,2.878,572,3.699,6.54,23
2024-02-08 08:15:00,900355,Am Stadtpark,51.49212,7.22238,88.142,6.559,24.333,2.98,575,3.683,6.6,22.9
2024-02-08 08:30:00,900355,Am Stadtpark,51.49212,7.22238,88.142,6.541,25.058,3.071,578,,,
2024-02-08 08:45:00,900355,Am Stadtpark,51.49212,7.22238,88.143,6.528,24.658,3.023,580,,,
2024-02-08 09:00:00,900355,Am Stadtpark,51.49212,7.22238,88.143,6.547,23.175,2.843,574,3.701,6.64,23
2024-02-08 09:15:00,900355,Am Stadtpark,51.49212,7.22238,88.143,6.513,23.81,2.923,572,3.683,6.81,23
2024-02-08 09:30:00,900355,Am Stadtpark,51.49212,7.22238,88.143,6.516,24.336,2.988,568,,,
2024-02-08 09:45:00,900355,Am Stadtpark,51.49212,7.22238,88.141,6.5,24.833,3.05,576,,,
2024-02-08 10:00:00,900355,Am Stadtpark,51.49212,7.22238,88.14,6.488,24.991,3.071,574,3.698,7.06,23.1
2024-02-08 10:15:01,900355,Am Stadtpark,51.49212,7.22238,88.141,6.45,26.648,3.278,571,3.685,7.3,23.1
2024-02-08 10:30:01,900355,Am Stadtpark,51.49212,7.22238,88.141,6.459,27.844,3.427,573,,,
2024-02-08 10:45:01,900355,Am Stadtpark,51.49212,7.22238,88.141,6.406,29.94,3.685,569,,,
2024-02-08 11:00:00,900355,Am Stadtpark,51.49212,7.22238,88.141,6.384,32.025,3.941,573,3.7,7.63,23.2
2024-02-08 11:15:01,900355,Am Stadtpark,51.49212,7.22238,88.141,6.428,33.862,4.167,577,3.688,7.77,23.1
2024-02-08 11:30:01,900355,Am Stadtpark,51.49212,7.22238,88.14,6.422,35.533,4.373,568,,,
2024-02-08 11:45:01,900355,Am Stadtpark,51.49212,7.22238,88.14,6.466,38.733,4.765,573,,,
2024-02-08 12:00:00,900355,Am Stadtpark,51.49212,7.22238,88.139,6.438,40.8,5.018,569,3.704,7.89,23.2
2024-02-08 12:15:01,900355,Am Stadtpark,51.49212,7.22238,88.14,6.466,40.967,5.038,575,3.688,8.02,23.2
2024-02-08 12:30:01,900355,Am Stadtpark,51.49212,7.22238,88.141,6.447,41.588,5.111,573,,,
2024-02-08 12:45:01,900355,Am Stadtpark,51.49212,7.22238,88.141,6.466,41.476,5.098,568,,,
2024-02-08 13:00:00,900355,Am Stadtpark,51.49212,7.22238,88.141,6.441,41.348,5.085,564,3.7,8.06,23.2
2024-02-08 13:15:00,900355,Am Stadtpark,51.49212,7.22238,88.143,6.472,41.031,5.047,567,3.69,8.13,23.2
2024-02-08 13:30:00,900355,Am Stadtpark,51.49212,7.22238,88.142,6.441,39.706,4.884,566,,,
2024-02-08 13:45:00,900355,Am Stadtpark,51.49212,7.22238,88.145,6.456,39.388,4.845,565,,,
2024-02-08 14:00:00,900355,Am Stadtpark,51.49212,7.22238,88.145,6.406,38.783,4.77,564,3.702,8.17,23.2
2024-02-08 14:15:01,900355,Am Stadtpark,51.49212,7.22238,88.146,6.438,39.373,4.842,569,3.687,8.29,23.2
2024-02-08 14:30:01,900355,Am Stadtpark,51.49212,7.22238,88.146,6.428,38.802,4.772,570,,,
2024-02-08 14:45:01,900355,Am Stadtpark,51.49212,7.22238,88.145,6.434,37.801,4.649,563,,,
2024-02-08 15:00:00,900355,Am Stadtpark,51.49212,7.22238,88.147,6.466,36.423,4.479,570,3.709,8.31,23.2
2024-02-08 15:15:00,900355,Am Stadtpark,51.49212,7.22238,88.15,6.478,37.441,4.603,565,3.689,8.37,23.2
2024-02-08 15:30:00,900355,Am Stadtpark,51.49212,7.22238,88.148,6.428,38.299,4.707,569,,,
2024-02-08 15:45:00,900355,Am Stadtpark,51.49212,7.22238,88.148,6.444,39.023,4.8,564,,,
2024-02-08 16:00:00,900355,Am Stadtpark,51.49212,7.22238,88.151,6.428,40.053,4.927,562,3.71,8.25,23.2
2024-02-08 16:15:01,900355,Am Stadtpark,51.49212,7.22238,88.15,6.409,40.978,5.041,562,3.69,8.3,23.2
2024-02-08 16:30:01,900355,Am Stadtpark,51.49212,7.22238,88.151,6.4,42.425,5.22,566,,,
2024-02-08 16:45:01,900355,Am Stadtpark,51.49212,7.22238,88.151,6.397,43.16,5.312,561,,,
2024-02-08 17:00:00,900355,Am Stadtpark,51.49212,7.22238,88.155,6.422,45.093,5.552,553,3.703,8.09,23.2
2024-02-08 17:15:00,900355,Am Stadtpark,51.49212,7.22238,88.155,6.341,44.447,5.473,560,3.692,8.08,23.2
2024-02-08 17:30:00,900355,Am Stadtpark,51.49212,7.22238,88.159,6.375,46.019,5.667,556,,,
2024-02-08 17:45:00,900355,Am Stadtpark,51.49212,7.22238,88.159,6.334,48.87,6.021,565,,,
2024-02-08 18:00:00,900355,Am Stadtpark,51.49212,7.22238,88.161,6.363,49.497,6.098,564,3.702,7.89,23.2
2024-02-08 18:15:00,900355,Am Stadtpark,51.49212,7.22238,88.16,6.431,50.203,6.185,561,3.691,7.95,23.2
2024-02-08 18:30:00,900355,Am Stadtpark,51.49212,7.22238,88.16,6.403,49.465,6.094,559,,,
2024-02-08 18:45:00,900355,Am Stadtpark,51.49212,7.22238,88.161,6.378,49.52,6.101,560,,,
2024-02-08 19:00:00,900355,Am Stadtpark,51.49212,7.22238,88.161,6.331,49.088,6.048,560,3.703,7.97,23.2
2024-02-08 19:15:01,900355,Am Stadtpark,51.49212,7.22238,88.163,6.425,49.091,6.048,561,3.689,8.1,23.2
2024-02-08 19:30:01,900355,Am Stadtpark,51.49212,7.22238,88.161,6.388,48.648,5.994,558,,,
2024-02-08 19:45:01,900355,Am Stadtpark,51.49212,7.22238,88.16,6.388,46.725,5.757,558,,,
2024-02-08 20:00:00,900355,Am Stadtpark,51.49212,7.22238,88.161,6.394,44.584,5.493,565,3.699,8.28,23.3
2024-02-08 20:15:01,900355,Am Stadtpark,51.49212,7.22238,88.16,6.366,42.376,5.222,564,3.69,8.45,23.2
2024-02-08 20:30:01,900355,Am Stadtpark,51.49212,7.22238,88.161,6.384,40.052,4.936,562,,,
2024-02-08 20:45:01,900355,Am Stadtpark,51.49212,7.22238,88.158,6.359,37.474,4.618,563,,,
2024-02-08 21:00:00,900355,Am Stadtpark,51.49212,7.22238,88.161,6.35,35.583,4.385,564,3.707,8.78,23.4
2024-02-08 21:15:01,900355,Am Stadtpark,51.49212,7.22238,88.159,6.384,34.355,4.234,566,3.698,9.32,23.5
2024-02-08 21:30:01,900355,Am Stadtpark,51.49212,7.22238,88.161,6.394,33.245,4.097,556,,,
2024-02-08 21:45:01,900355,Am Stadtpark,51.49212,7.22238,88.156,6.388,34.407,4.239,564,,,
2024-02-08 22:00:00,900355,Am Stadtpark,51.49212,7.22238,88.162,6.353,35.126,4.326,563,3.708,10.96,23.7
2024-02-08 22:15:01,900355,Am Stadtpark,51.49212,7.22238,88.158,6.372,34.415,4.239,563,3.693,11.44,23.7
2024-02-08 22:30:01,900355,Am Stadtpark,51.49212,7.22238,88.161,6.372,35.615,4.387,558,,,
2024-02-08 22:45:01,900355,Am Stadtpark,51.49212,7.22238,88.161,6.375,38.664,4.763,562,,,
2024-02-08 23:00:00,900355,Am Stadtpark,51.49212,7.22238,88.16,6.35,40.781,5.022,557,3.713,12.08,23.8
2024-02-08 23:15:00,900355,Am Stadtpark,51.49212,7.22238,88.163,6.394,41.573,5.12,556,3.696,12.3,23.8
2024-02-08 23:30:00,900355,Am Stadtpark,51.49212,7.22238,88.163,6.4,43.334,5.336,560,,,
2024-02-08 23:45:00,900355,Am Stadtpark,51.49212,7.22238,88.163,6.425,45.682,5.625,561,,,
