datetime,logger_id,name,latitude,longitude,pegel,wtemp,o,do,elL,hkBat,hkTemp,hkHum
2024-09-01 00:00:00,900356,Jahrhunderthalle,51.48298,7.19877,80.206,21.172,0,0,,3.654,23.08,45.2
2024-09-01 00:15:00,900356,Jahrhunderthalle,51.48298,7.19877,80.201,21.069,0,0,,3.635,22.98,45.1
2024-09-01 00:30:00,900356,Jahrhunderthalle,51.48298,7.19877,80.195,21.056,0,0,,,,
2024-09-01 00:45:00,900356,Jahrhunderthalle,51.48298,7.19877,80.191,21.041,0,0,,,,
2024-09-01 01:00:01,900356,Jahrhunderthalle,51.48298,7.19877,80.187,21.009,0,0,,3.649,22.57,45.1
2024-09-01 01:15:00,900356,Jahrhunderthalle,51.48298,7.19877,80.181,20.975,0,0,,3.63,22.46,45
2024-09-01 01:30:00,900356,Jahrhunderthalle,51.48298,7.19877,80.177,20.972,0,0,,,,
2024-09-01 01:45:00,900356,Jahrhunderthalle,51.48298,7.19877,80.173,20.894,0,0,,,,
2024-09-01 02:00:00,900356,Jahrhunderthalle,51.48298,7.19877,80.169,20.888,0,0,,3.654,22.05,45
2024-09-01 02:15:01,900356,Jahrhunderthalle,51.48298,7.19877,80.166,20.881,0,0,,3.625,21.98,45
2024-09-01 02:30:01,900356,Jahrhunderthalle,51.48298,7.19877,80.165,20.816,0,0,,,,
2024-09-01 02:45:01,900356,Jahrhunderthalle,51.48298,7.19877,80.162,20.806,0,0,,,,
2024-09-01 03:00:00,900356,Jahrhunderthalle,51.48298,7.19877,80.158,20.766,0,0,,3.654,21.62,45
2024-09-01 03:15:01,900356,Jahrhunderthalle,51.48298,7.19877,80.156,20.753,0,0,,3.636,21.55,44.9
2024-09-01 03:30:01,900356,Jahrhunderthalle,51.48298,7.19877,80.153,20.713,0,0,,,,
2024-09-01 03:45:01,900356,Jahrhunderthalle,51.48298,7.19877,80.152,20.672,0,0,,,,
2024-09-01 04:00:00,900356,Jahrhunderthalle,51.48298,7.19877,80.149,20.65,0,0,,3.652,21.25,44.9
2024-09-01 04:15:01,900356,Jahrhunderthalle,51.48298,7.19877,80.148,20.588,0,0,,3.631,21.2,44.9
2024-09-01 04:30:01,900356,Jahrhunderthalle,51.48298,7.19877,80.144,20.609,0,0,,,,
2024-09-01 04:45:01,900356,Jahrhunderthalle,51.48298,7.19877,80.142,20.594,0,0,,,,
2024-09-01 05:00:00,900356,Jahrhunderthalle,51.48298,7.19877,80.14,20.544,0,0,,3.644,20.84,44.9
2024-09-01 05:15:00,900356,Jahrhunderthalle,51.48298,7.19877,80.137,20.5,0,0,,3.632,20.8,44.8
2024-09-01 05:30:00,900356,Jahrhunderthalle,51.48298,7.19877,80.136,20.431,0,0,,,,
2024-09-01 05:45:00,900356,Jahrhunderthalle,51.48298,7.19877,80.132,20.441,0,0,,,,
2024-09-01 06:00:01,900356,Jahrhunderthalle,51.48298,7.19877,80.131,20.441,0,0,,3.649,20.57,44.8
2024-09-01 06:15:00,900356,Jahrhunderthalle,51.48298,7.19877,80.129,20.356,0,0,,3.627,20.57,44.8
2024-09-01 06:30:00,900356,Jahrhunderthalle,51.48298,7.19877,80.129,20.356,0,0,,,,
2024-09-01 06:45:00,900356,Jahrhunderthalle,51.48298,7.19877,80.126,20.353,0,0,,,,
2024-09-01 07:00:01,900356,Jahrhunderthalle,51.48298,7.19877,80.126,20.294,0,0,,3.646,20.72,44.9
2024-09-01 07:15:01,900356,Jahrhunderthalle,51.48298,7.19877,80.124,20.244,0,0,,3.623,21,44.9
2024-09-01 07:30:01,900356,Jahrhunderthalle,51.48298,7.19877,80.122,20.272,0,0,,,,
2024-09-01 07:45:01,900356,Jahrhunderthalle,51.48298,7.19877,80.121,20.231,0,0,,,,
