datetime,logger_id,name,latitude,longitude,pegel,wtemp,o,do,elL,hkBat,hkTemp,hkHum
2024-09-03 00:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,95.352,19.819,0,0,997,3.686,22.77,34
2024-09-03 00:15:01,900358,Hiltrop Volkspark,51.52259,7.26221,95.352,19.825,0,0,992,3.666,22.75,33.9
2024-09-03 00:30:01,900358,Hiltrop Volkspark,51.52259,7.26221,95.352,19.856,0,0,991,,,
2024-09-03 00:45:01,900358,Hiltrop Volkspark,51.52259,7.26221,95.352,19.781,0,0,999,,,
2024-09-03 01:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,95.352,19.784,0,0,996,3.689,22.42,33.9
2024-09-03 01:15:00,900358,Hiltrop Volkspark,51.52259,7.26221,95.352,19.778,0,0,997,3.671,22.39,33.9
2024-09-03 01:30:00,900358,Hiltrop Volkspark,51.52259,7.26221,95.353,19.781,0,0,997,,,
2024-09-03 01:45:00,900358,Hiltrop Volkspark,51.52259,7.26221,95.352,19.781,0,0,1000,,,
2024-09-03 02:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,95.353,19.763,0,0,997,3.687,22,33.9
2024-09-03 02:15:00,900358,Hiltrop Volkspark,51.52259,7.26221,95.352,19.759,0,0,998,3.669,21.94,33.8
2024-09-03 02:30:00,900358,Hiltrop Volkspark,51.52259,7.26221,95.353,19.759,0,0,1002,,,
2024-09-03 02:45:00,900358,Hiltrop Volkspark,51.52259,7.26221,95.353,19.744,0,0,1003,,,
2024-09-03 03:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,95.353,19.784,0,0,1000,3.69,21.59,33.8
2024-09-03 03:15:00,900358,Hiltrop Volkspark,51.52259,7.26221,95.353,19.713,0,0,1002,3.666,21.55,33.7
2024-09-03 03:30:00,900358,Hiltrop Volkspark,51.52259,7.26221,95.354,19.709,0,0,997,,,
2024-09-03 03:45:00,900358,Hiltrop Volkspark,51.52259,7.26221,95.353,19.719,0,0,1001,,,
2024-09-03 04:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,95.353,19.709,0,0,1001,3.682,21.23,33.8
2024-09-03 04:15:00,900358,Hiltrop Volkspark,51.52259,7.26221,95.354,19.725,0,0,998,3.664,21.19,33.7
2024-09-03 04:30:00,900358,Hiltrop Volkspark,51.52259,7.26221,95.353,19.706,0,0,1000,,,
2024-09-03 04:45:00,900358,Hiltrop Volkspark,51.52259,7.26221,95.353,19.675,0,0,1001,,,
2024-09-03 05:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,95.354,19.666,0,0,1006,3.687,20.88,33.7
2024-09-03 05:15:00,900358,Hiltrop Volkspark,51.52259,7.26221,95.354,19.681,0,0,1005,3.666,20.87,33.7
2024-09-03 05:30:00,900358,Hiltrop Volkspark,51.52259,7.26221,95.354,19.634,0,0,1002,,,
2024-09-03 05:45:00,900358,Hiltrop Volkspark,51.52259,7.26221,95.354,19.675,0,0,1001,,,
2024-09-03 06:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,95.354,19.625,0.002,0,992,3.685,20.62,33.7
2024-09-03 06:15:00,900358,Hiltrop Volkspark,51.52259,7.26221,95.355,19.581,0,0,984,3.667,20.62,33.6
2024-09-03 06:30:00,900358,Hiltrop Volkspark,51.52259,7.26221,95.355,19.581,0,0,990,,,
2024-09-03 06:45:00,900358,Hiltrop Volkspark,51.52259,7.26221,95.354,19.609,0,0,991,,,
2024-09-03 07:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,95.355,19.547,0,0,985,3.685,20.48,33.7
2024-09-03 07:15:00,900358,Hiltrop Volkspark,51.52259,7.26221,95.355,19.519,0,0,990,3.669,20.54,33.6
2024-09-03 07:30:00,900358,Hiltrop Volkspark,51.52259,7.26221,95.354,19.534,0.48,0.043,981,,,
2024-09-03 07:45:00,900358,Hiltrop Volkspark,51.52259,7.26221,95.355,19.503,0,0,976,,,
2024-09-03 08:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,95.354,19.466,5.441,0.49,976,3.687,20.63,33.7
2024-09-03 08:15:00,900358,Hiltrop Volkspark,51.52259,7.26221,95.355,19.463,16.342,1.473,948,3.666,20.8,33.7
2024-09-03 08:30:00,900358,Hiltrop Volkspark,51.52259,7.26221,95.355,19.428,24.56,2.214,969,,,
2024-09-03 08:45:00,900358,Hiltrop Volkspark,51.52259,7.26221,95.356,19.388,35.118,3.166,933,,,
2024-09-03 09:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,95.355,19.428,21.705,1.957,963,3.685,21.24,33.8
2024-09-03 09:15:00,900358,Hiltrop Volkspark,51.52259,7.26221,95.355,19.428,5.828,0.525,970,3.667,21.49,33.7
2024-09-03 09:30:00,900358,Hiltrop Volkspark,51.52259,7.26221,95.355,19.366,21.081,1.901,966,,,
2024-09-03 09:45:00,900358,Hiltrop Volkspark,51.52259,7.26221,95.355,19.394,14.141,1.275,965,,,
2024-09-03 10:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,95.355,19.422,6.425,0.579,963,3.682,22.05,33.9
2024-09-03 10:15:00,900358,Hiltrop Volkspark,51.52259,7.26221,95.356,19.378,12.612,1.137,979,3.663,22.38,33.9
2024-09-03 10:30:00,900358,Hiltrop Volkspark,51.52259,7.26221,95.356,19.419,4.14,0.373,969,,,
2024-09-03 10:45:00,900358,Hiltrop Volkspark,51.52259,7.26221,95.356,19.403,6.132,0.553,965,,,
