datetime,logger_id,name,latitude,longitude,pegel,wtemp,o,do,elL,hkBat,hkTemp,hkHum
2024-10-21 00:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,95.318,12.034,0,0,771,3.672,19.14,35.8
2024-10-21 00:15:00,900358,Hiltrop Volkspark,51.52259,7.26221,95.317,12,0,0,764,3.648,19.29,35.8
2024-10-21 00:30:00,900358,Hiltrop Volkspark,51.52259,7.26221,95.317,12,0,0,772,,,
2024-10-21 00:45:00,900358,Hiltrop Volkspark,51.52259,7.26221,95.317,12.006,0,0,768,,,
2024-10-21 01:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,95.317,12.016,0,0,764,3.671,19.46,35.8
2024-10-21 01:15:00,900358,Hiltrop Volkspark,51.52259,7.26221,95.318,12.025,0,0,775,3.652,19.59,35.8
2024-10-21 01:30:00,900358,Hiltrop Volkspark,51.52259,7.26221,95.317,12.038,0,0,776,,,
2024-10-21 01:45:00,900358,Hiltrop Volkspark,51.52259,7.26221,95.318,12.025,0,0,778,,,
2024-10-21 02:00:01,900358,Hiltrop Volkspark,51.52259,7.26221,95.317,12.063,0,0,773,3.677,19.68,35.9
2024-10-21 02:15:00,900358,Hiltrop Volkspark,51.52259,7.26221,95.316,12.084,0,0,772,3.647,19.81,35.8
2024-10-21 02:30:00,900358,Hiltrop Volkspark,51.52259,7.26221,95.316,12.05,0,0,764,,,
2024-10-21 02:45:00,900358,Hiltrop Volkspark,51.52259,7.26221,95.316,12.072,0,0,766,,,
2024-10-21 03:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,95.318,12.084,0,0,766,3.677,19.92,35.9
2024-10-21 03:15:00,900358,Hiltrop Volkspark,51.52259,7.26221,95.318,12.038,0,0,761,3.654,20,35.8
2024-10-21 03:30:00,900358,Hiltrop Volkspark,51.52259,7.26221,95.318,12.05,0,0,765,,,
2024-10-21 03:45:00,900358,Hiltrop Volkspark,51.52259,7.26221,95.316,12.056,0,0,769,,,
2024-10-21 04:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,95.317,12.075,0,0,773,3.675,20.02,35.9
2024-10-21 04:15:00,900358,Hiltrop Volkspark,51.52259,7.26221,95.316,12.091,0,0,772,3.652,20.1,35.8
2024-10-21 04:30:00,900358,Hiltrop Volkspark,51.52259,7.26221,95.317,12.088,0,0,771,,,
2024-10-21 04:45:00,900358,Hiltrop Volkspark,51.52259,7.26221,95.318,12.091,0,0,765,,,
2024-10-21 05:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,95.317,12.084,0,0,763,3.671,19.77,35.8
2024-10-21 05:15:00,900358,Hiltrop Volkspark,51.52259,7.26221,95.317,12.097,0,0,766,3.647,19.62,35.6
2024-10-21 05:30:00,900358,Hiltrop Volkspark,51.52259,7.26221,95.317,12.084,0,0,770,,,
2024-10-21 05:45:00,900358,Hiltrop Volkspark,51.52259,7.26221,95.316,12.094,0,0,767,,,
2024-10-21 06:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,95.317,12.091,0,0,776,3.67,18.78,35.6
2024-10-21 06:15:00,900358,Hiltrop Volkspark,51.52259,7.26221,95.318,12.122,0,0,763,3.649,18.59,35.5
2024-10-21 06:30:00,900358,Hiltrop Volkspark,51.52259,7.26221,95.317,12.106,0,0,770,,,
2024-10-21 06:45:00,900358,Hiltrop Volkspark,51.52259,7.26221,95.317,12.175,0,0,774,,,
