datetime,logger_id,name,latitude,longitude,pegel,wtemp,o,do,elL,hkBat,hkTemp,hkHum,year_month
2026-01-01 00:00:01,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,47.626,6.456,1072,3.658,5.06,24.0,2026-01
2026-01-01 00:00:01,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,47.626,6.456,1072,3.658,5.06,24.0,2026-01
2026-01-01 00:15:01,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,46.703,6.33,1074,3.641,5.13,24.0,2026-01
2026-01-01 00:30:01,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,47.516,6.445,1071,,,,2026-01
2026-01-01 00:45:01,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,47.215,6.406,1080,,,,2026-01
2026-01-01 01:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,47.933,6.503,1066,3.656,5.22,24.0,2026-01
2026-01-01 01:15:00,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,47.889,6.498,1084,3.648,5.27,24.0,2026-01
2026-01-01 01:30:00,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,46.934,6.369,1054,,,,2026-01
2026-01-01 01:45:00,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,47.238,6.404,1084,,,,2026-01
2026-01-01 02:00:01,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,45.849,6.217,1071,3.658,5.27,24.0,2026-01
2026-01-01 02:15:00,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,45.997,6.237,1078,3.649,5.35,24.0,2026-01
2026-01-01 02:30:00,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,46.36,6.288,1066,,,,2026-01
2026-01-01 02:45:00,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,47.034,6.376,1072,,,,2026-01
2026-01-01 03:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,46.95,6.368,1071,3.657,5.41,24.0,2026-01
2026-01-01 03:15:01,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,46.392,6.294,1080,3.652,5.5,24.0,2026-01
2026-01-01 03:30:01,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,46.778,6.347,1076,,,,2026-01
2026-01-01 03:45:01,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,46.363,6.29,1072,,,,2026-01
2026-01-01 04:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,46.069,6.249,1065,3.662,5.45,24.0,2026-01
2026-01-01 04:15:00,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,45.974,6.238,1070,3.646,5.5,24.0,2026-01
2026-01-01 04:30:00,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,45.957,6.233,1067,,,,2026-01
2026-01-01 04:45:00,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,47.092,6.386,1072,,,,2026-01
2026-01-01 05:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,46.554,6.316,1058,3.661,5.42,24.0,2026-01
2026-01-01 05:15:00,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,46.535,6.312,1084,3.646,5.49,24.0,2026-01
2026-01-01 05:30:00,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,45.723,6.202,1074,,,,2026-01
2026-01-01 05:45:00,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,46.373,6.286,1076,,,,2026-01
2026-01-01 06:00:01,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,46.213,6.266,1081,3.657,5.42,24.0,2026-01
2026-01-01 06:15:01,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,46.829,6.354,1077,3.649,5.47,24.0,2026-01
2026-01-01 06:30:01,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,46.566,6.32,1069,,,,2026-01
2026-01-01 06:45:01,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,46.471,6.306,1082,,,,2026-01
2026-01-01 07:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,45.677,6.199,1090,3.657,5.41,24.0,2026-01
2026-01-01 07:15:00,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,45.892,6.225,1084,3.652,5.46,24.0,2026-01
2026-01-01 07:30:00,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,45.783,6.208,1066,,,,2026-01
2026-01-01 07:45:00,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,46.741,6.342,1045,,,,2026-01
2026-01-01 08:00:01,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,45.86,6.223,1063,3.666,5.5,24.1,2026-01
2026-01-01 08:15:01,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,46.65,6.332,1060,3.646,5.58,24.0,2026-01
2026-01-01 08:30:01,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,45.906,6.228,1061,,,,2026-01
2026-01-01 08:45:01,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,45.592,6.186,1063,,,,2026-01
2026-01-01 09:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,45.798,6.208,1084,3.661,5.63,24.1,2026-01
2026-01-01 09:15:00,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,46.598,6.316,1085,3.651,5.72,24.0,2026-01
2026-01-01 09:30:00,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,45.669,6.191,1047,,,,2026-01
2026-01-01 09:45:00,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,46.163,6.257,1085,,,,2026-01
2026-01-01 10:00:01,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,45.896,6.22,1079,3.666,5.83,24.1,2026-01
2026-01-01 10:15:01,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,46.16,6.255,1040,3.648,5.97,24.1,2026-01
2026-01-01 10:30:01,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,45.824,6.21,1085,,,,2026-01
2026-01-01 10:45:01,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,46.33,6.277,1081,,,,2026-01
2026-01-01 11:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,46.109,6.244,1051,3.662,6.3,24.2,2026-01
2026-01-01 11:15:01,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,46.434,6.291,1073,3.648,6.42,24.1,2026-01
2026-01-01 11:30:01,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,46.066,6.243,1071,,,,2026-01
2026-01-01 11:45:01,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,46.272,6.271,1044,,,,2026-01
2026-01-01 12:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,47.134,6.388,1079,3.666,6.37,24.2,2026-01
2026-01-01 12:15:01,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,46.627,6.32,1086,3.647,6.38,24.1,2026-01
2026-01-01 12:30:01,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,46.119,6.251,1077,,,,2026-01
2026-01-01 12:45:01,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,45.681,6.191,1082,,,,2026-01
2026-01-01 13:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,45.78,6.203,1056,3.662,5.96,24.2,2026-01
2026-01-01 13:15:00,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,46.011,6.23,1054,3.642,6.02,24.1,2026-01
2026-01-01 13:30:00,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,45.23,6.124,1040,,,,2026-01
2026-01-01 13:45:00,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,44.944,6.085,1043,,,,2026-01
2026-01-01 14:00:01,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,44.558,6.034,1075,3.662,5.73,24.1,2026-01
2026-01-01 14:15:00,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,45.159,6.114,1076,3.647,5.77,24.1,2026-01
2026-01-01 14:30:00,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,44.854,6.073,1079,,,,2026-01
2026-01-01 14:45:00,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,45.085,6.104,1077,,,,2026-01
2026-01-01 15:00:01,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,44.681,6.049,1059,3.662,5.8,24.1,2026-01
2026-01-01 15:15:01,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,44.325,6.002,1071,3.644,5.83,24.1,2026-01
2026-01-01 15:30:01,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,44.544,6.031,1068,,,,2026-01
2026-01-01 15:45:01,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,45.172,6.117,1074,,,,2026-01
2026-01-01 16:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,44.297,5.997,1044,3.664,5.75,24.1,2026-01
2026-01-01 16:15:00,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,44.455,6.018,1082,3.646,5.83,24.1,2026-01
2026-01-01 16:30:00,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,44.946,6.085,1049,,,,2026-01
2026-01-01 16:45:00,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,45.359,6.141,1045,,,,2026-01
2026-01-01 17:00:01,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,46.11,6.242,1079,3.661,5.98,24.2,2026-01
2026-01-01 17:15:00,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,44.991,6.092,1077,3.642,6.19,24.1,2026-01
2026-01-01 17:30:00,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,45.019,6.092,1084,,,,2026-01
2026-01-01 17:45:00,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,44.621,6.039,1084,,,,2026-01
2026-01-01 18:00:01,900358,Hiltrop Volkspark,51.52259,7.26221,0,0,45.4,6.141,1089,3.662,6.28,24.2,2026-01
