datetime,logger_id,name,latitude,longitude,pegel,wtemp,o,do,elL,hkBat,hkTemp,hkHum
2025-03-08 00:00:01,900368,Wiesental,51.46335,7.21048,84.433,5.788,,,,3.722,8.15,53.3
2025-03-08 00:15:00,900368,Wiesental,51.46335,7.21048,84.433,5.756,,,,3.71,8.03,53.2
2025-03-08 00:30:00,900368,Wiesental,51.46335,7.21048,84.433,5.766,,,,,,
2025-03-08 00:45:00,900368,Wiesental,51.46335,7.21048,84.432,5.809,,,,,,
2025-03-08 01:00:00,900368,Wiesental,51.46335,7.21048,84.433,5.741,,,,3.719,7.58,53.2
2025-03-08 01:15:00,900368,Wiesental,51.46335,7.21048,84.433,5.813,,,,3.702,7.47,53.1
2025-03-08 01:30:00,900368,Wiesental,51.46335,7.21048,84.433,5.772,,,,,,
2025-03-08 01:45:00,900368,Wiesental,51.46335,7.21048,84.433,5.806,,,,,,
2025-03-08 02:00:01,900368,Wiesental,51.46335,7.21048,84.432,5.825,,,,3.708,7.08,53.1
2025-03-08 02:15:00,900368,Wiesental,51.46335,7.21048,84.433,5.803,,,,3.704,6.98,53
2025-03-08 02:30:00,900368,Wiesental,51.46335,7.21048,84.433,5.8,,,,,,
2025-03-08 02:45:00,900368,Wiesental,51.46335,7.21048,84.433,5.809,,,,,,
2025-03-08 03:00:00,900368,Wiesental,51.46335,7.21048,84.432,5.809,,,,3.718,6.63,52.9
2025-03-08 03:15:00,900368,Wiesental,51.46335,7.21048,84.433,5.794,,,,3.7,6.55,52.9
2025-03-08 03:30:00,900368,Wiesental,51.46335,7.21048,84.433,5.828,,,,,,
2025-03-08 03:45:00,900368,Wiesental,51.46335,7.21048,84.432,5.853,,,,,,
2025-03-08 04:00:01,900368,Wiesental,51.46335,7.21048,84.433,5.822,,,,3.708,6.18,52.8
2025-03-08 04:15:00,900368,Wiesental,51.46335,7.21048,84.433,5.844,,,,3.695,6.11,52.8
2025-03-08 04:30:00,900368,Wiesental,51.46335,7.21048,84.433,5.822,,,,,,
2025-03-08 04:45:00,900368,Wiesental,51.46335,7.21048,84.433,5.803,,,,,,
2025-03-08 05:00:00,900368,Wiesental,51.46335,7.21048,84.434,5.788,,,,3.714,5.83,52.8
2025-03-08 05:15:00,900368,Wiesental,51.46335,7.21048,84.433,5.816,,,,3.694,5.78,52.7
2025-03-08 05:30:00,900368,Wiesental,51.46335,7.21048,84.433,5.834,,,,,,
2025-03-08 05:45:00,900368,Wiesental,51.46335,7.21048,84.433,5.806,,,,,,
2025-03-08 06:00:00,900368,Wiesental,51.46335,7.21048,84.433,5.863,,,,3.703,5.52,52.7
2025-03-08 06:15:00,900368,Wiesental,51.46335,7.21048,84.433,5.866,,,,3.706,5.47,52.6
2025-03-08 06:30:00,900368,Wiesental,51.46335,7.21048,84.432,5.813,,,,,,
2025-03-08 06:45:00,900368,Wiesental,51.46335,7.21048,84.433,5.822,,,,,,
2025-03-08 07:00:00,900368,Wiesental,51.46335,7.21048,84.433,5.8,,,,3.703,5.16,52.6
2025-03-08 07:15:00,900368,Wiesental,51.46335,7.21048,84.433,5.822,,,,3.696,5.12,52.6
2025-03-08 07:30:00,900368,Wiesental,51.46335,7.21048,84.433,5.816,,,,,,
2025-03-08 07:45:00,900368,Wiesental,51.46335,7.21048,84.433,5.797,,,,,,
2025-03-08 08:00:00,900368,Wiesental,51.46335,7.21048,84.432,5.809,,,,3.707,5.04,52.6
2025-03-08 08:15:00,900368,Wiesental,51.46335,7.21048,84.433,5.844,,,,3.702,5.15,52.6
2025-03-08 08:30:00,900368,Wiesental,51.46335,7.21048,84.433,5.844,,,,,,
2025-03-08 08:45:00,900368,Wiesental,51.46335,7.21048,84.433,5.822,,,,,,
2025-03-08 09:00:00,900368,Wiesental,51.46335,7.21048,84.433,5.828,,,,3.707,5.77,52.9
2025-03-08 09:15:00,900368,Wiesental,51.46335,7.21048,84.433,5.828,,,,3.7,6.21,52.9
2025-03-08 09:30:00,900368,Wiesental,51.46335,7.21048,84.433,5.916,,,,,,
2025-03-08 09:45:00,900368,Wiesental,51.46335,7.21048,84.432,5.766,,,,,,
2025-03-08 10:00:01,900368,Wiesental,51.46335,7.21048,84.432,5.794,,,,3.715,8.35,53.5
2025-03-08 10:15:00,900368,Wiesental,51.46335,7.21048,84.433,5.813,,,,3.7,9.39,53.4
2025-03-08 10:30:00,900368,Wiesental,51.46335,7.21048,84.432,5.784,,,,,,
2025-03-08 10:45:00,900368,Wiesental,51.46335,7.21048,84.432,5.909,,,,,,
2025-03-08 11:00:01,900368,Wiesental,51.46335,7.21048,84.432,5.781,,,,3.726,12.59,53.8
2025-03-08 11:15:00,900368,Wiesental,51.46335,7.21048,84.433,5.794,,,,3.71,13.77,53.9
2025-03-08 11:30:00,900368,Wiesental,51.46335,7.21048,84.433,5.794,,,,,,
2025-03-08 11:45:00,900368,Wiesental,51.46335,7.21048,84.433,5.809,,,,,,
2025-03-08 12:00:01,900368,Wiesental,51.46335,7.21048,84.432,5.841,,,,3.735,17.76,54.7
2025-03-08 12:15:00,900368,Wiesental,51.46335,7.21048,84.433,5.825,,,,3.722,19.31,54.3
2025-03-08 12:30:00,900368,Wiesental,51.46335,7.21048,84.433,5.781,,,,,,
2025-03-08 12:45:00,900368,Wiesental,51.46335,7.21048,84.433,5.806,,,,,,
2025-03-08 13:00:00,900368,Wiesental,51.46335,7.21048,84.434,5.825,,,,3.749,21.86,54.4
2025-03-08 13:15:00,900368,Wiesental,51.46335,7.21048,84.433,5.759,,,,3.727,22.33,54.4
2025-03-08 13:30:00,900368,Wiesental,51.46335,7.21048,84.434,5.834,,,,,,
2025-03-08 13:45:00,900368,Wiesental,51.46335,7.21048,84.434,5.791,,,,,,
2025-03-08 14:00:00,900368,Wiesental,51.46335,7.21048,84.433,5.809,,,,3.746,23.37,54.7
2025-03-08 14:15:00,900368,Wiesental,51.46335,7.21048,84.433,5.828,,,,3.729,24.25,55.2
2025-03-08 14:30:00,900368,Wiesental,51.46335,7.21048,84.434,5.791,,,,,,
2025-03-08 14:45:00,900368,Wiesental,51.46335,7.21048,84.433,5.803,,,,,,
2025-03-08 15:00:00,900368,Wiesental,51.46335,7.21048,84.435,5.838,,,,3.755,28.09,55.2
2025-03-08 15:15:00,900368,Wiesental,51.46335,7.21048,84.434,5.972,,,,3.744,28.61,55.4
2025-03-08 15:30:00,900368,Wiesental,51.46335,7.21048,84.435,5.813,,,,,,
2025-03-08 15:45:00,900368,Wiesental,51.46335,7.21048,84.434,5.828,,,,,,
2025-03-08 16:00:00,900368,Wiesental,51.46335,7.21048,84.434,5.919,,,,3.759,29.09,54.9
2025-03-08 16:15:01,900368,Wiesental,51.46335,7.21048,84.434,5.831,,,,3.74,28.57,55
2025-03-08 16:30:01,900368,Wiesental,51.46335,7.21048,84.435,5.844,,,,,,
