datetime,logger_id,name,latitude,longitude,pegel,wtemp,o,do,elL,hkBat,hkTemp,hkHum,year_month
2024-01-03 09:15:01,900371,Huelsbergstr,51.43301,7.2142,109.081,7.003,,,,3.639,11.67,25.8,2024-01
2024-01-03 09:30:01,900371,Huelsbergstr,51.43301,7.2142,109.081,7.041,,,,,,,2024-01
2024-01-03 09:45:01,900371,Huelsbergstr,51.43301,7.2142,109.081,7.053,,,,,,,2024-01
2024-01-03 10:00:00,900371,Huelsbergstr,51.43301,7.2142,109.081,7.022,,,,3.662,11.47,25.8,2024-01
2024-01-03 10:15:00,900371,Huelsbergstr,51.43301,7.2142,109.08,7.003,,,,3.643,11.48,25.7,2024-01
2024-01-03 10:30:00,900371,Huelsbergstr,51.43301,7.2142,109.079,7.006,,,,,,,2024-01
2024-01-03 10:45:00,900371,Huelsbergstr,51.43301,7.2142,109.079,7.009,,,,,,,2024-01
2024-01-03 11:00:01,900371,Huelsbergstr,51.43301,7.2142,109.079,7.028,,,,3.66,11.51,25.8,2024-01
2024-01-03 11:15:00,900371,Huelsbergstr,51.43301,7.2142,109.08,7.038,,,,3.647,11.62,25.8,2024-01
2024-01-03 11:30:00,900371,Huelsbergstr,51.43301,7.2142,109.08,7.038,,,,,,,2024-01
2024-01-03 11:45:00,900371,Huelsbergstr,51.43301,7.2142,109.079,7.038,,,,,,,2024-01
2024-01-03 12:00:00,900371,Huelsbergstr,51.43301,7.2142,109.08,7.047,,,,3.666,12.2,25.9,2024-01
2024-01-03 12:15:00,900371,Huelsbergstr,51.43301,7.2142,109.08,7.081,,,,3.647,12.59,25.9,2024-01
2024-01-03 12:30:00,900371,Huelsbergstr,51.43301,7.2142,109.08,7.028,,,,,,,2024-01
2024-01-03 12:45:00,900371,Huelsbergstr,51.43301,7.2142,109.08,7.072,,,,,,,2024-01
2024-01-03 13:00:00,900371,Huelsbergstr,51.43301,7.2142,109.081,7.063,,,,3.67,12.64,25.9,2024-01
2024-01-03 13:15:00,900371,Huelsbergstr,51.43301,7.2142,109.081,7.088,,,,3.641,12.64,25.9,2024-01
2024-01-03 13:30:00,900371,Huelsbergstr,51.43301,7.2142,109.08,7.125,,,,,,,2024-01
2024-01-03 13:45:00,900371,Huelsbergstr,51.43301,7.2142,109.081,7.116,,,,,,,2024-01
