datetime,logger_id,name,latitude,longitude,pegel,wtemp,o,do,elL,hkBat,hkTemp,hkHum
2024-08-30 00:00:00,900371,Huelsbergstr,51.43301,7.2142,110.162,15.069,,,,3.679,21.52,43
2024-08-30 00:15:00,900371,Huelsbergstr,51.43301,7.2142,110.161,15.103,,,,3.665,21.45,42.9
2024-08-30 00:30:00,900371,Huelsbergstr,51.43301,7.2142,110.162,15.1,,,,,,
2024-08-30 00:45:00,900371,Huelsbergstr,51.43301,7.2142,110.162,15.125,,,,,,
2024-08-30 01:00:01,900371,Huelsbergstr,51.43301,7.2142,110.162,15.119,,,,3.686,21.16,43
2024-08-30 01:15:00,900371,Huelsbergstr,51.43301,7.2142,110.162,15.088,,,,3.665,21.2,42.9
2024-08-30 01:30:00,900371,Huelsbergstr,51.43301,7.2142,110.161,15.119,,,,,,
2024-08-30 01:45:00,900371,Huelsbergstr,51.43301,7.2142,110.161,15.131,,,,,,
2024-08-30 02:00:01,900371,Huelsbergstr,51.43301,7.2142,110.162,15.131,,,,3.682,21.1,42.9
2024-08-30 02:15:00,900371,Huelsbergstr,51.43301,7.2142,110.161,15.128,,,,3.666,21.12,42.8
2024-08-30 02:30:00,900371,Huelsbergstr,51.43301,7.2142,110.161,15.134,,,,,,
2024-08-30 02:45:00,900371,Huelsbergstr,51.43301,7.2142,110.162,15.128,,,,,,
2024-08-30 03:00:01,900371,Huelsbergstr,51.43301,7.2142,110.162,15.138,,,,3.683,20.89,42.8
2024-08-30 03:15:00,900371,Huelsbergstr,51.43301,7.2142,110.161,15.144,,,,3.66,20.83,42.8
2024-08-30 03:30:00,900371,Huelsbergstr,51.43301,7.2142,110.162,15.113,,,,,,
2024-08-30 03:45:00,900371,Huelsbergstr,51.43301,7.2142,110.162,15.138,,,,,,
2024-08-30 04:00:00,900371,Huelsbergstr,51.43301,7.2142,110.162,15.138,,,,3.685,20.47,42.8
2024-08-30 04:15:00,900371,Huelsbergstr,51.43301,7.2142,110.163,15.134,,,,3.659,20.44,42.7
2024-08-30 04:30:00,900371,Huelsbergstr,51.43301,7.2142,110.162,15.125,,,,,,
2024-08-30 04:45:00,900371,Huelsbergstr,51.43301,7.2142,110.162,15.131,,,,,,
2024-08-30 05:00:00,900371,Huelsbergstr,51.43301,7.2142,110.162,15.172,,,,3.678,20.09,42.7
2024-08-30 05:15:01,900371,Huelsbergstr,51.43301,7.2142,110.162,15.141,,,,3.662,20.03,42.6
2024-08-30 05:30:01,900371,Huelsbergstr,51.43301,7.2142,110.162,15.153,,,,,,
2024-08-30 05:45:01,900371,Huelsbergstr,51.43301,7.2142,110.162,15.131,,,,,,
2024-08-30 06:00:00,900371,Huelsbergstr,51.43301,7.2142,110.162,15.159,,,,3.682,19.64,42.6
2024-08-30 06:15:00,900371,Huelsbergstr,51.43301,7.2142,110.162,15.128,,,,3.651,19.65,42.5
2024-08-30 06:30:00,900371,Huelsbergstr,51.43301,7.2142,110.163,15.2,,,,,,
2024-08-30 06:45:00,900371,Huelsbergstr,51.43301,7.2142,110.163,15.172,,,,,,
2024-08-30 07:00:00,900371,Huelsbergstr,51.43301,7.2142,110.163,15.166,,,,3.672,19.35,42.6
2024-08-30 07:15:01,900371,Huelsbergstr,51.43301,7.2142,110.164,15.141,,,,3.655,19.34,42.5
2024-08-30 07:30:01,900371,Huelsbergstr,51.43301,7.2142,110.163,15.159,,,,,,
2024-08-30 07:45:01,900371,Huelsbergstr,51.43301,7.2142,110.163,15.125,,,,,,
2024-08-30 08:00:00,900371,Huelsbergstr,51.43301,7.2142,110.163,15.15,,,,3.681,19.54,42.6
2024-08-30 08:15:01,900371,Huelsbergstr,51.43301,7.2142,110.163,15.166,,,,3.656,19.79,42.6
