datetime,logger_id,name,latitude,longitude,pegel,wtemp,o,do,elL,hkBat,hkTemp,hkHum
2025-07-19 00:00:00,900371,Huelsbergstr,51.43301,7.2142,110.099,14.528,,,,3.691,20.46,10.2
2025-07-19 00:15:00,900371,Huelsbergstr,51.43301,7.2142,110.099,14.563,,,,3.663,20.5,10.2
2025-07-19 00:30:00,900371,Huelsbergstr,51.43301,7.2142,110.098,14.556,,,,,,
2025-07-19 00:45:00,900371,Huelsbergstr,51.43301,7.2142,110.098,14.566,,,,,,
2025-07-19 01:00:01,900371,Huelsbergstr,51.43301,7.2142,110.099,14.541,,,,3.689,19.96,10.2
2025-07-19 01:15:01,900371,Huelsbergstr,51.43301,7.2142,110.099,14.516,,,,3.663,19.79,10.2
2025-07-19 01:30:01,900371,Huelsbergstr,51.43301,7.2142,110.1,14.534,,,,,,
2025-07-19 01:45:01,900371,Huelsbergstr,51.43301,7.2142,110.1,14.534,,,,,,
2025-07-19 02:00:00,900371,Huelsbergstr,51.43301,7.2142,110.099,14.544,,,,3.684,19.03,10.1
2025-07-19 02:15:00,900371,Huelsbergstr,51.43301,7.2142,110.1,14.547,,,,3.668,18.88,10.1
2025-07-19 02:30:00,900371,Huelsbergstr,51.43301,7.2142,110.1,14.534,,,,,,
2025-07-19 02:45:00,900371,Huelsbergstr,51.43301,7.2142,110.101,14.528,,,,,,
2025-07-19 03:00:01,900371,Huelsbergstr,51.43301,7.2142,110.1,14.55,,,,3.692,18.27,10.1
2025-07-19 03:15:00,900371,Huelsbergstr,51.43301,7.2142,110.1,14.581,,,,3.668,18.17,10.1
2025-07-19 03:30:00,900371,Huelsbergstr,51.43301,7.2142,110.101,14.563,,,,,,
2025-07-19 03:45:00,900371,Huelsbergstr,51.43301,7.2142,110.101,14.569,,,,,,
2025-07-19 04:00:01,900371,Huelsbergstr,51.43301,7.2142,110.102,14.553,,,,3.69,17.7,10
2025-07-19 04:15:01,900371,Huelsbergstr,51.43301,7.2142,110.101,14.55,,,,3.664,17.63,10
2025-07-19 04:30:01,900371,Huelsbergstr,51.43301,7.2142,110.102,14.591,,,,,,
2025-07-19 04:45:01,900371,Huelsbergstr,51.43301,7.2142,110.102,14.575,,,,,,
2025-07-19 05:00:00,900371,Huelsbergstr,51.43301,7.2142,110.101,14.569,,,,3.693,17.2,10
2025-07-19 05:15:01,900371,Huelsbergstr,51.43301,7.2142,110.102,14.609,,,,3.655,17.2,10
2025-07-19 05:30:01,900371,Huelsbergstr,51.43301,7.2142,110.102,14.597,,,,,,
2025-07-19 05:45:01,900371,Huelsbergstr,51.43301,7.2142,110.102,14.591,,,,,,
2025-07-19 06:00:00,900371,Huelsbergstr,51.43301,7.2142,110.102,14.575,,,,3.689,17.29,10
2025-07-19 06:15:01,900371,Huelsbergstr,51.43301,7.2142,110.103,14.591,,,,3.651,17.59,10
2025-07-19 06:30:01,900371,Huelsbergstr,51.43301,7.2142,110.103,14.603,,,,,,
2025-07-19 06:45:01,900371,Huelsbergstr,51.43301,7.2142,110.103,14.563,,,,,,
2025-07-19 07:00:00,900371,Huelsbergstr,51.43301,7.2142,110.103,14.572,,,,3.691,18.37,10.1
2025-07-19 07:15:01,900371,Huelsbergstr,51.43301,7.2142,110.103,14.553,,,,3.664,18.82,10.1
2025-07-19 07:30:01,900371,Huelsbergstr,51.43301,7.2142,110.103,14.572,,,,,,
2025-07-19 07:45:01,900371,Huelsbergstr,51.43301,7.2142,110.104,14.597,,,,,,
2025-07-19 08:00:00,900371,Huelsbergstr,51.43301,7.2142,110.103,14.575,,,,3.693,20.06,10.2
2025-07-19 08:15:00,900371,Huelsbergstr,51.43301,7.2142,110.103,14.575,,,,3.659,20.67,10.2
2025-07-19 08:30:00,900371,Huelsbergstr,51.43301,7.2142,110.103,14.559,,,,,,
2025-07-19 08:45:00,900371,Huelsbergstr,51.43301,7.2142,110.103,14.566,,,,,,
2025-07-19 09:00:00,900371,Huelsbergstr,51.43301,7.2142,110.103,14.584,,,,3.691,22.14,10.3
2025-07-19 09:15:00,900371,Huelsbergstr,51.43301,7.2142,110.103,14.584,,,,3.668,22.82,10.3
2025-07-19 09:30:00,900371,Huelsbergstr,51.43301,7.2142,110.103,14.575,,,,,,
2025-07-19 09:45:00,900371,Huelsbergstr,51.43301,7.2142,110.104,14.591,,,,,,
2025-07-19 10:00:00,900371,Huelsbergstr,51.43301,7.2142,110.103,14.606,,,,3.692,24.99,10.5
2025-07-19 10:15:01,900371,Huelsbergstr,51.43301,7.2142,110.104,14.591,,,,3.675,25.58,10.5
2025-07-19 10:30:01,900371,Huelsbergstr,51.43301,7.2142,110.104,14.591,,,,,,
2025-07-19 10:45:01,900371,Huelsbergstr,51.43301,7.2142,110.103,14.622,,,,,,
2025-07-19 11:00:01,900371,Huelsbergstr,51.43301,7.2142,110.105,14.563,,,,3.697,26.92,10.7
2025-07-19 11:15:01,900371,Huelsbergstr,51.43301,7.2142,110.103,14.584,,,,3.68,27.43,10.7
2025-07-19 11:30:01,900371,Huelsbergstr,51.43301,7.2142,110.103,14.622,,,,,,
2025-07-19 11:45:01,900371,Huelsbergstr,51.43301,7.2142,110.103,14.653,,,,,,
2025-07-19 12:00:00,900371,Huelsbergstr,51.43301,7.2142,110.103,14.622,,,,3.698,28.88,10.8
2025-07-19 12:15:00,900371,Huelsbergstr,51.43301,7.2142,110.103,14.622,,,,3.684,30.36,11
2025-07-19 12:30:00,900371,Huelsbergstr,51.43301,7.2142,110.103,14.578,,,,,,
2025-07-19 12:45:00,900371,Huelsbergstr,51.43301,7.2142,110.104,14.606,,,,,,
2025-07-19 13:00:01,900371,Huelsbergstr,51.43301,7.2142,110.104,14.591,,,,3.697,33.91,11.3
2025-07-19 13:15:00,900371,Huelsbergstr,51.43301,7.2142,110.103,14.625,,,,3.686,34.38,11.3
2025-07-19 13:30:00,900371,Huelsbergstr,51.43301,7.2142,110.103,14.609,,,,,,
2025-07-19 13:45:00,900371,Huelsbergstr,51.43301,7.2142,110.104,14.603,,,,,,
2025-07-19 14:00:01,900371,Huelsbergstr,51.43301,7.2142,110.103,14.659,,,,3.705,34.04,11.3
2025-07-19 14:15:00,900371,Huelsbergstr,51.43301,7.2142,110.104,14.65,,,,3.695,34.01,11.3
2025-07-19 14:30:00,900371,Huelsbergstr,51.43301,7.2142,110.104,14.6,,,,,,
2025-07-19 14:45:00,900371,Huelsbergstr,51.43301,7.2142,110.103,14.619,,,,,,
2025-07-19 15:00:01,900371,Huelsbergstr,51.43301,7.2142,110.103,14.65,,,,3.694,33.17,11.3
2025-07-19 15:15:00,900371,Huelsbergstr,51.43301,7.2142,110.103,14.678,,,,3.688,32.91,11.2
2025-07-19 15:30:00,900371,Huelsbergstr,51.43301,7.2142,110.103,14.641,,,,,,
