datetime,logger_id,name,latitude,longitude,pegel,wtemp,o,do,elL,hkBat,hkTemp,hkHum
2024-08-31 00:00:00,900372,Kaiseraueteich,51.50069,7.22947,80.858,19.878,54.914,4.915,868,3.696,19.35,32.5
2024-08-31 00:15:00,900372,Kaiseraueteich,51.50069,7.22947,80.859,19.853,50.378,4.514,871,3.678,19.36,32.4
2024-08-31 00:30:00,900372,Kaiseraueteich,51.50069,7.22947,80.859,19.813,50.36,4.516,854,,,
2024-08-31 00:45:00,900372,Kaiseraueteich,51.50069,7.22947,80.859,19.744,50.63,4.545,851,,,
2024-08-31 01:00:00,900372,Kaiseraueteich,51.50069,7.22947,80.858,19.716,49.623,4.457,850,3.694,19.24,32.5
2024-08-31 01:15:01,900372,Kaiseraueteich,51.50069,7.22947,80.859,19.688,51.726,4.65,838,3.683,19.28,32.4
2024-08-31 01:30:01,900372,Kaiseraueteich,51.50069,7.22947,80.858,19.653,48.338,4.349,859,,,
2024-08-31 01:45:01,900372,Kaiseraueteich,51.50069,7.22947,80.858,19.594,47.034,4.234,862,,,
2024-08-31 02:00:00,900372,Kaiseraueteich,51.50069,7.22947,80.86,19.591,47.59,4.286,862,3.696,19.13,32.4
2024-08-31 02:15:01,900372,Kaiseraueteich,51.50069,7.22947,80.858,19.553,49.499,4.458,876,3.678,19.14,32.4
2024-08-31 02:30:01,900372,Kaiseraueteich,51.50069,7.22947,80.858,19.534,48.367,4.356,888,,,
2024-08-31 02:45:01,900372,Kaiseraueteich,51.50069,7.22947,80.858,19.494,44.353,3.995,878,,,
2024-08-31 03:00:00,900372,Kaiseraueteich,51.50069,7.22947,80.86,19.406,43.921,3.957,893,3.695,18.96,32.4
2024-08-31 03:15:01,900372,Kaiseraueteich,51.50069,7.22947,80.86,19.369,40.907,3.685,909,3.672,18.97,32.4
2024-08-31 03:30:01,900372,Kaiseraueteich,51.50069,7.22947,80.858,19.419,37.243,3.355,898,,,
2024-08-31 03:45:01,900372,Kaiseraueteich,51.50069,7.22947,80.86,19.388,39.922,3.597,883,,,
2024-08-31 04:00:00,900372,Kaiseraueteich,51.50069,7.22947,80.859,19.303,38.01,3.425,891,3.695,18.85,32.4
2024-08-31 04:15:00,900372,Kaiseraueteich,51.50069,7.22947,80.859,19.306,38.738,3.491,884,3.681,18.88,32.3
2024-08-31 04:30:00,900372,Kaiseraueteich,51.50069,7.22947,80.858,19.219,38.103,3.434,887,,,
2024-08-31 04:45:00,900372,Kaiseraueteich,51.50069,7.22947,80.859,19.228,36.125,3.257,880,,,
2024-08-31 05:00:00,900372,Kaiseraueteich,51.50069,7.22947,80.858,19.231,37.826,3.412,871,3.698,18.75,32.4
2024-08-31 05:15:00,900372,Kaiseraueteich,51.50069,7.22947,80.86,19.153,36.559,3.299,883,3.672,18.8,32.3
2024-08-31 05:30:00,900372,Kaiseraueteich,51.50069,7.22947,80.858,19.144,38.197,3.45,871,,,
2024-08-31 05:45:00,900372,Kaiseraueteich,51.50069,7.22947,80.858,19.131,34.838,3.147,887,,,
2024-08-31 06:00:00,900372,Kaiseraueteich,51.50069,7.22947,80.859,19.119,34.159,3.089,875,3.698,18.7,32.3
2024-08-31 06:15:00,900372,Kaiseraueteich,51.50069,7.22947,80.859,19.138,32.531,2.941,877,3.676,18.75,32.3
2024-08-31 06:30:00,900372,Kaiseraueteich,51.50069,7.22947,80.859,19.063,30.285,2.739,888,,,
2024-08-31 06:45:00,900372,Kaiseraueteich,51.50069,7.22947,80.859,19.025,33.669,3.047,891,,,
2024-08-31 07:00:00,900372,Kaiseraueteich,51.50069,7.22947,80.859,19.034,32.095,2.906,885,3.696,18.69,32.3
2024-08-31 07:15:00,900372,Kaiseraueteich,51.50069,7.22947,80.859,19.031,34.887,3.162,894,3.675,18.8,32.3
2024-08-31 07:30:00,900372,Kaiseraueteich,51.50069,7.22947,80.86,18.909,31.17,2.828,862,,,
2024-08-31 07:45:00,900372,Kaiseraueteich,51.50069,7.22947,80.859,18.894,26.039,2.365,846,,,
2024-08-31 08:00:00,900372,Kaiseraueteich,51.50069,7.22947,80.86,18.869,29.015,2.636,846,3.699,18.94,32.4
2024-08-31 08:15:00,900372,Kaiseraueteich,51.50069,7.22947,80.859,18.953,31.916,2.897,844,3.678,19.11,32.4
2024-08-31 08:30:00,900372,Kaiseraueteich,51.50069,7.22947,80.859,18.969,33.757,3.063,853,,,
2024-08-31 08:45:00,900372,Kaiseraueteich,51.50069,7.22947,80.859,19.006,39.455,3.575,861,,,
2024-08-31 09:00:00,900372,Kaiseraueteich,51.50069,7.22947,80.86,19.044,32.913,2.979,851,3.699,19.56,32.5
2024-08-31 09:15:00,900372,Kaiseraueteich,51.50069,7.22947,80.858,19.019,31.699,2.869,865,3.679,19.82,32.5
2024-08-31 09:30:00,900372,Kaiseraueteich,51.50069,7.22947,80.858,19.059,35.131,3.179,879,,,
2024-08-31 09:45:00,900372,Kaiseraueteich,51.50069,7.22947,80.86,19.175,41.392,3.737,858,,,
2024-08-31 10:00:00,900372,Kaiseraueteich,51.50069,7.22947,80.86,19.2,43.823,3.95,856,3.7,20.54,32.6
2024-08-31 10:15:01,900372,Kaiseraueteich,51.50069,7.22947,80.86,19.181,39.333,3.545,867,3.679,20.92,32.7
2024-08-31 10:30:01,900372,Kaiseraueteich,51.50069,7.22947,80.861,19.231,38.402,3.461,861,,,
2024-08-31 10:45:01,900372,Kaiseraueteich,51.50069,7.22947,80.859,19.166,36.198,3.262,861,,,
2024-08-31 11:00:00,900372,Kaiseraueteich,51.50069,7.22947,80.858,19.247,33.42,3.012,852,3.704,21.94,32.8
2024-08-31 11:15:00,900372,Kaiseraueteich,51.50069,7.22947,80.86,19.328,34.269,3.088,853,3.684,22.37,32.8
2024-08-31 11:30:00,900372,Kaiseraueteich,51.50069,7.22947,80.859,19.369,39.343,3.544,857,,,
2024-08-31 11:45:00,900372,Kaiseraueteich,51.50069,7.22947,80.862,19.503,43.512,3.919,863,,,
2024-08-31 12:00:00,900372,Kaiseraueteich,51.50069,7.22947,80.86,19.606,38.853,3.497,846,3.703,23.55,33.1
2024-08-31 12:15:00,900372,Kaiseraueteich,51.50069,7.22947,80.858,19.625,47.732,4.294,879,3.684,23.93,33.1
2024-08-31 12:30:00,900372,Kaiseraueteich,51.50069,7.22947,80.859,19.784,50.383,4.512,876,,,
2024-08-31 12:45:00,900372,Kaiseraueteich,51.50069,7.22947,80.857,19.806,58.66,5.256,871,,,
2024-08-31 13:00:00,900372,Kaiseraueteich,51.50069,7.22947,80.858,19.863,58.799,5.262,871,3.702,25.11,33.4
2024-08-31 13:15:00,900372,Kaiseraueteich,51.50069,7.22947,80.856,19.909,61.881,5.532,862,3.682,25.6,33.4
2024-08-31 13:30:00,900372,Kaiseraueteich,51.50069,7.22947,80.857,20.019,67.399,6.015,855,,,
2024-08-31 13:45:00,900372,Kaiseraueteich,51.50069,7.22947,80.857,20.116,69.651,6.19,854,,,
2024-08-31 14:00:00,900372,Kaiseraueteich,51.50069,7.22947,80.858,20.147,80.218,7.128,857,3.71,26.71,33.6
