datetime,logger_id,name,latitude,longitude,pegel,wtemp,o,do,elL,hkBat,hkTemp,hkHum
2024-05-05 00:00:00,900372,Kaiseraueteich,51.50069,7.22947,80.966,14.738,10.338,1.028,887,3.691,14.51,24.8
2024-05-05 00:15:00,900372,Kaiseraueteich,51.50069,7.22947,80.971,14.7,10.274,1.022,877,3.668,14.5,24.7
2024-05-05 00:30:00,900372,Kaiseraueteich,51.50069,7.22947,80.975,14.719,7.078,0.703,910,,,
2024-05-05 00:45:00,900372,Kaiseraueteich,51.50069,7.22947,80.979,14.725,0.804,0.08,923,,,
2024-05-05 01:00:00,900372,Kaiseraueteich,51.50069,7.22947,80.982,14.719,5.308,0.527,928,3.689,14.3,24.7
2024-05-05 01:15:00,900372,Kaiseraueteich,51.50069,7.22947,80.984,14.753,6.868,0.682,923,3.672,14.33,24.7
2024-05-05 01:30:00,900372,Kaiseraueteich,51.50069,7.22947,80.986,14.725,4.56,0.453,914,,,
2024-05-05 01:45:00,900372,Kaiseraueteich,51.50069,7.22947,80.988,14.8,0.154,0.015,907,,,
2024-05-05 02:00:00,900372,Kaiseraueteich,51.50069,7.22947,80.989,14.766,3.482,0.346,937,3.694,14.17,24.6
2024-05-05 02:15:00,900372,Kaiseraueteich,51.50069,7.22947,80.99,14.775,8.76,0.87,930,3.671,14.18,24.6
2024-05-05 02:30:00,900372,Kaiseraueteich,51.50069,7.22947,80.991,14.716,5.117,0.508,924,,,
2024-05-05 02:45:00,900372,Kaiseraueteich,51.50069,7.22947,80.992,14.706,5.107,0.508,925,,,
2024-05-05 03:00:00,900372,Kaiseraueteich,51.50069,7.22947,80.991,14.694,8.869,0.882,910,3.691,14.03,24.6
2024-05-05 03:15:00,900372,Kaiseraueteich,51.50069,7.22947,80.99,14.678,6.472,0.644,926,3.671,14.1,24.6
2024-05-05 03:30:00,900372,Kaiseraueteich,51.50069,7.22947,80.991,14.672,6.352,0.632,930,,,
2024-05-05 03:45:00,900372,Kaiseraueteich,51.50069,7.22947,80.991,14.634,3.375,0.336,928,,,
2024-05-05 04:00:00,900372,Kaiseraueteich,51.50069,7.22947,80.989,14.6,3.038,0.303,916,3.691,14.07,24.6
2024-05-05 04:15:00,900372,Kaiseraueteich,51.50069,7.22947,80.989,14.581,7.14,0.713,922,3.671,14.16,24.6
2024-05-05 04:30:00,900372,Kaiseraueteich,51.50069,7.22947,80.988,14.556,8.207,0.82,923,,,
2024-05-05 04:45:00,900372,Kaiseraueteich,51.50069,7.22947,80.987,14.506,9.926,0.992,928,,,
2024-05-05 05:00:00,900372,Kaiseraueteich,51.50069,7.22947,80.984,14.441,7.264,0.727,921,3.694,14.07,24.6
2024-05-05 05:15:00,900372,Kaiseraueteich,51.50069,7.22947,80.984,14.463,6.336,0.634,923,3.667,14.12,24.6
2024-05-05 05:30:00,900372,Kaiseraueteich,51.50069,7.22947,80.982,14.372,8.296,0.831,933,,,
2024-05-05 05:45:00,900372,Kaiseraueteich,51.50069,7.22947,80.981,14.4,8.356,0.838,924,,,
2024-05-05 06:00:00,900372,Kaiseraueteich,51.50069,7.22947,80.979,14.331,9.467,0.95,907,3.695,13.93,24.6
2024-05-05 06:15:00,900372,Kaiseraueteich,51.50069,7.22947,80.978,14.281,9.283,0.933,907,3.674,13.96,24.5
2024-05-05 06:30:00,900372,Kaiseraueteich,51.50069,7.22947,80.977,14.272,11.654,1.172,912,,,
2024-05-05 06:45:00,900372,Kaiseraueteich,51.50069,7.22947,80.973,14.25,6.674,0.671,904,,,
2024-05-05 07:00:00,900372,Kaiseraueteich,51.50069,7.22947,80.973,14.253,5.699,0.574,946,3.689,13.84,24.6
2024-05-05 07:15:00,900372,Kaiseraueteich,51.50069,7.22947,80.97,14.241,7.692,0.774,898,3.672,13.89,24.5
2024-05-05 07:30:00,900372,Kaiseraueteich,51.50069,7.22947,80.968,14.213,9.775,0.985,914,,,
2024-05-05 07:45:00,900372,Kaiseraueteich,51.50069,7.22947,80.966,14.2,11.277,1.137,898,,,
2024-05-05 08:00:00,900372,Kaiseraueteich,51.50069,7.22947,80.963,14.188,12.806,1.291,926,3.686,13.91,24.6
2024-05-05 08:15:00,900372,Kaiseraueteich,51.50069,7.22947,80.96,14.175,9.232,0.93,899,3.671,14.05,24.5
2024-05-05 08:30:00,900372,Kaiseraueteich,51.50069,7.22947,80.959,14.175,5.948,0.599,889,,,
2024-05-05 08:45:00,900372,Kaiseraueteich,51.50069,7.22947,80.956,14.222,14.102,1.419,913,,,
2024-05-05 09:00:00,900372,Kaiseraueteich,51.50069,7.22947,80.954,14.228,17.395,1.75,877,3.691,14.31,24.7
2024-05-05 09:15:01,900372,Kaiseraueteich,51.50069,7.22947,80.952,14.244,21.477,2.161,909,3.668,14.47,24.6
2024-05-05 09:30:01,900372,Kaiseraueteich,51.50069,7.22947,80.948,14.247,21.469,2.157,926,,,
2024-05-05 09:45:01,900372,Kaiseraueteich,51.50069,7.22947,80.947,14.291,20.449,2.053,852,,,
2024-05-05 10:00:00,900372,Kaiseraueteich,51.50069,7.22947,80.944,14.284,18.564,1.863,918,3.693,14.84,24.7
2024-05-05 10:15:01,900372,Kaiseraueteich,51.50069,7.22947,80.943,14.341,15.258,1.531,917,3.678,14.99,24.7
2024-05-05 10:30:01,900372,Kaiseraueteich,51.50069,7.22947,80.94,14.347,14.592,1.465,918,,,
2024-05-05 10:45:01,900372,Kaiseraueteich,51.50069,7.22947,80.938,14.363,17.625,1.769,923,,,
2024-05-05 11:00:00,900372,Kaiseraueteich,51.50069,7.22947,80.934,14.3,18.219,1.83,916,3.697,15.07,24.7
2024-05-05 11:15:00,900372,Kaiseraueteich,51.50069,7.22947,80.931,14.347,19.675,1.977,878,3.675,15.19,24.7
2024-05-05 11:30:00,900372,Kaiseraueteich,51.50069,7.22947,80.932,14.291,19.487,1.958,924,,,
2024-05-05 11:45:00,900372,Kaiseraueteich,51.50069,7.22947,80.93,14.306,20.001,2.007,865,,,
2024-05-05 12:00:00,900372,Kaiseraueteich,51.50069,7.22947,80.927,14.344,23.062,2.311,877,3.691,15.65,24.9
2024-05-05 12:15:00,900372,Kaiseraueteich,51.50069,7.22947,80.928,14.403,22.448,2.247,909,3.671,15.95,24.9
2024-05-05 12:30:00,900372,Kaiseraueteich,51.50069,7.22947,80.925,14.453,25,2.501,867,,,
2024-05-05 12:45:00,900372,Kaiseraueteich,51.50069,7.22947,80.921,14.466,22.321,2.232,875,,,
2024-05-05 13:00:00,900372,Kaiseraueteich,51.50069,7.22947,80.921,14.494,27.286,2.721,859,3.694,16.46,25
2024-05-05 13:15:00,900372,Kaiseraueteich,51.50069,7.22947,80.919,14.678,31.253,3.1,920,3.676,16.97,25.1
2024-05-05 13:30:00,900372,Kaiseraueteich,51.50069,7.22947,80.917,14.828,28.495,2.818,892,,,
2024-05-05 13:45:00,900372,Kaiseraueteich,51.50069,7.22947,80.914,14.891,25.558,2.524,871,,,
2024-05-05 14:00:00,900372,Kaiseraueteich,51.50069,7.22947,80.914,14.919,21.743,2.146,871,3.692,18.13,25.2
2024-05-05 14:15:01,900372,Kaiseraueteich,51.50069,7.22947,80.912,14.938,22.855,2.254,875,3.678,18.44,25.2
2024-05-05 14:30:01,900372,Kaiseraueteich,51.50069,7.22947,80.91,14.931,23.661,2.338,869,,,
2024-05-05 14:45:01,900372,Kaiseraueteich,51.50069,7.22947,80.909,14.897,20.612,2.037,914,,,
2024-05-05 15:00:00,900372,Kaiseraueteich,51.50069,7.22947,80.908,14.797,17.893,1.772,887,3.697,18.61,25.2
2024-05-05 15:15:00,900372,Kaiseraueteich,51.50069,7.22947,80.905,14.813,17.869,1.77,874,3.677,18.75,25.2
2024-05-05 15:30:00,900372,Kaiseraueteich,51.50069,7.22947,80.905,14.772,13.58,1.346,873,,,
2024-05-05 15:45:00,900372,Kaiseraueteich,51.50069,7.22947,80.904,14.784,14.469,1.433,857,,,
2024-05-05 16:00:00,900372,Kaiseraueteich,51.50069,7.22947,80.902,14.791,14.647,1.452,855,3.7,19.05,25.3
2024-05-05 16:15:01,900372,Kaiseraueteich,51.50069,7.22947,80.9,14.788,14.764,1.465,885,3.675,19.24,25.3
2024-05-05 16:30:01,900372,Kaiseraueteich,51.50069,7.22947,80.9,14.803,16.285,1.616,910,,,
2024-05-05 16:45:01,900372,Kaiseraueteich,51.50069,7.22947,80.898,14.894,22.408,2.211,860,,,
2024-05-05 17:00:00,900372,Kaiseraueteich,51.50069,7.22947,80.898,14.869,16.507,1.63,850,3.7,19.54,25.4
2024-05-05 17:15:01,900372,Kaiseraueteich,51.50069,7.22947,80.896,14.913,14.096,1.393,861,3.682,19.64,25.3
2024-05-05 17:30:01,900372,Kaiseraueteich,51.50069,7.22947,80.895,14.963,13.665,1.35,909,,,
2024-05-05 17:45:01,900372,Kaiseraueteich,51.50069,7.22947,80.894,14.878,9.415,0.929,889,,,
2024-05-05 18:00:00,900372,Kaiseraueteich,51.50069,7.22947,80.893,14.944,8.26,0.814,883,3.703,19.6,25.4
2024-05-05 18:15:00,900372,Kaiseraueteich,51.50069,7.22947,80.892,14.963,10.19,1.005,903,3.682,19.63,25.4
2024-05-05 18:30:00,900372,Kaiseraueteich,51.50069,7.22947,80.891,14.9,11.124,1.098,930,,,
2024-05-05 18:45:00,900372,Kaiseraueteich,51.50069,7.22947,80.89,14.931,13.292,1.314,844,,,
2024-05-05 19:00:00,900372,Kaiseraueteich,51.50069,7.22947,80.89,14.891,6.8,0.672,885,3.7,19.23,25.3
2024-05-05 19:15:01,900372,Kaiseraueteich,51.50069,7.22947,80.89,14.872,13.773,1.362,900,3.679,19.07,25.3
2024-05-05 19:30:01,900372,Kaiseraueteich,51.50069,7.22947,80.888,14.894,8.501,0.841,901,,,
2024-05-05 19:45:01,900372,Kaiseraueteich,51.50069,7.22947,80.888,14.922,6.734,0.666,890,,,
2024-05-05 20:00:00,900372,Kaiseraueteich,51.50069,7.22947,80.888,14.838,10.798,1.069,893,3.7,18.25,25.2
2024-05-05 20:15:00,900372,Kaiseraueteich,51.50069,7.22947,80.887,14.822,11.761,1.166,880,3.684,17.94,25.2
2024-05-05 20:30:00,900372,Kaiseraueteich,51.50069,7.22947,80.886,14.756,8.603,0.854,918,,,
2024-05-05 20:45:00,900372,Kaiseraueteich,51.50069,7.22947,80.885,14.703,7.943,0.789,887,,,
2024-05-05 21:00:00,900372,Kaiseraueteich,51.50069,7.22947,80.884,14.719,5.084,0.505,886,3.695,16.81,25
2024-05-05 21:15:01,900372,Kaiseraueteich,51.50069,7.22947,80.883,14.678,5.606,0.558,882,3.678,16.52,25
2024-05-05 21:30:01,900372,Kaiseraueteich,51.50069,7.22947,80.882,14.622,2.787,0.277,863,,,
2024-05-05 21:45:01,900372,Kaiseraueteich,51.50069,7.22947,80.883,14.659,2.659,0.265,850,,,
2024-05-05 22:00:00,900372,Kaiseraueteich,51.50069,7.22947,80.882,14.559,0.536,0.053,860,3.702,15.61,24.9
2024-05-05 22:15:00,900372,Kaiseraueteich,51.50069,7.22947,80.881,14.631,3.002,0.3,885,3.676,15.45,24.9
2024-05-05 22:30:00,900372,Kaiseraueteich,51.50069,7.22947,80.881,14.597,3.815,0.381,865,,,
2024-05-05 22:45:00,900372,Kaiseraueteich,51.50069,7.22947,80.881,14.55,1.223,0.122,896,,,
2024-05-05 23:00:00,900372,Kaiseraueteich,51.50069,7.22947,80.88,14.519,3.849,0.385,886,3.7,14.97,24.8
2024-05-05 23:15:00,900372,Kaiseraueteich,51.50069,7.22947,80.879,14.466,0.927,0.093,894,3.671,14.96,24.8
2024-05-05 23:30:00,900372,Kaiseraueteich,51.50069,7.22947,80.878,14.478,0.688,0.069,901,,,
2024-05-05 23:45:00,900372,Kaiseraueteich,51.50069,7.22947,80.878,14.425,2.228,0.223,844,,,
