datetime,logger_id,name,latitude,longitude,pegel,wtemp,o,do,elL,hkBat,hkTemp,hkHum,year_month
2025-07-01 00:00:00,900372,Kaiseraueteich,51.50069,7.22947,81.396,23.247,1.171,0.097,705,3.707,24.48,12.5,2025-07
2025-07-01 00:00:00,900372,Kaiseraueteich,51.50069,7.22947,81.396,23.247,1.171,0.097,705,3.707,24.48,12.5,2025-07
2025-07-01 00:15:01,900372,Kaiseraueteich,51.50069,7.22947,81.395,23.216,0.667,0.055,685,3.685,24.28,12.5,2025-07
2025-07-01 00:30:01,900372,Kaiseraueteich,51.50069,7.22947,81.396,23.244,0.242,0.02,680,,,,2025-07
2025-07-01 00:45:01,900372,Kaiseraueteich,51.50069,7.22947,81.395,23.206,1.39,0.115,687,,,,2025-07
2025-07-01 01:00:00,900372,Kaiseraueteich,51.50069,7.22947,81.396,23.203,0.756,0.063,677,3.705,23.55,12.4,2025-07
2025-07-01 01:15:00,900372,Kaiseraueteich,51.50069,7.22947,81.395,23.156,0.0,0.0,681,3.681,23.35,12.4,2025-07
2025-07-01 01:30:00,900372,Kaiseraueteich,51.50069,7.22947,81.395,23.156,0.817,0.068,694,,,,2025-07
2025-07-01 01:45:00,900372,Kaiseraueteich,51.50069,7.22947,81.394,23.131,0.0,0.0,681,,,,2025-07
2025-07-01 02:00:00,900372,Kaiseraueteich,51.50069,7.22947,81.394,23.125,0.0,0.0,641,3.696,22.72,12.3,2025-07
2025-07-01 02:15:00,900372,Kaiseraueteich,51.50069,7.22947,81.394,23.075,0.0,0.0,675,3.692,22.59,12.3,2025-07
2025-07-01 02:30:00,900372,Kaiseraueteich,51.50069,7.22947,81.394,23.072,0.0,0.0,698,,,,2025-07
2025-07-01 02:45:00,900372,Kaiseraueteich,51.50069,7.22947,81.394,23.091,0.0,0.0,632,,,,2025-07
2025-07-01 03:00:00,900372,Kaiseraueteich,51.50069,7.22947,81.394,23.053,0.0,0.0,718,3.695,22.09,12.3,2025-07
2025-07-01 03:15:00,900372,Kaiseraueteich,51.50069,7.22947,81.394,23.047,0.237,0.02,632,3.68,22.02,12.2,2025-07
2025-07-01 03:30:00,900372,Kaiseraueteich,51.50069,7.22947,81.394,23.013,4.82,0.404,674,,,,2025-07
2025-07-01 03:45:00,900372,Kaiseraueteich,51.50069,7.22947,81.394,22.938,0.0,0.0,673,,,,2025-07
2025-07-01 04:00:00,900372,Kaiseraueteich,51.50069,7.22947,81.394,22.963,0.0,0.0,593,3.701,21.64,12.2,2025-07
2025-07-01 04:15:00,900372,Kaiseraueteich,51.50069,7.22947,81.394,22.95,0.0,0.0,684,3.684,21.58,12.2,2025-07
2025-07-01 04:30:00,900372,Kaiseraueteich,51.50069,7.22947,81.394,22.869,0.0,0.0,721,,,,2025-07
2025-07-01 04:45:00,900372,Kaiseraueteich,51.50069,7.22947,81.394,22.844,0.0,0.0,722,,,,2025-07
2025-07-01 05:00:00,900372,Kaiseraueteich,51.50069,7.22947,81.394,22.825,0.0,0.0,717,3.699,21.29,12.2,2025-07
2025-07-01 05:15:00,900372,Kaiseraueteich,51.50069,7.22947,81.393,22.813,0.0,0.0,723,3.683,21.32,12.2,2025-07
2025-07-01 05:30:00,900372,Kaiseraueteich,51.50069,7.22947,81.393,22.788,0.0,0.0,731,,,,2025-07
2025-07-01 05:45:00,900372,Kaiseraueteich,51.50069,7.22947,81.393,22.759,0.0,0.0,676,,,,2025-07
2025-07-01 06:00:00,900372,Kaiseraueteich,51.50069,7.22947,81.392,22.769,0.0,0.0,677,3.705,21.48,12.2,2025-07
2025-07-01 06:15:00,900372,Kaiseraueteich,51.50069,7.22947,81.393,22.703,0.0,0.0,621,3.678,22.04,12.4,2025-07
2025-07-01 06:30:00,900372,Kaiseraueteich,51.50069,7.22947,81.393,22.675,0.0,0.0,616,,,,2025-07
2025-07-01 06:45:00,900372,Kaiseraueteich,51.50069,7.22947,81.393,22.663,0.0,0.0,670,,,,2025-07
2025-07-01 07:00:00,900372,Kaiseraueteich,51.50069,7.22947,81.393,22.663,0.0,0.0,682,3.7,30.66,13.2,2025-07
2025-07-01 07:15:00,900372,Kaiseraueteich,51.50069,7.22947,81.393,22.641,0.738,0.062,719,3.702,32.48,13.3,2025-07
2025-07-01 07:30:00,900372,Kaiseraueteich,51.50069,7.22947,81.393,22.616,0.0,0.0,721,,,,2025-07
2025-07-01 07:45:00,900372,Kaiseraueteich,51.50069,7.22947,81.393,22.597,0.0,0.0,737,,,,2025-07
2025-07-01 08:00:00,900372,Kaiseraueteich,51.50069,7.22947,81.394,22.613,0.0,0.0,719,3.713,35.47,13.6,2025-07
2025-07-01 08:15:00,900372,Kaiseraueteich,51.50069,7.22947,81.394,22.55,0.0,0.0,742,3.713,36.34,13.7,2025-07
2025-07-01 08:30:00,900372,Kaiseraueteich,51.50069,7.22947,81.394,22.556,0.0,0.0,736,,,,2025-07
2025-07-01 08:45:00,900372,Kaiseraueteich,51.50069,7.22947,81.395,22.503,0.0,0.0,734,,,,2025-07
2025-07-01 09:00:00,900372,Kaiseraueteich,51.50069,7.22947,81.395,22.497,0.0,0.0,743,3.714,38.78,14.0,2025-07
2025-07-01 09:15:01,900372,Kaiseraueteich,51.50069,7.22947,81.396,22.541,0.0,0.0,748,3.715,39.49,14.0,2025-07
2025-07-01 09:30:01,900372,Kaiseraueteich,51.50069,7.22947,81.396,22.553,0.0,0.0,743,,,,2025-07
2025-07-01 09:45:01,900372,Kaiseraueteich,51.50069,7.22947,81.396,22.575,0.0,0.0,740,,,,2025-07
2025-07-01 10:00:00,900372,Kaiseraueteich,51.50069,7.22947,81.396,22.578,0.0,0.0,709,3.714,41.08,14.2,2025-07
2025-07-01 10:15:00,900372,Kaiseraueteich,51.50069,7.22947,81.396,22.581,0.0,0.0,718,3.716,41.66,14.3,2025-07
2025-07-01 10:30:00,900372,Kaiseraueteich,51.50069,7.22947,81.397,22.631,0.0,0.0,730,,,,2025-07
2025-07-01 10:45:00,900372,Kaiseraueteich,51.50069,7.22947,81.397,22.738,0.0,0.0,740,,,,2025-07
2025-07-01 11:00:00,900372,Kaiseraueteich,51.50069,7.22947,81.398,22.759,0.279,0.023,721,3.719,42.66,14.4,2025-07
2025-07-01 11:15:01,900372,Kaiseraueteich,51.50069,7.22947,81.397,22.806,0.55,0.046,661,3.717,42.84,14.5,2025-07
2025-07-01 11:30:01,900372,Kaiseraueteich,51.50069,7.22947,81.397,22.859,0.467,0.039,778,,,,2025-07
2025-07-01 11:45:01,900372,Kaiseraueteich,51.50069,7.22947,81.397,22.997,1.062,0.088,709,,,,2025-07
2025-07-01 12:00:00,900372,Kaiseraueteich,51.50069,7.22947,81.397,23.028,2.747,0.227,720,3.712,43.39,14.5,2025-07
2025-07-01 12:15:00,900372,Kaiseraueteich,51.50069,7.22947,81.397,23.088,4.756,0.392,731,3.72,43.71,14.5,2025-07
2025-07-01 12:30:00,900372,Kaiseraueteich,51.50069,7.22947,81.396,23.156,3.121,0.257,713,,,,2025-07
2025-07-01 12:45:00,900372,Kaiseraueteich,51.50069,7.22947,81.396,23.234,3.18,0.262,707,,,,2025-07
2025-07-01 13:00:00,900372,Kaiseraueteich,51.50069,7.22947,81.396,23.278,5.666,0.466,681,3.718,44.58,14.7,2025-07
2025-07-01 13:15:00,900372,Kaiseraueteich,51.50069,7.22947,81.396,23.372,4.82,0.395,687,3.711,44.88,14.7,2025-07
2025-07-01 13:30:00,900372,Kaiseraueteich,51.50069,7.22947,81.395,23.4,4.398,0.359,695,,,,2025-07
2025-07-01 13:45:00,900372,Kaiseraueteich,51.50069,7.22947,81.395,23.459,7.687,0.628,683,,,,2025-07
2025-07-01 14:00:00,900372,Kaiseraueteich,51.50069,7.22947,81.395,23.522,12.311,1.004,712,3.713,44.89,14.7,2025-07
2025-07-01 14:15:00,900372,Kaiseraueteich,51.50069,7.22947,81.394,23.65,13.559,1.102,716,3.718,45.24,14.7,2025-07
2025-07-01 14:30:00,900372,Kaiseraueteich,51.50069,7.22947,81.395,23.653,9.912,0.805,712,,,,2025-07
2025-07-01 14:45:00,900372,Kaiseraueteich,51.50069,7.22947,81.394,23.741,18.109,1.47,719,,,,2025-07
2025-07-01 15:00:00,900372,Kaiseraueteich,51.50069,7.22947,81.394,23.781,11.28,0.911,707,3.716,45.87,14.8,2025-07
2025-07-01 15:15:00,900372,Kaiseraueteich,51.50069,7.22947,81.394,23.847,12.159,0.985,723,3.716,46.15,14.8,2025-07
2025-07-01 15:30:00,900372,Kaiseraueteich,51.50069,7.22947,81.394,23.919,10.408,0.839,719,,,,2025-07
2025-07-01 15:45:00,900372,Kaiseraueteich,51.50069,7.22947,81.393,23.913,10.453,0.842,692,,,,2025-07
2025-07-01 16:00:00,900372,Kaiseraueteich,51.50069,7.22947,81.392,23.959,7.201,0.58,677,3.716,46.73,14.9,2025-07
2025-07-01 16:15:00,900372,Kaiseraueteich,51.50069,7.22947,81.392,24.034,10.969,0.882,695,3.717,47.12,14.9,2025-07
2025-07-01 16:30:00,900372,Kaiseraueteich,51.50069,7.22947,81.392,24.066,8.234,0.661,660,,,,2025-07
2025-07-01 16:45:00,900372,Kaiseraueteich,51.50069,7.22947,81.391,24.072,8.706,0.697,668,,,,2025-07
2025-07-01 17:00:00,900372,Kaiseraueteich,51.50069,7.22947,81.392,24.131,13.327,1.066,663,3.724,47.49,14.9,2025-07
2025-07-01 17:15:01,900372,Kaiseraueteich,51.50069,7.22947,81.391,24.103,10.15,0.811,673,3.716,47.55,14.9,2025-07
2025-07-01 17:30:01,900372,Kaiseraueteich,51.50069,7.22947,81.392,24.119,11.77,0.94,666,,,,2025-07
2025-07-01 17:45:01,900372,Kaiseraueteich,51.50069,7.22947,81.392,24.144,6.827,0.544,682,,,,2025-07
2025-07-01 18:00:00,900372,Kaiseraueteich,51.50069,7.22947,81.391,24.147,8.792,0.702,689,3.719,47.37,14.9,2025-07
2025-07-01 18:15:00,900372,Kaiseraueteich,51.50069,7.22947,81.391,24.156,8.653,0.69,712,3.716,47.25,14.8,2025-07
2025-07-01 18:30:00,900372,Kaiseraueteich,51.50069,7.22947,81.391,24.075,9.288,0.74,679,,,,2025-07
2025-07-01 18:45:00,900372,Kaiseraueteich,51.50069,7.22947,81.391,24.059,10.56,0.839,677,,,,2025-07
2025-07-01 19:00:00,900372,Kaiseraueteich,51.50069,7.22947,81.391,24.153,7.42,0.589,673,3.724,44.64,14.5,2025-07
2025-07-01 19:15:00,900372,Kaiseraueteich,51.50069,7.22947,81.391,24.116,4.248,0.338,674,3.709,42.84,14.3,2025-07
2025-07-01 19:30:00,900372,Kaiseraueteich,51.50069,7.22947,81.391,24.122,6.74,0.534,667,,,,2025-07
2025-07-01 19:45:00,900372,Kaiseraueteich,51.50069,7.22947,81.391,24.081,10.77,0.854,703,,,,2025-07
2025-07-01 20:00:00,900372,Kaiseraueteich,51.50069,7.22947,81.39,24.094,7.559,0.599,626,3.71,37.83,13.9,2025-07
2025-07-01 20:15:01,900372,Kaiseraueteich,51.50069,7.22947,81.39,24.141,20.329,1.611,636,3.712,36.52,13.8,2025-07
2025-07-01 20:30:01,900372,Kaiseraueteich,51.50069,7.22947,81.391,24.041,18.246,1.449,681,,,,2025-07
2025-07-01 20:45:01,900372,Kaiseraueteich,51.50069,7.22947,81.39,24.034,17.458,1.384,676,,,,2025-07
2025-07-01 21:00:00,900372,Kaiseraueteich,51.50069,7.22947,81.39,24.044,22.227,1.764,680,3.716,33.14,13.6,2025-07
2025-07-01 21:15:00,900372,Kaiseraueteich,51.50069,7.22947,81.39,24.013,16.065,1.278,683,3.705,32.29,13.5,2025-07
2025-07-01 21:30:00,900372,Kaiseraueteich,51.50069,7.22947,81.39,24.016,18.314,1.457,681,,,,2025-07
2025-07-01 21:45:00,900372,Kaiseraueteich,51.50069,7.22947,81.389,24.009,16.724,1.332,673,,,,2025-07
2025-07-01 22:00:00,900372,Kaiseraueteich,51.50069,7.22947,81.389,24.025,12.389,0.988,679,3.707,30.02,13.2,2025-07
2025-07-01 22:15:00,900372,Kaiseraueteich,51.50069,7.22947,81.389,23.991,9.511,0.759,692,3.7,29.45,13.2,2025-07
2025-07-01 22:30:00,900372,Kaiseraueteich,51.50069,7.22947,81.39,23.994,9.286,0.742,682,,,,2025-07
2025-07-01 22:45:00,900372,Kaiseraueteich,51.50069,7.22947,81.389,23.944,5.128,0.41,681,,,,2025-07
2025-07-01 23:00:00,900372,Kaiseraueteich,51.50069,7.22947,81.389,23.953,4.061,0.325,696,3.711,27.95,13.0,2025-07
2025-07-01 23:15:01,900372,Kaiseraueteich,51.50069,7.22947,81.389,23.959,4.296,0.344,681,3.691,27.6,13.0,2025-07
2025-07-01 23:30:01,900372,Kaiseraueteich,51.50069,7.22947,81.389,23.95,1.448,0.116,693,,,,2025-07
2025-07-01 23:45:01,900372,Kaiseraueteich,51.50069,7.22947,81.389,23.925,5.038,0.405,673,,,,2025-07
2025-07-02 00:00:00,900372,Kaiseraueteich,51.50069,7.22947,81.389,23.938,1.286,0.103,675,3.7,26.64,12.9,2025-07
