datetime,logger_id,name,latitude,longitude,pegel,wtemp,o,do,elL,hkBat,hkTemp,hkHum
2025-09-13 00:00:00,900373,Jasminweg,51.45729,7.14757,94.534,15.559,27.361,2.705,175,3.734,16.61,16.3
2025-09-13 00:15:01,900373,Jasminweg,51.45729,7.14757,94.534,15.466,23.093,2.284,159,3.717,16.59,16.2
2025-09-13 00:30:01,900373,Jasminweg,51.45729,7.14757,94.534,15.516,22.714,2.248,159,,,
2025-09-13 00:45:01,900373,Jasminweg,51.45729,7.14757,94.533,15.469,17.223,1.705,164,,,
2025-09-13 01:00:00,900373,Jasminweg,51.45729,7.14757,94.534,15.419,18.781,1.861,170,3.73,16.4,16.2
2025-09-13 01:15:01,900373,Jasminweg,51.45729,7.14757,94.533,15.431,15.477,1.534,165,3.717,16.4,16.2
2025-09-13 01:30:01,900373,Jasminweg,51.45729,7.14757,94.533,15.45,12.226,1.212,156,,,
2025-09-13 01:45:01,900373,Jasminweg,51.45729,7.14757,94.532,15.416,7.13,0.707,164,,,
2025-09-13 02:00:00,900373,Jasminweg,51.45729,7.14757,94.532,15.425,7.184,0.712,165,3.73,16.53,16.2
2025-09-13 02:15:01,900373,Jasminweg,51.45729,7.14757,94.532,15.344,8.38,0.832,165,3.715,16.65,16.2
2025-09-13 02:30:01,900373,Jasminweg,51.45729,7.14757,94.532,15.366,7.492,0.744,168,,,
2025-09-13 02:45:01,900373,Jasminweg,51.45729,7.14757,94.532,15.294,7.54,0.749,157,,,
2025-09-13 03:00:00,900373,Jasminweg,51.45729,7.14757,94.532,15.372,7.786,0.773,157,3.732,16.58,16.2
2025-09-13 03:15:01,900373,Jasminweg,51.45729,7.14757,94.531,15.303,4.758,0.473,170,3.724,16.57,16.2
2025-09-13 03:30:01,900373,Jasminweg,51.45729,7.14757,94.531,15.316,7.782,0.774,169,,,
2025-09-13 03:45:01,900373,Jasminweg,51.45729,7.14757,94.531,15.275,1.833,0.182,164,,,
2025-09-13 04:00:00,900373,Jasminweg,51.45729,7.14757,94.531,15.266,3.062,0.305,161,3.734,16.38,16.2
2025-09-13 04:15:01,900373,Jasminweg,51.45729,7.14757,94.531,15.206,2.697,0.269,167,3.715,16.37,16.2
2025-09-13 04:30:01,900373,Jasminweg,51.45729,7.14757,94.53,15.238,4.057,0.404,162,,,
2025-09-13 04:45:01,900373,Jasminweg,51.45729,7.14757,94.53,15.188,4.371,0.435,160,,,
