datetime,logger_id,name,latitude,longitude,pegel,wtemp,o,do,elL,hkBat,hkTemp,hkHum,year_month
2024-01-03 09:15:01,900374,Rottmansteich,51.50016,7.24634,104.378,7.197,26.15,3.084,1192,3.695,12.07,18.9,2024-01
2024-01-03 09:30:01,900374,Rottmansteich,51.50016,7.24634,104.38,7.103,25.916,3.056,1176,,,,2024-01
2024-01-03 09:45:01,900374,Rottmansteich,51.50016,7.24634,104.377,7.178,25.702,3.031,1185,,,,2024-01
2024-01-03 10:00:00,900374,Rottmansteich,51.50016,7.24634,104.377,7.103,25.423,2.998,1193,3.706,11.83,18.9,2024-01
2024-01-03 10:15:00,900374,Rottmansteich,51.50016,7.24634,104.376,7.156,25.219,2.973,1205,3.7,11.8,18.9,2024-01
2024-01-03 10:30:00,900374,Rottmansteich,51.50016,7.24634,104.377,7.169,25.168,2.966,1189,,,,2024-01
2024-01-03 10:45:00,900374,Rottmansteich,51.50016,7.24634,104.376,7.097,25.087,2.956,1185,,,,2024-01
2024-01-03 11:00:00,900374,Rottmansteich,51.50016,7.24634,104.379,7.2,24.985,2.945,1199,3.714,11.72,19.0,2024-01
2024-01-03 11:15:01,900374,Rottmansteich,51.50016,7.24634,104.377,7.084,25.062,2.953,1192,3.689,11.86,18.9,2024-01
2024-01-03 11:30:01,900374,Rottmansteich,51.50016,7.24634,104.376,7.144,24.931,2.935,1193,,,,2024-01
2024-01-03 11:45:01,900374,Rottmansteich,51.50016,7.24634,104.377,7.172,24.82,2.919,1198,,,,2024-01
2024-01-03 12:00:00,900374,Rottmansteich,51.50016,7.24634,104.378,7.175,24.919,2.931,1189,3.709,12.17,19.0,2024-01
2024-01-03 12:15:01,900374,Rottmansteich,51.50016,7.24634,104.378,7.225,25.005,2.941,1198,3.695,12.48,19.0,2024-01
2024-01-03 12:30:01,900374,Rottmansteich,51.50016,7.24634,104.377,7.2,25.135,2.959,1193,,,,2024-01
2024-01-03 12:45:01,900374,Rottmansteich,51.50016,7.24634,104.376,7.244,25.011,2.942,1200,,,,2024-01
2024-01-03 13:00:00,900374,Rottmansteich,51.50016,7.24634,104.38,7.181,25.125,2.955,1195,3.719,13.01,19.1,2024-01
2024-01-03 13:15:01,900374,Rottmansteich,51.50016,7.24634,104.379,7.253,25.455,2.993,1188,3.699,13.13,19.1,2024-01
2024-01-03 13:30:01,900374,Rottmansteich,51.50016,7.24634,104.379,7.281,25.967,3.052,1182,,,,2024-01
2024-01-03 13:45:01,900374,Rottmansteich,51.50016,7.24634,104.378,7.234,26.283,3.088,1189,,,,2024-01
2024-01-03 14:00:00,900374,Rottmansteich,51.50016,7.24634,104.378,7.266,27.035,3.175,1186,3.717,13.58,19.2,2024-01
2024-01-03 14:15:00,900374,Rottmansteich,51.50016,7.24634,104.378,7.25,27.782,3.264,1185,3.696,13.67,19.1,2024-01
2024-01-03 14:30:00,900374,Rottmansteich,51.50016,7.24634,104.376,7.238,28.22,3.316,1190,,,,2024-01
2024-01-03 14:45:00,900374,Rottmansteich,51.50016,7.24634,104.376,7.225,28.432,3.342,1191,,,,2024-01
2024-01-03 15:00:00,900374,Rottmansteich,51.50016,7.24634,104.377,7.209,28.28,3.324,1186,3.716,12.46,19.0,2024-01
2024-01-03 15:15:00,900374,Rottmansteich,51.50016,7.24634,104.376,7.322,28.228,3.318,1190,3.699,12.22,18.9,2024-01
2024-01-03 15:30:00,900374,Rottmansteich,51.50016,7.24634,104.374,7.263,28.022,3.294,1193,,,,2024-01
2024-01-03 15:45:00,900374,Rottmansteich,51.50016,7.24634,104.374,7.206,27.774,3.265,1185,,,,2024-01
2024-01-03 16:00:00,900374,Rottmansteich,51.50016,7.24634,104.376,7.191,27.39,3.22,1190,3.707,11.72,19.0,2024-01
2024-01-03 16:15:00,900374,Rottmansteich,51.50016,7.24634,104.376,7.188,26.822,3.153,1184,3.699,11.71,18.9,2024-01
2024-01-03 16:30:00,900374,Rottmansteich,51.50016,7.24634,104.376,7.203,26.31,3.094,1183,,,,2024-01
