datetime,logger_id,name,latitude,longitude,pegel,wtemp,o,do,elL,hkBat,hkTemp,hkHum
2024-08-30 00:00:00,900374,Rottmansteich,51.50016,7.24634,105,16.584,0,0,1195,3.727,22.86,33.9
2024-08-30 00:15:00,900374,Rottmansteich,51.50016,7.24634,105,16.597,0,0,1209,3.707,22.85,33.8
2024-08-30 00:30:00,900374,Rottmansteich,51.50016,7.24634,105,16.641,0,0,1205,,,
2024-08-30 00:45:00,900374,Rottmansteich,51.50016,7.24634,104.999,16.606,0,0,1205,,,
2024-08-30 01:00:00,900374,Rottmansteich,51.50016,7.24634,105,16.591,0,0,1202,3.734,22.34,33.8
2024-08-30 01:15:00,900374,Rottmansteich,51.50016,7.24634,105,16.534,0,0,1198,3.704,22.29,33.7
2024-08-30 01:30:00,900374,Rottmansteich,51.50016,7.24634,105,16.469,0,0,1196,,,
2024-08-30 01:45:00,900374,Rottmansteich,51.50016,7.24634,105,16.5,0,0,1198,,,
2024-08-30 02:00:00,900374,Rottmansteich,51.50016,7.24634,105,16.594,0,0,1198,3.73,22,33.7
2024-08-30 02:15:00,900374,Rottmansteich,51.50016,7.24634,105,16.544,0,0,1196,3.715,21.97,33.6
2024-08-30 02:30:00,900374,Rottmansteich,51.50016,7.24634,105,16.544,0.8,0.076,1198,,,
2024-08-30 02:45:00,900374,Rottmansteich,51.50016,7.24634,105,16.506,1.374,0.13,1205,,,
2024-08-30 03:00:00,900374,Rottmansteich,51.50016,7.24634,105,16.494,0.901,0.085,1203,3.729,21.67,33.7
2024-08-30 03:15:00,900374,Rottmansteich,51.50016,7.24634,104.999,16.506,0.465,0.044,1199,3.709,21.64,33.6
2024-08-30 03:30:00,900374,Rottmansteich,51.50016,7.24634,105,16.394,0,0,1209,,,
2024-08-30 03:45:00,900374,Rottmansteich,51.50016,7.24634,105,16.425,0.266,0.025,1200,,,
2024-08-30 04:00:00,900374,Rottmansteich,51.50016,7.24634,105.001,16.453,0,0,1197,3.727,21.31,33.6
2024-08-30 04:15:00,900374,Rottmansteich,51.50016,7.24634,105,16.488,0,0,1202,3.712,21.25,33.5
2024-08-30 04:30:00,900374,Rottmansteich,51.50016,7.24634,105,16.425,0.126,0.012,1202,,,
2024-08-30 04:45:00,900374,Rottmansteich,51.50016,7.24634,105,16.494,0.902,0.086,1197,,,
2024-08-30 05:00:00,900374,Rottmansteich,51.50016,7.24634,105,16.534,0.825,0.078,1203,3.725,20.9,33.6
2024-08-30 05:15:00,900374,Rottmansteich,51.50016,7.24634,105,16.563,0.864,0.082,1201,3.706,20.85,33.5
2024-08-30 05:30:00,900374,Rottmansteich,51.50016,7.24634,105,16.519,1.147,0.109,1201,,,
2024-08-30 05:45:00,900374,Rottmansteich,51.50016,7.24634,105,16.488,1.481,0.141,1202,,,
2024-08-30 06:00:00,900374,Rottmansteich,51.50016,7.24634,105.001,16.584,2.191,0.208,1200,3.725,20.48,33.5
2024-08-30 06:15:00,900374,Rottmansteich,51.50016,7.24634,105.002,16.491,1.579,0.15,1198,3.703,20.48,33.4
2024-08-30 06:30:00,900374,Rottmansteich,51.50016,7.24634,105.001,16.506,2.517,0.239,1198,,,
2024-08-30 06:45:00,900374,Rottmansteich,51.50016,7.24634,105.002,16.497,2.631,0.25,1187,,,
