datetime,logger_id,name,latitude,longitude,pegel,wtemp,o,do,elL,hkBat,hkTemp,hkHum
2024-06-12 00:00:00,900374,Rottmansteich,51.50016,7.24634,104.982,12.897,81.954,8.462,1182,3.72,14.22,26.4
2024-06-12 00:15:00,900374,Rottmansteich,51.50016,7.24634,104.983,12.938,79.414,8.205,1180,3.695,14.12,26.3
2024-06-12 00:30:00,900374,Rottmansteich,51.50016,7.24634,104.983,12.831,77.008,7.962,1175,,,
2024-06-12 00:45:00,900374,Rottmansteich,51.50016,7.24634,104.983,12.841,75.152,7.778,1186,,,
2024-06-12 01:00:00,900374,Rottmansteich,51.50016,7.24634,104.983,12.784,73.268,7.588,1179,3.709,13.54,26.3
2024-06-12 01:15:00,900374,Rottmansteich,51.50016,7.24634,104.983,12.681,71.271,7.385,1163,3.697,13.44,26.2
2024-06-12 01:30:00,900374,Rottmansteich,51.50016,7.24634,104.983,12.7,70.063,7.264,1174,,,
2024-06-12 01:45:00,900374,Rottmansteich,51.50016,7.24634,104.983,12.638,67.083,6.963,1184,,,
2024-06-12 02:00:00,900374,Rottmansteich,51.50016,7.24634,104.983,12.706,65.196,6.769,1180,3.71,13.04,26.2
2024-06-12 02:15:01,900374,Rottmansteich,51.50016,7.24634,104.984,12.606,63.345,6.581,1180,3.689,13.06,26.2
2024-06-12 02:30:01,900374,Rottmansteich,51.50016,7.24634,104.983,12.594,61.882,6.428,1181,,,
2024-06-12 02:45:01,900374,Rottmansteich,51.50016,7.24634,104.984,12.631,60.903,6.327,1185,,,
2024-06-12 03:00:00,900374,Rottmansteich,51.50016,7.24634,104.983,12.622,59.471,6.179,1187,3.719,13.06,26.2
2024-06-12 03:15:00,900374,Rottmansteich,51.50016,7.24634,104.983,12.669,56.937,5.919,1185,3.696,13.15,26.2
2024-06-12 03:30:00,900374,Rottmansteich,51.50016,7.24634,104.983,12.641,54.168,5.633,1183,,,
2024-06-12 03:45:00,900374,Rottmansteich,51.50016,7.24634,104.984,12.609,51.804,5.39,1189,,,
2024-06-12 04:00:00,900374,Rottmansteich,51.50016,7.24634,104.983,12.597,49.335,5.135,1189,3.712,13.17,26.2
2024-06-12 04:15:01,900374,Rottmansteich,51.50016,7.24634,104.982,12.519,47.764,4.974,1183,3.692,13.26,26.2
2024-06-12 04:30:01,900374,Rottmansteich,51.50016,7.24634,104.982,12.609,46.465,4.841,1188,,,
2024-06-12 04:45:01,900374,Rottmansteich,51.50016,7.24634,104.983,12.522,45.011,4.69,1184,,,
2024-06-12 05:00:00,900374,Rottmansteich,51.50016,7.24634,104.983,12.509,42.886,4.469,1190,3.711,13.28,26.2
2024-06-12 05:15:00,900374,Rottmansteich,51.50016,7.24634,104.983,12.497,41.945,4.372,1184,3.692,13.37,26.2
2024-06-12 05:30:00,900374,Rottmansteich,51.50016,7.24634,104.983,12.488,41.329,4.309,1188,,,
2024-06-12 05:45:00,900374,Rottmansteich,51.50016,7.24634,104.983,12.466,40.436,4.218,1183,,,
2024-06-12 06:00:00,900374,Rottmansteich,51.50016,7.24634,104.984,12.484,40.058,4.177,1193,3.715,13.42,26.2
2024-06-12 06:15:00,900374,Rottmansteich,51.50016,7.24634,104.983,12.506,39.568,4.125,1193,3.695,13.58,26.2
2024-06-12 06:30:00,900374,Rottmansteich,51.50016,7.24634,104.982,12.444,38.984,4.065,1189,,,
2024-06-12 06:45:00,900374,Rottmansteich,51.50016,7.24634,104.983,12.506,37.855,3.95,1191,,,
2024-06-12 07:00:00,900374,Rottmansteich,51.50016,7.24634,104.983,12.466,37.314,3.892,1190,3.716,13.77,26.3
2024-06-12 07:15:01,900374,Rottmansteich,51.50016,7.24634,104.983,12.453,37.679,3.931,1189,3.697,13.95,26.3
2024-06-12 07:30:01,900374,Rottmansteich,51.50016,7.24634,104.982,12.469,38.435,4.008,1192,,,
2024-06-12 07:45:01,900374,Rottmansteich,51.50016,7.24634,104.983,12.463,38.959,4.062,1189,,,
2024-06-12 08:00:00,900374,Rottmansteich,51.50016,7.24634,104.983,12.444,39.82,4.149,1189,3.709,14.26,26.4
2024-06-12 08:15:00,900374,Rottmansteich,51.50016,7.24634,104.983,12.519,42.047,4.382,1194,3.702,14.5,26.4
2024-06-12 08:30:00,900374,Rottmansteich,51.50016,7.24634,104.983,12.528,44.054,4.591,1188,,,
2024-06-12 08:45:00,900374,Rottmansteich,51.50016,7.24634,104.982,12.481,46.357,4.83,1189,,,
2024-06-12 09:00:00,900374,Rottmansteich,51.50016,7.24634,104.982,12.531,49.255,5.129,1188,3.714,14.78,26.5
2024-06-12 09:15:01,900374,Rottmansteich,51.50016,7.24634,104.982,12.528,53.522,5.571,1189,3.701,14.99,26.4
2024-06-12 09:30:01,900374,Rottmansteich,51.50016,7.24634,104.981,12.572,56.855,5.916,1180,,,
2024-06-12 09:45:01,900374,Rottmansteich,51.50016,7.24634,104.981,12.588,59.721,6.214,1190,,,
2024-06-12 10:00:00,900374,Rottmansteich,51.50016,7.24634,104.983,12.513,62.639,6.507,1184,3.717,15.41,26.6
2024-06-12 10:15:01,900374,Rottmansteich,51.50016,7.24634,104.983,12.694,64.849,6.735,1184,3.695,15.72,26.6
2024-06-12 10:30:01,900374,Rottmansteich,51.50016,7.24634,104.983,12.606,66.669,6.919,1188,,,
2024-06-12 10:45:01,900374,Rottmansteich,51.50016,7.24634,104.982,12.631,68.108,7.063,1197,,,
2024-06-12 11:00:00,900374,Rottmansteich,51.50016,7.24634,104.982,12.663,69.824,7.233,1190,3.716,16.24,26.7
2024-06-12 11:15:00,900374,Rottmansteich,51.50016,7.24634,104.982,12.722,71.569,7.371,1199,3.692,16.67,26.7
2024-06-12 11:30:00,900374,Rottmansteich,51.50016,7.24634,104.981,12.794,73.356,7.571,1184,,,
2024-06-12 11:45:00,900374,Rottmansteich,51.50016,7.24634,104.981,12.744,73.928,7.649,1184,,,
2024-06-12 12:00:00,900374,Rottmansteich,51.50016,7.24634,104.981,12.828,74.376,7.641,1203,3.719,17.45,26.9
2024-06-12 12:15:01,900374,Rottmansteich,51.50016,7.24634,104.982,12.931,75.801,7.791,1200,3.697,17.78,26.9
2024-06-12 12:30:01,900374,Rottmansteich,51.50016,7.24634,104.982,12.819,77.239,7.974,1194,,,
2024-06-12 12:45:01,900374,Rottmansteich,51.50016,7.24634,104.983,12.781,77.278,7.967,1195,,,
2024-06-12 13:00:00,900374,Rottmansteich,51.50016,7.24634,104.985,12.975,77.448,7.94,1196,3.72,18.08,27
2024-06-12 13:15:00,900374,Rottmansteich,51.50016,7.24634,104.979,13.047,77.373,7.944,1194,3.702,18.33,27
2024-06-12 13:30:00,900374,Rottmansteich,51.50016,7.24634,104.981,13.019,77.389,7.952,1195,,,
2024-06-12 13:45:00,900374,Rottmansteich,51.50016,7.24634,104.982,13.013,77.006,7.917,1189,,,
2024-06-12 14:00:00,900374,Rottmansteich,51.50016,7.24634,104.982,12.969,76.564,7.872,1194,3.723,18.05,26.9
2024-06-12 14:15:00,900374,Rottmansteich,51.50016,7.24634,104.981,13.081,76.79,7.89,1199,3.697,17.96,26.7
2024-06-12 14:30:00,900374,Rottmansteich,51.50016,7.24634,104.98,13.15,77.896,7.993,1193,,,
2024-06-12 14:45:00,900374,Rottmansteich,51.50016,7.24634,104.984,13.138,78.718,8.066,1194,,,
2024-06-12 15:00:00,900374,Rottmansteich,51.50016,7.24634,104.981,13.159,80.57,8.257,1194,3.715,17.68,26.9
2024-06-12 15:15:01,900374,Rottmansteich,51.50016,7.24634,104.981,13.178,83.424,8.552,1189,3.702,17.68,26.9
2024-06-12 15:30:01,900374,Rottmansteich,51.50016,7.24634,104.981,13.094,85.808,8.797,1182,,,
