datetime,logger_id,name,latitude,longitude,pegel,wtemp,o,do,elL,hkBat,hkTemp,hkHum,year_month
2024-01-03 09:15:01,900390,Tipulusteich,51.50074,7.21965,72.687,7.147,82.652,9.864,844,3.652,12.2,18.8,2024-01
2024-01-03 09:30:01,900390,Tipulusteich,51.50074,7.21965,72.685,7.147,83.484,9.961,807,,,,2024-01
2024-01-03 09:45:01,900390,Tipulusteich,51.50074,7.21965,72.682,7.194,84.156,10.041,821,,,,2024-01
2024-01-03 10:00:00,900390,Tipulusteich,51.50074,7.21965,72.676,7.147,84.673,10.103,827,3.673,11.91,18.8,2024-01
2024-01-03 10:15:01,900390,Tipulusteich,51.50074,7.21965,72.669,7.175,84.241,10.05,832,3.652,11.86,18.7,2024-01
2024-01-03 10:30:01,900390,Tipulusteich,51.50074,7.21965,72.661,7.194,84.389,10.068,835,,,,2024-01
2024-01-03 10:45:01,900390,Tipulusteich,51.50074,7.21965,72.654,7.153,84.986,10.139,842,,,,2024-01
2024-01-03 11:00:00,900390,Tipulusteich,51.50074,7.21965,72.649,7.163,84.634,10.095,830,3.673,11.78,18.8,2024-01
2024-01-03 11:15:01,900390,Tipulusteich,51.50074,7.21965,72.642,7.181,84.95,10.129,838,3.654,11.85,18.7,2024-01
2024-01-03 11:30:01,900390,Tipulusteich,51.50074,7.21965,72.633,7.181,84.947,10.124,838,,,,2024-01
2024-01-03 11:45:01,900390,Tipulusteich,51.50074,7.21965,72.63,7.225,85.644,10.202,845,,,,2024-01
2024-01-03 12:00:00,900390,Tipulusteich,51.50074,7.21965,72.626,7.241,86.231,10.268,842,3.675,12.21,18.8,2024-01
2024-01-03 12:15:01,900390,Tipulusteich,51.50074,7.21965,72.622,7.231,86.558,10.299,841,3.652,12.47,18.8,2024-01
2024-01-03 12:30:01,900390,Tipulusteich,51.50074,7.21965,72.619,7.247,87.049,10.356,840,,,,2024-01
2024-01-03 12:45:01,900390,Tipulusteich,51.50074,7.21965,72.617,7.253,87.392,10.393,838,,,,2024-01
2024-01-03 13:00:00,900390,Tipulusteich,51.50074,7.21965,72.613,7.253,87.581,10.415,843,3.673,12.94,18.9,2024-01
2024-01-03 13:15:00,900390,Tipulusteich,51.50074,7.21965,72.615,7.269,87.836,10.443,842,3.653,13.07,18.9,2024-01
2024-01-03 13:30:00,900390,Tipulusteich,51.50074,7.21965,72.613,7.3,87.97,10.455,846,,,,2024-01
2024-01-03 13:45:00,900390,Tipulusteich,51.50074,7.21965,72.614,7.288,88.144,10.468,845,,,,2024-01
2024-01-03 14:00:00,900390,Tipulusteich,51.50074,7.21965,72.613,7.319,88.589,10.515,853,3.673,13.58,19.0,2024-01
2024-01-03 14:15:01,900390,Tipulusteich,51.50074,7.21965,72.611,7.353,88.493,10.502,858,3.653,13.71,19.0,2024-01
2024-01-03 14:30:01,900390,Tipulusteich,51.50074,7.21965,72.61,7.303,88.163,10.463,814,,,,2024-01
2024-01-03 14:45:01,900390,Tipulusteich,51.50074,7.21965,72.612,7.328,88.211,10.469,821,,,,2024-01
2024-01-03 15:00:00,900390,Tipulusteich,51.50074,7.21965,72.611,7.341,88.289,10.478,808,3.676,12.87,18.9,2024-01
2024-01-03 15:15:01,900390,Tipulusteich,51.50074,7.21965,72.612,7.328,88.363,10.487,829,3.654,12.62,18.8,2024-01
2024-01-03 15:30:01,900390,Tipulusteich,51.50074,7.21965,72.612,7.359,88.648,10.521,828,,,,2024-01
2024-01-03 15:45:01,900390,Tipulusteich,51.50074,7.21965,72.614,7.306,88.557,10.511,822,,,,2024-01
2024-01-03 16:00:00,900390,Tipulusteich,51.50074,7.21965,72.613,7.3,88.505,10.505,820,3.676,12.05,18.8,2024-01
2024-01-03 16:15:01,900390,Tipulusteich,51.50074,7.21965,72.616,7.344,87.871,10.43,828,3.654,12.02,18.8,2024-01
2024-01-03 16:30:01,900390,Tipulusteich,51.50074,7.21965,72.617,7.328,87.301,10.362,831,,,,2024-01
2024-01-03 16:45:01,900390,Tipulusteich,51.50074,7.21965,72.618,7.309,86.455,10.264,855,,,,2024-01
2024-01-03 17:00:00,900390,Tipulusteich,51.50074,7.21965,72.62,7.3,85.991,10.21,848,3.67,11.79,18.8,2024-01
2024-01-03 17:15:00,900390,Tipulusteich,51.50074,7.21965,72.622,7.344,85.879,10.198,859,3.657,11.81,18.8,2024-01
2024-01-03 17:30:00,900390,Tipulusteich,51.50074,7.21965,72.623,7.319,85.24,10.123,863,,,,2024-01
2024-01-03 17:45:00,900390,Tipulusteich,51.50074,7.21965,72.622,7.325,87.236,10.362,859,,,,2024-01
