datetime,logger_id,name,latitude,longitude,pegel,wtemp,o,do,elL,hkBat,hkTemp,hkHum
2024-01-26 00:00:00,900390,Tipulusteich,51.50074,7.21965,73.63,5.141,86.956,11.008,1004,3.67,11.35,19.1
2024-01-26 00:15:00,900390,Tipulusteich,51.50074,7.21965,73.631,5.116,87.756,11.11,1006,3.656,11.47,19.2
2024-01-26 00:30:00,900390,Tipulusteich,51.50074,7.21965,73.63,5.128,88.03,11.145,1014,,,
2024-01-26 00:45:00,900390,Tipulusteich,51.50074,7.21965,73.631,5.134,88.048,11.15,1004,,,
2024-01-26 01:00:00,900390,Tipulusteich,51.50074,7.21965,73.631,5.119,88.037,11.15,1010,3.667,11.69,19.2
2024-01-26 01:15:00,900390,Tipulusteich,51.50074,7.21965,73.631,5.128,87.687,11.105,1004,3.653,11.8,19.2
2024-01-26 01:30:00,900390,Tipulusteich,51.50074,7.21965,73.63,5.141,85.665,10.83,984,,,
2024-01-26 01:45:00,900390,Tipulusteich,51.50074,7.21965,73.63,5.181,87.7,11.072,1007,,,
2024-01-26 02:00:00,900390,Tipulusteich,51.50074,7.21965,73.63,5.238,89.537,11.295,948,3.67,12.01,19.3
2024-01-26 02:15:00,900390,Tipulusteich,51.50074,7.21965,73.631,5.266,90.562,11.419,958,3.652,12.2,19.2
2024-01-26 02:30:00,900390,Tipulusteich,51.50074,7.21965,73.631,5.275,90.584,11.417,972,,,
2024-01-26 02:45:00,900390,Tipulusteich,51.50074,7.21965,73.631,5.278,90.4,11.385,1005,,,
2024-01-26 03:00:00,900390,Tipulusteich,51.50074,7.21965,73.631,5.275,90.516,11.397,985,3.665,12.22,19.3
2024-01-26 03:15:00,900390,Tipulusteich,51.50074,7.21965,73.631,5.288,89.999,11.334,953,3.66,12.33,19.3
2024-01-26 03:30:00,900390,Tipulusteich,51.50074,7.21965,73.631,5.294,90.333,11.377,978,,,
2024-01-26 03:45:00,900390,Tipulusteich,51.50074,7.21965,73.632,5.313,89.585,11.279,971,,,
2024-01-26 04:00:00,900390,Tipulusteich,51.50074,7.21965,73.631,5.297,89.859,11.309,958,3.672,12.4,19.3
2024-01-26 04:15:01,900390,Tipulusteich,51.50074,7.21965,73.632,5.35,89.61,11.275,994,3.654,12.47,19.3
2024-01-26 04:30:01,900390,Tipulusteich,51.50074,7.21965,73.631,5.356,87.857,11.046,1003,,,
2024-01-26 04:45:01,900390,Tipulusteich,51.50074,7.21965,73.631,5.381,89.405,11.236,998,,,
2024-01-26 05:00:00,900390,Tipulusteich,51.50074,7.21965,73.631,5.403,89.67,11.262,1006,3.668,12.49,19.3
2024-01-26 05:15:00,900390,Tipulusteich,51.50074,7.21965,73.63,5.419,89.025,11.18,1005,3.654,12.53,19.3
2024-01-26 05:30:00,900390,Tipulusteich,51.50074,7.21965,73.631,5.391,88.08,11.052,1004,,,
2024-01-26 05:45:00,900390,Tipulusteich,51.50074,7.21965,73.631,5.397,87.342,10.957,1003,,,
2024-01-26 06:00:00,900390,Tipulusteich,51.50074,7.21965,73.631,5.434,87.788,11.012,1008,3.67,12.52,19.3
2024-01-26 06:15:01,900390,Tipulusteich,51.50074,7.21965,73.631,5.419,87.758,11.004,1008,3.656,12.58,19.3
2024-01-26 06:30:01,900390,Tipulusteich,51.50074,7.21965,73.631,5.472,86.764,10.876,1008,,,
2024-01-26 06:45:01,900390,Tipulusteich,51.50074,7.21965,73.631,5.513,86.605,10.851,1006,,,
2024-01-26 07:00:00,900390,Tipulusteich,51.50074,7.21965,73.63,5.459,87.616,10.981,1004,3.675,12.66,19.3
2024-01-26 07:15:00,900390,Tipulusteich,51.50074,7.21965,73.631,5.463,87.64,10.985,1006,3.661,12.78,19.4
2024-01-26 07:30:00,900390,Tipulusteich,51.50074,7.21965,73.632,5.516,87.837,11,1007,,,
2024-01-26 07:45:00,900390,Tipulusteich,51.50074,7.21965,73.63,5.5,88.236,11.048,998,,,
2024-01-26 08:00:00,900390,Tipulusteich,51.50074,7.21965,73.632,5.5,87.7,10.975,1008,3.676,12.9,19.4
