datetime,logger_id,name,latitude,longitude,pegel,wtemp,o,do,elL,hkBat,hkTemp,hkHum
2024-09-01 00:00:00,900398,Brueggeneystr,51.41776,7.23148,83.173,19.028,26.679,2.447,,3.661,21.91,41.7
2024-09-01 00:15:00,900398,Brueggeneystr,51.41776,7.23148,83.173,18.975,24.797,2.275,,3.636,21.8,41.6
2024-09-01 00:30:00,900398,Brueggeneystr,51.41776,7.23148,83.173,18.975,24.652,2.263,,,,
2024-09-01 00:45:00,900398,Brueggeneystr,51.41776,7.23148,83.172,19.034,20.748,1.906,,,,
2024-09-01 01:00:01,900398,Brueggeneystr,51.41776,7.23148,83.173,18.991,19.992,1.838,,3.657,21.29,41.6
2024-09-01 01:15:00,900398,Brueggeneystr,51.41776,7.23148,83.173,18.963,17.819,1.638,,3.638,21.2,41.5
2024-09-01 01:30:00,900398,Brueggeneystr,51.41776,7.23148,83.173,18.953,10.797,0.993,,,,
2024-09-01 01:45:00,900398,Brueggeneystr,51.41776,7.23148,83.173,18.941,7.175,0.66,,,,
2024-09-01 02:00:01,900398,Brueggeneystr,51.41776,7.23148,83.174,18.909,7.953,0.733,,3.655,20.73,41.5
2024-09-01 02:15:00,900398,Brueggeneystr,51.41776,7.23148,83.173,18.888,12.439,1.147,,3.63,20.68,41.5
2024-09-01 02:30:00,900398,Brueggeneystr,51.41776,7.23148,83.173,18.878,14.94,1.378,,,,
2024-09-01 02:45:00,900398,Brueggeneystr,51.41776,7.23148,83.173,18.819,16.102,1.486,,,,
2024-09-01 03:00:01,900398,Brueggeneystr,51.41776,7.23148,83.173,18.816,11.903,1.099,,3.653,20.23,41.4
2024-09-01 03:15:00,900398,Brueggeneystr,51.41776,7.23148,83.173,18.803,15.257,1.41,,3.63,20.15,41.4
2024-09-01 03:30:00,900398,Brueggeneystr,51.41776,7.23148,83.172,18.759,20.03,1.853,,,,
2024-09-01 03:45:00,900398,Brueggeneystr,51.41776,7.23148,83.173,18.763,16.337,1.513,,,,
2024-09-01 04:00:00,900398,Brueggeneystr,51.41776,7.23148,83.173,18.766,16.272,1.507,,3.652,19.7,41.4
2024-09-01 04:15:00,900398,Brueggeneystr,51.41776,7.23148,83.173,18.659,17.877,1.658,,3.638,19.62,41.3
2024-09-01 04:30:00,900398,Brueggeneystr,51.41776,7.23148,83.173,18.653,11.678,1.084,,,,
2024-09-01 04:45:00,900398,Brueggeneystr,51.41776,7.23148,83.173,18.663,4.901,0.455,,,,
2024-09-01 05:00:01,900398,Brueggeneystr,51.41776,7.23148,83.173,18.622,2.089,0.194,,3.659,19.19,41.3
2024-09-01 05:15:00,900398,Brueggeneystr,51.41776,7.23148,83.173,18.622,1.946,0.181,,3.635,19.14,41.2
2024-09-01 05:30:00,900398,Brueggeneystr,51.41776,7.23148,83.173,18.581,5.356,0.498,,,,
2024-09-01 05:45:00,900398,Brueggeneystr,51.41776,7.23148,83.173,18.597,13.376,1.243,,,,
2024-09-01 06:00:01,900398,Brueggeneystr,51.41776,7.23148,83.173,18.519,14.373,1.336,,3.654,18.81,41.3
2024-09-01 06:15:00,900398,Brueggeneystr,51.41776,7.23148,83.174,18.55,7.734,0.719,,3.631,18.79,41.2
2024-09-01 06:30:00,900398,Brueggeneystr,51.41776,7.23148,83.173,18.547,12.281,1.143,,,,
2024-09-01 06:45:00,900398,Brueggeneystr,51.41776,7.23148,83.173,18.522,19.207,1.787,,,,
2024-09-01 07:00:01,900398,Brueggeneystr,51.41776,7.23148,83.173,18.516,8.739,0.813,,3.654,18.63,41.2
2024-09-01 07:15:00,900398,Brueggeneystr,51.41776,7.23148,83.173,18.503,9.768,0.909,,3.631,18.72,41.2
2024-09-01 07:30:00,900398,Brueggeneystr,51.41776,7.23148,83.173,18.516,16.224,1.51,,,,
2024-09-01 07:45:00,900398,Brueggeneystr,51.41776,7.23148,83.173,18.488,16.913,1.574,,,,
2024-09-01 08:00:00,900398,Brueggeneystr,51.41776,7.23148,83.172,18.466,16.258,1.513,,3.651,19,41.3
2024-09-01 08:15:00,900398,Brueggeneystr,51.41776,7.23148,83.173,18.463,8.696,0.809,,3.632,19.27,41.3
2024-09-01 08:30:00,900398,Brueggeneystr,51.41776,7.23148,83.173,18.444,7.247,0.674,,,,
