datetime,logger_id,name,latitude,longitude,pegel,wtemp,o,do,elL,hkBat,hkTemp,hkHum
2024-08-15 00:00:00,900398,Brueggeneystr,51.41776,7.23148,83.217,21.381,54.596,4.794,,3.654,20.32,40.1
2024-08-15 00:15:00,900398,Brueggeneystr,51.41776,7.23148,83.217,21.356,49.123,4.316,,3.641,20.31,40.1
2024-08-15 00:30:00,900398,Brueggeneystr,51.41776,7.23148,83.217,21.356,50.825,4.467,,,,
2024-08-15 00:45:00,900398,Brueggeneystr,51.41776,7.23148,83.217,21.3,52.284,4.599,,,,
2024-08-15 01:00:01,900398,Brueggeneystr,51.41776,7.23148,83.217,21.266,50.152,4.414,,3.656,20.06,40.1
2024-08-15 01:15:00,900398,Brueggeneystr,51.41776,7.23148,83.217,21.213,47.581,4.19,,3.641,20.07,40
2024-08-15 01:30:00,900398,Brueggeneystr,51.41776,7.23148,83.217,21.238,42.205,3.718,,,,
2024-08-15 01:45:00,900398,Brueggeneystr,51.41776,7.23148,83.217,21.228,38.583,3.4,,,,
2024-08-15 02:00:00,900398,Brueggeneystr,51.41776,7.23148,83.217,21.203,34.081,3.006,,3.657,19.94,40
2024-08-15 02:15:00,900398,Brueggeneystr,51.41776,7.23148,83.217,21.144,32.512,2.869,,3.632,19.97,40
2024-08-15 02:30:00,900398,Brueggeneystr,51.41776,7.23148,83.217,21.116,40.442,3.57,,,,
2024-08-15 02:45:00,900398,Brueggeneystr,51.41776,7.23148,83.217,21.088,43.727,3.863,,,,
2024-08-15 03:00:00,900398,Brueggeneystr,51.41776,7.23148,83.217,21.047,43.096,3.811,,3.655,19.8,40
2024-08-15 03:15:01,900398,Brueggeneystr,51.41776,7.23148,83.217,21.034,43.749,3.87,,3.635,19.8,39.9
2024-08-15 03:30:01,900398,Brueggeneystr,51.41776,7.23148,83.217,20.997,41.003,3.628,,,,
2024-08-15 03:45:01,900398,Brueggeneystr,51.41776,7.23148,83.216,21.003,40.149,3.555,,,,
2024-08-15 04:00:00,900398,Brueggeneystr,51.41776,7.23148,83.217,20.988,38.387,3.401,,3.655,19.56,39.9
2024-08-15 04:15:00,900398,Brueggeneystr,51.41776,7.23148,83.217,20.938,38.885,3.447,,3.637,19.53,39.9
2024-08-15 04:30:00,900398,Brueggeneystr,51.41776,7.23148,83.217,20.909,34.501,3.059,,,,
2024-08-15 04:45:00,900398,Brueggeneystr,51.41776,7.23148,83.217,20.884,32.302,2.865,,,,
2024-08-15 05:00:01,900398,Brueggeneystr,51.41776,7.23148,83.216,20.85,32.531,2.886,,3.655,19.42,40
2024-08-15 05:15:00,900398,Brueggeneystr,51.41776,7.23148,83.216,20.85,34.209,3.036,,3.634,19.6,39.9
2024-08-15 05:30:00,900398,Brueggeneystr,51.41776,7.23148,83.217,20.884,35.733,3.172,,,,
2024-08-15 05:45:00,900398,Brueggeneystr,51.41776,7.23148,83.216,20.822,38.182,3.39,,,,
2024-08-15 06:00:01,900398,Brueggeneystr,51.41776,7.23148,83.217,20.866,33.634,2.987,,3.664,19.93,40
2024-08-15 06:15:00,900398,Brueggeneystr,51.41776,7.23148,83.217,20.859,34.487,3.064,,3.63,20.07,39.9
2024-08-15 06:30:00,900398,Brueggeneystr,51.41776,7.23148,83.217,20.822,36.24,3.22,,,,
2024-08-15 06:45:00,900398,Brueggeneystr,51.41776,7.23148,83.217,20.816,39.653,3.524,,,,
2024-08-15 07:00:01,900398,Brueggeneystr,51.41776,7.23148,83.216,20.788,39.048,3.47,,3.662,20.25,40
2024-08-15 07:15:01,900398,Brueggeneystr,51.41776,7.23148,83.217,20.803,37.584,3.34,,3.634,20.37,40
2024-08-15 07:30:01,900398,Brueggeneystr,51.41776,7.23148,83.217,20.741,35.877,3.191,,,,
2024-08-15 07:45:01,900398,Brueggeneystr,51.41776,7.23148,83.217,20.763,34.155,3.039,,,,
2024-08-15 08:00:00,900398,Brueggeneystr,51.41776,7.23148,83.216,20.766,32.722,2.911,,3.662,20.61,40
2024-08-15 08:15:01,900398,Brueggeneystr,51.41776,7.23148,83.217,20.75,40.245,3.58,,3.632,20.74,40
2024-08-15 08:30:01,900398,Brueggeneystr,51.41776,7.23148,83.216,20.759,41.864,3.721,,,,
2024-08-15 08:45:01,900398,Brueggeneystr,51.41776,7.23148,83.216,20.747,47.74,4.241,,,,
2024-08-15 09:00:00,900398,Brueggeneystr,51.41776,7.23148,83.216,20.781,49.559,4.402,,3.658,20.96,40.1
2024-08-15 09:15:00,900398,Brueggeneystr,51.41776,7.23148,83.216,20.759,49.435,4.385,,3.636,21.13,40.1
2024-08-15 09:30:00,900398,Brueggeneystr,51.41776,7.23148,83.216,20.769,57.17,5.07,,,,
