datetime,logger_id,name,latitude,longitude,pegel,wtemp,o,do,elL,hkBat,hkTemp,hkHum,year_month
2024-07-01 00:00:01,900398,Brueggeneystr,51.41776,7.23148,83.229,19.809,28.909,2.608,,3.659,19.45,35.5,2024-07
2024-07-01 00:15:00,900398,Brueggeneystr,51.41776,7.23148,83.229,19.8,31.407,2.835,,3.639,19.39,35.4,2024-07
2024-07-01 00:30:00,900398,Brueggeneystr,51.41776,7.23148,83.229,19.781,29.986,2.707,,,,,2024-07
2024-07-01 00:45:00,900398,Brueggeneystr,51.41776,7.23148,83.23,19.766,28.553,2.578,,,,,2024-07
2024-07-01 01:00:01,900398,Brueggeneystr,51.41776,7.23148,83.23,19.722,26.074,2.355,,3.653,19.14,35.5,2024-07
2024-07-01 01:15:00,900398,Brueggeneystr,51.41776,7.23148,83.229,19.681,26.261,2.372,,3.636,19.15,35.4,2024-07
2024-07-01 01:30:00,900398,Brueggeneystr,51.41776,7.23148,83.229,19.65,25.882,2.34,,,,,2024-07
2024-07-01 01:45:00,900398,Brueggeneystr,51.41776,7.23148,83.237,19.678,23.051,2.085,,,,,2024-07
2024-07-01 02:00:01,900398,Brueggeneystr,51.41776,7.23148,83.241,19.578,28.903,2.622,,3.656,18.98,35.4,2024-07
2024-07-01 02:15:00,900398,Brueggeneystr,51.41776,7.23148,83.241,19.613,21.074,1.91,,3.631,18.96,35.3,2024-07
2024-07-01 02:30:00,900398,Brueggeneystr,51.41776,7.23148,83.241,19.572,26.121,2.368,,,,,2024-07
2024-07-01 02:45:00,900398,Brueggeneystr,51.41776,7.23148,83.242,19.591,24.368,2.21,,,,,2024-07
2024-07-01 03:00:01,900398,Brueggeneystr,51.41776,7.23148,83.242,19.563,21.378,1.939,,3.653,18.63,35.4,2024-07
2024-07-01 03:15:00,900398,Brueggeneystr,51.41776,7.23148,83.241,19.534,23.709,2.152,,3.639,18.57,35.2,2024-07
2024-07-01 03:30:00,900398,Brueggeneystr,51.41776,7.23148,83.241,19.506,26.374,2.396,,,,,2024-07
2024-07-01 03:45:00,900398,Brueggeneystr,51.41776,7.23148,83.24,19.494,25.201,2.29,,,,,2024-07
2024-07-01 04:00:01,900398,Brueggeneystr,51.41776,7.23148,83.24,19.5,24.693,2.245,,3.653,18.12,35.3,2024-07
2024-07-01 04:15:00,900398,Brueggeneystr,51.41776,7.23148,83.241,19.494,25.837,2.35,,3.628,18.05,35.2,2024-07
2024-07-01 04:30:00,900398,Brueggeneystr,51.41776,7.23148,83.24,19.484,30.915,2.814,,,,,2024-07
2024-07-01 04:45:00,900398,Brueggeneystr,51.41776,7.23148,83.239,19.463,31.924,2.908,,,,,2024-07
2024-07-01 05:00:01,900398,Brueggeneystr,51.41776,7.23148,83.239,19.4,28.738,2.619,,3.65,17.71,35.2,2024-07
2024-07-01 05:15:00,900398,Brueggeneystr,51.41776,7.23148,83.238,19.391,29.596,2.699,,3.631,17.7,35.2,2024-07
2024-07-01 05:30:00,900398,Brueggeneystr,51.41776,7.23148,83.237,19.338,27.12,2.475,,,,,2024-07
2024-07-01 05:45:00,900398,Brueggeneystr,51.41776,7.23148,83.237,19.288,23.737,2.167,,,,,2024-07
2024-07-01 06:00:01,900398,Brueggeneystr,51.41776,7.23148,83.236,19.306,22.927,2.094,,3.654,17.4,35.1,2024-07
2024-07-01 06:15:00,900398,Brueggeneystr,51.41776,7.23148,83.235,19.266,22.078,2.018,,3.634,17.38,35.1,2024-07
2024-07-01 06:30:00,900398,Brueggeneystr,51.41776,7.23148,83.235,19.234,26.311,2.406,,,,,2024-07
2024-07-01 06:45:00,900398,Brueggeneystr,51.41776,7.23148,83.235,19.228,26.347,2.411,,,,,2024-07
2024-07-01 07:00:01,900398,Brueggeneystr,51.41776,7.23148,83.235,19.231,24.935,2.282,,3.652,17.18,35.1,2024-07
2024-07-01 07:15:00,900398,Brueggeneystr,51.41776,7.23148,83.233,19.184,25.249,2.31,,3.634,17.18,35.1,2024-07
