datetime,logger_id,name,latitude,longitude,pegel,wtemp,o,do,elL,hkBat,hkTemp,hkHum
2024-09-03 00:00:00,900413,Stembergteich,51.51349,7.22748,78.369,20.934,39.678,3.47,,3.737,22.78,50
2024-09-03 00:15:01,900413,Stembergteich,51.51349,7.22748,78.37,20.853,41.367,3.62,,3.709,22.74,49.9
2024-09-03 00:30:01,900413,Stembergteich,51.51349,7.22748,78.371,20.894,41.963,3.673,,,,
2024-09-03 00:45:01,900413,Stembergteich,51.51349,7.22748,78.37,20.872,41.826,3.662,,,,
2024-09-03 01:00:00,900413,Stembergteich,51.51349,7.22748,78.37,20.916,41.81,3.661,,3.732,22.41,49.9
2024-09-03 01:15:00,900413,Stembergteich,51.51349,7.22748,78.37,20.869,41.112,3.6,,3.709,22.35,49.8
2024-09-03 01:30:00,900413,Stembergteich,51.51349,7.22748,78.37,20.872,40.419,3.541,,,,
2024-09-03 01:45:00,900413,Stembergteich,51.51349,7.22748,78.37,20.859,39.747,3.484,,,,
2024-09-03 02:00:01,900413,Stembergteich,51.51349,7.22748,78.371,20.875,39.458,3.458,,3.734,21.99,49.9
2024-09-03 02:15:01,900413,Stembergteich,51.51349,7.22748,78.37,20.859,39.538,3.466,,3.706,21.94,49.8
2024-09-03 02:30:01,900413,Stembergteich,51.51349,7.22748,78.37,20.819,39.482,3.464,,,,
2024-09-03 02:45:01,900413,Stembergteich,51.51349,7.22748,78.369,20.803,39.375,3.457,,,,
2024-09-03 03:00:00,900413,Stembergteich,51.51349,7.22748,78.37,20.819,39.967,3.509,,3.729,21.61,49.8
2024-09-03 03:15:01,900413,Stembergteich,51.51349,7.22748,78.371,20.803,40.753,3.579,,3.71,21.57,49.7
2024-09-03 03:30:01,900413,Stembergteich,51.51349,7.22748,78.37,20.788,40.492,3.557,,,,
2024-09-03 03:45:01,900413,Stembergteich,51.51349,7.22748,78.37,20.791,40.143,3.529,,,,
2024-09-03 04:00:00,900413,Stembergteich,51.51349,7.22748,78.37,20.763,39.501,3.474,,3.727,21.27,49.8
2024-09-03 04:15:01,900413,Stembergteich,51.51349,7.22748,78.37,20.75,39.539,3.48,,3.708,21.23,49.7
2024-09-03 04:30:01,900413,Stembergteich,51.51349,7.22748,78.371,20.722,39.185,3.45,,,,
2024-09-03 04:45:01,900413,Stembergteich,51.51349,7.22748,78.37,20.709,38.734,3.414,,,,
2024-09-03 05:00:00,900413,Stembergteich,51.51349,7.22748,78.37,20.653,38.176,3.366,,3.733,20.96,49.7
2024-09-03 05:15:00,900413,Stembergteich,51.51349,7.22748,78.37,20.647,37.835,3.338,,3.708,20.94,49.7
2024-09-03 05:30:00,900413,Stembergteich,51.51349,7.22748,78.371,20.613,37.395,3.302,,,,
2024-09-03 05:45:00,900413,Stembergteich,51.51349,7.22748,78.37,20.572,36.588,3.232,,,,
2024-09-03 06:00:01,900413,Stembergteich,51.51349,7.22748,78.371,20.569,36.059,3.187,,3.724,20.72,49.7
2024-09-03 06:15:00,900413,Stembergteich,51.51349,7.22748,78.37,20.572,35.804,3.166,,3.706,20.71,49.6
2024-09-03 06:30:00,900413,Stembergteich,51.51349,7.22748,78.371,20.519,36.028,3.186,,,,
2024-09-03 06:45:00,900413,Stembergteich,51.51349,7.22748,78.371,20.494,35.948,3.182,,,,
2024-09-03 07:00:01,900413,Stembergteich,51.51349,7.22748,78.37,20.509,35.604,3.153,,3.727,20.69,49.7
2024-09-03 07:15:01,900413,Stembergteich,51.51349,7.22748,78.371,20.463,35.105,3.11,,3.702,20.8,49.7
2024-09-03 07:30:01,900413,Stembergteich,51.51349,7.22748,78.37,20.513,34.499,3.056,,,,
2024-09-03 07:45:01,900413,Stembergteich,51.51349,7.22748,78.371,20.494,33.926,3.006,,,,
2024-09-03 08:00:00,900413,Stembergteich,51.51349,7.22748,78.37,20.494,33.207,2.942,,3.731,21.17,49.8
2024-09-03 08:15:00,900413,Stembergteich,51.51349,7.22748,78.37,20.472,32.662,2.895,,3.706,21.42,49.8
2024-09-03 08:30:00,900413,Stembergteich,51.51349,7.22748,78.371,20.406,32.129,2.848,,,,
2024-09-03 08:45:00,900413,Stembergteich,51.51349,7.22748,78.371,20.469,31.604,2.801,,,,
