datetime,logger_id,name,latitude,longitude,pegel,wtemp,o,do,elL,hkBat,hkTemp,hkHum
2025-09-04 00:00:01,900413,Stembergteich,51.51349,7.22748,78.927,17.75,134.73,12.413,,3.737,23.21,23.4
2025-09-04 00:15:00,900413,Stembergteich,51.51349,7.22748,78.929,17.738,133.46,12.301,,3.715,23.04,23.3
2025-09-04 00:30:00,900413,Stembergteich,51.51349,7.22748,78.928,17.753,132.07,12.176,,,,
2025-09-04 00:45:00,900413,Stembergteich,51.51349,7.22748,78.928,17.819,130.59,12.051,,,,
2025-09-04 01:00:01,900413,Stembergteich,51.51349,7.22748,78.928,17.791,129.23,11.928,,3.735,22.39,23.3
2025-09-04 01:15:00,900413,Stembergteich,51.51349,7.22748,78.928,17.791,128.23,11.84,,3.719,22.27,23.2
2025-09-04 01:30:00,900413,Stembergteich,51.51349,7.22748,78.928,17.8,126.74,11.708,,,,
2025-09-04 01:45:00,900413,Stembergteich,51.51349,7.22748,78.928,17.803,125.36,11.583,,,,
2025-09-04 02:00:01,900413,Stembergteich,51.51349,7.22748,78.928,17.841,124.13,11.475,,3.743,21.8,23.2
2025-09-04 02:15:00,900413,Stembergteich,51.51349,7.22748,78.928,17.822,122.85,11.364,,3.712,21.71,23.2
2025-09-04 02:30:00,900413,Stembergteich,51.51349,7.22748,78.928,17.847,122.09,11.298,,,,
2025-09-04 02:45:00,900413,Stembergteich,51.51349,7.22748,78.927,17.85,121.01,11.197,,,,
2025-09-04 03:00:01,900413,Stembergteich,51.51349,7.22748,78.928,17.816,120.49,11.151,,3.735,21.35,23.1
2025-09-04 03:15:01,900413,Stembergteich,51.51349,7.22748,78.927,17.85,119.46,11.057,,3.717,21.38,23.1
2025-09-04 03:30:01,900413,Stembergteich,51.51349,7.22748,78.927,17.838,118.09,10.93,,,,
2025-09-04 03:45:01,900413,Stembergteich,51.51349,7.22748,78.928,17.834,117.16,10.845,,,,
2025-09-04 04:00:00,900413,Stembergteich,51.51349,7.22748,78.928,17.797,116.77,10.813,,3.734,21.43,23.2
2025-09-04 04:15:01,900413,Stembergteich,51.51349,7.22748,78.928,17.794,116.79,10.818,,3.715,21.52,23.2
2025-09-04 04:30:01,900413,Stembergteich,51.51349,7.22748,78.927,17.769,116.81,10.83,,,,
2025-09-04 04:45:01,900413,Stembergteich,51.51349,7.22748,78.927,17.85,116.58,10.809,,,,
2025-09-04 05:00:00,900413,Stembergteich,51.51349,7.22748,78.926,17.828,115.67,10.728,,3.739,21.42,23.1
2025-09-04 05:15:01,900413,Stembergteich,51.51349,7.22748,78.927,17.838,115.54,10.719,,3.715,21.46,23.1
2025-09-04 05:30:01,900413,Stembergteich,51.51349,7.22748,78.927,17.844,114.12,10.588,,,,
2025-09-04 05:45:01,900413,Stembergteich,51.51349,7.22748,78.927,17.788,112.84,10.47,,,,
2025-09-04 06:00:00,900413,Stembergteich,51.51349,7.22748,78.927,17.781,112.71,10.459,,3.73,20.99,23.1
2025-09-04 06:15:01,900413,Stembergteich,51.51349,7.22748,78.928,17.819,112.11,10.406,,3.713,20.94,23.1
2025-09-04 06:30:01,900413,Stembergteich,51.51349,7.22748,78.927,17.772,110.78,10.291,,,,
2025-09-04 06:45:01,900413,Stembergteich,51.51349,7.22748,78.927,17.813,109.56,10.175,,,,
2025-09-04 07:00:00,900413,Stembergteich,51.51349,7.22748,78.927,17.838,108.13,10.048,,3.734,20.68,23.1
2025-09-04 07:15:01,900413,Stembergteich,51.51349,7.22748,78.927,17.769,106.94,9.94,,3.712,20.7,23.1
2025-09-04 07:30:01,900413,Stembergteich,51.51349,7.22748,78.917,17.731,106.45,9.894,,,,
2025-09-04 07:45:01,900413,Stembergteich,51.51349,7.22748,78.925,17.803,105.47,9.8,,,,
2025-09-04 08:00:00,900413,Stembergteich,51.51349,7.22748,78.925,17.831,105.34,9.785,,3.735,21.35,23.2
2025-09-04 08:15:01,900413,Stembergteich,51.51349,7.22748,78.926,17.797,105.33,9.776,,3.722,21.91,23.3
2025-09-04 08:30:01,900413,Stembergteich,51.51349,7.22748,78.926,17.797,105.42,9.785,,,,
2025-09-04 08:45:01,900413,Stembergteich,51.51349,7.22748,78.925,17.778,106.09,9.849,,,,
2025-09-04 09:00:00,900413,Stembergteich,51.51349,7.22748,78.925,17.809,107.1,9.938,,3.731,23.02,23.4
2025-09-04 09:15:01,900413,Stembergteich,51.51349,7.22748,78.926,17.794,108.07,10.025,,3.715,23.44,23.4
2025-09-04 09:30:01,900413,Stembergteich,51.51349,7.22748,78.927,17.719,109.75,10.175,,,,
2025-09-04 09:45:01,900413,Stembergteich,51.51349,7.22748,78.926,17.794,111.61,10.349,,,,
2025-09-04 10:00:00,900413,Stembergteich,51.51349,7.22748,78.927,17.75,113.16,10.48,,3.738,24.41,23.7
2025-09-04 10:15:01,900413,Stembergteich,51.51349,7.22748,78.927,17.738,115.32,10.674,,3.717,25.07,23.7
2025-09-04 10:30:01,900413,Stembergteich,51.51349,7.22748,78.925,17.697,117.22,10.845,,,,
2025-09-04 10:45:01,900413,Stembergteich,51.51349,7.22748,78.925,17.741,119.19,10.999,,,,
2025-09-04 11:00:00,900413,Stembergteich,51.51349,7.22748,78.926,17.744,119.62,11.069,,3.741,27.34,24.2
2025-09-04 11:15:01,900413,Stembergteich,51.51349,7.22748,78.925,17.753,119.33,11.035,,3.725,27.59,24
2025-09-04 11:30:01,900413,Stembergteich,51.51349,7.22748,78.924,17.722,120.26,11.083,,,,
2025-09-04 11:45:01,900413,Stembergteich,51.51349,7.22748,78.925,17.731,121.91,11.234,,,,
2025-09-04 12:00:00,900413,Stembergteich,51.51349,7.22748,78.925,17.728,123.36,11.359,,3.741,28.49,24.4
2025-09-04 12:15:01,900413,Stembergteich,51.51349,7.22748,78.925,17.75,124.56,11.454,,3.737,29.17,24.4
2025-09-04 12:30:01,900413,Stembergteich,51.51349,7.22748,78.926,17.722,126.3,11.614,,,,
2025-09-04 12:45:01,900413,Stembergteich,51.51349,7.22748,78.926,17.763,127.46,11.715,,,,
2025-09-04 13:00:00,900413,Stembergteich,51.51349,7.22748,78.925,17.725,128.88,11.834,,3.739,29.32,24.3
2025-09-04 13:15:01,900413,Stembergteich,51.51349,7.22748,78.925,17.716,130.47,11.983,,3.733,29.14,24.3
2025-09-04 13:30:01,900413,Stembergteich,51.51349,7.22748,78.926,17.841,134.87,12.37,,,,
2025-09-04 13:45:01,900413,Stembergteich,51.51349,7.22748,78.927,17.794,139.65,12.783,,,,
2025-09-04 14:00:00,900413,Stembergteich,51.51349,7.22748,78.926,17.772,144.33,13.233,,3.741,29.41,24.4
2025-09-04 14:15:01,900413,Stembergteich,51.51349,7.22748,78.926,17.769,147.89,13.55,,3.729,29.45,24.4
2025-09-04 14:30:01,900413,Stembergteich,51.51349,7.22748,78.924,17.813,151.1,13.841,,,,
2025-09-04 14:45:01,900413,Stembergteich,51.51349,7.22748,78.925,17.831,154.46,14.135,,,,
2025-09-04 15:00:00,900413,Stembergteich,51.51349,7.22748,78.925,17.794,157.19,14.355,,3.737,29.12,24.3
2025-09-04 15:15:01,900413,Stembergteich,51.51349,7.22748,78.925,17.869,159.22,14.503,,3.73,28.92,24.2
2025-09-04 15:30:01,900413,Stembergteich,51.51349,7.22748,78.924,17.822,161.9,14.722,,,,
2025-09-04 15:45:01,900413,Stembergteich,51.51349,7.22748,78.925,17.809,164.52,14.971,,,,
2025-09-04 16:00:00,900413,Stembergteich,51.51349,7.22748,78.925,17.828,164.88,15.014,,3.742,28.08,24.2
2025-09-04 16:15:01,900413,Stembergteich,51.51349,7.22748,78.927,17.803,165.86,15.126,,3.731,27.9,24.2
2025-09-04 16:30:01,900413,Stembergteich,51.51349,7.22748,78.926,17.847,165.54,15.117,,,,
2025-09-04 16:45:01,900413,Stembergteich,51.51349,7.22748,78.927,17.881,164.83,15.038,,,,
2025-09-04 17:00:00,900413,Stembergteich,51.51349,7.22748,78.925,17.903,164.63,15.029,,3.742,27.32,24.1
2025-09-04 17:15:00,900413,Stembergteich,51.51349,7.22748,78.925,17.891,164.52,14.978,,3.73,27.2,24.1
2025-09-04 17:30:00,900413,Stembergteich,51.51349,7.22748,78.925,17.884,164.41,14.968,,,,
2025-09-04 17:45:00,900413,Stembergteich,51.51349,7.22748,78.925,17.922,164.94,15.019,,,,
2025-09-04 18:00:00,900413,Stembergteich,51.51349,7.22748,78.925,17.903,165.6,15.096,,3.739,26.3,24
2025-09-04 18:15:01,900413,Stembergteich,51.51349,7.22748,78.925,17.938,164.99,15.055,,3.731,26.01,23.9
2025-09-04 18:30:01,900413,Stembergteich,51.51349,7.22748,78.925,17.931,165,15.058,,,,
2025-09-04 18:45:01,900413,Stembergteich,51.51349,7.22748,78.925,17.922,163,14.876,,,,
2025-09-04 19:00:00,900413,Stembergteich,51.51349,7.22748,78.925,17.925,160.31,14.608,,3.739,24.94,23.7
2025-09-04 19:15:01,900413,Stembergteich,51.51349,7.22748,78.924,17.934,160.98,14.683,,3.727,24.64,23.7
2025-09-04 19:30:01,900413,Stembergteich,51.51349,7.22748,78.925,17.916,160.97,14.681,,,,
2025-09-04 19:45:01,900413,Stembergteich,51.51349,7.22748,78.925,17.981,160.25,14.62,,,,
2025-09-04 20:00:00,900413,Stembergteich,51.51349,7.22748,78.924,17.959,158.3,14.448,,3.738,23.66,23.6
2025-09-04 20:15:01,900413,Stembergteich,51.51349,7.22748,78.925,17.959,157.41,14.38,,3.726,23.48,23.5
2025-09-04 20:30:01,900413,Stembergteich,51.51349,7.22748,78.925,17.953,155.16,14.181,,,,
2025-09-04 20:45:01,900413,Stembergteich,51.51349,7.22748,78.925,17.972,153.3,14.017,,,,
2025-09-04 21:00:00,900413,Stembergteich,51.51349,7.22748,78.924,17.981,151.76,13.882,,3.732,22.73,23.4
2025-09-04 21:15:01,900413,Stembergteich,51.51349,7.22748,78.924,17.988,150.57,13.78,,3.712,22.57,23.4
2025-09-04 21:30:01,900413,Stembergteich,51.51349,7.22748,78.925,17.978,150.94,13.826,,,,
2025-09-04 21:45:01,900413,Stembergteich,51.51349,7.22748,78.923,17.925,147.85,13.549,,,,
2025-09-04 22:00:00,900413,Stembergteich,51.51349,7.22748,78.924,17.997,145.58,13.348,,3.739,21.69,23.3
2025-09-04 22:15:01,900413,Stembergteich,51.51349,7.22748,78.923,18.019,144.51,13.252,,3.71,21.47,23.2
2025-09-04 22:30:01,900413,Stembergteich,51.51349,7.22748,78.924,17.991,143.55,13.17,,,,
2025-09-04 22:45:01,900413,Stembergteich,51.51349,7.22748,78.925,17.966,141.44,12.979,,,,
2025-09-04 23:00:00,900413,Stembergteich,51.51349,7.22748,78.925,17.956,140.02,12.856,,3.733,20.73,23.2
2025-09-04 23:15:01,900413,Stembergteich,51.51349,7.22748,78.925,17.978,139.11,12.773,,3.722,20.57,23.2
2025-09-04 23:30:01,900413,Stembergteich,51.51349,7.22748,78.923,17.994,137.9,12.672,,,,
2025-09-04 23:45:01,900413,Stembergteich,51.51349,7.22748,78.924,17.953,132.83,12.207,,,,
2025-09-05 00:00:00,900413,Stembergteich,51.51349,7.22748,78.924,18.038,129.98,11.949,,3.739,19.99,23.1
