datetime,logger_id,name,latitude,longitude,pegel,wtemp,o,do,elL,hkBat,hkTemp,hkHum,year_month
2025-01-01 00:00:01,900413,Stembergteich,51.51349,7.22748,78.523,3.181,66.337,8.807,,3.688,7.54,53.7,2025-01
2025-01-01 00:00:01,900413,Stembergteich,51.51349,7.22748,78.523,3.181,66.337,8.807,,3.688,7.54,53.7,2025-01
2025-01-01 00:15:00,900413,Stembergteich,51.51349,7.22748,78.523,3.116,66.187,8.793,,3.676,7.62,53.6,2025-01
2025-01-01 00:30:00,900413,Stembergteich,51.51349,7.22748,78.521,3.169,65.918,8.752,,,,,2025-01
2025-01-01 00:45:00,900413,Stembergteich,51.51349,7.22748,78.52,3.141,65.628,8.716,,,,,2025-01
2025-01-01 01:00:01,900413,Stembergteich,51.51349,7.22748,78.524,3.106,65.431,8.706,,3.689,7.76,53.7,2025-01
2025-01-01 01:15:00,900413,Stembergteich,51.51349,7.22748,78.522,3.103,65.283,8.682,,3.679,7.87,53.6,2025-01
2025-01-01 01:30:00,900413,Stembergteich,51.51349,7.22748,78.521,3.103,65.138,8.665,,,,,2025-01
2025-01-01 01:45:00,900413,Stembergteich,51.51349,7.22748,78.522,3.041,64.998,8.654,,,,,2025-01
2025-01-01 02:00:01,900413,Stembergteich,51.51349,7.22748,78.523,3.072,64.757,8.623,,3.69,7.99,53.7,2025-01
2025-01-01 02:15:00,900413,Stembergteich,51.51349,7.22748,78.524,3.047,64.46,8.581,,3.672,8.07,53.7,2025-01
2025-01-01 02:30:00,900413,Stembergteich,51.51349,7.22748,78.524,3.072,64.189,8.547,,,,,2025-01
2025-01-01 02:45:00,900413,Stembergteich,51.51349,7.22748,78.525,3.038,63.926,8.51,,,,,2025-01
2025-01-01 03:00:01,900413,Stembergteich,51.51349,7.22748,78.521,3.025,63.648,8.472,,3.689,8.29,53.8,2025-01
2025-01-01 03:15:00,900413,Stembergteich,51.51349,7.22748,78.524,3.047,63.438,8.459,,3.679,8.42,53.8,2025-01
2025-01-01 03:30:00,900413,Stembergteich,51.51349,7.22748,78.524,3.038,63.213,8.433,,,,,2025-01
2025-01-01 03:45:00,900413,Stembergteich,51.51349,7.22748,78.524,3.059,62.942,8.39,,,,,2025-01
2025-01-01 04:00:01,900413,Stembergteich,51.51349,7.22748,78.522,3.038,62.765,8.37,,3.685,8.58,53.8,2025-01
2025-01-01 04:15:00,900413,Stembergteich,51.51349,7.22748,78.525,3.003,62.536,8.335,,3.687,8.61,53.7,2025-01
2025-01-01 04:30:00,900413,Stembergteich,51.51349,7.22748,78.523,3.022,62.351,8.31,,,,,2025-01
2025-01-01 04:45:00,900413,Stembergteich,51.51349,7.22748,78.522,3.022,62.213,8.275,,,,,2025-01
2025-01-01 05:00:01,900413,Stembergteich,51.51349,7.22748,78.528,3.091,62.209,8.259,,3.697,8.67,53.9,2025-01
2025-01-01 05:15:00,900413,Stembergteich,51.51349,7.22748,78.525,3.072,62.325,8.271,,3.679,8.82,53.8,2025-01
2025-01-01 05:30:00,900413,Stembergteich,51.51349,7.22748,78.52,3.116,62.477,8.289,,,,,2025-01
2025-01-01 05:45:00,900413,Stembergteich,51.51349,7.22748,78.515,3.103,62.599,8.31,,,,,2025-01
2025-01-01 06:00:01,900413,Stembergteich,51.51349,7.22748,78.521,3.053,62.736,8.333,,3.689,9.05,53.9,2025-01
2025-01-01 06:15:00,900413,Stembergteich,51.51349,7.22748,78.521,3.084,62.816,8.342,,3.677,9.15,53.8,2025-01
2025-01-01 06:30:00,900413,Stembergteich,51.51349,7.22748,78.524,3.053,62.92,8.355,,,,,2025-01
2025-01-01 06:45:00,900413,Stembergteich,51.51349,7.22748,78.521,3.075,63.109,8.382,,,,,2025-01
2025-01-01 07:00:01,900413,Stembergteich,51.51349,7.22748,78.524,3.044,63.344,8.422,,3.687,9.25,53.9,2025-01
2025-01-01 07:15:00,900413,Stembergteich,51.51349,7.22748,78.527,3.028,63.561,8.435,,3.681,9.35,53.9,2025-01
2025-01-01 07:30:00,900413,Stembergteich,51.51349,7.22748,78.521,3.094,63.762,8.461,,,,,2025-01
2025-01-01 07:45:00,900413,Stembergteich,51.51349,7.22748,78.523,3.034,63.754,8.467,,,,,2025-01
2025-01-01 08:00:01,900413,Stembergteich,51.51349,7.22748,78.521,2.938,63.644,8.45,,3.689,9.41,53.9,2025-01
2025-01-01 08:15:00,900413,Stembergteich,51.51349,7.22748,78.524,2.972,63.579,8.456,,3.679,9.56,54.0,2025-01
2025-01-01 08:30:00,900413,Stembergteich,51.51349,7.22748,78.529,2.972,63.371,8.436,,,,,2025-01
2025-01-01 08:45:00,900413,Stembergteich,51.51349,7.22748,78.523,2.972,63.111,8.4,,,,,2025-01
2025-01-01 09:00:01,900413,Stembergteich,51.51349,7.22748,78.522,2.988,62.82,8.36,,3.699,9.93,54.0,2025-01
2025-01-01 09:15:00,900413,Stembergteich,51.51349,7.22748,78.524,2.978,62.5,8.314,,3.679,10.0,53.9,2025-01
2025-01-01 09:30:00,900413,Stembergteich,51.51349,7.22748,78.527,2.975,62.165,8.263,,,,,2025-01
2025-01-01 09:45:00,900413,Stembergteich,51.51349,7.22748,78.525,3.094,61.921,8.214,,,,,2025-01
2025-01-01 10:00:01,900413,Stembergteich,51.51349,7.22748,78.523,3.072,61.798,8.202,,3.696,10.07,54.1,2025-01
2025-01-01 10:15:00,900413,Stembergteich,51.51349,7.22748,78.525,3.072,61.857,8.218,,3.678,10.16,54.0,2025-01
2025-01-01 10:30:00,900413,Stembergteich,51.51349,7.22748,78.531,2.978,62.051,8.277,,,,,2025-01
2025-01-01 10:45:00,900413,Stembergteich,51.51349,7.22748,78.52,2.919,62.221,8.291,,,,,2025-01
2025-01-01 11:00:01,900413,Stembergteich,51.51349,7.22748,78.524,2.988,62.491,8.326,,3.699,10.32,54.2,2025-01
2025-01-01 11:15:00,900413,Stembergteich,51.51349,7.22748,78.523,3.013,62.929,8.369,,3.681,10.42,54.1,2025-01
2025-01-01 11:30:00,900413,Stembergteich,51.51349,7.22748,78.525,3.031,63.39,8.42,,,,,2025-01
2025-01-01 11:45:00,900413,Stembergteich,51.51349,7.22748,78.524,3.022,63.954,8.492,,,,,2025-01
2025-01-01 12:00:01,900413,Stembergteich,51.51349,7.22748,78.525,3.006,64.547,8.568,,3.696,10.72,54.2,2025-01
2025-01-01 12:15:00,900413,Stembergteich,51.51349,7.22748,78.526,3.038,65.053,8.637,,3.675,10.84,54.1,2025-01
2025-01-01 12:30:00,900413,Stembergteich,51.51349,7.22748,78.527,3.041,65.366,8.683,,,,,2025-01
2025-01-01 12:45:00,900413,Stembergteich,51.51349,7.22748,78.521,3.006,65.641,8.724,,,,,2025-01
2025-01-01 13:00:01,900413,Stembergteich,51.51349,7.22748,78.521,2.978,65.917,8.757,,3.698,11.12,54.3,2025-01
2025-01-01 13:15:00,900413,Stembergteich,51.51349,7.22748,78.518,3.044,66.244,8.79,,3.684,11.29,54.2,2025-01
2025-01-01 13:30:00,900413,Stembergteich,51.51349,7.22748,78.521,3.009,66.61,8.833,,,,,2025-01
2025-01-01 13:45:00,900413,Stembergteich,51.51349,7.22748,78.524,3.084,66.829,8.857,,,,,2025-01
2025-01-01 14:00:01,900413,Stembergteich,51.51349,7.22748,78.524,3.166,67.058,8.871,,3.701,11.5,54.3,2025-01
2025-01-01 14:15:00,900413,Stembergteich,51.51349,7.22748,78.528,3.131,67.202,8.882,,3.683,11.54,54.2,2025-01
2025-01-01 14:30:00,900413,Stembergteich,51.51349,7.22748,78.528,3.166,67.304,8.891,,,,,2025-01
2025-01-01 14:45:00,900413,Stembergteich,51.51349,7.22748,78.528,3.188,67.288,8.887,,,,,2025-01
2025-01-01 15:00:01,900413,Stembergteich,51.51349,7.22748,78.53,3.169,67.316,8.892,,3.701,11.34,54.2,2025-01
2025-01-01 15:15:00,900413,Stembergteich,51.51349,7.22748,78.519,3.144,67.32,8.889,,3.668,11.49,53.8,2025-01
2025-01-01 15:30:00,900413,Stembergteich,51.51349,7.22748,78.533,3.206,67.319,8.891,,,,,2025-01
2025-01-01 15:45:00,900413,Stembergteich,51.51349,7.22748,78.531,3.203,67.233,8.877,,,,,2025-01
2025-01-01 16:00:01,900413,Stembergteich,51.51349,7.22748,78.527,3.153,67.13,8.861,,3.69,11.13,54.3,2025-01
2025-01-01 16:15:01,900413,Stembergteich,51.51349,7.22748,78.526,3.238,67.189,8.873,,3.679,11.15,54.2,2025-01
2025-01-01 16:30:01,900413,Stembergteich,51.51349,7.22748,78.529,3.206,67.258,8.883,,,,,2025-01
2025-01-01 16:45:01,900413,Stembergteich,51.51349,7.22748,78.526,3.225,67.351,8.893,,,,,2025-01
2025-01-01 17:00:00,900413,Stembergteich,51.51349,7.22748,78.526,3.231,67.43,8.9,,3.699,11.12,54.3,2025-01
2025-01-01 17:15:01,900413,Stembergteich,51.51349,7.22748,78.526,3.169,67.569,8.924,,3.675,11.18,54.2,2025-01
2025-01-01 17:30:01,900413,Stembergteich,51.51349,7.22748,78.526,3.225,67.672,8.936,,,,,2025-01
2025-01-01 17:45:01,900413,Stembergteich,51.51349,7.22748,78.525,3.228,67.752,8.948,,,,,2025-01
2025-01-01 18:00:00,900413,Stembergteich,51.51349,7.22748,78.524,3.191,67.874,8.965,,3.697,11.3,54.4,2025-01
2025-01-01 18:15:01,900413,Stembergteich,51.51349,7.22748,78.523,3.2,67.993,8.983,,3.68,11.4,54.3,2025-01
2025-01-01 18:30:01,900413,Stembergteich,51.51349,7.22748,78.524,3.153,68.031,8.99,,,,,2025-01
