datetime,logger_id,name,latitude,longitude,pegel,wtemp,o,do,elL,hkBat,hkTemp,hkHum,year_month
2024-07-01 00:00:00,900415,Kuehlteich,51.48196,7.19709,76.056,21.394,86.207,7.481,,3.741,20.42,37.6,2024-07
2024-07-01 00:15:01,900415,Kuehlteich,51.48196,7.19709,76.055,21.384,86.327,7.495,,3.724,20.28,37.5,2024-07
2024-07-01 00:30:01,900415,Kuehlteich,51.48196,7.19709,76.055,21.381,86.402,7.504,,,,,2024-07
2024-07-01 00:45:01,900415,Kuehlteich,51.48196,7.19709,76.055,21.331,86.358,7.503,,,,,2024-07
2024-07-01 01:00:00,900415,Kuehlteich,51.48196,7.19709,76.055,21.328,85.639,7.443,,3.744,19.86,37.5,2024-07
2024-07-01 01:15:01,900415,Kuehlteich,51.48196,7.19709,76.055,21.322,85.916,7.47,,3.72,19.83,37.5,2024-07
2024-07-01 01:30:01,900415,Kuehlteich,51.48196,7.19709,76.057,21.291,85.502,7.436,,,,,2024-07
2024-07-01 01:45:01,900415,Kuehlteich,51.48196,7.19709,76.057,21.3,86.295,7.509,,,,,2024-07
2024-07-01 02:00:00,900415,Kuehlteich,51.48196,7.19709,76.057,21.247,86.309,7.513,,3.742,19.42,37.4,2024-07
2024-07-01 02:15:01,900415,Kuehlteich,51.48196,7.19709,76.056,21.272,85.648,7.458,,3.725,19.35,37.4,2024-07
2024-07-01 02:30:01,900415,Kuehlteich,51.48196,7.19709,76.057,21.225,85.534,7.45,,,,,2024-07
2024-07-01 02:45:01,900415,Kuehlteich,51.48196,7.19709,76.056,21.197,85.706,7.469,,,,,2024-07
2024-07-01 03:00:00,900415,Kuehlteich,51.48196,7.19709,76.056,21.2,87.979,7.674,,3.736,18.98,37.4,2024-07
2024-07-01 03:15:01,900415,Kuehlteich,51.48196,7.19709,76.056,21.184,87.143,7.608,,3.724,18.88,37.3,2024-07
2024-07-01 03:30:01,900415,Kuehlteich,51.48196,7.19709,76.055,21.122,85.21,7.44,,,,,2024-07
