datetime,logger_id,name,latitude,longitude,pegel,wtemp,o,do,elL,hkBat,hkTemp,hkHum
2024-03-08 00:00:01,900541,Uemminger See,51.46932,7.29004,1.491,10.4,71.459,7.961,3623,3.634,6.31,13.3
2024-03-08 00:15:01,900541,Uemminger See,51.46932,7.29004,1.49,10.5,71.589,7.961,3606,3.613,6.23,13.3
2024-03-08 00:30:01,900541,Uemminger See,51.46932,7.29004,1.493,10.5,71.452,7.958,3594,,,
2024-03-08 00:45:01,900541,Uemminger See,51.46932,7.29004,1.492,10.4,72.483,8.068,3579,,,
2024-03-08 01:00:00,900541,Uemminger See,51.46932,7.29004,1.492,10.5,71.988,8.018,3593,3.634,5.86,13.3
2024-03-08 01:15:00,900541,Uemminger See,51.46932,7.29004,1.492,10.4,73.093,8.13,3632,3.617,5.86,13.3
2024-03-08 01:30:00,900541,Uemminger See,51.46932,7.29004,1.495,10.4,72.795,8.095,3669,,,
2024-03-08 01:45:00,900541,Uemminger See,51.46932,7.29004,1.494,10.5,73.219,8.141,3608,,,
2024-03-08 02:00:01,900541,Uemminger See,51.46932,7.29004,1.494,10.4,72.448,8.071,3606,3.627,5.62,13.3
2024-03-08 02:15:00,900541,Uemminger See,51.46932,7.29004,1.494,10.5,71.81,8.001,3652,3.611,5.6,13.3
2024-03-08 02:30:00,900541,Uemminger See,51.46932,7.29004,1.494,10.4,71.486,7.97,3613,,,
2024-03-08 02:45:00,900541,Uemminger See,51.46932,7.29004,1.493,10.4,71.179,7.94,3634,,,
2024-03-08 03:00:01,900541,Uemminger See,51.46932,7.29004,1.493,10.4,71.025,7.936,3626,3.635,5.31,13.3
2024-03-08 03:15:00,900541,Uemminger See,51.46932,7.29004,1.493,10.4,71.037,7.939,3632,3.617,5.29,13.2
2024-03-08 03:30:00,900541,Uemminger See,51.46932,7.29004,1.493,10.4,69.917,7.819,3609,,,
2024-03-08 03:45:00,900541,Uemminger See,51.46932,7.29004,1.493,10.4,69.323,7.764,3648,,,
2024-03-08 04:00:00,900541,Uemminger See,51.46932,7.29004,1.493,10.4,69.312,7.773,3647,3.632,5.07,13.2
2024-03-08 04:15:00,900541,Uemminger See,51.46932,7.29004,1.497,10.4,69.464,7.793,3662,3.615,5.01,13.2
2024-03-08 04:30:00,900541,Uemminger See,51.46932,7.29004,1.496,10.4,68.458,7.692,3600,,,
2024-03-08 04:45:00,900541,Uemminger See,51.46932,7.29004,1.496,10.4,68.662,7.726,3624,,,
2024-03-08 05:00:01,900541,Uemminger See,51.46932,7.29004,1.495,10.3,68.502,7.714,3621,3.63,4.53,13.2
2024-03-08 05:15:01,900541,Uemminger See,51.46932,7.29004,1.495,10.4,68.928,7.774,3650,3.619,4.48,13.1
2024-03-08 05:30:01,900541,Uemminger See,51.46932,7.29004,1.494,10.4,67.983,7.677,3625,,,
2024-03-08 05:45:01,900541,Uemminger See,51.46932,7.29004,1.494,10.4,67.329,7.603,3597,,,
2024-03-08 06:00:00,900541,Uemminger See,51.46932,7.29004,1.494,10.4,67.384,7.627,3646,3.631,4.08,13.2
